model,benchmark,target_model,drafter,drafter_scope,batch_size,k,isl,osl,baseline_output_tok_s_gpu,specdec_output_tok_s_gpu,speedup,acceptance_rate_pct,note
Qwen3-8B,synthetic_static,Qwen/Qwen3-8B,RedHatAI/Qwen3-8B-speculator.eagle3,public_hf,1,1,1000,512,245.6800,241.2000,0.9818,,acceptance not emitted by this original K=1 static sweep
Qwen3-8B,synthetic_static,Qwen/Qwen3-8B,RedHatAI/Qwen3-8B-speculator.eagle3,public_hf,2,1,1000,512,482.6200,326.1700,0.6758,,acceptance not emitted by this original K=1 static sweep
Qwen3-8B,synthetic_static,Qwen/Qwen3-8B,RedHatAI/Qwen3-8B-speculator.eagle3,public_hf,4,1,1000,512,855.5000,959.6400,1.1217,,acceptance not emitted by this original K=1 static sweep
Qwen3-8B,synthetic_static,Qwen/Qwen3-8B,RedHatAI/Qwen3-8B-speculator.eagle3,public_hf,8,1,1000,512,1792.2700,1903.8300,1.0622,,acceptance not emitted by this original K=1 static sweep
Qwen3-8B,synthetic_static,Qwen/Qwen3-8B,RedHatAI/Qwen3-8B-speculator.eagle3,public_hf,16,1,1000,512,3219.5200,3764.5300,1.1693,,acceptance not emitted by this original K=1 static sweep
Qwen3-8B,synthetic_static,Qwen/Qwen3-8B,RedHatAI/Qwen3-8B-speculator.eagle3,public_hf,32,1,1000,512,5349.5400,7121.3400,1.3312,,acceptance not emitted by this original K=1 static sweep
Qwen3-8B,synthetic_static,Qwen/Qwen3-8B,RedHatAI/Qwen3-8B-speculator.eagle3,public_hf,1,3,1000,512,245.6800,434.4500,1.7684,,acceptance not emitted by this original K=3 static sweep
Qwen3-8B,synthetic_static,Qwen/Qwen3-8B,RedHatAI/Qwen3-8B-speculator.eagle3,public_hf,2,3,1000,512,482.6200,437.3500,0.9062,,acceptance not emitted by this original K=3 static sweep
Qwen3-8B,synthetic_static,Qwen/Qwen3-8B,RedHatAI/Qwen3-8B-speculator.eagle3,public_hf,4,3,1000,512,855.5000,1716.5600,2.0065,,acceptance not emitted by this original K=3 static sweep
Qwen3-8B,synthetic_static,Qwen/Qwen3-8B,RedHatAI/Qwen3-8B-speculator.eagle3,public_hf,8,3,1000,512,1792.2700,3372.1700,1.8815,,acceptance not emitted by this original K=3 static sweep
