job_id,model,mode,method,max_steps,max_new_tokens,min_tokens,temperature,top_p,top_k,target_model,draft_model,num_speculative_tokens,num_nodes,gpus_per_node,segment,gres_flag,use_system_env,ray_use_existing_env,system_pydeps_site,config,run_id,remote_repo,container,log_dir
2152346,qwen235b,sync,baseline,20,8192,default,1.0,1.0,-1,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-235B-A22B/snapshots/8efa61729e24bd65b1d152b5ab5409052aa80e65,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-235B-A22B/snapshots/8efa61729e24bd65b1d152b5ab5409052aa80e65,0,32,4,16,none,true,true,,examples/configs/recipes/llm/performance/grpo-qwen3-235b-32n4g.yaml,20260618_lyris_nemorl_qwen235b_alltoall_fuselosstrue_step20_after_smoke,/project/coreai_dlalgo_llm/users/sna/RL-latest-main-canary-20260618,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen235b_alltoall_fuselosstrue_step20_after_smoke/logs/qwen235b_sync_baseline
2152347,qwen235b,sync,eagle3,20,8192,default,1.0,1.0,-1,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-235B-A22B/snapshots/8efa61729e24bd65b1d152b5ab5409052aa80e65,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--nvidia--Qwen3-235B-A22B-Eagle3/snapshots/33f3c01ce807376d1171301b9a148b1b28f239ba,3,32,4,16,none,true,true,,examples/configs/recipes/llm/performance/grpo-qwen3-235b-32n4g.yaml,20260618_lyris_nemorl_qwen235b_alltoall_fuselosstrue_step20_after_smoke,/project/coreai_dlalgo_llm/users/sna/RL-latest-main-canary-20260618,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen235b_alltoall_fuselosstrue_step20_after_smoke/logs/qwen235b_sync_eagle3
2152348,qwen235b,sync,suffix,20,8192,default,1.0,1.0,-1,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-235B-A22B/snapshots/8efa61729e24bd65b1d152b5ab5409052aa80e65,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-235B-A22B/snapshots/8efa61729e24bd65b1d152b5ab5409052aa80e65,32,32,4,16,none,true,true,,examples/configs/recipes/llm/performance/grpo-qwen3-235b-32n4g.yaml,20260618_lyris_nemorl_qwen235b_alltoall_fuselosstrue_step20_after_smoke,/project/coreai_dlalgo_llm/users/sna/RL-latest-main-canary-20260618,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen235b_alltoall_fuselosstrue_step20_after_smoke/logs/qwen235b_sync_suffix
2152349,qwen235b,sync,pard,20,8192,default,1.0,1.0,-1,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-235B-A22B/snapshots/8efa61729e24bd65b1d152b5ab5409052aa80e65,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--amd--PARD-Qwen3-0.6B/snapshots/34e73caf94c021c3d4b8bad86ebd3616850ab4fd,11,32,4,16,none,true,true,,examples/configs/recipes/llm/performance/grpo-qwen3-235b-32n4g.yaml,20260618_lyris_nemorl_qwen235b_alltoall_fuselosstrue_step20_after_smoke,/project/coreai_dlalgo_llm/users/sna/RL-latest-main-canary-20260618,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen235b_alltoall_fuselosstrue_step20_after_smoke/logs/qwen235b_sync_pard
2152350,qwen235b,sync,pard2,20,8192,default,1.0,1.0,-1,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-235B-A22B/snapshots/8efa61729e24bd65b1d152b5ab5409052aa80e65,amd/PARD2-Qwen3-8B,11,32,4,16,none,true,true,,examples/configs/recipes/llm/performance/grpo-qwen3-235b-32n4g.yaml,20260618_lyris_nemorl_qwen235b_alltoall_fuselosstrue_step20_after_smoke,/project/coreai_dlalgo_llm/users/sna/RL-latest-main-canary-20260618,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen235b_alltoall_fuselosstrue_step20_after_smoke/logs/qwen235b_sync_pard2
2152351,qwen235b,async1off,baseline,20,8192,default,1.0,1.0,-1,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-235B-A22B/snapshots/8efa61729e24bd65b1d152b5ab5409052aa80e65,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-235B-A22B/snapshots/8efa61729e24bd65b1d152b5ab5409052aa80e65,0,32,4,16,none,true,true,,examples/configs/recipes/llm/performance/grpo-qwen3-235b-32n4g-async-1off.yaml,20260618_lyris_nemorl_qwen235b_alltoall_fuselosstrue_step20_after_smoke,/project/coreai_dlalgo_llm/users/sna/RL-latest-main-canary-20260618,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen235b_alltoall_fuselosstrue_step20_after_smoke/logs/qwen235b_async1off_baseline
2152352,qwen235b,async1off,eagle3,20,8192,default,1.0,1.0,-1,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-235B-A22B/snapshots/8efa61729e24bd65b1d152b5ab5409052aa80e65,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--nvidia--Qwen3-235B-A22B-Eagle3/snapshots/33f3c01ce807376d1171301b9a148b1b28f239ba,3,32,4,16,none,true,true,,examples/configs/recipes/llm/performance/grpo-qwen3-235b-32n4g-async-1off.yaml,20260618_lyris_nemorl_qwen235b_alltoall_fuselosstrue_step20_after_smoke,/project/coreai_dlalgo_llm/users/sna/RL-latest-main-canary-20260618,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen235b_alltoall_fuselosstrue_step20_after_smoke/logs/qwen235b_async1off_eagle3
2152353,qwen235b,async1off,suffix,20,8192,default,1.0,1.0,-1,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-235B-A22B/snapshots/8efa61729e24bd65b1d152b5ab5409052aa80e65,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-235B-A22B/snapshots/8efa61729e24bd65b1d152b5ab5409052aa80e65,32,32,4,16,none,true,true,,examples/configs/recipes/llm/performance/grpo-qwen3-235b-32n4g-async-1off.yaml,20260618_lyris_nemorl_qwen235b_alltoall_fuselosstrue_step20_after_smoke,/project/coreai_dlalgo_llm/users/sna/RL-latest-main-canary-20260618,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen235b_alltoall_fuselosstrue_step20_after_smoke/logs/qwen235b_async1off_suffix
2152354,qwen235b,async1off,pard,20,8192,default,1.0,1.0,-1,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-235B-A22B/snapshots/8efa61729e24bd65b1d152b5ab5409052aa80e65,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--amd--PARD-Qwen3-0.6B/snapshots/34e73caf94c021c3d4b8bad86ebd3616850ab4fd,11,32,4,16,none,true,true,,examples/configs/recipes/llm/performance/grpo-qwen3-235b-32n4g-async-1off.yaml,20260618_lyris_nemorl_qwen235b_alltoall_fuselosstrue_step20_after_smoke,/project/coreai_dlalgo_llm/users/sna/RL-latest-main-canary-20260618,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen235b_alltoall_fuselosstrue_step20_after_smoke/logs/qwen235b_async1off_pard
2152355,qwen235b,async1off,pard2,20,8192,default,1.0,1.0,-1,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-235B-A22B/snapshots/8efa61729e24bd65b1d152b5ab5409052aa80e65,amd/PARD2-Qwen3-8B,11,32,4,16,none,true,true,,examples/configs/recipes/llm/performance/grpo-qwen3-235b-32n4g-async-1off.yaml,20260618_lyris_nemorl_qwen235b_alltoall_fuselosstrue_step20_after_smoke,/project/coreai_dlalgo_llm/users/sna/RL-latest-main-canary-20260618,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen235b_alltoall_fuselosstrue_step20_after_smoke/logs/qwen235b_async1off_pard2
