job_id,cluster,purpose,model,mode,method,max_steps,max_new_tokens,enforce_eager,config,num_nodes,gpus_per_node,segment,gres_flag,account,partition,container,remote_repo,commit,run_root,wandb_project,wandb_name,state,notes
2250390,lyris,stage_nightly_container,,,,,,,scripts/submit_nemorl_nightly_container_download.sh,1,4,1,none,coreai_dlalgo_llm,gb200,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly_20260701.sqsh,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers,,,COMPLETED,"Imported current nvcr.io/nvidian/nemo-rl:nightly in 36m51s and updated active symlink after validation"
2250400,lyris,performance_recipe_smoke,Qwen3-30B-A3B,sync,baseline,1,4096,false,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g.yaml,4,4,4,none,coreai_dlalgo_llm,gb200,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-780f483a-20260701,780f483aeba7ad0bcbbcb1217de8f3a86794bf20,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260701_lyris_qwen30_sync_baseline_cudagraph_smoke1,sna-nemorl-specdec-lyris,qwen30ba3b_perfcfg_sync_baseline_recipeosl_cudagraph_smoke1_20260701,CANCELLED,"Superseded before start by matched scheduler-limit run 2250524"
2250401,lyris,performance_recipe_smoke,Qwen3-30B-A3B,sync,pard_k16,1,4096,false,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g.yaml,4,4,4,none,coreai_dlalgo_llm,gb200,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-780f483a-20260701,780f483aeba7ad0bcbbcb1217de8f3a86794bf20,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260701_lyris_qwen30_sync_pardk16_cudagraph_smoke1,sna-nemorl-specdec-lyris,qwen30ba3b_perfcfg_sync_pardk16_recipeosl_cudagraph_smoke1_20260701,CANCELLED,"Superseded before start by matched scheduler-limit run 2250525"
2250402,lyris,performance_recipe_smoke,Qwen3-30B-A3B,sync,eagle3_k5,1,4096,false,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g.yaml,4,4,4,none,coreai_dlalgo_llm,gb200,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-780f483a-20260701,780f483aeba7ad0bcbbcb1217de8f3a86794bf20,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260701_lyris_qwen30_sync_eagle3k5_cudagraph_smoke1,sna-nemorl-specdec-lyris,qwen30ba3b_perfcfg_sync_eagle3k5_recipeosl_cudagraph_smoke1_20260701,CANCELLED,"Superseded before start by matched scheduler-limit run 2250523"
2250523,lyris,performance_recipe_smoke,Qwen3-30B-A3B,sync,eagle3_k5,1,4096,false,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g.yaml,4,4,4,none,coreai_dlalgo_llm,gb200,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-780f483a-20260701,4b857d4b2a228aa2354e4020b241b85aaab84228,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260701_lyris_qwen30_sync_eagle3k5_cudagraph_mnbt32768_seq128_smoke1,sna-nemorl-specdec-lyris,qwen30ba3b_perfcfg_sync_eagle3k5_recipeosl_cudagraph_mnbt32768_seq128_smoke1_20260701,CANCELLED,"Cancelled after 6m23s: four nodes and three concurrent jobs were writing the same actor venv; superseded by c8ed7fad lock fix"
2250524,lyris,performance_recipe_smoke,Qwen3-30B-A3B,sync,baseline,1,4096,false,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g.yaml,4,4,4,none,coreai_dlalgo_llm,gb200,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-780f483a-20260701,4b857d4b2a228aa2354e4020b241b85aaab84228,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260701_lyris_qwen30_sync_baseline_cudagraph_mnbt32768_seq128_smoke1,sna-nemorl-specdec-lyris,qwen30ba3b_perfcfg_sync_baseline_recipeosl_cudagraph_mnbt32768_seq128_smoke1_20260701,CANCELLED,"Cancelled after 6m23s: four nodes and three concurrent jobs were writing the same actor venv; superseded by c8ed7fad lock fix"
2250525,lyris,performance_recipe_smoke,Qwen3-30B-A3B,sync,pard_k16,1,4096,false,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g.yaml,4,4,4,none,coreai_dlalgo_llm,gb200,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-780f483a-20260701,4b857d4b2a228aa2354e4020b241b85aaab84228,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260701_lyris_qwen30_sync_pardk16_cudagraph_mnbt32768_seq128_smoke1,sna-nemorl-specdec-lyris,qwen30ba3b_perfcfg_sync_pardk16_recipeosl_cudagraph_mnbt32768_seq128_smoke1_20260701,CANCELLED,"Cancelled after 6m23s: four nodes and three concurrent jobs were writing the same actor venv; superseded by c8ed7fad lock fix"
2250587,lyris,performance_recipe_smoke,Qwen3-30B-A3B,sync,pard_k16,1,4096,false,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g.yaml,4,4,4,none,coreai_dlalgo_llm,gb200,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-780f483a-20260701,c8ed7fad3c7b9b51ec815b08bd87d4c76b9ececb,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260701_lyris_qwen30_sync_pardk16_cudagraph_mnbt32768_seq128_venvlock_smoke1,sna-nemorl-specdec-lyris,qwen30ba3b_perfcfg_sync_pardk16_recipeosl_cudagraph_mnbt32768_seq128_venvlock_smoke1_20260701,FAILED,"W&B https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/aq94penn; actor-venv lock worked and engine startup was reached; vLLM 0.20 ignored the legacy attention env, auto-selected FlashInfer, and failed on a stale JIT source path"
2250621,lyris,performance_recipe_smoke,Qwen3-30B-A3B,sync,baseline,1,4096,false,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g.yaml,4,4,4,none,coreai_dlalgo_llm,gb200,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-780f483a-20260701,c8ed7fad3c7b9b51ec815b08bd87d4c76b9ececb,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260701_lyris_qwen30_sync_baseline_cudagraph_mnbt32768_seq128_venvlock_smoke1,sna-nemorl-specdec-lyris,qwen30ba3b_perfcfg_sync_baseline_recipeosl_cudagraph_mnbt32768_seq128_venvlock_smoke1_20260701,FAILED,"W&B https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/lalgy6nx; pre-explicit-attention control auto-selected FlashInfer and is not comparable"
2250622,lyris,performance_recipe_smoke,Qwen3-30B-A3B,sync,eagle3_k5,1,4096,false,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g.yaml,4,4,4,none,coreai_dlalgo_llm,gb200,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-780f483a-20260701,c8ed7fad3c7b9b51ec815b08bd87d4c76b9ececb,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260701_lyris_qwen30_sync_eagle3k5_cudagraph_mnbt32768_seq128_venvlock_smoke1,sna-nemorl-specdec-lyris,qwen30ba3b_perfcfg_sync_eagle3k5_recipeosl_cudagraph_mnbt32768_seq128_venvlock_smoke1_20260701,FAILED,"W&B https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/njzkekm3; pre-explicit-attention control auto-selected FlashInfer and is not comparable"
