job_id,label,step_filter,steps,completed_steps,incomplete_steps,first_step,last_step,max_steps,completed_step_span,incomplete_step_span,partial_result_state,draft_training_enabled_steps,draft_refit_steps,error_count_sum,latest_error,vllm_accepted_tokens_sum_weighted,vllm_drafted_tokens_sum_weighted,vllm_token_acceptance_pct,log_path,total_step_time_s_mean,generation_time_s_mean,policy_training_time_s_mean,policy_and_reference_logprobs_time_s_mean,prepare_for_generation_total_s_mean,e2e_tokens_per_sec_per_gpu_mean,generation_worker_tokens_per_sec_per_gpu_mean,policy_training_tokens_per_sec_per_gpu_mean,policy_logprobs_tokens_per_sec_per_gpu_mean,mean_generation_length_mean,draft_loss_mean,generation_kl_error_mean,avg_reward_mean,vllm_acceptance_rate_pct_mean_weighted_mean,vllm_acceptance_length_mean_weighted_mean,vllm_acceptance_rate_pos1_weighted_mean,vllm_acceptance_rate_pos2_weighted_mean,vllm_acceptance_rate_pos3_weighted_mean,vllm_acceptance_rate_pos4_weighted_mean,vllm_acceptance_rate_pos5_weighted_mean
2182145,qwen30_sync_baseline_eagerfalse,step>=2,19,19,0,2,20,20,2-20,,partial_usable_with_errors,0,0,4,"[rank5]:[W623 04:07:07.888991578 ProcessGroupNCCL.cpp:1826] [PG ID 0 PG GUID 0(default_pg) Rank 5] Failed to check the ""should dump"" flag on TCPStore, (maybe TCPStore server has shut down too early), with error: Connection reset by peer",,,,tmp/lyris_20260623_current_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260622_lyris_nemorl_perfcfg_eagerfalse_triton_mnbt32768_maxseq64_core_step20_recipe_osl_temp1_wandb/logs/qwen30ba3b_sync_baseline/2182145-logs/ray-driver.log,249.4521052631579,100.94894736842105,94.37842105263158,45.27368421052632,6.832105263157895,1647.1705263157896,4071.9005263157896,4355.176842105263,9085.257894736842,3101.361336842105,,0.0019105263157894736,0.5221736842105263,,,,,,,
2182146,qwen30_sync_pardk16_eagerfalse,step>=2,19,19,0,2,20,20,2-20,,partial_usable,0,0,0,,83633723.0,662609456.0,12.621872845714414,tmp/lyris_20260623_current_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260622_lyris_nemorl_perfcfg_eagerfalse_triton_mnbt32768_maxseq64_core_step20_recipe_osl_temp1_wandb/logs/qwen30ba3b_sync_pard/2182146-logs/ray-driver.log,436.3152631578947,283.6689473684211,96.46368421052631,46.019473684210524,7.611578947368422,944.0973684210526,1464.235263157895,4266.153157894737,8916.365789473684,3093.9292578947366,,0.001905263157894737,0.5239052631578948,11.898311850263726,2.9036404357924814,0.5689901290258996,0.37408381389550643,0.26388975048044006,0.1925701841686178,0.14294794216665022
2182147,qwen30_sync_eagle3k5_eagerfalse,step>=2,19,19,0,2,20,20,2-20,,partial_usable,0,0,0,,94853577.0,192443150.0,49.289141754331084,tmp/lyris_20260623_current_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260622_lyris_nemorl_perfcfg_eagerfalse_triton_mnbt32768_maxseq64_core_step20_recipe_osl_temp1_wandb/logs/qwen30ba3b_sync_eagle3/2182147-logs/ray-driver.log,207.45000000000002,57.991052631578945,94.0621052631579,46.073157894736845,7.1352631578947365,1982.5842105263157,7112.582105263158,4374.854210526316,8929.007368421053,3101.0226263157897,,0.0019105263157894736,0.5234105263157895,48.7596341933048,3.4373791528121047,0.7549411809264892,0.5861497228893962,0.4578257783775642,0.35812369814116024,0.2805337056288958
2182148,qwen30_sync_suffixk32_eagerfalse,step>=2,19,19,0,2,20,20,2-20,,partial_usable,0,0,0,,71688873.0,322899481.0,22.201606759473236,tmp/lyris_20260623_current_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260622_lyris_nemorl_perfcfg_eagerfalse_triton_mnbt32768_maxseq64_core_step20_recipe_osl_temp1_wandb/logs/qwen30ba3b_sync_suffix/2182148-logs/ray-driver.log,329.2215789473684,166.53315789473686,103.41368421052633,48.46526315789474,8.167368421052632,1240.6336842105263,2457.8484210526317,3950.912631578947,8433.521578947368,3081.066263157895,,0.001905263157894737,0.5217263157894737,25.345246400391698,2.3086242969968085,0.45942186313901906,0.27420261487249453,0.17555103069092007,0.11757280144613003,0.08191391163357357
2182149,qwen30_async_baseline_eagerfalse,step>=2,19,19,0,2,20,20,2-20,,partial_usable_with_errors,0,0,2,"[rank0]:[W623 07:51:11.562082272 ProcessGroupNCCL.cpp:1575] Warning: WARNING: destroy_process_group() was not called before program exit, which can leak resources. For more info, please see https://pytorch.org/docs/stable/distributed.html#shutdown (function operator()) [repeated 7x across cluster]WA",,,,tmp/lyris_20260623_current_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260622_lyris_nemorl_perfcfg_eagerfalse_triton_mnbt32768_maxseq64_core_step20_recipe_osl_temp1_wandb/logs/qwen30ba3b_async1off_baseline/2182149-logs/ray-driver.log,301.11842105263156,,208.3205263157895,84.92157894736842,,1378.1931578947367,2815.7152631578947,3984.5389473684213,9774.928421052633,,,0.0018894736842105264,0.5252263157894737,,,,,,,
2182151,qwen30_async_eagle3k5_eagerfalse,step>=2,19,19,0,2,20,20,2-20,,partial_usable_with_errors,0,0,2,"[rank0]:[W623 11:00:46.505325420 ProcessGroupNCCL.cpp:1575] Warning: WARNING: destroy_process_group() was not called before program exit, which can leak resources. For more info, please see https://pytorch.org/docs/stable/distributed.html#shutdown (function operator()) [repeated 7x across cluster]",,,,tmp/lyris_20260623_current_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260622_lyris_nemorl_perfcfg_eagerfalse_triton_mnbt32768_maxseq64_core_step20_recipe_osl_temp1_wandb/logs/qwen30ba3b_async1off_eagle3/2182151-logs/ray-driver.log,298.0652631578947,,206.09736842105264,84.07157894736842,,1392.2684210526315,2844.513684210526,4027.75,9872.966315789474,,,0.001894736842105263,0.5231105263157895,,,,,,,
2191503,qwen30_sync_baseline_eagertrue,step>=2,19,18,1,2,20,20,2-19,20,partial_usable,0,0,0,,,,,tmp/lyris_20260623_current_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260623_lyris_nemorl_perfcfg_cudagraph_off_eagertrue_wandb_best_positive_qwen30_sync/logs/qwen30ba3b_sync_baseline/2191503-logs/ray-driver.log,413.9616666666667,262.875,95.42333333333335,45.705,7.754444444444445,994.1283333333334,1566.9205555555554,4312.735,9015.717777777778,3104.134988888889,,0.0019055555555555553,0.5237666666666666,,,,,,,
2191504,qwen30_sync_eagle3k9_eagertrue_live,step>=2,18,17,1,2,19,20,2-18,19,partial_usable,0,0,0,,79907782.0,250587184.0,31.888215799575768,tmp/lyris_20260623_current_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260623_lyris_nemorl_perfcfg_cudagraph_off_eagertrue_wandb_best_positive_qwen30_sync/logs/qwen30ba3b_sync_eagle3/2191504-logs/ray-driver.log,301.06882352941176,134.07411764705884,109.23647058823529,46.254705882352944,8.721176470588235,1362.949411764706,3066.5176470588235,3772.6758823529412,8867.487647058824,3090.633288235294,,0.001888235294117647,0.5256941176470589,28.116171168513944,3.529262621549174,0.648117157384127,0.4940067113911735,0.3799297525153339,0.2930583068015072,0.22708408768710647
2191506,qwen30_async_baseline_eagertrue_live,step>=2,6,5,1,2,7,20,2-6,7,partial_usable,0,0,0,,,,,tmp/lyris_20260623_current_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260623_lyris_nemorl_perfcfg_cudagraph_off_eagertrue_wandb_best_positive_qwen30_async/logs/qwen30ba3b_async1off_baseline/2191506-logs/ray-driver.log,435.38599999999997,,258.534,100.976,,959.842,1957.248,3175.018,8142.282000000001,,,0.00196,0.52218,,,,,,,
2191507,qwen30_async_eagle3k9_eagertrue_live,step>=2,7,6,1,2,8,20,2-7,8,partial_usable,0,0,0,,,,,tmp/lyris_20260623_current_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260623_lyris_nemorl_perfcfg_cudagraph_off_eagertrue_wandb_best_positive_qwen30_async/logs/qwen30ba3b_async1off_eagle3/2191507-logs/ray-driver.log,358.92333333333335,,253.89499999999998,92.16333333333334,,1158.7116666666668,2370.733333333333,3273.036666666667,9037.025,,,0.0019166666666666666,0.5129499999999999,,,,,,,
