job_id,label,model,mode,method,state,exit_code,elapsed,nodes,nodelist,job_name,max_steps,max_osl
2150856,,,,,FAILED,1:0,00:01:38,16,lyris[0145-0160],online-qwen235b-latestmain-forcevenv-r9-N16xG4,20,unknown
2150859,,,,,COMPLETED,0:0,00:01:06,1,lyris0234,bash,20,unknown
2150860,,,,,COMPLETED,0:0,00:00:59,1,lyris0234,bash,20,unknown
2150863,,,,,CANCELLED by 2001147693,0:0,00:01:25,1,lyris0126,coreai_dlalgo_llm-nrl-interactive-debug,20,unknown
2150866,,,,,CANCELLED by 2001147693,0:0,00:06:13,1,lyris[0179-0180],coreai_dlalgo_llm-nrl-interactive-debug2n,20,unknown
2150867,,,,,CANCELLED by 2001147693,0:0,00:05:42,1,lyris0234,bash,20,unknown
2150877,,,,,CANCELLED by 2001147693,0:0,00:05:07,4,lyris[0134-0137],online-qwen30ba3b-perfcfg-sync-baseline-step1-osl128-temp1.0-N4xG4,1,128
2150881,,,,,FAILED,1:0,00:00:48,1,lyris0179,coreai_dlalgo_llm-nrl.rawopt.import,20,unknown
2150883,,,,,COMPLETED,0:0,00:01:11,1,lyris0179,coreai_dlalgo_llm-nrl.rawopt.import2,20,unknown
2150885,,,,,FAILED,1:0,00:18:32,4,lyris[0134-0137],online-qwen30ba3b-perfcfg-sync-baseline-step1-osl128-temp1.0-N4xG4,1,128
2150887,,,,,CANCELLED by 2001147693,0:0,01:53:09,1,lyris[0138-0141],coreai_dlalgo_llm-nrl.reference.interactive,20,unknown
2150900,,,,,CANCELLED by 2001147693,0:0,00:01:12,4,lyris[0152-0155],online-qwen30ba3b-perfcfg-sync-baseline-step20-osl1024-temp1.0-N4xG4,20,1024
2150901,,,,,CANCELLED by 2001147693,0:0,00:01:12,4,lyris[0156-0159],online-qwen30ba3b-perfcfg-sync-pard-step20-osl1024-temp1.0-N4xG4,20,1024
2150902,,,,,FAILED,2:0,00:01:05,4,lyris[0217-0220],online-qwen30ba3b-perfcfg-sync-pard2-step20-osl1024-temp1.0-N4xG4,20,1024
2150903,,,,,CANCELLED by 2001147693,0:0,00:01:12,4,lyris[0221-0224],online-qwen30ba3b-perfcfg-sync-eagle3-step20-osl1024-temp1.0-N4xG4,20,1024
2150904,,,,,CANCELLED by 2001147693,0:0,00:01:12,4,lyris[0225-0228],online-qwen30ba3b-perfcfg-sync-suffix-step20-osl1024-temp1.0-N4xG4,20,1024
2150911,,,,,CANCELLED by 2001147693,0:0,00:00:01,4,lyris[0134-0137],online-qwen30ba3b-perfcfg-sync-baseline-step1-osl64-temp1.0-N4xG4,1,64
2151117,,,,,COMPLETED,0:0,01:08:03,4,"lyris[0221-0223,0225]",online-qwen30ba3b-perfcfg-async1off-baseline-step20-osl1024-temp1.0-N4xG4,20,1024
2151118,,,,,COMPLETED,0:0,00:58:30,4,"lyris[0219,0224,0226-0227]",online-qwen30ba3b-perfcfg-async1off-eagle3-step20-osl1024-temp1.0-N4xG4,20,1024
2151251,,,,,COMPLETED,0:0,00:51:17,4,lyris[0212-0215],online-qwen30ba3b-perfcfg-async1off-suffix-step20-osl1024-temp1.0-N4xG4,20,1024
2151272,,,,,COMPLETED,0:0,01:00:07,4,"lyris[0117-0118,0121,0126]",online-qwen30ba3b-perfcfg-async1off-pard-step20-osl1024-temp1.0-N4xG4,20,1024
2151318,,,,,CANCELLED by 2001147693,0:0,00:07:12,1,"lyris[0130-0131,0134-0135]",coreai_dlalgo_llm-nrl.reference.interactive,20,unknown
2151356,,,,,COMPLETED,0:0,00:58:51,4,"lyris[0130-0131,0134-0135]",online-qwen32-perfcfg-sync-baseline-step20-osl1024-temp1.0-N4xG4,20,1024
2151357,,,,,COMPLETED,0:0,00:51:35,4,lyris[0235-0238],online-qwen32-perfcfg-sync-eagle3-step20-osl1024-temp1.0-N4xG4,20,1024
2151358,,,,,COMPLETED,0:0,00:59:49,4,lyris[0273-0276],online-qwen32-perfcfg-sync-suffix-step20-osl1024-temp1.0-N4xG4,20,1024
2151359,,,,,COMPLETED,0:0,00:52:42,4,"lyris[0253-0254,0256-0257]",online-qwen32-perfcfg-sync-pard-step20-osl1024-temp1.0-N4xG4,20,1024
2151364,,,,,COMPLETED,0:0,00:36:59,8,"lyris[0136-0142,0144]",online-qwen32-perfcfg-async1off-baseline-step20-osl1024-temp1.0-N8xG4,20,1024
2151365,,,,,COMPLETED,0:0,00:30:54,8,lyris[0039-0046],online-qwen32-perfcfg-async1off-eagle3-step20-osl1024-temp1.0-N8xG4,20,1024
2151366,,,,,COMPLETED,0:0,00:34:34,8,lyris[0146-0153],online-qwen32-perfcfg-async1off-suffix-step20-osl1024-temp1.0-N8xG4,20,1024
2151367,,,,,COMPLETED,0:0,00:31:09,8,"lyris[0091,0093-0099]",online-qwen32-perfcfg-async1off-pard-step20-osl1024-temp1.0-N8xG4,20,1024
2151391,,,,,COMPLETED,0:0,00:53:16,4,lyris[0074-0077],online-qwen30ba3b-perfcfg-sync-baseline-step20-osl1024-temp1.0-N4xG4,20,1024
2151392,,,,,COMPLETED,0:0,00:45:41,4,"lyris[0112-0114,0120]",online-qwen30ba3b-perfcfg-sync-eagle3-step20-osl1024-temp1.0-N4xG4,20,1024
2151393,,,,,COMPLETED,0:0,00:50:07,4,lyris[0047-0050],online-qwen30ba3b-perfcfg-sync-suffix-step20-osl1024-temp1.0-N4xG4,20,1024
2151394,,,,,COMPLETED,0:0,00:46:14,4,lyris[0051-0054],online-qwen30ba3b-perfcfg-sync-pard-step20-osl1024-temp1.0-N4xG4,20,1024
2151395,,,,,FAILED,1:0,00:21:01,32,"lyris[0020-0033,0035-0036,0163-0178]",online-qwen235b-perfcfg-sync-baseline-step20-osl1024-temp1.0-N32xG4,20,1024
2151396,,,,,CANCELLED by 2001147693,0:0,00:05:14,32,"lyris[0055-0070,0145-0160]",online-qwen235b-perfcfg-sync-eagle3-step20-osl1024-temp1.0-N32xG4,20,1024
2151397,,,,,CANCELLED by 2001147693,0:0,00:03:14,32,"lyris[0235-0239,0241,0243-0268]",online-qwen235b-perfcfg-sync-suffix-step20-osl1024-temp1.0-N32xG4,20,1024
2151398,,,,,CANCELLED by 2001147693,0:0,00:00:00,32,None assigned,online-qwen235b-perfcfg-sync-pard-step20-osl1024-temp1.0-N32xG4,20,1024
2151399,,,,,CANCELLED by 2001147693,0:0,00:00:00,32,None assigned,online-qwen235b-perfcfg-sync-pard2-step20-osl1024-temp1.0-N32xG4,20,1024
2151400,,,,,CANCELLED by 2001147693,0:0,00:00:00,32,None assigned,online-qwen235b-perfcfg-async1off-baseline-step20-osl1024-temp1.0-N32xG4,20,1024
2151401,,,,,CANCELLED by 2001147693,0:0,00:00:00,32,None assigned,online-qwen235b-perfcfg-async1off-eagle3-step20-osl1024-temp1.0-N32xG4,20,1024
2151402,,,,,CANCELLED by 2001147693,0:0,00:00:00,32,None assigned,online-qwen235b-perfcfg-async1off-suffix-step20-osl1024-temp1.0-N32xG4,20,1024
2151403,,,,,CANCELLED by 2001147693,0:0,00:00:00,32,None assigned,online-qwen235b-perfcfg-async1off-pard-step20-osl1024-temp1.0-N32xG4,20,1024
2151404,,,,,CANCELLED by 2001147693,0:0,00:00:00,32,None assigned,online-qwen235b-perfcfg-async1off-pard2-step20-osl1024-temp1.0-N32xG4,20,1024
2151544,,,,,FAILED,1:0,00:21:21,32,"lyris[0235-0239,0241,0243-0268]",online-qwen235b-perfcfg-sync-baseline-step3-osl1024-temp1.0-N32xG4,3,1024
2151568,,,,,FAILED,1:0,00:21:49,32,"lyris[0235-0239,0241,0243-0268]",online-qwen235b-perfcfg-sync-baseline-step3-osl1024-temp1.0-N32xG4,3,1024
2151596,,,,,FAILED,1:0,00:03:00,32,"lyris[0019-0033,0035,0235-0239,0241,0243-0252]",online-qwen235b-perfcfg-sync-baseline-step3-osl1024-temp1.0-N32xG4,3,1024
2151619,,,,,FAILED,1:0,00:19:35,32,"lyris[0019-0033,0035,0271-0286]",online-qwen235b-perfcfg-sync-baseline-step3-osl1024-temp1.0-N32xG4,3,1024
2151639,,,,,FAILED,1:0,00:38:51,32,"lyris[0235-0239,0241,0243-0252,0271-0286]",online-qwen235b-perfcfg-sync-baseline-step3-osl1024-temp1.0-N32xG4,3,1024
2151659,,,,,FAILED,1:0,00:36:34,32,"lyris[0235-0239,0241,0243-0252,0271-0286]",online-qwen235b-perfcfg-sync-baseline-step3-osl1024-temp1.0-N32xG4,3,1024
2152047,,,,,FAILED,1:0,00:10:46,32,"lyris[0145-0148,0150,0152-0162,0217-0225,0227-0233]",online-qwen235b-perfcfg-sync-baseline-step3-osl1024-temp1.0-N32xG4,3,1024
2152060,,,,,CANCELLED by 2001147693,0:0,00:40:16,32,"lyris[0235-0239,0241,0243-0252,0271-0286]",online-qwen235b-perfcfg-sync-baseline-step3-osl1024-temp1.0-N32xG4,3,1024
2152097,,,,,CANCELLED by 2001147693,0:0,00:13:25,32,"lyris[0020-0033,0035-0036,0200-0209,0211-0216]",online-qwen235b-perfcfg-sync-baseline-step20-osl1024-temp1.0-N32xG4,20,1024
2152098,,,,,CANCELLED by 2001147693,0:0,00:13:24,32,"lyris[0091-0096,0098-0107,0217-0225,0227-0233]",online-qwen235b-perfcfg-sync-eagle3-step20-osl1024-temp1.0-N32xG4,20,1024
2152099,,,,,CANCELLED by 2001147693,0:0,00:00:00,32,None assigned,online-qwen235b-perfcfg-sync-suffix-step20-osl1024-temp1.0-N32xG4,20,1024
2152100,,,,,CANCELLED by 2001147693,0:0,00:00:00,32,None assigned,online-qwen235b-perfcfg-sync-pard-step20-osl1024-temp1.0-N32xG4,20,1024
2152101,,,,,CANCELLED by 2001147693,0:0,00:00:00,32,None assigned,online-qwen235b-perfcfg-sync-pard2-step20-osl1024-temp1.0-N32xG4,20,1024
2152102,,,,,CANCELLED by 2001147693,0:0,00:00:00,32,None assigned,online-qwen235b-perfcfg-async1off-baseline-step20-osl1024-temp1.0-N32xG4,20,1024
2152103,,,,,CANCELLED by 2001147693,0:0,00:00:00,32,None assigned,online-qwen235b-perfcfg-async1off-eagle3-step20-osl1024-temp1.0-N32xG4,20,1024
2152104,,,,,CANCELLED by 2001147693,0:0,00:00:00,32,None assigned,online-qwen235b-perfcfg-async1off-suffix-step20-osl1024-temp1.0-N32xG4,20,1024
2152105,,,,,CANCELLED by 2001147693,0:0,00:00:00,32,None assigned,online-qwen235b-perfcfg-async1off-pard-step20-osl1024-temp1.0-N32xG4,20,1024
2152106,,,,,CANCELLED by 2001147693,0:0,00:00:00,32,None assigned,online-qwen235b-perfcfg-async1off-pard2-step20-osl1024-temp1.0-N32xG4,20,1024
2152110,,,,,CANCELLED by 2001147693,0:0,00:11:23,4,lyris[0074-0077],online-qwen30ba3b-perfcfg-sync-pard-step20-osl1024-temp1.0-N4xG4,20,1024
2152111,,,,,CANCELLED by 2001147693,0:0,00:02:49,4,lyris[0082-0085],online-qwen30ba3b-perfcfg-async1off-pard-step20-osl1024-temp1.0-N4xG4,20,1024
2152112,,,,,CANCELLED by 2001147693,0:0,00:00:00,4,None assigned,online-qwen32-perfcfg-sync-pard-step20-osl1024-temp1.0-N4xG4,20,1024
2152113,,,,,CANCELLED by 2001147693,0:0,00:11:23,8,"lyris[0110-0111,0113-0114,0117-0118,0120-0121]",online-qwen32-perfcfg-async1off-pard-step20-osl1024-temp1.0-N8xG4,20,1024
2152121,,,,,FAILED,1:0,00:03:38,32,"lyris[0056-0071,0253-0268]",online-qwen235b-perfcfg-sync-baseline-step20-osl8192-temp1.0-N32xG4,20,8192
2152122,,,,,FAILED,1:0,00:02:42,32,"lyris[0200-0209,0211-0216,0271-0286]",online-qwen235b-perfcfg-sync-eagle3-step20-osl8192-temp1.0-N32xG4,20,8192
2152123,,,,,FAILED,1:0,00:03:34,32,"lyris[0145-0160,0163-0178]",online-qwen235b-perfcfg-sync-suffix-step20-osl8192-temp1.0-N32xG4,20,8192
2152124,,,,,CANCELLED by 2001147693,0:0,00:01:37,32,"lyris[0056-0071,0253-0268]",online-qwen235b-perfcfg-sync-pard-step20-osl8192-temp1.0-N32xG4,20,8192
