job_id,label,step,max_steps,status,loss,draft_training_enabled,draft_refit_this_step,draft_loss,generation_kl_error,avg_reward,total_step_time_s,generation_time_s,policy_training_time_s,policy_and_reference_logprobs_time_s,prepare_for_generation_total_s,e2e_tokens_per_sec_per_gpu,generation_worker_tokens_per_sec_per_gpu,policy_training_tokens_per_sec_per_gpu,policy_logprobs_tokens_per_sec_per_gpu,mean_generation_length,vllm_acceptance_rate_pct_mean_visible,vllm_acceptance_rate_pct_mean_weighted,vllm_acceptance_rate_pct_latest_visible,vllm_acceptance_length_mean_visible,vllm_acceptance_length_mean_weighted,vllm_acceptance_length_latest_visible,vllm_accepted_throughput_mean_visible,vllm_drafted_throughput_mean_visible,vllm_accepted_tokens_sum_weighted,vllm_drafted_tokens_sum_weighted,vllm_specdec_metric_visible_count,vllm_specdec_metric_weighted_count,error_count,latest_error,log_path,vllm_acceptance_rate_pos1_weighted,vllm_acceptance_rate_pos2_weighted,vllm_acceptance_rate_pos3_weighted,vllm_acceptance_rate_pos4_weighted,vllm_acceptance_rate_pos5_weighted,vllm_acceptance_rate_pos6_weighted,vllm_acceptance_rate_pos7_weighted,vllm_acceptance_rate_pos8_weighted,vllm_acceptance_rate_pos9_weighted
2152132,qwen30_sync_baseline,1,20,completed_step,0.0017,,,,0.0019,0.582,409.12,237.51,110.37,55.22,4.73,1033.3,1779.93,3830.27,7655.44,3201.8667,,,,,,,,,,,0,0,0,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_sync_baseline/2152132-logs/ray-driver.log,,,,,,,,,
2152132,qwen30_sync_baseline,2,20,completed_step,0.0116,,,,0.0019,0.4932,401.86,258.41,91.41,41.38,8.38,1016.05,1580.1,4466.58,9867.34,3048.04,,,,,,,,,,,0,0,0,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_sync_baseline/2152132-logs/ray-driver.log,,,,,,,,,
2152132,qwen30_sync_baseline,3,20,completed_step,0.0027,,,,0.0018,0.4653,409.27,256.99,99.24,44.97,6.39,1066.45,1698.38,4398.18,9706.59,3309.0137,,,,,,,,,,,0,0,0,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_sync_baseline/2152132-logs/ray-driver.log,,,,,,,,,
2152132,qwen30_sync_baseline,4,20,completed_step,0.0098,,,,0.002,0.5166,389.15,251.05,88.07,41.33,6.92,1040.22,1612.43,4596.34,9793.36,3033.6064,,,,,,,,,,,0,0,0,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_sync_baseline/2152132-logs/ray-driver.log,,,,,,,,,
2152132,qwen30_sync_baseline,5,20,completed_step,17.2901,,,,0.0019,0.541,394.61,254.42,90.35,41.25,6.88,1041.33,1615.11,4548.05,9962.03,3114.6934,,,,,,,,,,,0,0,0,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_sync_baseline/2152132-logs/ray-driver.log,,,,,,,,,
2152132,qwen30_sync_baseline,6,20,completed_step,-0.0057,,,,0.002,0.5835,391.9,256.91,87.97,38.57,6.73,994.19,1516.58,4428.76,10101.57,2936.2393,,,,,,,,,,,0,0,0,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_sync_baseline/2152132-logs/ray-driver.log,,,,,,,,,
2152132,qwen30_sync_baseline,7,20,completed_step,0.004,,,,0.0019,0.4775,408.66,254.84,100.17,44.95,6.64,1083.51,1737.53,4420.16,9851.66,3355.729,,,,,,,,,,,0,0,0,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_sync_baseline/2152132-logs/ray-driver.log,,,,,,,,,
2152132,qwen30_sync_baseline,8,20,completed_step,0.0155,,,,0.0019,0.4258,416.91,263.01,100.14,44.76,6.89,1077.79,1708.46,4487.29,10039.84,3417.3906,,,,,,,,,,,0,0,0,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_sync_baseline/2152132-logs/ray-driver.log,,,,,,,,,
2152132,qwen30_sync_baseline,9,20,completed_step,0.0053,,,,0.0019,0.5063,393.46,259.11,85.54,39.57,7.16,982.69,1492.22,4520.13,9772.32,2901.9692,,,,,,,,,,,0,0,0,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_sync_baseline/2152132-logs/ray-driver.log,,,,,,,,,
2152132,qwen30_sync_baseline,10,20,completed_step,0.0041,,,,0.0019,0.6001,400.32,259.01,90.52,41.47,6.84,1006.3,1555.33,4450.28,9713.51,3007.9814,,,,,,,,,,,0,0,0,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_sync_baseline/2152132-logs/ray-driver.log,,,,,,,,,
2152132,qwen30_sync_baseline,11,20,completed_step,0.0007,,,,0.0018,0.5039,464.49,324.23,90.43,41.11,6.71,877.2,1256.71,4505.71,9910.71,3077.144,,,,,,,,,,,0,0,0,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_sync_baseline/2152132-logs/ray-driver.log,,,,,,,,,
