job_id,label,step_filter,steps,completed_steps,incomplete_steps,first_step,last_step,max_steps,completed_step_span,incomplete_step_span,partial_result_state,draft_training_enabled_steps,draft_refit_steps,error_count_sum,latest_error,vllm_accepted_tokens_sum_weighted,vllm_drafted_tokens_sum_weighted,vllm_token_acceptance_pct,log_path,total_step_time_s_mean,generation_time_s_mean,policy_training_time_s_mean,policy_and_reference_logprobs_time_s_mean,prepare_for_generation_total_s_mean,e2e_tokens_per_sec_per_gpu_mean,generation_worker_tokens_per_sec_per_gpu_mean,policy_training_tokens_per_sec_per_gpu_mean,policy_logprobs_tokens_per_sec_per_gpu_mean,mean_generation_length_mean,draft_loss_mean,generation_kl_error_mean,avg_reward_mean,vllm_acceptance_rate_pct_mean_weighted_mean,vllm_acceptance_length_mean_weighted_mean,vllm_acceptance_rate_pos1_weighted_mean,vllm_acceptance_rate_pos2_weighted_mean,vllm_acceptance_rate_pos3_weighted_mean,vllm_acceptance_rate_pos4_weighted_mean,vllm_acceptance_rate_pos5_weighted_mean
2152132,qwen30_sync_baseline,step>=2,19,19,0,2,20,20,2-20,,partial_usable,0,0,0,,,,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_sync_baseline/2152132-logs/ray-driver.log,421.7084210526316,278.46736842105264,92.37947368421052,41.99473684210526,6.923684210526316,985.8552631578947,1500.0731578947368,4489.464736842106,9879.407368421053,3130.393642105263,,0.0018894736842105264,0.5250052631578948,,,,,,,
2152134,qwen30_sync_suffix,step>=2,19,19,0,2,20,20,2-20,,partial_usable_with_errors,0,0,2,"[rank13]:[W618 09:48:50.865072433 ProcessGroupNCCL.cpp:1826] [PG ID 0 PG GUID 0(default_pg) Rank 13] Failed to check the ""should dump"" flag on TCPStore, (maybe TCPStore server has shut down too early), with error: Connection reset by peer",62264556.0,551532119.0,11.28937986656041,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_sync_suffix/2152134-logs/ray-driver.log,415.24368421052634,239.9936842105263,113.4921052631579,50.72,8.44578947368421,999.6747368421053,1731.0784210526315,3658.615263157895,8192.137368421052,3134.0682578947367,,0.001894736842105263,0.5273105263157895,16.315622322344115,1.8382095038943376,0.2965338283198114,0.1753764987587403,0.11160606124341338,0.07493132718650292,0.05219261340220569
2152135,qwen30_sync_pard_k5,step>=2,19,19,0,2,20,20,2-20,,partial_usable,0,0,0,,79555386.0,217446279.0,36.58622551089964,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_sync_pard/2152135-logs/ray-driver.log,427.46578947368425,280.9078947368421,91.42684210526315,43.65210526315789,8.764736842105263,970.5078947368422,1477.9763157894736,4538.198947368421,9509.627368421054,3131.521847368421,,0.0019105263157894736,0.5262157894736843,25.798854262519942,2.288923010113093,0.4613808505837646,0.307171916712152,0.2239019309966448,0.16857242170177159,0.12788842823595098
2152136,qwen30_async_baseline,step>=2,19,19,0,2,20,20,2-20,,partial_usable_with_errors,0,0,2,"[rank0]:[W618 09:58:21.338173953 ProcessGroupNCCL.cpp:1575] Warning: WARNING: destroy_process_group() was not called before program exit, which can leak resources. For more info, please see https://pytorch.org/docs/stable/distributed.html#shutdown (function operator()) [repeated 7x across cluster]",,,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_async1off_baseline/2152136-logs/ray-driver.log,425.6121052631579,,204.62736842105264,83.02578947368421,,983.3463157894738,1998.3784210526317,4055.935789473684,9994.377894736841,,,0.0019052631578947367,0.5259368421052631,,,,,,,
2152138,qwen30_async_suffix,step>=2,19,19,0,2,20,20,2-20,,partial_usable_with_errors,0,0,2,"[rank0]:[W618 10:22:35.862269533 ProcessGroupNCCL.cpp:1575] Warning: WARNING: destroy_process_group() was not called before program exit, which can leak resources. For more info, please see https://pytorch.org/docs/stable/distributed.html#shutdown (function operator()) [repeated 7x across cluster]",,,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_async1off_suffix/2152138-logs/ray-driver.log,477.2184210526316,,259.3663157894737,91.29894736842105,,882.0326315789473,1794.6721052631576,3205.0415789473686,9103.911578947369,,,0.0019,0.5256473684210526,,,,,,,
2152139,qwen30_async_pard_k5,step>=2,19,19,0,2,20,20,2-20,,partial_usable_with_errors,0,0,2,"[rank0]:[W618 10:11:23.950215961 ProcessGroupNCCL.cpp:1575] Warning: WARNING: destroy_process_group() was not called before program exit, which can leak resources. For more info, please see https://pytorch.org/docs/stable/distributed.html#shutdown (function operator()) [repeated 7x across cluster]",,,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_async1off_pard/2152139-logs/ray-driver.log,450.6205263157895,,201.79999999999998,81.73157894736842,,933.6042105263158,1894.6194736842103,4110.032105263158,10146.929473684211,,,0.0019,0.5251842105263158,,,,,,,
2152140,qwen32_sync_baseline,step>=2,19,19,0,2,20,20,2-20,,partial_usable,0,0,0,,,,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen32_sync_baseline/2152140-logs/ray-driver.log,536.0978947368421,331.8205263157895,130.2984210526316,62.083157894736836,10.30842105263158,784.9152631578947,1269.6073684210526,3238.4352631578945,6771.7947368421055,3175.5798,,0.0009368421052631579,0.5252473684210526,,,,,,,
2152142,qwen32_sync_suffix,step>=2,17,16,1,2,18,20,2-17,18,partial_usable,0,0,0,,46528344.0,591205945.0,7.870073769302167,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen32_sync_suffix/2152142-logs/ray-driver.log,788.580625,580.001875,133.58375,61.948750000000004,11.133125,537.5275,732.98375,3162.224375,6818.9175000000005,3190.1984875,,0.0009375,0.52210625,12.061115126396684,1.5625467715878278,0.22303958003359536,0.12202674798203303,0.07234324237176948,0.04592795566228656,0.030690025541947264
2152143,qwen32_sync_pard_k5,step>=2,19,19,0,2,20,20,2-20,,partial_usable,0,0,0,,73918995.0,232596935.0,31.779866316811095,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen32_sync_pard/2152143-logs/ray-driver.log,562.2284210526316,370.55947368421056,118.88736842105264,60.65315789473684,10.668421052631578,748.9636842105263,1138.1789473684212,3538.7005263157894,6935.253157894736,3177.6652736842107,,0.0009263157894736843,0.524478947368421,20.10355027065326,2.0042378398981495,0.3766537741537628,0.23772025978083908,0.1691812252407283,0.12571511307930497,0.09503937351311341
2152144,qwen32_async_baseline,step>=2,19,19,0,2,20,20,2-20,,partial_usable_with_errors,0,0,2,"[rank0]:[W618 08:55:55.801837850 ProcessGroupNCCL.cpp:1575] Warning: WARNING: destroy_process_group() was not called before program exit, which can leak resources. For more info, please see https://pytorch.org/docs/stable/distributed.html#shutdown (function operator()) [repeated 15x across cluster]",,,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen32_async1off_baseline/2152144-logs/ray-driver.log,227.4515789473684,,109.78421052631579,55.33157894736842,,938.1736842105263,1910.517894736842,3832.535263157895,7604.918947368421,,,0.0009210526315789472,0.5262157894736843,,,,,,,
