job_id,label,step_filter,steps,completed_steps,incomplete_steps,first_step,last_step,max_steps,completed_step_span,incomplete_step_span,partial_result_state,draft_training_enabled_steps,draft_refit_steps,error_count_sum,latest_error,vllm_accepted_tokens_sum_weighted,vllm_drafted_tokens_sum_weighted,vllm_token_acceptance_pct,log_path,total_step_time_s_mean,generation_time_s_mean,policy_training_time_s_mean,policy_and_reference_logprobs_time_s_mean,prepare_for_generation_total_s_mean,e2e_tokens_per_sec_per_gpu_mean,generation_worker_tokens_per_sec_per_gpu_mean,policy_training_tokens_per_sec_per_gpu_mean,policy_logprobs_tokens_per_sec_per_gpu_mean,mean_generation_length_mean,draft_loss_mean,generation_kl_error_mean,avg_reward_mean,vllm_acceptance_rate_pct_mean_weighted_mean,vllm_acceptance_length_mean_weighted_mean,vllm_acceptance_rate_pos1_weighted_mean,vllm_acceptance_rate_pos2_weighted_mean,vllm_acceptance_rate_pos3_weighted_mean,vllm_acceptance_rate_pos4_weighted_mean,vllm_acceptance_rate_pos5_weighted_mean
2152132,qwen30_sync_baseline,all,20,20,0,1,20,20,1-20,,complete,0,0,0,,,,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_sync_baseline/2152132-logs/ray-driver.log,421.079,276.4195,93.279,42.656,6.814,988.2275,1514.066,4456.505,9768.208999999999,3133.967295,,0.00189,0.527855,,,,,,,
2152134,qwen30_sync_suffix,all,20,20,0,1,20,20,1-20,,complete,0,0,2,"[rank13]:[W618 09:48:50.865072433 ProcessGroupNCCL.cpp:1826] [PG ID 0 PG GUID 0(default_pg) Rank 13] Failed to check the ""should dump"" flag on TCPStore, (maybe TCPStore server has shut down too early), with error: Connection reset by peer",65665705.0,589726634.0,11.134939684613261,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_sync_suffix/2152134-logs/ray-driver.log,416.9295,240.467,114.24000000000001,51.314,8.3445,996.732,1729.187,3640.1055,8119.9105,3137.320995,,0.0018950000000000002,0.530215,16.359787054602357,1.8385048048729058,0.29618204665111325,0.1755163380807311,0.11178153435452791,0.07502393050226804,0.0522589755118788
2152135,qwen30_sync_pard_k5,all,20,20,0,1,20,20,1-20,,complete,0,0,0,,83326136.0,227736803.0,36.58878797907776,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_sync_pard/2152135-logs/ray-driver.log,428.28100000000006,280.316,92.24199999999999,44.346,8.692,969.6610000000001,1482.7125,4507.6845,9401.9565,3135.2043249999997,,0.0019099999999999998,0.52886,25.66128743591877,2.28205310074219,0.45930897117514374,0.30530622867796287,0.22252917487234444,0.167666495652144,0.12725375859720306
2152136,qwen30_async_baseline,all,20,20,0,1,20,20,1-20,,complete,0,0,2,"[rank0]:[W618 09:58:21.338173953 ProcessGroupNCCL.cpp:1575] Warning: WARNING: destroy_process_group() was not called before program exit, which can leak resources. For more info, please see https://pytorch.org/docs/stable/distributed.html#shutdown (function operator()) [repeated 7x across cluster]",,,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_async1off_baseline/2152136-logs/ray-driver.log,420.34700000000004,,205.3735,83.45349999999999,,1000.8004999999999,2035.0155,4047.5275,9960.7095,,,0.0019,0.528765,,,,,,,
2152138,qwen30_async_suffix,all,20,20,0,1,20,20,1-20,,complete,0,0,2,"[rank0]:[W618 10:22:35.862269533 ProcessGroupNCCL.cpp:1575] Warning: WARNING: destroy_process_group() was not called before program exit, which can leak resources. For more info, please see https://pytorch.org/docs/stable/distributed.html#shutdown (function operator()) [repeated 7x across cluster]",,,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_async1off_suffix/2152138-logs/ray-driver.log,472.764,,260.1315,91.786,,892.5865,1817.4465,3199.2565,9068.612,,,0.0018950000000000002,0.528395,,,,,,,
2152139,qwen30_async_pard_k5,all,20,20,0,1,20,20,1-20,,complete,0,0,2,"[rank0]:[W618 10:11:23.950215961 ProcessGroupNCCL.cpp:1575] Warning: WARNING: destroy_process_group() was not called before program exit, which can leak resources. For more info, please see https://pytorch.org/docs/stable/distributed.html#shutdown (function operator()) [repeated 7x across cluster]",,,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_async1off_pard/2152139-logs/ray-driver.log,444.279,,202.8075,82.2615,,952.2795,1933.998,4095.2135000000003,10097.941,,,0.0018950000000000002,0.52837,,,,,,,
2152140,qwen32_sync_baseline,all,20,20,0,1,20,20,1-20,,complete,0,0,0,,,,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen32_sync_baseline/2152140-logs/ray-driver.log,537.591,332.8985,130.749,62.404999999999994,9.9505,782.949,1265.8325,3227.9674999999997,6741.133,3176.592165,,0.0009350000000000001,0.5287200000000001,,,,,,,
2152142,qwen32_sync_suffix,all,18,17,1,1,18,20,1-17,18,partial_usable,0,0,0,,49062405.0,623867137.0,7.864239369287375,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen32_sync_suffix/2152142-logs/ray-driver.log,794.9582352941177,585.6847058823529,134.35823529411766,62.29176470588236,10.705294117647059,533.685294117647,726.6917647058824,3145.9976470588235,6785.392352941177,3191.2622941176473,,0.0009352941176470589,0.5266352941176471,12.036413885423393,1.559439981687578,0.22170520614224254,0.12151929221838402,0.07206686200398321,0.04571358074624337,0.030513351519725607
2152143,qwen32_sync_pard_k5,all,20,20,0,1,20,20,1-20,,complete,0,0,0,,77028075.0,244356500.0,31.52282628045499,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen32_sync_pard/2152143-logs/ray-driver.log,564.2479999999999,371.9875,119.4865,60.975,10.305,746.5635,1134.1885,3523.157,6903.3205,3178.7429500000003,,0.0009249999999999999,0.528455,20.04813579029595,2.0014998815525313,0.37630497170199884,0.23725083446952225,0.16851813554267292,0.12504239060069516,0.09445707308390323
2152144,qwen32_async_baseline,all,20,20,0,1,20,20,1-20,,complete,0,0,2,"[rank0]:[W618 08:55:55.801837850 ProcessGroupNCCL.cpp:1575] Warning: WARNING: destroy_process_group() was not called before program exit, which can leak resources. For more info, please see https://pytorch.org/docs/stable/distributed.html#shutdown (function operator()) [repeated 15x across cluster]",,,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen32_async1off_baseline/2152144-logs/ray-driver.log,225.07399999999998,,109.9435,55.5615,,950.1965,1936.6860000000001,3828.5989999999997,7578.443499999999,,,0.00092,0.5291750000000001,,,,,,,
