job_id,label,step,max_steps,status,loss,draft_training_enabled,draft_refit_this_step,draft_loss,generation_kl_error,avg_reward,total_step_time_s,generation_time_s,policy_training_time_s,policy_and_reference_logprobs_time_s,prepare_for_generation_total_s,e2e_tokens_per_sec_per_gpu,generation_worker_tokens_per_sec_per_gpu,policy_training_tokens_per_sec_per_gpu,policy_logprobs_tokens_per_sec_per_gpu,mean_generation_length,vllm_acceptance_rate_pct_mean_visible,vllm_acceptance_rate_pct_mean_weighted,vllm_acceptance_rate_pct_latest_visible,vllm_acceptance_length_mean_visible,vllm_acceptance_length_mean_weighted,vllm_acceptance_length_latest_visible,vllm_accepted_throughput_mean_visible,vllm_drafted_throughput_mean_visible,vllm_accepted_tokens_sum_weighted,vllm_drafted_tokens_sum_weighted,vllm_specdec_metric_visible_count,vllm_specdec_metric_weighted_count,error_count,latest_error,log_path,vllm_acceptance_rate_pos1_weighted,vllm_acceptance_rate_pos2_weighted,vllm_acceptance_rate_pos3_weighted,vllm_acceptance_rate_pos4_weighted,vllm_acceptance_rate_pos5_weighted,vllm_acceptance_rate_pos6_weighted,vllm_acceptance_rate_pos7_weighted,vllm_acceptance_rate_pos8_weighted,vllm_acceptance_rate_pos9_weighted
2151117,qwen30_async_baseline,1,20,completed_step,-0.0086,,,,0.0021,0.2842,181.07,,123.36,49.28,,781.46,1627.94,2294.05,5742.93,,,,,,,,,,,,0,0,0,,tmp/lyris_qwen30_qwen32_nemorl_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_async_baseline_eagle3_step20_osl1024/logs/qwen30ba3b_async1off_baseline/2151117-logs/ray-driver.log,,,,,,,,,
2151117,qwen30_async_baseline,2,20,completed_step,-0.0008,,,,0.0022,0.2808,167.76,,118.15,40.22,,866.28,1816.95,2459.98,7227.18,,,,,,,,,,,,0,0,0,,tmp/lyris_qwen30_qwen32_nemorl_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_async_baseline_eagle3_step20_osl1024/logs/qwen30ba3b_async1off_baseline/2151117-logs/ray-driver.log,,,,,,,,,
2151117,qwen30_async_baseline,3,20,completed_step,0.0121,,,,0.002,0.2031,157.7,,109.17,39.77,,889.36,1866.95,2569.41,7054.05,,,,,,,,,,,,0,0,0,,tmp/lyris_qwen30_qwen32_nemorl_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_async_baseline_eagle3_step20_osl1024/logs/qwen30ba3b_async1off_baseline/2151117-logs/ray-driver.log,,,,,,,,,
2151117,qwen30_async_baseline,4,20,completed_step,0.0043,,,,0.0024,0.3457,198.31,,110.34,40.13,,729.32,1517.63,2621.44,7208.17,,,,,,,,,,,,0,0,0,,tmp/lyris_qwen30_qwen32_nemorl_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_async_baseline_eagle3_step20_osl1024/logs/qwen30ba3b_async1off_baseline/2151117-logs/ray-driver.log,,,,,,,,,
2151117,qwen30_async_baseline,5,20,completed_step,-0.0016,,,,0.0021,0.2705,208.22,,106.59,38.84,,677.39,1406.84,2646.48,7261.85,,,,,,,,,,,,0,0,0,,tmp/lyris_qwen30_qwen32_nemorl_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_async_baseline_eagle3_step20_osl1024/logs/qwen30ba3b_async1off_baseline/2151117-logs/ray-driver.log,,,,,,,,,
2151117,qwen30_async_baseline,6,20,completed_step,0.0105,,,,0.0024,0.3223,154.74,,106.56,38.1,,906.37,1916.43,2632.23,7361.69,,,,,,,,,,,,0,0,0,,tmp/lyris_qwen30_qwen32_nemorl_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_async_baseline_eagle3_step20_osl1024/logs/qwen30ba3b_async1off_baseline/2151117-logs/ray-driver.log,,,,,,,,,
2151117,qwen30_async_baseline,7,20,completed_step,0.0134,,,,0.0021,0.2388,270.73,,113.31,40.37,,530.82,1096.07,2536.58,7119.1,,,,,,,,,,,,0,0,0,,tmp/lyris_qwen30_qwen32_nemorl_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_async_baseline_eagle3_step20_osl1024/logs/qwen30ba3b_async1off_baseline/2151117-logs/ray-driver.log,,,,,,,,,
2151117,qwen30_async_baseline,8,20,completed_step,0.0063,,,,0.0021,0.2065,157.43,,110.01,38.58,,894.65,1879.54,2560.66,7301.72,,,,,,,,,,,,0,0,0,,tmp/lyris_qwen30_qwen32_nemorl_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_async_baseline_eagle3_step20_osl1024/logs/qwen30ba3b_async1off_baseline/2151117-logs/ray-driver.log,,,,,,,,,
2151117,qwen30_async_baseline,9,20,completed_step,-0.0018,,,,0.0022,0.3447,209.04,,104.4,37.83,,676.85,1408.5,2710.59,7480.77,,,,,,,,,,,,0,0,0,,tmp/lyris_qwen30_qwen32_nemorl_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_async_baseline_eagle3_step20_osl1024/logs/qwen30ba3b_async1off_baseline/2151117-logs/ray-driver.log,,,,,,,,,
2151117,qwen30_async_baseline,10,20,completed_step,0.0001,,,,0.0023,0.3315,167.2,,116.34,41.32,,884.49,1856.82,2542.28,7158.59,,,,,,,,,,,,0,0,0,,tmp/lyris_qwen30_qwen32_nemorl_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_async_baseline_eagle3_step20_osl1024/logs/qwen30ba3b_async1off_baseline/2151117-logs/ray-driver.log,,,,,,,,,
2151118,qwen30_async_eagle3,1,20,completed_step,-0.0116,,,,0.0021,0.2896,175.91,,113.72,51.46,,805.09,1703.33,2490.87,5504.32,,,,,,,,,,,,0,0,0,,tmp/lyris_qwen30_qwen32_nemorl_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_async_baseline_eagle3_step20_osl1024/logs/qwen30ba3b_async1off_eagle3/2151118-logs/ray-driver.log,,,,,,,,,
2151118,qwen30_async_eagle3,2,20,completed_step,-0.0064,,,,0.0022,0.2949,159.1,,103.4,43.66,,913.43,1951.74,2810.87,6656.79,,,,,,,,,,,,0,0,0,,tmp/lyris_qwen30_qwen32_nemorl_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_async_baseline_eagle3_step20_osl1024/logs/qwen30ba3b_async1off_eagle3/2151118-logs/ray-driver.log,,,,,,,,,
2151118,qwen30_async_eagle3,3,20,completed_step,-0.0074,,,,0.002,0.2124,151.76,,100.3,42.69,,925.05,1944.32,2799.22,6576.46,,,,,,,,,,,,0,0,0,,tmp/lyris_qwen30_qwen32_nemorl_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_async_baseline_eagle3_step20_osl1024/logs/qwen30ba3b_async1off_eagle3/2151118-logs/ray-driver.log,,,,,,,,,
2151118,qwen30_async_eagle3,4,20,completed_step,0.0064,,,,0.0024,0.3364,154.42,,102.23,42.42,,937.54,1978.3,2832.35,6826.02,,,,,,,,,,,,0,0,0,,tmp/lyris_qwen30_qwen32_nemorl_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_async_baseline_eagle3_step20_osl1024/logs/qwen30ba3b_async1off_eagle3/2151118-logs/ray-driver.log,,,,,,,,,
2151118,qwen30_async_eagle3,5,20,completed_step,0.0083,,,,0.0021,0.2915,153.31,,101.51,43.17,,920.64,1932.99,2781.05,6538.54,,,,,,,,,,,,0,0,0,,tmp/lyris_qwen30_qwen32_nemorl_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_async_baseline_eagle3_step20_osl1024/logs/qwen30ba3b_async1off_eagle3/2151118-logs/ray-driver.log,,,,,,,,,
2151118,qwen30_async_eagle3,6,20,completed_step,0.0018,,,,0.0024,0.3198,148.48,,97.1,41.13,,945.2,2002.6,2890.71,6824.03,,,,,,,,,,,,0,0,0,,tmp/lyris_qwen30_qwen32_nemorl_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_async_baseline_eagle3_step20_osl1024/logs/qwen30ba3b_async1off_eagle3/2151118-logs/ray-driver.log,,,,,,,,,
2151118,qwen30_async_eagle3,7,20,completed_step,0.0022,,,,0.0021,0.2466,156.01,,104.66,42.42,,921.03,1935.53,2745.75,6774.37,,,,,,,,,,,,0,0,0,,tmp/lyris_qwen30_qwen32_nemorl_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_async_baseline_eagle3_step20_osl1024/logs/qwen30ba3b_async1off_eagle3/2151118-logs/ray-driver.log,,,,,,,,,
2151118,qwen30_async_eagle3,8,20,completed_step,-0.0056,,,,0.0021,0.2173,151.19,,100.9,41.45,,931.57,1961.37,2791.93,6795.54,,,,,,,,,,,,0,0,0,,tmp/lyris_qwen30_qwen32_nemorl_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_async_baseline_eagle3_step20_osl1024/logs/qwen30ba3b_async1off_eagle3/2151118-logs/ray-driver.log,,,,,,,,,
2151118,qwen30_async_eagle3,9,20,completed_step,-0.0008,,,,0.0022,0.3457,148.33,,96.82,41.76,,952.54,2014.06,2918.75,6766.28,,,,,,,,,,,,0,0,0,,tmp/lyris_qwen30_qwen32_nemorl_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_async_baseline_eagle3_step20_osl1024/logs/qwen30ba3b_async1off_eagle3/2151118-logs/ray-driver.log,,,,,,,,,
2151118,qwen30_async_eagle3,10,20,completed_step,0.0032,,,,0.0022,0.3276,161.69,,107.96,43.53,,915.59,1926.27,2742.42,6802.53,,,,,,,,,,,,0,0,0,,tmp/lyris_qwen30_qwen32_nemorl_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_async_baseline_eagle3_step20_osl1024/logs/qwen30ba3b_async1off_eagle3/2151118-logs/ray-driver.log,,,,,,,,,
2151118,qwen30_async_eagle3,11,20,completed_step,-0.0033,,,,0.0021,0.2808,154.85,,103.68,42.22,,923.8,1943.73,2759.5,6775.91,,,,,,,,,,,,0,0,0,,tmp/lyris_qwen30_qwen32_nemorl_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_async_baseline_eagle3_step20_osl1024/logs/qwen30ba3b_async1off_eagle3/2151118-logs/ray-driver.log,,,,,,,,,
2151118,qwen30_async_eagle3,12,20,completed_step,-0.0089,,,,0.002,0.2817,150.44,,100.11,40.76,,939.94,1980.81,2824.85,6938.2,,,,,,,,,,,,0,0,0,,tmp/lyris_qwen30_qwen32_nemorl_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_async_baseline_eagle3_step20_osl1024/logs/qwen30ba3b_async1off_eagle3/2151118-logs/ray-driver.log,,,,,,,,,
2151118,qwen30_async_eagle3,13,20,incomplete_step,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,tmp/lyris_qwen30_qwen32_nemorl_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_async_baseline_eagle3_step20_osl1024/logs/qwen30ba3b_async1off_eagle3/2151118-logs/ray-driver.log,,,,,,,,,
2151272,qwen30_async_pard,1,20,completed_step,-0.003,,,,0.0022,0.2939,176.99,,113.26,53.02,,800.16,1691.28,2500.84,5342.46,,,,,,,,,,,,0,0,0,,tmp/lyris_qwen30_qwen32_nemorl_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_async_pard_step20_osl1024/logs/qwen30ba3b_async1off_pard/2151272-logs/ray-driver.log,,,,,,,,,
