job_id,label,model,mode,method,nodes_x_gpus,temperature,top_p,isl,max_osl,osl_group,completed_last_step,slurm_state,metric_state,e2e_step_time_s,e2e_step_time_speedup,e2e_step_time_reduction_pct,e2e_throughput_tok_s_gpu,e2e_throughput_speedup,generation_time_s,generation_time_speedup,generation_throughput_tok_s_gpu,generation_throughput_speedup,acceptance_pct,mean_accept_len,notes,source_log,config,manifest
2175016,qwen30ba3b_async-1off_pard_k5,Qwen3-30B-A3B,async-1off,PARD K=5,4x4,1.0,1.0,performance recipe default,4096,Fresh latest-main+PR2879 performance recipe reruns (Qwen30/32=4096),19/20 last 20,COMPLETED,partial_usable_with_errors,443.4263157894737,0.9538284412054456,-4.840656537375088,947.4426315789474,0.947060318282041,,,1926.45,0.9469467364046936,,,fresh latest-main+PR2879 performance recipe rerun; step>=2 summary; async log omits generation_time_s; driver ended with shutdown warnings,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260622_lyris_nemorl_qwen30_qwen32_pr2879_clean_nonpard_step20_recipe_osl_temp1/logs/qwen30ba3b_async1off_pard/2175016-logs/ray-driver.log,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g-async-1off.yaml,latest_lyris_nemorl_qwen30_qwen32_pr2879_clean_nonpard_step20_recipe_osl_temp1_20260622_jobs.csv
2175014,qwen30ba3b_async-1off_suffix_k32,Qwen3-30B-A3B,async-1off,Suffix K=32,4x4,1.0,1.0,performance recipe default,4096,Fresh latest-main+PR2879 performance recipe reruns (Qwen30/32=4096),19/20 last 20,COMPLETED,partial_usable_with_errors,460.03578947368425,0.9193907110201952,-8.767685817747427,914.3247368421054,0.9139557873216446,,,1858.9636842105263,0.9137738295092026,,,fresh latest-main+PR2879 performance recipe rerun; step>=2 summary; async log omits generation_time_s; driver ended with shutdown warnings,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260622_lyris_nemorl_qwen30_qwen32_pr2879_clean_nonpard_step20_recipe_osl_temp1/logs/qwen30ba3b_async1off_suffix/2175014-logs/ray-driver.log,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g-async-1off.yaml,latest_lyris_nemorl_qwen30_qwen32_pr2879_clean_nonpard_step20_recipe_osl_temp1_20260622_jobs.csv
2175013,qwen30ba3b_async-1off_baseline,Qwen3-30B-A3B,async-1off,baseline,4x4,1.0,1.0,performance recipe default,4096,Fresh latest-main+PR2879 performance recipe reruns (Qwen30/32=4096),19/20 last 20,COMPLETED,partial_usable_with_errors,422.9526315789474,1.0,0.0,1000.4036842105262,1.0,,,2034.3805263157897,1.0,,,fresh latest-main+PR2879 performance recipe rerun; step>=2 summary; async log omits generation_time_s; driver ended with shutdown warnings,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260622_lyris_nemorl_qwen30_qwen32_pr2879_clean_nonpard_step20_recipe_osl_temp1/logs/qwen30ba3b_async1off_baseline/2175013-logs/ray-driver.log,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g-async-1off.yaml,latest_lyris_nemorl_qwen30_qwen32_pr2879_clean_nonpard_step20_recipe_osl_temp1_20260622_jobs.csv
2175012,qwen30ba3b_sync_pard_k5,Qwen3-30B-A3B,sync,PARD K=5,4x4,1.0,1.0,performance recipe default,4096,Fresh latest-main+PR2879 performance recipe reruns (Qwen30/32=4096),19/20 last 20,COMPLETED,partial_usable,510.7436842105264,0.8365912245610889,-19.532690595056422,816.6010526315789,0.8412108988486864,339.2784210526316,0.7684404517947533,1239.9863157894738,0.7789057047537907,36.745414400431045,2.2414487903103866,fresh latest-main+PR2879 performance recipe rerun; step>=2 summary; ,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260622_lyris_nemorl_qwen30_qwen32_pr2879_clean_nonpard_step20_recipe_osl_temp1/logs/qwen30ba3b_sync_pard/2175012-logs/ray-driver.log,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g.yaml,latest_lyris_nemorl_qwen30_qwen32_pr2879_clean_nonpard_step20_recipe_osl_temp1_20260622_jobs.csv
2175010,qwen30ba3b_sync_suffix_k32,Qwen3-30B-A3B,sync,Suffix K=32,4x4,1.0,1.0,performance recipe default,4096,Fresh latest-main+PR2879 performance recipe reruns (Qwen30/32=4096),19/20 last 20,COMPLETED,partial_usable,377.3,1.1324772971389514,11.698009088008831,1099.606842105263,1.132745613107679,231.42736842105262,1.1265532894258061,1794.266842105263,1.127080727722836,9.65617781417053,1.8361939060513022,fresh latest-main+PR2879 performance recipe rerun; step>=2 summary; ,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260622_lyris_nemorl_qwen30_qwen32_pr2879_clean_nonpard_step20_recipe_osl_temp1/logs/qwen30ba3b_sync_suffix/2175010-logs/ray-driver.log,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g.yaml,latest_lyris_nemorl_qwen30_qwen32_pr2879_clean_nonpard_step20_recipe_osl_temp1_20260622_jobs.csv
2175009,qwen30ba3b_sync_baseline,Qwen3-30B-A3B,sync,baseline,4x4,1.0,1.0,performance recipe default,4096,Fresh latest-main+PR2879 performance recipe reruns (Qwen30/32=4096),19/20 last 20,COMPLETED,partial_usable_with_errors,427.28368421052636,1.0,0.0,970.7447368421053,1.0,260.71526315789475,1.0,1591.9594736842105,1.0,,,fresh latest-main+PR2879 performance recipe rerun; step>=2 summary; driver ended with shutdown warnings,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260622_lyris_nemorl_qwen30_qwen32_pr2879_clean_nonpard_step20_recipe_osl_temp1/logs/qwen30ba3b_sync_baseline/2175009-logs/ray-driver.log,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g.yaml,latest_lyris_nemorl_qwen30_qwen32_pr2879_clean_nonpard_step20_recipe_osl_temp1_20260622_jobs.csv
2175024,qwen32_async-1off_pard_k5,Qwen3-32B,async-1off,PARD K=5,8x4,1.0,1.0,performance recipe default,4096,Fresh latest-main+PR2879 performance recipe reruns (Qwen30/32=4096),19/20 last 20,COMPLETED,partial_usable_with_errors,244.5894736842105,0.9264546393527285,-7.938366059524959,904.4394736842105,0.9455546794484155,,,1845.1984210526314,0.9463363137044885,,,fresh latest-main+PR2879 performance recipe rerun; step>=2 summary; async log omits generation_time_s; driver ended with shutdown warnings,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260622_lyris_nemorl_qwen30_qwen32_pr2879_clean_nonpard_step20_recipe_osl_temp1/logs/qwen32_async1off_pard/2175024-logs/ray-driver.log,examples/configs/recipes/llm/performance/grpo-qwen3-32b-8n4g-async-1off.yaml,latest_lyris_nemorl_qwen30_qwen32_pr2879_clean_nonpard_step20_recipe_osl_temp1_20260622_jobs.csv
2175022,qwen32_async-1off_suffix_k32,Qwen3-32B,async-1off,Suffix K=32,8x4,1.0,1.0,performance recipe default,4096,Fresh latest-main+PR2879 performance recipe reruns (Qwen30/32=4096),19/20 last 20,COMPLETED,partial_usable_with_errors,493.8642105263158,0.4588327070513736,-117.94435850625491,434.9852631578947,0.4547593985417492,,,878.7405263157895,0.45067460544543064,,,fresh latest-main+PR2879 performance recipe rerun; step>=2 summary; async log omits generation_time_s; driver ended with shutdown warnings,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260622_lyris_nemorl_qwen30_qwen32_pr2879_clean_nonpard_step20_recipe_osl_temp1/logs/qwen32_async1off_suffix/2175022-logs/ray-driver.log,examples/configs/recipes/llm/performance/grpo-qwen3-32b-8n4g-async-1off.yaml,latest_lyris_nemorl_qwen30_qwen32_pr2879_clean_nonpard_step20_recipe_osl_temp1_20260622_jobs.csv
2175021,qwen32_async-1off_baseline,Qwen3-32B,async-1off,baseline,8x4,1.0,1.0,performance recipe default,4096,Fresh latest-main+PR2879 performance recipe reruns (Qwen30/32=4096),19/20 last 20,COMPLETED,partial_usable_with_errors,226.60105263157894,1.0,0.0,956.5173684210528,1.0,,,1949.8336842105266,1.0,,,fresh latest-main+PR2879 performance recipe rerun; step>=2 summary; async log omits generation_time_s; driver ended with shutdown warnings,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260622_lyris_nemorl_qwen30_qwen32_pr2879_clean_nonpard_step20_recipe_osl_temp1/logs/qwen32_async1off_baseline/2175021-logs/ray-driver.log,examples/configs/recipes/llm/performance/grpo-qwen3-32b-8n4g-async-1off.yaml,latest_lyris_nemorl_qwen30_qwen32_pr2879_clean_nonpard_step20_recipe_osl_temp1_20260622_jobs.csv
2175019,qwen32_sync_eagle3_k3,Qwen3-32B,sync,Eagle-3 K=3,4x4,1.0,1.0,performance recipe default,4096,Fresh latest-main+PR2879 performance recipe reruns (Qwen30/32=4096),19/20 last 20,COMPLETED,partial_usable,440.99736842105267,1.2241915753167163,18.31343883074139,964.4952631578948,1.2376773654980417,247.79631578947368,1.3520272379904548,1755.687894736842,1.39714866337575,41.35718083303607,2.079369479212263,fresh latest-main+PR2879 performance recipe rerun; step>=2 summary; ,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260622_lyris_nemorl_qwen30_qwen32_pr2879_clean_nonpard_step20_recipe_osl_temp1/logs/qwen32_sync_eagle3/2175019-logs/ray-driver.log,examples/configs/recipes/llm/performance/grpo-qwen3-32b-4n4g.yaml,latest_lyris_nemorl_qwen30_qwen32_pr2879_clean_nonpard_step20_recipe_osl_temp1_20260622_jobs.csv
