job_id,model,mode,method,max_steps,max_new_tokens,min_tokens,temperature,top_p,top_k,target_model,draft_model,num_speculative_tokens,num_nodes,gpus_per_node,segment,gres_flag,use_system_env,ray_use_existing_env,system_pydeps_site,config,run_id,remote_repo,container,log_dir
2152132,qwen30ba3b,sync,baseline,20,4096,default,1.0,1.0,-1,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-30B-A3B/snapshots/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-30B-A3B/snapshots/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39,0,4,4,4,none,true,true,,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g.yaml,20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20,/project/coreai_dlalgo_llm/users/sna/RL-latest-main-canary-20260618,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_sync_baseline
2152133,qwen30ba3b,sync,eagle3,20,4096,default,1.0,1.0,-1,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-30B-A3B/snapshots/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--RedHatAI--Qwen3-30B-A3B-Thinking-2507-speculator.eagle3/snapshots/a7ec796dd65236f1ecd4ed2958a7f0689e5da5cf,3,4,4,4,none,true,true,,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g.yaml,20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20,/project/coreai_dlalgo_llm/users/sna/RL-latest-main-canary-20260618,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_sync_eagle3
2152134,qwen30ba3b,sync,suffix,20,4096,default,1.0,1.0,-1,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-30B-A3B/snapshots/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-30B-A3B/snapshots/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39,32,4,4,4,none,true,true,,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g.yaml,20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20,/project/coreai_dlalgo_llm/users/sna/RL-latest-main-canary-20260618,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_sync_suffix
2152135,qwen30ba3b,sync,pard,20,4096,default,1.0,1.0,-1,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-30B-A3B/snapshots/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--amd--PARD-Qwen3-0.6B/snapshots/34e73caf94c021c3d4b8bad86ebd3616850ab4fd,5,4,4,4,none,true,true,,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g.yaml,20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20,/project/coreai_dlalgo_llm/users/sna/RL-latest-main-canary-20260618,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_sync_pard
2152136,qwen30ba3b,async1off,baseline,20,4096,default,1.0,1.0,-1,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-30B-A3B/snapshots/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-30B-A3B/snapshots/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39,0,4,4,4,none,true,true,,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g-async-1off.yaml,20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20,/project/coreai_dlalgo_llm/users/sna/RL-latest-main-canary-20260618,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_async1off_baseline
2152137,qwen30ba3b,async1off,eagle3,20,4096,default,1.0,1.0,-1,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-30B-A3B/snapshots/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--RedHatAI--Qwen3-30B-A3B-Thinking-2507-speculator.eagle3/snapshots/a7ec796dd65236f1ecd4ed2958a7f0689e5da5cf,3,4,4,4,none,true,true,,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g-async-1off.yaml,20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20,/project/coreai_dlalgo_llm/users/sna/RL-latest-main-canary-20260618,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_async1off_eagle3
2152138,qwen30ba3b,async1off,suffix,20,4096,default,1.0,1.0,-1,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-30B-A3B/snapshots/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-30B-A3B/snapshots/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39,32,4,4,4,none,true,true,,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g-async-1off.yaml,20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20,/project/coreai_dlalgo_llm/users/sna/RL-latest-main-canary-20260618,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_async1off_suffix
2152139,qwen30ba3b,async1off,pard,20,4096,default,1.0,1.0,-1,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-30B-A3B/snapshots/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--amd--PARD-Qwen3-0.6B/snapshots/34e73caf94c021c3d4b8bad86ebd3616850ab4fd,5,4,4,4,none,true,true,,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g-async-1off.yaml,20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20,/project/coreai_dlalgo_llm/users/sna/RL-latest-main-canary-20260618,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen30ba3b_async1off_pard
2152140,qwen32,sync,baseline,20,4096,default,1.0,1.0,-1,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-32B/snapshots/9216db5781bf21249d130ec9da846c4624c16137,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-32B/snapshots/9216db5781bf21249d130ec9da846c4624c16137,0,4,4,4,none,true,true,,examples/configs/recipes/llm/performance/grpo-qwen3-32b-4n4g.yaml,20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20,/project/coreai_dlalgo_llm/users/sna/RL-latest-main-canary-20260618,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen32_sync_baseline
2152141,qwen32,sync,eagle3,20,4096,default,1.0,1.0,-1,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-32B/snapshots/9216db5781bf21249d130ec9da846c4624c16137,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--RedHatAI--Qwen3-32B-speculator.eagle3/snapshots/dc84fe7ff1db31efa824776f49c141fc8195eb47,3,4,4,4,none,true,true,,examples/configs/recipes/llm/performance/grpo-qwen3-32b-4n4g.yaml,20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20,/project/coreai_dlalgo_llm/users/sna/RL-latest-main-canary-20260618,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen32_sync_eagle3
