job_id,label,step,max_steps,status,loss,draft_training_enabled,draft_refit_this_step,draft_loss,generation_kl_error,avg_reward,total_step_time_s,generation_time_s,policy_training_time_s,policy_and_reference_logprobs_time_s,prepare_for_generation_total_s,e2e_tokens_per_sec_per_gpu,generation_worker_tokens_per_sec_per_gpu,policy_training_tokens_per_sec_per_gpu,policy_logprobs_tokens_per_sec_per_gpu,mean_generation_length,vllm_acceptance_rate_pct_mean_visible,vllm_acceptance_rate_pct_mean_weighted,vllm_acceptance_rate_pct_latest_visible,vllm_acceptance_length_mean_visible,vllm_acceptance_length_mean_weighted,vllm_acceptance_length_latest_visible,vllm_accepted_throughput_mean_visible,vllm_drafted_throughput_mean_visible,vllm_accepted_tokens_sum_weighted,vllm_drafted_tokens_sum_weighted,vllm_specdec_metric_visible_count,vllm_specdec_metric_weighted_count,error_count,latest_error,log_path,vllm_acceptance_rate_pos1_weighted,vllm_acceptance_rate_pos2_weighted,vllm_acceptance_rate_pos3_weighted,vllm_acceptance_rate_pos4_weighted,vllm_acceptance_rate_pos5_weighted,vllm_acceptance_rate_pos6_weighted,vllm_acceptance_rate_pos7_weighted,vllm_acceptance_rate_pos8_weighted,vllm_acceptance_rate_pos9_weighted
2172136,,1,3,completed_step,-0.0194,,,,0.0057,0.666,965.49,781.59,96.03,75.44,10.14,25.46,31.45,255.99,325.85,6046.0215,,,,,,,,,,,0,0,0,,tmp/lyris_qwen235b_pr2879_20260621_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260621_lyris_nemorl_qwen235b_pr2879_k_sweep_osl8192_step3_eagle3k3/logs/qwen235b_sync_eagle3/2172136-logs/ray-driver.log,,,,,,,,,
2172136,,2,3,completed_step,-0.0121,,,,0.0077,0.8418,1058.53,1006.8,22.24,11.32,15.81,14.26,15.0,678.81,1333.57,3678.5098,,,,,,,,,,,0,0,0,,tmp/lyris_qwen235b_pr2879_20260621_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260621_lyris_nemorl_qwen235b_pr2879_k_sweep_osl8192_step3_eagle3k3/logs/qwen235b_sync_eagle3/2172136-logs/ray-driver.log,,,,,,,,,
2172136,,3,3,completed_step,0.0203,,,,0.005,0.6133,1246.08,1180.79,39.48,12.23,11.09,20.26,21.38,639.5,2065.16,6203.0215,,,,,,,,,,,0,0,0,,tmp/lyris_qwen235b_pr2879_20260621_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260621_lyris_nemorl_qwen235b_pr2879_k_sweep_osl8192_step3_eagle3k3/logs/qwen235b_sync_eagle3/2172136-logs/ray-driver.log,,,,,,,,,
2172137,,1,3,completed_step,-0.0088,,,,0.0056,0.6582,917.74,733.01,98.19,73.67,10.62,26.76,33.51,250.13,333.4,6040.1992,,,,,,,,,,,0,0,0,,tmp/lyris_qwen235b_pr2879_20260621_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260621_lyris_nemorl_qwen235b_pr2879_k_sweep_osl8192_step3_eagle3k5/logs/qwen235b_sync_eagle3/2172137-logs/ray-driver.log,,,,,,,,,
2172137,,2,3,completed_step,-0.0052,,,,0.0077,0.8496,1019.88,966.67,23.38,11.52,15.75,15.05,15.88,656.53,1332.81,3740.8203,,,,,,,,,,,0,0,0,,tmp/lyris_qwen235b_pr2879_20260621_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260621_lyris_nemorl_qwen235b_pr2879_k_sweep_osl8192_step3_eagle3k5/logs/qwen235b_sync_eagle3/2172137-logs/ray-driver.log,,,,,,,,,
2172137,,3,3,completed_step,0.0013,,,,0.005,0.6074,1188.26,1124.6,37.48,12.75,11.06,21.32,22.53,675.94,1987.2,6224.5391,,,,,,,,,,,0,0,0,,tmp/lyris_qwen235b_pr2879_20260621_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260621_lyris_nemorl_qwen235b_pr2879_k_sweep_osl8192_step3_eagle3k5/logs/qwen235b_sync_eagle3/2172137-logs/ray-driver.log,,,,,,,,,
2173556,,1,20,completed_step,0.003,,,,0.0056,0.6406,1388.1,1204.49,94.17,77.73,9.56,17.86,20.58,263.24,318.93,6097.9766,,,,,,,,,,,0,0,0,,tmp/lyris_qwen235b_pr2879_20260621_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260621_lyris_nemorl_qwen235b_pr2879_pard_pard2_k16_fixed_sched_step20_osl8192_temp1/logs/qwen235b_sync_pard/2173556-logs/ray-driver.log,,,,,,,,,
2173556,,2,20,completed_step,-0.0109,,,,0.0078,0.8359,728.81,675.86,23.26,11.3,16.01,21.26,22.93,666.12,1370.8,3777.9395,,,,,,,,,,,0,0,0,,tmp/lyris_qwen235b_pr2879_20260621_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260621_lyris_nemorl_qwen235b_pr2879_pard_pard2_k16_fixed_sched_step20_osl8192_temp1/logs/qwen235b_sync_pard/2173556-logs/ray-driver.log,,,,,,,,,
2173556,,3,20,completed_step,-0.0018,,,,0.005,0.623,748.17,679.1,38.34,16.74,11.54,34.04,37.5,664.29,1521.67,6257.1348,,,,,,,,,,,0,0,0,,tmp/lyris_qwen235b_pr2879_20260621_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260621_lyris_nemorl_qwen235b_pr2879_pard_pard2_k16_fixed_sched_step20_osl8192_temp1/logs/qwen235b_sync_pard/2173556-logs/ray-driver.log,,,,,,,,,
2173556,,4,20,incomplete_step,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,tmp/lyris_qwen235b_pr2879_20260621_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260621_lyris_nemorl_qwen235b_pr2879_pard_pard2_k16_fixed_sched_step20_osl8192_temp1/logs/qwen235b_sync_pard/2173556-logs/ray-driver.log,,,,,,,,,
