job_id,label,step_filter,steps,completed_steps,incomplete_steps,first_step,last_step,max_steps,completed_step_span,incomplete_step_span,partial_result_state,draft_training_enabled_steps,draft_refit_steps,error_count_sum,latest_error,vllm_accepted_tokens_sum_weighted,vllm_drafted_tokens_sum_weighted,vllm_token_acceptance_pct,log_path,total_step_time_s_mean,generation_time_s_mean,policy_training_time_s_mean,policy_and_reference_logprobs_time_s_mean,prepare_for_generation_total_s_mean,e2e_tokens_per_sec_per_gpu_mean,generation_worker_tokens_per_sec_per_gpu_mean,policy_training_tokens_per_sec_per_gpu_mean,policy_logprobs_tokens_per_sec_per_gpu_mean,mean_generation_length_mean,draft_loss_mean,generation_kl_error_mean,avg_reward_mean,vllm_acceptance_rate_pct_mean_weighted_mean,vllm_acceptance_length_mean_weighted_mean,vllm_acceptance_rate_pos1_weighted_mean,vllm_acceptance_rate_pos2_weighted_mean,vllm_acceptance_rate_pos3_weighted_mean,vllm_acceptance_rate_pos4_weighted_mean,vllm_acceptance_rate_pos5_weighted_mean
2172136,,all,3,3,0,1,3,3,1-3,,complete,0,0,0,,,,,tmp/lyris_qwen235b_pr2879_20260621_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260621_lyris_nemorl_qwen235b_pr2879_k_sweep_osl8192_step3_eagle3k3/logs/qwen235b_sync_eagle3/2172136-logs/ray-driver.log,1090.0333333333333,989.7266666666666,52.583333333333336,32.99666666666666,12.346666666666666,19.993333333333336,22.61,524.7666666666667,1241.5266666666666,5309.184266666666,,0.0061333333333333335,0.7070333333333334,,,,,,,
2172137,,all,3,3,0,1,3,3,1-3,,complete,0,0,0,,,,,tmp/lyris_qwen235b_pr2879_20260621_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260621_lyris_nemorl_qwen235b_pr2879_k_sweep_osl8192_step3_eagle3k5/logs/qwen235b_sync_eagle3/2172137-logs/ray-driver.log,1041.96,941.4266666666666,53.01666666666666,32.64666666666667,12.476666666666667,21.043333333333333,23.973333333333333,527.5333333333333,1217.8033333333333,5335.1862,,0.0061,0.7050666666666667,,,,,,,
2173556,,all,4,3,1,1,4,20,1-3,4,partial_usable,0,0,0,,,,,tmp/lyris_qwen235b_pr2879_20260621_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260621_lyris_nemorl_qwen235b_pr2879_pard_pard2_k16_fixed_sched_step20_osl8192_temp1/logs/qwen235b_sync_pard/2173556-logs/ray-driver.log,955.0266666666666,853.15,51.92333333333334,35.25666666666667,12.37,24.386666666666667,27.00333333333333,531.2166666666667,1070.4666666666667,5377.683633333333,,0.0061333333333333335,0.6998333333333333,,,,,,,
2172803,,all,13,12,1,1,13,20,1-12,13,partial_usable,0,0,0,,,,,tmp/lyris_qwen235b_pr2879_20260621_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260621_lyris_nemorl_qwen235b_pr2879_step20_fixedquote_osl8192_temp1_core/logs/qwen235b_sync_baseline/2172803-logs/ray-driver.log,1405.3875,1321.2666666666667,42.280833333333334,18.5925,20.835,16.774166666666666,17.963333333333335,587.5908333333333,1668.2325,5619.291341666667,,0.006683333333333333,0.5823583333333333,,,,,,,
2172804,,all,13,12,1,1,13,20,1-12,13,partial_usable,0,0,0,,,,,tmp/lyris_qwen235b_pr2879_20260621_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260621_lyris_nemorl_qwen235b_pr2879_step20_fixedquote_osl8192_temp1_core/logs/qwen235b_sync_pard/2172804-logs/ray-driver.log,1118.1041666666667,1049.9575,37.6325,17.116666666666667,10.981666666666667,21.675833333333333,23.415833333333335,660.7458333333333,1777.8083333333334,5623.374183333333,,0.006666666666666667,0.5842999999999999,,,,,,,
2172805,,all,8,7,1,1,8,20,1-7,8,partial_usable,0,0,0,,,,,tmp/lyris_qwen235b_pr2879_20260621_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260621_lyris_nemorl_qwen235b_pr2879_step20_fixedquote_osl8192_temp1_core/logs/qwen235b_sync_suffix/2172805-logs/ray-driver.log,999.8328571428572,923.8442857142857,41.529999999999994,20.622857142857146,11.497142857142858,22.46857142857143,24.25857142857143,615.2357142857143,1651.097142857143,5477.079228571429,,0.0067857142857142855,0.6180285714285715,,,,,,,
2172802,,all,20,20,0,1,20,20,1-20,,complete,0,0,0,,,,,tmp/lyris_qwen235b_pr2879_20260621_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260621_lyris_nemorl_qwen235b_pr2879_step20_fixedquote_osl8192_temp1_eagle3k5/logs/qwen235b_sync_eagle3/2172802-logs/ray-driver.log,773.1600000000001,711.3895,33.826,14.853,10.690999999999999,29.2435,31.804000000000002,709.118,1845.0669999999998,5535.3585,,0.006805,0.587105,,,,,,,
2172082,,all,1,0,1,1,1,3,,1,no_completed_step,0,0,131,Traceback (most recent call last):,,,,tmp/lyris_qwen235b_pr2879_20260621_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260621_lyris_nemorl_qwen235b_specdec_pr2879_bestk_recipe_osl8192_step3/logs/qwen235b_sync_eagle3/2172082-logs/ray-driver.log,,,,,,,,,,,,,,,,,,,,
2172083,,all,3,3,0,1,3,3,1-3,,complete,0,0,6,"[rank122]:[W621 14:37:19.438823220 ProcessGroupNCCL.cpp:1826] [PG ID 0 PG GUID 0(default_pg) Rank 122] Failed to check the ""should dump"" flag on TCPStore, (maybe TCPStore server has shut down too early), with error: Failed to recv, got 0 bytes. Connection was likely closed. Did the remote server shu",,,,tmp/lyris_qwen235b_pr2879_20260621_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260621_lyris_nemorl_qwen235b_specdec_pr2879_bestk_recipe_osl8192_step3/logs/qwen235b_sync_pard/2172083-logs/ray-driver.log,838.6466666666666,739.89,51.70333333333334,32.699999999999996,12.040000000000001,25.53,29.006666666666664,535.6933333333333,1184.1133333333335,5311.125666666667,,0.006066666666666667,0.7018333333333334,,,,,,,
2172081,,all,1,0,1,1,1,3,,1,no_completed_step,0,0,131,Traceback (most recent call last):,,,,tmp/lyris_qwen235b_pr2879_20260621_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260621_lyris_nemorl_qwen235b_specdec_pr2879_bestk_recipe_osl8192_step3/logs/qwen235b_sync_suffix/2172081-logs/ray-driver.log,,,,,,,,,,,,,,,,,,,,
