suite,job_id,dataset,model_group,method,method_detail,model,prompt_offset,prompt_count,isl,osl,batch_sizes,logs_dir,breakdown_json,tracker_file,label,name,queue_state,acct_state,exit_code,elapsed,node,nodes,reason,runtime
math500,2113223,math500,qwen235b,baseline,baseline,Qwen/Qwen3-235B-A22B,0,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260613_math,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260613_math/breakdown.json,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_qwen235b_math500_osl32k_specdec_20260613_jobs.txt,math500_osl32k_qwen235b_baseline,coreai_dlalgo_llm-specdec.baseline-qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv,,TIMEOUT,0:0,05:00:02,lyris0106,,,
math500,2113230,math500,qwen235b,eagle3,eagle3_k3,Qwen/Qwen3-235B-A22B,0,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260613_math,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260613_math/breakdown.json,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_qwen235b_math500_osl32k_specdec_20260613_jobs.txt,math500_osl32k_qwen235b_eagle3_k3,coreai_dlalgo_llm-specdec.eagle3-qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv,,COMPLETED,0:0,03:02:24,lyris0219,,,
math500,2113228,math500,qwen235b,pard2,official_pard2_k1,Qwen/Qwen3-235B-A22B,0,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_pard2_offset0_n4_isl4096_osl32768_bs1_2_k1_20260613_math,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_pard2_offset0_n4_isl4096_osl32768_bs1_2_k1_20260613_math/breakdown.json,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_qwen235b_math500_osl32k_specdec_20260613_jobs.txt,math500_osl32k_qwen235b_official_pard2_k1,coreai_dlalgo_llm-specdec.pard2-qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv,,TIMEOUT,0:0,05:00:28,lyris0218,,,
math500,2113226,math500,qwen235b,pard,pard_k5,Qwen/Qwen3-235B-A22B,0,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260613_math,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260613_math/breakdown.json,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_qwen235b_math500_osl32k_specdec_20260613_jobs.txt,math500_osl32k_qwen235b_pard_k5,coreai_dlalgo_llm-specdec.pard-qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv,,COMPLETED,0:0,03:09:46,lyris0217,,,
math500,2113224,math500,qwen235b,suffix,suffix_k32,Qwen/Qwen3-235B-A22B,0,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260613_math,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260613_math/breakdown.json,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_qwen235b_math500_osl32k_specdec_20260613_jobs.txt,math500_osl32k_qwen235b_suffix_k32,coreai_dlalgo_llm-specdec.suffix-qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv,,COMPLETED,0:0,01:13:09,lyris0286,,,
swe,2113211,full,qwen235b,eagle3_k11,eagle3_k11,Qwen/Qwen3-235B-A22B,0,2,4096,32768,2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_eagle3_offset0_n2_isl4096_osl32768_bs2_k11_20260613,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_eagle3_offset0_n2_isl4096_osl32768_bs2_k11_20260613/breakdown.json,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_qwen235b_swebench_osl32k_drafter_k9_k11_20260613_jobs.csv,full_osl32k_qwen235b_eagle3_k11,coreai_dlalgo_llm-specdec.eagle3-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2,,COMPLETED,0:0,01:06:53,lyris0101,,,
swe,2113214,full,qwen235b,eagle3_k11,eagle3_k11,Qwen/Qwen3-235B-A22B,0,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4_eagle3_offset0_n4_isl4096_osl32768_bs4_k11_20260613,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4_eagle3_offset0_n4_isl4096_osl32768_bs4_k11_20260613/breakdown.json,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_qwen235b_swebench_osl32k_drafter_k9_k11_20260613_jobs.csv,full_osl32k_qwen235b_eagle3_k11,coreai_dlalgo_llm-specdec.eagle3-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4,,COMPLETED,0:0,01:17:51,lyris0102,,,
swe,2113219,full,qwen235b,eagle3_k11,eagle3_k11,Qwen/Qwen3-235B-A22B,0,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8_eagle3_offset0_n8_isl4096_osl32768_bs8_k11_20260613,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8_eagle3_offset0_n8_isl4096_osl32768_bs8_k11_20260613/breakdown.json,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_qwen235b_swebench_osl32k_drafter_k9_k11_20260613_jobs.csv,full_osl32k_qwen235b_eagle3_k11,coreai_dlalgo_llm-specdec.eagle3-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8,,COMPLETED,0:0,01:15:57,lyris0103,,,
swe,2113221,full,qwen235b,eagle3_k11,eagle3_k11,Qwen/Qwen3-235B-A22B,0,16,4096,32768,16,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16_eagle3_offset0_n16_isl4096_osl32768_bs16_k11_20260613,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16_eagle3_offset0_n16_isl4096_osl32768_bs16_k11_20260613/breakdown.json,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_qwen235b_swebench_osl32k_drafter_k9_k11_20260613_jobs.csv,full_osl32k_qwen235b_eagle3_k11,coreai_dlalgo_llm-specdec.eagle3-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16,,COMPLETED,0:0,01:14:55,lyris0104,,,
swe,2113222,full,qwen235b,eagle3_k11,eagle3_k11,Qwen/Qwen3-235B-A22B,0,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs32_eagle3_offset0_n32_isl4096_osl32768_bs32_k11_20260613,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs32_eagle3_offset0_n32_isl4096_osl32768_bs32_k11_20260613/breakdown.json,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_qwen235b_swebench_osl32k_drafter_k9_k11_20260613_jobs.csv,full_osl32k_qwen235b_eagle3_k11,coreai_dlalgo_llm-specdec.eagle3-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs32,,COMPLETED,0:0,01:25:06,lyris0105,,,
