dataset,batch,method,job_id,queue_state,acct_state,live_gen_tok_s,live_acceptance_pct,live_mean_acceptance_length,live_accepted_throughput,live_drafted_throughput,tail_status,latest_error,final_available
full,2,suffix_k8,2113100,,COMPLETED,56.80,89.70,7.84,49.52,55.18,ok,,1
full,2,suffix_k16,2113112,,COMPLETED,99.10,99.90,12.85,91.36,91.46,ok,,1
full,2,pard_k9,2113131,,COMPLETED,8.30,5.30,1.47,2.67,50.70,ok,,1
full,2,pard_k11,2113146,,COMPLETED,10.60,9.80,2.08,5.52,56.34,ok,,1
full,2,pard2_k9,2113164,RUNNING,RUNNING,27.60,11.00,1.99,13.74,124.51,ok,,0
full,2,pard2_k11,2113186,RUNNING,RUNNING,5.20,0.00,1.00,0.00,56.72,ok,,0
full,2,eagle3_k9,2113197,,COMPLETED,12.90,11.10,2.00,6.43,57.84,ok,,1
full,2,eagle3_k11,2113211,,COMPLETED,21.20,19.10,3.10,14.37,75.23,ok,,1
full,4,suffix_k8,2113101,,COMPLETED,63.50,96.60,8.73,56.23,58.23,ok,,1
full,4,suffix_k16,2113116,,COMPLETED,96.40,95.20,12.40,88.65,93.13,ok,,1
full,4,pard_k9,2113132,RUNNING,RUNNING,19.90,7.00,1.63,7.68,109.58,ok,,0
full,4,pard_k11,2113148,RUNNING,RUNNING,9.70,5.90,1.64,3.79,64.76,ok,,0
full,4,pard2_k9,2113167,RUNNING,RUNNING,32.10,2.30,1.21,5.46,239.35,ok,,0
full,4,pard2_k11,2113187,RUNNING,RUNNING,55.90,9.20,2.01,28.10,305.80,ok,,0
full,4,eagle3_k9,2113199,,COMPLETED,18.40,18.40,2.66,11.46,62.23,ok,,1
full,4,eagle3_k11,2113214,,COMPLETED,13.90,9.10,2.00,6.95,76.47,ok,,1
full,8,suffix_k8,2113103,,COMPLETED,65.70,100.00,9.00,58.36,58.36,ok,,1
full,8,suffix_k16,2113117,,COMPLETED,97.00,97.80,12.69,89.31,91.30,ok,,1
full,8,pard_k9,2113136,RUNNING,RUNNING,8.50,5.70,1.51,2.87,50.80,ok,,1
full,8,pard_k11,2113152,RUNNING,RUNNING,48.50,8.00,1.88,22.78,283.30,ok,,0
full,8,pard2_k9,2113170,RUNNING,RUNNING,85.30,6.40,1.57,31.03,488.56,ok,,0
full,8,pard2_k11,2113188,RUNNING,RUNNING,116.70,10.50,2.15,62.53,595.86,ok,,0
full,8,eagle3_k9,2113200,RUNNING,RUNNING,18.40,17.60,2.58,11.26,64.02,ok,,0
full,8,eagle3_k11,2113219,,COMPLETED,17.50,14.20,2.57,10.71,75.25,ok,,1
full,16,suffix_k8,2113104,,COMPLETED,20.40,32.40,2.85,13.21,40.82,ok,,1
full,16,suffix_k16,2113118,,COMPLETED,92.30,93.00,12.16,84.74,91.14,ok,,1
full,16,pard_k9,2113138,RUNNING,RUNNING,124.30,7.30,1.65,49.13,676.23,ok,,0
full,16,pard_k11,2113154,RUNNING,RUNNING,143.80,8.10,1.89,67.62,838.54,ok,,0
full,16,pard2_k9,2113171,RUNNING,RUNNING,140.70,3.50,1.32,33.95,960.44,ok,,0
full,16,pard2_k11,2113189,RUNNING,RUNNING,13.20,0.30,1.03,0.40,140.77,ok,,0
full,16,eagle3_k9,2113201,,COMPLETED,29.30,17.00,2.53,17.72,104.26,ok,,1
full,16,eagle3_k11,2113221,,COMPLETED,31.50,12.20,2.34,18.03,148.21,ok,,1
full,32,suffix_k8,2113105,,COMPLETED,11.90,16.50,1.75,5.10,30.89,ok,,1
full,32,suffix_k16,2113120,,COMPLETED,93.10,94.10,12.23,85.49,90.83,ok,,1
full,32,pard_k9,2113139,RUNNING,RUNNING,333.00,13.50,2.21,182.40,1355.43,ok,,0
full,32,pard_k11,2113156,RUNNING,RUNNING,296.90,9.10,2.01,148.84,1628.64,ok,,0
full,32,pard2_k9,2113172,RUNNING,RUNNING,10.40,0.00,1.00,0.00,93.75,ok,,0
full,32,pard2_k11,2113190,RUNNING,RUNNING,119.60,0.30,1.04,4.33,1268.55,ok,,0
full,32,eagle3_k9,2113202,COMPLETING,COMPLETED,13.90,11.10,2.00,6.94,62.47,ok,,1
full,32,eagle3_k11,2113222,RUNNING,RUNNING,38.50,16.30,2.80,24.75,151.47,ok,,0
verified,2,suffix_k8,2113088,,COMPLETED,65.30,100.00,9.00,58.02,58.02,ok,,1
verified,2,suffix_k16,2113106,,COMPLETED,97.10,98.60,12.68,89.40,90.69,ok,,1
verified,2,pard_k9,2113121,RUNNING,RUNNING,18.30,5.20,1.47,5.84,112.17,ok,,0
verified,2,pard_k11,2113140,RUNNING,RUNNING,18.20,4.30,1.47,5.82,136.61,ok,,0
verified,2,pard2_k9,2113158,RUNNING,RUNNING,15.00,1.10,1.10,1.38,122.49,ok,,0
verified,2,pard2_k11,2113175,RUNNING,RUNNING,16.70,2.10,1.24,3.17,148.28,ok,,0
verified,2,eagle3_k9,2113191,,COMPLETED,18.70,18.30,2.65,11.63,63.53,ok,,1
verified,2,eagle3_k11,2113204,,COMPLETED,16.60,12.90,2.42,9.73,75.32,ok,,1
verified,4,suffix_k8,2113089,,COMPLETED,66.00,100.00,9.00,58.70,58.70,ok,,1
verified,4,suffix_k16,2113107,,COMPLETED,99.10,100.00,13.00,91.46,91.46,ok,,1
verified,4,pard_k9,2113124,RUNNING,RUNNING,14.50,2.50,1.23,2.70,106.18,ok,,0
verified,4,pard_k11,2113141,RUNNING,RUNNING,29.70,6.90,1.75,12.77,186.17,ok,,0
verified,4,pard2_k9,2113159,RUNNING,RUNNING,29.00,1.00,1.09,2.38,239.49,ok,,0
verified,4,pard2_k11,2113179,RUNNING,RUNNING,38.70,4.20,1.46,12.25,291.30,ok,,0
verified,4,eagle3_k9,2113192,,COMPLETED,35.80,18.30,2.65,22.25,121.56,ok,,1
verified,4,eagle3_k11,2113205,,COMPLETED,19.40,16.70,2.84,12.55,75.02,ok,,1
verified,8,suffix_k8,2113092,,COMPLETED,128.60,99.60,8.97,114.26,114.76,ok,,1
verified,8,suffix_k16,2113108,,COMPLETED,99.20,99.00,12.88,91.47,92.36,ok,,1
verified,8,pard_k9,2113126,RUNNING,RUNNING,39.30,5.00,1.45,12.16,244.70,ok,,0
verified,8,pard_k11,2113142,RUNNING,RUNNING,58.00,8.00,1.88,27.21,339.23,ok,,0
verified,8,pard2_k9,2113160,RUNNING,RUNNING,64.20,2.30,1.21,11.19,477.52,ok,,0
verified,8,pard2_k11,2113181,RUNNING,RUNNING,136.60,14.50,2.60,84.08,577.91,ok,,0
verified,8,eagle3_k9,2113193,,COMPLETED,17.50,16.80,2.51,10.54,62.63,ok,,1
verified,8,eagle3_k11,2113207,,COMPLETED,17.10,13.20,2.46,10.14,76.57,ok,,1
verified,16,suffix_k8,2113093,,COMPLETED,59.80,90.20,8.22,52.56,58.24,ok,,1
verified,16,suffix_k16,2113109,,COMPLETED,210.20,97.00,12.64,194.16,200.11,ok,,1
verified,16,pard_k9,2113127,RUNNING,RUNNING,90.90,7.40,1.67,36.42,489.93,ok,,0
verified,16,pard_k11,2113144,RUNNING,RUNNING,130.30,7.50,1.82,58.84,785.63,ok,,0
verified,16,pard2_k9,2113162,RUNNING,RUNNING,130.00,2.30,1.21,22.44,968.00,ok,,0
verified,16,pard2_k11,2113182,RUNNING,RUNNING,16.70,0.30,1.04,0.60,177.49,ok,,0
verified,16,eagle3_k9,2113194,,COMPLETED,18.00,17.40,2.56,10.97,63.15,ok,,1
verified,16,eagle3_k11,2113209,RUNNING,RUNNING,13.80,9.10,2.00,6.92,76.14,ok,,0
verified,32,suffix_k8,2113095,,COMPLETED,64.90,100.00,9.00,57.70,57.70,ok,,1
verified,32,suffix_k16,2113110,,COMPLETED,94.50,97.20,12.65,87.08,89.57,ok,,1
verified,32,pard_k9,2113128,RUNNING,RUNNING,345.70,14.30,2.28,194.26,1362.67,ok,,0
verified,32,pard_k11,2113145,RUNNING,RUNNING,410.70,15.00,2.65,255.95,1702.50,ok,,0
verified,32,pard2_k9,2113163,RUNNING,RUNNING,563.90,18.60,2.68,353.28,1895.33,ok,,0
verified,32,pard2_k11,2113183,RUNNING,RUNNING,104.10,0.40,1.05,4.86,1092.05,ok,,0
verified,32,eagle3_k9,2113196,,COMPLETED,18.80,19.00,2.71,11.87,62.29,ok,,1
