suite,job_id,dataset,model_group,method,method_detail,model,prompt_offset,prompt_count,isl,osl,batch_sizes,logs_dir,breakdown_json,tracker_file,label,latest_prompt_tok_s,latest_generation_tok_s,running_reqs,waiting_reqs,gpu_kv_cache_pct,prefix_cache_hit_pct,live_acceptance_pct,live_mean_acceptance_length,live_accepted_throughput,live_drafted_throughput,latest_error,tail_status
math500,2124147,math500,qwen235b,baseline,baseline,Qwen/Qwen3-235B-A22B,0,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260614_temp1rl_math,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260614_temp1rl_math/breakdown.json,latest_lyris_qwen235b_standalone_temp1rl_math500_20260614_jobs.txt,math500_osl32k_qwen235b_baseline,0.0,8.3,1,0,0.8,15.7,,,,,,ok
math500,2124151,math500,qwen235b,eagle3,eagle3_k3,Qwen/Qwen3-235B-A22B,0,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260614_temp1rl_math,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260614_temp1rl_math/breakdown.json,latest_lyris_qwen235b_standalone_temp1rl_math500_20260614_jobs.txt,math500_osl32k_qwen235b_eagle3_k3,0.0,12.5,0,0,0.0,34.6,25.4,1.76,5.40,21.29,,ok
math500,2124150,math500,qwen235b,pard2,official_pard2_k1,Qwen/Qwen3-235B-A22B,0,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_pard2_offset0_n4_isl4096_osl32768_bs1_2_k1_20260614_temp1rl_math,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_pard2_offset0_n4_isl4096_osl32768_bs1_2_k1_20260614_temp1rl_math/breakdown.json,latest_lyris_qwen235b_standalone_temp1rl_math500_20260614_jobs.txt,math500_osl32k_qwen235b_official_pard2_k1,0.0,8.6,1,0,1.1,15.7,24.3,1.24,1.69,6.94,,ok
math500,2124149,math500,qwen235b,pard,pard_k5,Qwen/Qwen3-235B-A22B,0,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260614_temp1rl_math,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260614_temp1rl_math/breakdown.json,latest_lyris_qwen235b_standalone_temp1rl_math500_20260614_jobs.txt,math500_osl32k_qwen235b_pard_k5,0.0,9.3,1,0,2.4,59.3,12.4,1.62,3.55,28.57,,ok
math500,2124148,math500,qwen235b,suffix,suffix_k32,Qwen/Qwen3-235B-A22B,0,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260614_temp1rl_math,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260614_temp1rl_math/breakdown.json,latest_lyris_qwen235b_standalone_temp1rl_math500_20260614_jobs.txt,math500_osl32k_qwen235b_suffix_k32,0.0,15.3,1,0,1.5,59.3,29.2,2.23,7.86,26.97,,ok
swe,2124224,full,qwen235b,baseline,baseline,Qwen/Qwen3-235B-A22B,0,2,4096,32768,2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_baseline_offset0_n2_isl4096_osl32768_bs2_20260614_temp1rl,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_baseline_offset0_n2_isl4096_osl32768_bs2_20260614_temp1rl/breakdown.json,latest_lyris_qwen235b_standalone_temp1rl_swe_baseline_20260614_jobs.csv,full_osl32k_qwen235b_baseline,0.0,16.5,2,0,2.8,50.3,,,,,,ok
swe,2124225,full,qwen235b,baseline,baseline,Qwen/Qwen3-235B-A22B,0,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4_baseline_offset0_n4_isl4096_osl32768_bs4_20260614_temp1rl,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4_baseline_offset0_n4_isl4096_osl32768_bs4_20260614_temp1rl/breakdown.json,latest_lyris_qwen235b_standalone_temp1rl_swe_baseline_20260614_jobs.csv,full_osl32k_qwen235b_baseline,0.0,33.0,4,0,5.4,50.6,,,,,,ok
swe,2124226,full,qwen235b,baseline,baseline,Qwen/Qwen3-235B-A22B,0,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8_baseline_offset0_n8_isl4096_osl32768_bs8_20260614_temp1rl,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8_baseline_offset0_n8_isl4096_osl32768_bs8_20260614_temp1rl/breakdown.json,latest_lyris_qwen235b_standalone_temp1rl_swe_baseline_20260614_jobs.csv,full_osl32k_qwen235b_baseline,0.0,64.0,8,0,10.9,50.8,,,,,,ok
swe,2124227,full,qwen235b,baseline,baseline,Qwen/Qwen3-235B-A22B,0,16,4096,32768,16,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16_baseline_offset0_n16_isl4096_osl32768_bs16_20260614_temp1rl,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16_baseline_offset0_n16_isl4096_osl32768_bs16_20260614_temp1rl/breakdown.json,latest_lyris_qwen235b_standalone_temp1rl_swe_baseline_20260614_jobs.csv,full_osl32k_qwen235b_baseline,0.0,127.1,16,0,23.3,51.4,,,,,,ok
swe,2124228,full,qwen235b,baseline,baseline,Qwen/Qwen3-235B-A22B,0,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs32_baseline_offset0_n32_isl4096_osl32768_bs32_20260614_temp1rl,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs32_baseline_offset0_n32_isl4096_osl32768_bs32_20260614_temp1rl/breakdown.json,latest_lyris_qwen235b_standalone_temp1rl_swe_baseline_20260614_jobs.csv,full_osl32k_qwen235b_baseline,0.0,256.6,32,0,59.3,51.4,,,,,,ok
swe,2124142,full,qwen235b,eagle3_k11,eagle3_k11,Qwen/Qwen3-235B-A22B,0,2,4096,32768,2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_eagle3_offset0_n2_isl4096_osl32768_bs2_k11_20260614_temp1rl,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_eagle3_offset0_n2_isl4096_osl32768_bs2_k11_20260614_temp1rl/breakdown.json,latest_lyris_qwen235b_standalone_temp1rl_swe_drafter_k9_k11_20260614_jobs.csv,full_osl32k_qwen235b_eagle3_k11,0.0,14.7,1,0,1.5,0.4,12.1,2.33,8.38,69.44,,ok
swe,2124143,full,qwen235b,eagle3_k11,eagle3_k11,Qwen/Qwen3-235B-A22B,0,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4_eagle3_offset0_n4_isl4096_osl32768_bs4_k11_20260614_temp1rl,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4_eagle3_offset0_n4_isl4096_osl32768_bs4_k11_20260614_temp1rl/breakdown.json,latest_lyris_qwen235b_standalone_temp1rl_swe_drafter_k9_k11_20260614_jobs.csv,full_osl32k_qwen235b_eagle3_k11,0.0,8.3,1,0,1.4,49.6,1.7,1.19,1.30,76.92,,ok
swe,2124144,full,qwen235b,eagle3_k11,eagle3_k11,Qwen/Qwen3-235B-A22B,0,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8_eagle3_offset0_n8_isl4096_osl32768_bs8_k11_20260614_temp1rl,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8_eagle3_offset0_n8_isl4096_osl32768_bs8_k11_20260614_temp1rl/breakdown.json,latest_lyris_qwen235b_standalone_temp1rl_swe_drafter_k9_k11_20260614_jobs.csv,full_osl32k_qwen235b_eagle3_k11,0.0,8.8,1,0,1.5,49.8,3.0,1.33,2.20,72.48,,ok
swe,2124145,full,qwen235b,eagle3_k11,eagle3_k11,Qwen/Qwen3-235B-A22B,0,16,4096,32768,16,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16_eagle3_offset0_n16_isl4096_osl32768_bs16_k11_20260614_temp1rl,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16_eagle3_offset0_n16_isl4096_osl32768_bs16_k11_20260614_temp1rl/breakdown.json,latest_lyris_qwen235b_standalone_temp1rl_swe_drafter_k9_k11_20260614_jobs.csv,full_osl32k_qwen235b_eagle3_k11,0.0,15.9,1,0,1.6,50.0,12.0,2.32,9.02,75.20,,ok
