job_id,label,method,model,prompt_count,isl,osl,batch_sizes,log_path,latest_prompt_tok_s,latest_generation_tok_s,running_reqs,waiting_reqs,gpu_kv_cache_pct,prefix_cache_hit_pct,live_acceptance_pct,live_mean_acceptance_length,live_accepted_throughput,live_drafted_throughput,completed_batch_rows,last_completed_bs,last_completed_out_tok_s_gpu,last_completed_latency_s,last_completed_coverage_pct,tail_status
2101420,qwen235b_n16_isl4096_osl1024_baseline,baseline,Qwen/Qwen3-235B-A22B,16,4096,1024,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_r2_baseline_offset0_n16_isl4096_osl1024_bs1_2_20260611/slurm-2101420.out,0.0,16.2,2,0,0.2,53.6,,,,,2,2,4.08,1004.924,0.0,ok
2101421,qwen235b_n16_isl4096_osl1024_suffix_k32,suffix,Qwen/Qwen3-235B-A22B,16,4096,1024,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_r2_suffix_offset0_n16_isl4096_osl1024_bs1_2_k32_arctic_20260611/slurm-2101421.out,0.0,14.4,1,0,0.1,53.6,22.4,1.44,4.28,19.09,2,2,6.47,633.072,0.0,ok
2101504,qwen235b_n16_isl4096_osl1024_suffix_k1,suffix,Qwen/Qwen3-235B-A22B,16,4096,1024,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_suffix_k1_r2_suffix_offset0_n16_isl4096_osl1024_bs1_2_k1_arctic_20260611/slurm-2101504.out,0.0,22.3,2,0,0.2,53.6,28.4,1.28,4.77,16.79,2,2,5.86,699.316,0.0,ok
2101505,qwen235b_n16_isl4096_osl1024_suffix_k2,suffix,Qwen/Qwen3-235B-A22B,16,4096,1024,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_suffix_k2_r2_suffix_offset0_n16_isl4096_osl1024_bs1_2_k2_arctic_20260611/slurm-2101505.out,0.0,20.2,1,0,0.1,53.6,23.0,1.40,5.67,24.67,2,2,6.52,627.784,0.0,ok
2101506,qwen235b_n16_isl4096_osl1024_suffix_k4,suffix,Qwen/Qwen3-235B-A22B,16,4096,1024,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_suffix_k4_r2_suffix_offset0_n16_isl4096_osl1024_bs1_2_k4_arctic_20260611/slurm-2101506.out,0.0,24.4,2,0,0.2,53.6,19.5,1.45,7.48,38.41,2,2,6.53,627.661,0.0,ok
2101507,qwen235b_n16_isl4096_osl1024_suffix_k8,suffix,Qwen/Qwen3-235B-A22B,16,4096,1024,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_suffix_k8_r2_suffix_offset0_n16_isl4096_osl1024_bs1_2_k8_arctic_20260611/slurm-2101507.out,0.0,25.5,2,0,0.2,53.6,20.8,1.51,8.51,40.95,2,2,6.58,622.710,0.0,ok
2102005,qwen235b_n2_isl4096_osl32768_suffix_k1,suffix,Qwen/Qwen3-235B-A22B,2,4096,32768,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_suffix_k1_pilot_lyris_tp4_fp8kv_r2_suffix_offset0_n2_isl4096_osl32768_bs1_k1_arctic_20260611/slurm-2102005.out,0.0,14.4,1,0,1.3,27.0,100.0,2.00,7.19,7.19,1,1,3.78,4336.402,0.0,ok
2102006,qwen235b_n2_isl4096_osl32768_suffix_k2,suffix,Qwen/Qwen3-235B-A22B,2,4096,32768,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_suffix_k2_pilot_lyris_tp4_fp8kv_r2_suffix_offset0_n2_isl4096_osl32768_bs1_k2_arctic_20260611/slurm-2102006.out,0.0,21.6,1,0,1.3,27.0,100.0,3.00,14.37,14.37,1,1,5.13,3192.075,0.0,ok
2102008,qwen235b_n2_isl4096_osl32768_suffix_k4,suffix,Qwen/Qwen3-235B-A22B,2,4096,32768,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_suffix_k4_pilot_lyris_tp4_fp8kv_r2_suffix_offset0_n2_isl4096_osl32768_bs1_k4_arctic_20260611/slurm-2102008.out,0.0,35.5,1,0,1.3,27.0,99.0,4.96,28.31,28.61,1,1,7.01,2337.864,0.0,ok
2102009,qwen235b_n2_isl4096_osl32768_suffix_k8,suffix,Qwen/Qwen3-235B-A22B,2,4096,32768,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_suffix_k8_pilot_lyris_tp4_fp8kv_r2_suffix_offset0_n2_isl4096_osl32768_bs1_k8_arctic_20260611/slurm-2102009.out,0.0,65.4,1,0,1.3,27.0,100.0,9.00,58.14,58.14,1,1,11.65,1406.175,0.0,ok
