job_id,label,method,model,prompt_count,isl,osl,batch_sizes,queue_state,acct_state,exit_code,elapsed,node,runtime,reason,logs_dir
2101420,qwen235b_n16_isl4096_osl1024_baseline,baseline,Qwen/Qwen3-235B-A22B,16,4096,1024,1 2,,COMPLETED,0:0,00:57:24,lyris0239,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_r2_baseline_offset0_n16_isl4096_osl1024_bs1_2_20260611
2101421,qwen235b_n16_isl4096_osl1024_suffix_k32,suffix,Qwen/Qwen3-235B-A22B,16,4096,1024,1 2,,COMPLETED,0:0,00:39:27,lyris0214,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_r2_suffix_offset0_n16_isl4096_osl1024_bs1_2_k32_arctic_20260611
2101504,qwen235b_n16_isl4096_osl1024_suffix_k1,suffix,Qwen/Qwen3-235B-A22B,16,4096,1024,1 2,,COMPLETED,0:0,00:42:09,lyris0027,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_suffix_k1_r2_suffix_offset0_n16_isl4096_osl1024_bs1_2_k1_arctic_20260611
2101505,qwen235b_n16_isl4096_osl1024_suffix_k2,suffix,Qwen/Qwen3-235B-A22B,16,4096,1024,1 2,,COMPLETED,0:0,00:39:34,lyris0009,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_suffix_k2_r2_suffix_offset0_n16_isl4096_osl1024_bs1_2_k2_arctic_20260611
2101506,qwen235b_n16_isl4096_osl1024_suffix_k4,suffix,Qwen/Qwen3-235B-A22B,16,4096,1024,1 2,,COMPLETED,0:0,00:38:51,lyris0241,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_suffix_k4_r2_suffix_offset0_n16_isl4096_osl1024_bs1_2_k4_arctic_20260611
2101507,qwen235b_n16_isl4096_osl1024_suffix_k8,suffix,Qwen/Qwen3-235B-A22B,16,4096,1024,1 2,,COMPLETED,0:0,00:39:23,lyris0249,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_suffix_k8_r2_suffix_offset0_n16_isl4096_osl1024_bs1_2_k8_arctic_20260611
2102005,qwen235b_n2_isl4096_osl32768_suffix_k1,suffix,Qwen/Qwen3-235B-A22B,2,4096,32768,1,,COMPLETED,0:0,01:53:23,lyris0180,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_suffix_k1_pilot_lyris_tp4_fp8kv_r2_suffix_offset0_n2_isl4096_osl32768_bs1_k1_arctic_20260611
2102006,qwen235b_n2_isl4096_osl32768_suffix_k2,suffix,Qwen/Qwen3-235B-A22B,2,4096,32768,1,,COMPLETED,0:0,01:26:11,lyris0087,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_suffix_k2_pilot_lyris_tp4_fp8kv_r2_suffix_offset0_n2_isl4096_osl32768_bs1_k2_arctic_20260611
2102008,qwen235b_n2_isl4096_osl32768_suffix_k4,suffix,Qwen/Qwen3-235B-A22B,2,4096,32768,1,,COMPLETED,0:0,01:06:09,lyris0090,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_suffix_k4_pilot_lyris_tp4_fp8kv_r2_suffix_offset0_n2_isl4096_osl32768_bs1_k4_arctic_20260611
2102009,qwen235b_n2_isl4096_osl32768_suffix_k8,suffix,Qwen/Qwen3-235B-A22B,2,4096,32768,1,,COMPLETED,0:0,00:46:18,lyris0239,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_suffix_k8_pilot_lyris_tp4_fp8kv_r2_suffix_offset0_n2_isl4096_osl32768_bs1_k8_arctic_20260611
