checked_at,job_id,domain,model_group,method,k,temperature,batch_size,isl,osl,state,exit_code,elapsed,time_limit,live_generation_tok_s,live_tok_s_gpu_approx,running_reqs,waiting_reqs,gpu_kv_cache_pct,prefix_cache_hit_pct,live_acceptance_pct,live_mean_accept_len,live_accepted_tput,live_drafted_tput,engine_log_samples,specdec_log_samples,fatal_log_matches,breakdown_present,breakdown_valid,final_tok_s_gpu,final_acceptance_pct,final_mean_accept_len,partial,logs_dir
2026-06-20T06:33:29+00:00,2165286,swe,qwen235b,pard2,3,0.0,1,4096,32768,COMPLETED,0:0,02:25:40,05:00:00,5.8,1.4500,1,0,2.1,48.6,1.2,1.04,0.20,16.84,492,493,0,1,1,1.9083,4.9933,0.1498,False,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_verified_osl32k_bsweep_lyris_tp4_fp8kv_bs1_pard2_offset0_n1_isl4096_osl32768_bs1_k3_20260620_swe_pard2_ksweep_t00_k3
2026-06-20T06:33:29+00:00,2165287,swe,qwen235b,pard2,3,0.0,2,4096,32768,COMPLETED,0:0,02:30:54,05:00:00,11.3,2.8250,2,0,4.3,50.2,0.6,1.02,0.20,33.17,481,482,0,1,1,3.6966,4.5441,0.1363,False,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_verified_osl32k_bsweep_lyris_tp4_fp8kv_bs2_pard2_offset0_n2_isl4096_osl32768_bs2_k3_20260620_swe_pard2_ksweep_t00_k3
2026-06-20T06:33:29+00:00,2165288,swe,qwen235b,pard2,3,0.0,4,4096,32768,COMPLETED,0:0,02:32:58,05:00:00,9.0,2.2500,1,0,2.2,50.7,0.4,1.01,0.10,26.83,492,493,0,1,1,7.3051,5.2513,0.1575,False,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_verified_osl32k_bsweep_lyris_tp4_fp8kv_bs4_pard2_offset0_n4_isl4096_osl32768_bs4_k3_20260620_swe_pard2_ksweep_t00_k3
2026-06-20T06:33:29+00:00,2165289,swe,qwen235b,pard2,3,0.0,8,4096,32768,COMPLETED,0:0,02:37:13,05:00:00,5.5,1.3750,1,0,2.2,50.8,0.0,1.00,0.00,16.62,487,487,0,1,1,14.4123,4.8336,0.1450,False,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_verified_osl32k_bsweep_lyris_tp4_fp8kv_bs8_pard2_offset0_n8_isl4096_osl32768_bs8_k3_20260620_swe_pard2_ksweep_t00_k3
2026-06-20T06:33:29+00:00,2165290,swe,qwen235b,pard2,3,0.0,16,4096,32768,COMPLETED,0:0,02:39:36,05:00:00,11.3,2.8250,2,0,4.7,51.2,0.6,1.02,0.20,33.31,492,493,0,1,1,28.0011,5.1835,0.1555,False,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_verified_osl32k_bsweep_lyris_tp4_fp8kv_bs16_pard2_offset0_n16_isl4096_osl32768_bs16_k3_20260620_swe_pard2_ksweep_t00_k3
2026-06-20T06:33:29+00:00,2165291,swe,qwen235b,pard2,3,0.0,32,4096,32768,COMPLETED,0:0,02:51:32,05:00:00,5.6,1.4000,0,0,0.0,51.5,1.2,1.04,0.20,16.08,493,494,0,1,1,52.5270,6.7100,0.2013,False,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_verified_osl32k_bsweep_lyris_tp4_fp8kv_bs32_pard2_offset0_n32_isl4096_osl32768_bs32_k3_20260620_swe_pard2_ksweep_t00_k3
2026-06-20T06:33:29+00:00,2165292,swe,qwen235b,pard2,3,1.0,1,4096,32768,COMPLETED,0:0,02:32:29,05:00:00,5.9,1.4750,1,0,2.1,48.6,1.2,1.04,0.20,16.96,492,493,0,1,1,1.8340,3.6790,0.1104,False,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_verified_osl32k_bsweep_lyris_tp4_fp8kv_bs1_pard2_offset0_n1_isl4096_osl32768_bs1_k3_20260620_swe_pard2_ksweep_t10_k3
2026-06-20T06:33:29+00:00,2165293,swe,qwen235b,pard2,3,1.0,2,4096,32768,COMPLETED,0:0,02:36:20,05:00:00,5.5,1.3750,1,0,2.2,50.2,0.0,1.00,0.00,16.60,492,493,0,1,1,3.5587,3.6157,0.1085,False,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_verified_osl32k_bsweep_lyris_tp4_fp8kv_bs2_pard2_offset0_n2_isl4096_osl32768_bs2_k3_20260620_swe_pard2_ksweep_t10_k3
2026-06-20T06:33:29+00:00,2165294,swe,qwen235b,pard2,3,1.0,4,4096,32768,COMPLETED,0:0,02:36:50,05:00:00,5.6,1.4000,1,0,2.2,50.7,0.6,1.02,0.10,16.48,492,493,0,1,1,7.0393,4.1792,0.1254,False,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_verified_osl32k_bsweep_lyris_tp4_fp8kv_bs4_pard2_offset0_n4_isl4096_osl32768_bs4_k3_20260620_swe_pard2_ksweep_t10_k3
2026-06-20T06:33:29+00:00,2165295,swe,qwen235b,pard2,3,1.0,8,4096,32768,COMPLETED,0:0,02:44:50,05:00:00,5.5,1.3750,0,0,0.0,50.8,0.0,1.00,0.00,16.50,492,493,0,1,1,13.4002,4.2757,0.1283,False,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_verified_osl32k_bsweep_lyris_tp4_fp8kv_bs8_pard2_offset0_n8_isl4096_osl32768_bs8_k3_20260620_swe_pard2_ksweep_t10_k3
