job_id,name,queue_state,acct_state,exit_code,nodes,tres_per_node,reason,start_time,queue_time,elapsed,acct_start,acct_end
2109548,coreai_dlalgo_llm-specdec.baseline-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2,RUNNING,RUNNING,0:0,1,N/A,lyris0099,2026-06-12T14:44:54,1:29:28,01:29:28,2026-06-12T14:44:54,Unknown
2109554,coreai_dlalgo_llm-specdec.baseline-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4,RUNNING,RUNNING,0:0,1,N/A,lyris0127,2026-06-12T14:45:26,1:28:56,01:28:56,2026-06-12T14:45:26,Unknown
2109560,coreai_dlalgo_llm-specdec.baseline-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8,RUNNING,RUNNING,0:0,1,N/A,lyris0095,2026-06-12T14:45:26,1:28:56,01:28:56,2026-06-12T14:45:26,Unknown
2109567,coreai_dlalgo_llm-specdec.baseline-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16,RUNNING,RUNNING,0:0,1,N/A,lyris0256,2026-06-12T14:46:28,1:27:54,01:27:54,2026-06-12T14:46:28,Unknown
2109576,coreai_dlalgo_llm-specdec.baseline-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs32,RUNNING,RUNNING,0:0,1,N/A,lyris0050,2026-06-12T14:48:03,1:26:19,01:26:19,2026-06-12T14:48:03,Unknown
2109553,coreai_dlalgo_llm-specdec.eagle3-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2,,COMPLETED,0:0,,,,,,00:56:09,2026-06-12T14:45:26,2026-06-12T15:41:35
2109558,coreai_dlalgo_llm-specdec.eagle3-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4,,COMPLETED,0:0,,,,,,01:10:33,2026-06-12T14:45:26,2026-06-12T15:55:59
2109565,coreai_dlalgo_llm-specdec.eagle3-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8,,COMPLETED,0:0,,,,,,01:12:15,2026-06-12T14:45:57,2026-06-12T15:58:12
2109575,coreai_dlalgo_llm-specdec.eagle3-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16,,COMPLETED,0:0,,,,,,01:15:43,2026-06-12T14:47:00,2026-06-12T16:02:43
2109580,coreai_dlalgo_llm-specdec.eagle3-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs32,,COMPLETED,0:0,,,,,,01:19:36,2026-06-12T14:52:46,2026-06-12T16:12:22
2109552,coreai_dlalgo_llm-specdec.pard2-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2,RUNNING,RUNNING,0:0,1,N/A,lyris0035,2026-06-12T14:44:54,1:29:28,01:29:28,2026-06-12T14:44:54,Unknown
2109557,coreai_dlalgo_llm-specdec.pard2-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4,RUNNING,RUNNING,0:0,1,N/A,lyris0091,2026-06-12T14:45:26,1:28:56,01:28:56,2026-06-12T14:45:26,Unknown
2109564,coreai_dlalgo_llm-specdec.pard2-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8,RUNNING,RUNNING,0:0,1,N/A,lyris0270,2026-06-12T14:45:57,1:28:25,01:28:25,2026-06-12T14:45:57,Unknown
2109574,coreai_dlalgo_llm-specdec.pard2-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16,RUNNING,RUNNING,0:0,1,N/A,lyris0202,2026-06-12T14:47:00,1:27:22,01:27:22,2026-06-12T14:47:00,Unknown
2109579,coreai_dlalgo_llm-specdec.pard2-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs32,RUNNING,RUNNING,0:0,1,N/A,lyris0052,2026-06-12T14:52:46,1:21:36,01:21:36,2026-06-12T14:52:46,Unknown
2109551,coreai_dlalgo_llm-specdec.pard-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2,RUNNING,RUNNING,0:0,1,N/A,lyris0022,2026-06-12T14:44:54,1:29:28,01:29:28,2026-06-12T14:44:54,Unknown
2109556,coreai_dlalgo_llm-specdec.pard-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4,RUNNING,RUNNING,0:0,1,N/A,lyris0144,2026-06-12T14:45:26,1:28:56,01:28:56,2026-06-12T14:45:26,Unknown
2109563,coreai_dlalgo_llm-specdec.pard-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8,RUNNING,RUNNING,0:0,1,N/A,lyris0100,2026-06-12T14:45:26,1:28:56,01:28:56,2026-06-12T14:45:26,Unknown
2109572,coreai_dlalgo_llm-specdec.pard-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16,RUNNING,RUNNING,0:0,1,N/A,lyris0218,2026-06-12T14:47:00,1:27:22,01:27:22,2026-06-12T14:47:00,Unknown
2109578,coreai_dlalgo_llm-specdec.pard-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs32,RUNNING,RUNNING,0:0,1,N/A,lyris0265,2026-06-12T14:50:09,1:24:13,01:24:13,2026-06-12T14:50:09,Unknown
2109550,coreai_dlalgo_llm-specdec.suffix-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2,,COMPLETED,0:0,,,,,,00:23:34,2026-06-12T14:44:54,2026-06-12T15:08:28
2109555,coreai_dlalgo_llm-specdec.suffix-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4,,COMPLETED,0:0,,,,,,00:35:21,2026-06-12T14:45:26,2026-06-12T15:20:47
2109561,coreai_dlalgo_llm-specdec.suffix-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8,,COMPLETED,0:0,,,,,,00:39:59,2026-06-12T14:45:26,2026-06-12T15:25:25
