job_id,name,queue_state,acct_state,exit_code,nodes,tres_per_node,reason,start_time,queue_time,elapsed,acct_start,acct_end
2113211,coreai_dlalgo_llm-specdec.eagle3-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2,PENDING,PENDING,0:0,1,N/A,(Priority),2026-06-13T00:00:00,0:00,00:00:00,Unknown,Unknown
2113214,coreai_dlalgo_llm-specdec.eagle3-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4,PENDING,PENDING,0:0,1,N/A,(Priority),2026-06-13T00:00:00,0:00,00:00:00,Unknown,Unknown
2113219,coreai_dlalgo_llm-specdec.eagle3-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8,PENDING,PENDING,0:0,1,N/A,(Priority),2026-06-13T00:00:00,0:00,00:00:00,Unknown,Unknown
2113221,coreai_dlalgo_llm-specdec.eagle3-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16,PENDING,PENDING,0:0,1,N/A,(Priority),2026-06-13T00:00:00,0:00,00:00:00,Unknown,Unknown
2113222,coreai_dlalgo_llm-specdec.eagle3-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs32,PENDING,PENDING,0:0,1,N/A,(Priority),2026-06-13T00:00:00,0:00,00:00:00,Unknown,Unknown
2113197,coreai_dlalgo_llm-specdec.eagle3-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2,PENDING,PENDING,0:0,1,N/A,(Priority),2026-06-13T00:00:00,0:00,00:00:00,Unknown,Unknown
2113199,coreai_dlalgo_llm-specdec.eagle3-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4,PENDING,PENDING,0:0,1,N/A,(Priority),2026-06-13T00:00:00,0:00,00:00:00,Unknown,Unknown
2113200,coreai_dlalgo_llm-specdec.eagle3-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8,PENDING,PENDING,0:0,1,N/A,(Priority),2026-06-13T00:00:00,0:00,00:00:00,Unknown,Unknown
2113201,coreai_dlalgo_llm-specdec.eagle3-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16,PENDING,PENDING,0:0,1,N/A,(Priority),2026-06-13T00:00:00,0:00,00:00:00,Unknown,Unknown
2113202,coreai_dlalgo_llm-specdec.eagle3-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs32,PENDING,PENDING,0:0,1,N/A,(Priority),2026-06-13T00:00:00,0:00,00:00:00,Unknown,Unknown
2113186,coreai_dlalgo_llm-specdec.pard2-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2,PENDING,PENDING,0:0,1,N/A,(Priority),2026-06-13T00:00:00,0:00,00:00:00,Unknown,Unknown
2113187,coreai_dlalgo_llm-specdec.pard2-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4,PENDING,PENDING,0:0,1,N/A,(Priority),2026-06-13T00:00:00,0:00,00:00:00,Unknown,Unknown
2113188,coreai_dlalgo_llm-specdec.pard2-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8,PENDING,PENDING,0:0,1,N/A,(Priority),2026-06-13T00:00:00,0:00,00:00:00,Unknown,Unknown
2113189,coreai_dlalgo_llm-specdec.pard2-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16,PENDING,PENDING,0:0,1,N/A,(Priority),2026-06-13T00:00:00,0:00,00:00:00,Unknown,Unknown
2113190,coreai_dlalgo_llm-specdec.pard2-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs32,PENDING,PENDING,0:0,1,N/A,(Priority),2026-06-13T00:00:00,0:00,00:00:00,Unknown,Unknown
2113164,coreai_dlalgo_llm-specdec.pard2-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2,RUNNING,RUNNING,0:0,1,N/A,lyris0288,2026-06-12T23:17:57,6:56,00:06:57,2026-06-12T23:17:57,Unknown
2113167,coreai_dlalgo_llm-specdec.pard2-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4,RUNNING,RUNNING,0:0,1,N/A,lyris0280,2026-06-12T23:20:01,4:52,00:04:53,2026-06-12T23:20:01,Unknown
2113170,coreai_dlalgo_llm-specdec.pard2-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8,RUNNING,RUNNING,0:0,1,N/A,lyris0017,2026-06-12T23:20:01,4:52,00:04:53,2026-06-12T23:20:01,Unknown
2113171,coreai_dlalgo_llm-specdec.pard2-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16,RUNNING,RUNNING,0:0,1,N/A,lyris0018,2026-06-12T23:20:01,4:52,00:04:53,2026-06-12T23:20:01,Unknown
