job_id,model,mode,method,k,state,completed_steps,matched_step_span,max_steps,max_osl,temperature,top_p,enforce_eager,attention_backend,moe_backend,max_num_seqs,max_num_batched_tokens,num_nodes,gpus_per_node,slurm_segment,config_segment_size,e2e_step_time_s_mean,e2e_step_time_speedup,e2e_tokens_per_sec_per_gpu_mean,e2e_throughput_speedup,generation_time_s_mean,generation_time_speedup,generation_worker_tokens_per_sec_per_gpu_mean,generation_throughput_speedup,exposed_generation_time_s_mean,exposed_generation_time_speedup,generation_kl_error_mean,avg_reward_mean,acceptance_rate_pct,mean_accepted_length,wandb_url,basis,notes
2260469,Qwen3-30B-A3B,async-1off,baseline,0,COMPLETED,19,2-20,20,4096,1.0,1.0,false,TRITON_ATTN,triton,128,32768,4,4,4,2,300.2195,1.0000,1384.4428,1.0000,,,2826.5247,1.0000,1.4737,1.0000,0.001913,0.525416,,,https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/cj9hx0zo,final matched Step 2-20 means from W&B sampledHistory,Completed 20/20 with SLURM exit 0:0. Async runs expose generation-worker throughput and exposed-generation time rather than the sync generation_time metric.
2260470,Qwen3-30B-A3B,async-1off,eagle3,5,COMPLETED,19,2-20,20,4096,1.0,1.0,false,TRITON_ATTN,triton,128,32768,4,4,4,2,298.2111,1.0067,1390.8812,1.0047,,,2844.8575,1.0065,1.4705,1.0022,0.001894,0.524774,,,https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/4nbdgivx,final matched Step 2-20 means from W&B sampledHistory,Completed 20/20 with SLURM exit 0:0. Exact async performance recipe plus static Eagle-3 K5; performance is statistically near neutral and reward/KL match the baseline.
2260582,Qwen3-30B-A3B,async-1off,pard,1,COMPLETED,19,2-20,20,4096,1.0,1.0,false,TRITON_ATTN,triton,128,32768,4,4,4,2,344.5351,0.8714,1205.5599,0.8708,,,2457.6866,0.8695,1.5840,0.9304,0.001903,0.525776,,,https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/jswiovrk,final matched Step 2-20 means from W&B sampledHistory,Completed 20/20 with exit 0:0. PARD K1 preserves async overlap but remains about 13% slower than the matched baseline.
2260583,Qwen3-30B-A3B,async-1off,pard,7,COMPLETED,19,2-20,20,4096,1.0,1.0,false,TRITON_ATTN,triton,128,32768,4,4,4,2,327.9526,0.9154,1264.9375,0.9137,,,2582.8196,0.9138,1.5556,0.9474,0.001895,0.527601,,,https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/sney9zbd,final matched Step 2-20 means from W&B sampledHistory,Completed 20/20 with exit 0:0. PARD K7 preserves async overlap but remains about 8.6% slower than the matched baseline.
2260584,Qwen3-30B-A3B,async-1off,pard,9,COMPLETED,19,2-20,20,4096,1.0,1.0,false,TRITON_ATTN,triton,128,32768,4,4,4,2,345.1118,0.8699,1220.5244,0.8816,,,2489.1621,0.8806,42.4648,0.0347,0.001905,0.522692,,,https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/36v544xg,final matched Step 2-20 means from W&B sampledHistory,Completed 20/20 with exit 0:0. PARD K9 is 11.8% lower in E2E throughput and 11.9% lower in generation-worker throughput than the matched baseline; async overlap is also substantially worse.
2260471,Qwen3-30B-A3B,async-1off,pard,16,COMPLETED,19,2-20,20,4096,1.0,1.0,false,TRITON_ATTN,triton,128,32768,4,4,4,2,449.1708,0.6684,946.8545,0.6839,,,1923.0951,0.6804,144.2359,0.0102,0.001903,0.523206,,,https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/sglqd4lf,final matched Step 2-20 means from W&B sampledHistory,Completed 20/20 with exit 0:0. The 144.24s exposed-generation mean confirms async overlap collapse for PARD K16.
2261964,Qwen3-30B-A3B,async-1off,eagle3,7,COMPLETED,19,2-20,20,4096,1.0,1.0,false,TRITON_ATTN,triton,128,32768,4,4,4,2,284.3413,1.0558,1458.6898,1.0536,"","",2982.8691,1.0553,1.5219,0.9683,0.001901,0.525930,"","",https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/2x8v2abe,final matched Step 2-20 means from W&B sampled history,Completed 20/20 with exit 0:0. Async-1off Eagle K7 improves E2E throughput by 5.4% and generation-worker throughput by 5.5%; reward and KL remain aligned with the matched baseline. Acceptance metrics are not emitted by the current async path.
2261870,Qwen3-30B-A3B,async-1off,eagle3,9,COMPLETED,19,2-20,20,4096,1.0,1.0,false,TRITON_ATTN,triton,128,32768,4,4,4,2,279.3265,1.0748,1484.8788,1.0725,"","",3036.1276,1.0742,1.4576,1.0111,0.001887,0.525442,"","",https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/6ikyrt2d,final matched Step 2-20 means from W&B sampled history,Completed 20/20 with exit 0:0. Async-1off Eagle K9 improves E2E throughput by 7.3% and generation-worker throughput by 7.4%; reward and KL remain aligned with the matched baseline. Acceptance metrics are not emitted by the current async path.
2260883,Qwen3-30B-A3B,async-1off,pard,1,COMPLETED_REPLICATE,19,2-20,20,4096,1.0,1.0,false,TRITON_ATTN,triton,128,32768,4,4,4,2,284.3689,1.0557,1459.9322,1.0545,,,2984.4527,1.0559,1.4367,1.0258,0.001897,0.526958,,,https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/xneksrne,final matched Step 2-20 means from W&B sampled history,Completed 20/20 with exit 0:0. Independent five-hour K1 replicate improves E2E and generation-worker throughput by about 5.5%; correctness metrics remain aligned.
2260885,Qwen3-30B-A3B,async-1off,pard,7,COMPLETED_REPLICATE,19,2-20,20,4096,1.0,1.0,false,TRITON_ATTN,triton,128,32768,4,4,4,2,292.6591,1.0258,1420.0158,1.0257,,,2901.7432,1.0266,4.5765,0.3220,0.001889,0.524106,,,https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/kkrw6f37,final matched Step 2-20 means from W&B sampled history,Completed 20/20 with exit 0:0. Independent five-hour K7 replicate improves E2E and generation-worker throughput by about 2.6% despite a larger exposed-generation tail; correctness metrics remain aligned.
2260886,Qwen3-30B-A3B,async-1off,pard,9,COMPLETED_REPLICATE,19,2-20,20,4096,1.0,1.0,false,TRITON_ATTN,triton,128,32768,4,4,4,2,313.7330,0.9569,1339.7333,0.9677,,,2737.1653,0.9684,35.7309,0.0412,0.001892,0.525750,,,https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/dwl4molb,final matched Step 2-20 means from W&B sampled history,Completed 20/20 with exit 0:0. Independent five-hour K9 replicate is near throughput parity but async exposed-generation overlap remains unstable; correctness metrics remain aligned.
2260887,Qwen3-30B-A3B,async-1off,pard,16,COMPLETED_REPLICATE,19,2-20,20,4096,1.0,1.0,false,TRITON_ATTN,triton,128,32768,4,4,4,2,442.5463,0.6784,986.6718,0.7127,,,2004.0225,0.7090,169.0774,0.0087,0.001902,0.524928,,,https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/af3lth34,final matched Step 2-20 means from W&B sampled history,Completed 20/20 with exit 0:0. Independent five-hour K16 replicate remains substantially slower and confirms async overlap collapse; correctness metrics remain aligned.
