job_id,label,method,model,log_path,latest_prompt_tok_s,latest_generation_tok_s,running_reqs,waiting_reqs,gpu_kv_cache_pct,prefix_cache_hit_pct,live_acceptance_pct,live_mean_acceptance_length,live_accepted_throughput,live_drafted_throughput,completed_batch_rows,last_completed_bs,last_completed_out_tok_s_gpu,last_completed_latency_s,last_completed_coverage_pct,latest_error,tail_status
2100972,qwen30_baseline,baseline,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swebench_verified_osl32k_lyris_publicpard_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260611/slurm-2100972.out,0.0,39.8,2,0,6.5,60.6,,,,,1,2,39.23,3340.750,0.0,,ok
2100976,qwen30_suffix_k32,suffix,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swebench_verified_osl32k_lyris_publicpard_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260611/slurm-2100976.out,0.0,151.7,1,0,3.2,60.6,89.2,11.59,138.63,155.42,2,2,311.28,421.074,0.0,,ok
2100980,qwen30_pard_k5,pard,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swebench_verified_osl32k_lyris_publicpard_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260611/slurm-2100980.out,0.0,11.6,1,0,7.2,60.6,8.6,1.43,3.50,40.46,1,2,57.27,2288.861,0.0,,ok
2100973,qwen8_baseline,baseline,Qwen/Qwen3-8B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_8b_swebench_verified_osl32k_lyris_pard2_eagle3_baseline_offset0_n4_isl4096_osl32768_bs1_2_4_20260611/slurm-2100973.out,0.0,153.1,4,0,13.4,77.2,,,,,2,4,152.92,857.107,0.0,,ok
2100977,qwen8_pard2_k5,pard2,Qwen/Qwen3-8B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_8b_swebench_verified_osl32k_lyris_pard2_eagle3_pard2_offset0_n4_isl4096_osl32768_bs1_2_4_k5_20260611/slurm-2100977.out,0.0,50.2,4,0,17.0,77.2,1.2,1.06,2.79,236.86,0,,,,,[2026-06-11T22:20:19.003] error: *** JOB 2100977 ON lyris0015 CANCELLED AT 2026-06-11T22:20:19 DUE TO TIME LIMIT ***,ok
2100979,qwen8_eagle3_k3,eagle3,Qwen/Qwen3-8B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_8b_swebench_verified_osl32k_lyris_pard2_eagle3_eagle3_offset0_n4_isl4096_osl32768_bs1_2_4_k3_20260611/slurm-2100979.out,0.0,34.1,1,0,3.6,73.3,36.8,2.10,17.88,48.55,2,4,227.11,577.142,0.0,,ok
2100971,qwen14_baseline,baseline,Qwen/Qwen3-14B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_14b_swebench_verified_osl32k_lyris_pard2_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260611/slurm-2100971.out,0.0,69.4,2,0,8.4,60.6,,,,,1,2,68.21,1921.691,0.0,,ok
2100975,qwen14_pard2_k5,pard2,Qwen/Qwen3-14B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_14b_swebench_verified_osl32k_lyris_pard2_pard2_offset0_n4_isl4096_osl32768_bs1_2_k5_20260611/slurm-2100975.out,0.0,9.2,1,0,7.3,60.6,0.9,1.05,0.40,43.93,1,2,31.09,4215.649,0.0,,ok
2100974,qwen30thinking_baseline,baseline,Qwen/Qwen3-30B-A3B-Thinking-2507,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_thinking2507_swebench_verified_osl32k_lyris_eagle3_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260611/slurm-2100974.out,0.0,40.6,2,0,6.5,61.0,,,,,1,2,39.97,3279.007,0.0,,ok
2100978,qwen30thinking_eagle3_k1,eagle3,Qwen/Qwen3-30B-A3B-Thinking-2507,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_thinking2507_swebench_verified_osl32k_lyris_eagle3_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k1_20260611/slurm-2100978.out,0.0,12.5,1,0,3.5,59.0,0.8,1.01,0.10,12.36,1,2,40.22,3258.863,0.0,,ok
2101240,qwen30_suffix_k5,suffix,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swebench_verified_osl32k_lyris_suffix_k5_control_suffix_offset0_n4_isl4096_osl32768_bs1_2_k5_arctic_20260611/slurm-2101240.out,0.0,145.0,1,0,3.2,60.6,99.2,5.95,120.78,121.78,2,2,188.48,695.429,0.0,,ok
2101239,qwen8_suffix_k5,suffix,Qwen/Qwen3-8B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_8b_swebench_verified_osl32k_lyris_suffix_k5_control_suffix_offset0_n4_isl4096_osl32768_bs1_2_4_k5_arctic_20260611/slurm-2101239.out,0.0,103.8,1,0,3.3,77.2,100.0,6.00,86.47,86.47,2,4,505.84,259.118,0.0,,ok
2101241,qwen14_suffix_k5,suffix,Qwen/Qwen3-14B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_14b_swebench_verified_osl32k_lyris_suffix_k5_control_suffix_offset0_n4_isl4096_osl32768_bs1_2_k5_arctic_20260611/slurm-2101241.out,0.0,88.0,1,0,4.3,60.6,100.0,5.97,73.23,73.23,2,2,277.93,471.594,0.0,,ok
2101263,qwen30_pard_k9,pard,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swebench_verified_osl32k_lyris_publicpard_highk_pard_offset0_n4_isl4096_osl32768_bs1_2_k9_20260611/slurm-2101263.out,0.0,9.3,1,0,7.2,60.6,1.6,1.15,1.20,72.89,1,2,59.68,2196.318,0.0,,ok
2101264,qwen30_pard_k11,pard,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swebench_verified_osl32k_lyris_publicpard_highk_pard_offset0_n4_isl4096_osl32768_bs1_2_k11_20260611/slurm-2101264.out,0.0,8.9,1,0,7.2,60.6,0.9,1.10,0.79,89.20,1,2,59.88,2189.051,0.0,,ok
2101266,qwen8_pard2_k9,pard2,Qwen/Qwen3-8B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_8b_swebench_verified_osl32k_lyris_pard2_highk_pard2_offset0_n4_isl4096_osl32768_bs1_2_4_k9_20260611/slurm-2101266.out,0.0,55.2,4,0,14.8,77.2,0.5,1.04,2.29,476.31,0,,,,,[2026-06-11T22:45:18.009] error: pyxis: child 2036507 terminated with signal 15,ok
2101267,qwen8_pard2_k11,pard2,Qwen/Qwen3-8B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_8b_swebench_verified_osl32k_lyris_pard2_highk_pard2_offset0_n4_isl4096_osl32768_bs1_2_4_k11_20260611/slurm-2101267.out,0.0,53.7,4,0,15.8,77.2,0.6,1.06,3.18,556.04,0,,,,,[2026-06-11T22:45:18.003] error: *** JOB 2101267 ON lyris0069 CANCELLED AT 2026-06-11T22:45:18 DUE TO TIME LIMIT ***,ok
2101268,qwen14_pard2_k9,pard2,Qwen/Qwen3-14B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_14b_swebench_verified_osl32k_lyris_pard2_highk_pard2_offset0_n4_isl4096_osl32768_bs1_2_k9_20260611/slurm-2101268.out,0.0,9.1,1,0,7.3,60.6,0.4,1.03,0.30,79.44,1,2,31.31,4186.319,0.0,,ok
2101269,qwen14_pard2_k11,pard2,Qwen/Qwen3-14B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_14b_swebench_verified_osl32k_lyris_pard2_highk_pard2_offset0_n4_isl4096_osl32768_bs1_2_k11_20260611/slurm-2101269.out,0.0,9.1,1,0,7.3,60.6,0.2,1.02,0.20,97.85,1,2,31.51,4160.152,0.0,,ok
2101270,qwen8_eagle3_k5,eagle3,Qwen/Qwen3-8B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_8b_swebench_verified_osl32k_lyris_eagle3_highk_eagle3_offset0_n4_isl4096_osl32768_bs1_2_4_k5_20260611/slurm-2101270.out,0.0,34.1,1,0,3.6,74.7,22.6,2.13,18.10,80.07,2,4,229.49,571.135,0.0,,ok
2101271,qwen8_eagle3_k9,eagle3,Qwen/Qwen3-8B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_8b_swebench_verified_osl32k_lyris_eagle3_highk_eagle3_offset0_n4_isl4096_osl32768_bs1_2_4_k9_20260611/slurm-2101271.out,0.0,32.8,1,0,3.6,74.7,12.4,2.12,17.32,139.73,2,4,217.98,601.314,0.0,,ok
2101272,qwen8_eagle3_k11,eagle3,Qwen/Qwen3-8B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_8b_swebench_verified_osl32k_lyris_eagle3_highk_eagle3_offset0_n4_isl4096_osl32768_bs1_2_4_k11_20260611/slurm-2101272.out,0.0,32.4,1,0,3.6,74.7,10.1,2.11,17.03,168.67,2,4,211.53,619.643,0.0,,ok
2101273,qwen30thinking_eagle3_k3,eagle3,Qwen/Qwen3-30B-A3B-Thinking-2507,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_thinking2507_swebench_verified_osl32k_lyris_eagle3_highk_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260611/slurm-2101273.out,0.0,12.3,1,0,3.5,59.0,1.1,1.03,0.40,35.63,1,2,40.68,3222.234,0.0,,ok
2101274,qwen30thinking_eagle3_k5,eagle3,Qwen/Qwen3-30B-A3B-Thinking-2507,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_thinking2507_swebench_verified_osl32k_lyris_eagle3_highk_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k5_20260611/slurm-2101274.out,0.0,12.3,1,0,3.5,59.0,0.8,1.04,0.50,59.06,1,2,39.16,3347.008,0.0,,ok
2101275,qwen30thinking_eagle3_k9,eagle3,Qwen/Qwen3-30B-A3B-Thinking-2507,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_thinking2507_swebench_verified_osl32k_lyris_eagle3_highk_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k9_20260611/slurm-2101275.out,0.0,12.0,1,0,3.5,59.0,0.3,1.03,0.30,105.43,1,2,37.97,3451.762,0.0,,ok
2101276,qwen30thinking_eagle3_k11,eagle3,Qwen/Qwen3-30B-A3B-Thinking-2507,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_thinking2507_swebench_verified_osl32k_lyris_eagle3_highk_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k11_20260611/slurm-2101276.out,0.0,12.2,1,0,3.5,59.0,0.5,1.05,0.60,127.71,1,2,37.27,3516.823,0.0,,ok
2102005,qwen235b_suffix_k1,suffix,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_suffix_k1_pilot_lyris_tp4_fp8kv_r2_suffix_offset0_n2_isl4096_osl32768_bs1_k1_arctic_20260611/slurm-2102005.out,0.0,14.4,1,0,1.3,27.0,100.0,2.00,7.19,7.19,1,1,3.78,4336.402,0.0,,ok
2102006,qwen235b_suffix_k2,suffix,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_suffix_k2_pilot_lyris_tp4_fp8kv_r2_suffix_offset0_n2_isl4096_osl32768_bs1_k2_arctic_20260611/slurm-2102006.out,0.0,21.6,1,0,1.3,27.0,100.0,3.00,14.37,14.37,1,1,5.13,3192.075,0.0,,ok
2102008,qwen235b_suffix_k4,suffix,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_suffix_k4_pilot_lyris_tp4_fp8kv_r2_suffix_offset0_n2_isl4096_osl32768_bs1_k4_arctic_20260611/slurm-2102008.out,0.0,35.5,1,0,1.3,27.0,99.0,4.96,28.31,28.61,1,1,7.01,2337.864,0.0,,ok
2102009,qwen235b_suffix_k8,suffix,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_suffix_k8_pilot_lyris_tp4_fp8kv_r2_suffix_offset0_n2_isl4096_osl32768_bs1_k8_arctic_20260611/slurm-2102009.out,0.0,65.4,1,0,1.3,27.0,100.0,9.00,58.14,58.14,1,1,11.65,1406.175,0.0,,ok
2101422,qwen235b_baseline,baseline,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_pilot_lyris_tp4_fp8kv_r2_baseline_offset0_n2_isl4096_osl32768_bs1_20260611/slurm-2101422.out,0.0,8.3,1,0,1.3,27.0,,,,,1,1,2.09,7854.434,0.0,,ok
2101423,qwen235b_suffix_k32,suffix,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_pilot_lyris_tp4_fp8kv_r2_suffix_offset0_n2_isl4096_osl32768_bs1_k32_arctic_20260611/slurm-2101423.out,0.0,101.4,1,0,1.3,27.0,100.0,13.00,93.57,93.57,1,1,12.60,1299.868,0.0,,ok
