job_id,name,queue_state,acct_state,exit_code,nodes,tres_per_node,reason,start_time,queue_time,elapsed,acct_start,acct_end
2100972,vllm-baseline-qwen30ba3b_swebench_verified_osl32k_lyris_publicpard,,COMPLETED,0:0,,,,,,03:44:34,2026-06-11T17:20:14,2026-06-11T21:04:48
2100976,vllm-suffix-qwen30ba3b_swebench_verified_osl32k_lyris_publicpard,,COMPLETED,0:0,,,,,,00:27:50,2026-06-11T17:20:14,2026-06-11T17:48:04
2100980,vllm-pard-qwen30ba3b_swebench_verified_osl32k_lyris_publicpard,,COMPLETED,0:0,,,,,,02:13:45,2026-06-11T17:20:21,2026-06-11T19:34:06
2100973,vllm-baseline-qwen3_8b_swebench_verified_osl32k_lyris_pard2_eagle3,,COMPLETED,0:0,,,,,,02:26:02,2026-06-11T17:20:14,2026-06-11T19:46:16
2100977,vllm-pard2-qwen3_8b_swebench_verified_osl32k_lyris_pard2_eagle3,,TIMEOUT,0:0,,,,,,05:00:04,2026-06-11T17:20:14,2026-06-11T22:20:18
2100979,vllm-eagle3-qwen3_8b_swebench_verified_osl32k_lyris_pard2_eagle3,,COMPLETED,0:0,,,,,,01:27:31,2026-06-11T17:20:21,2026-06-11T18:47:52
2100971,vllm-baseline-qwen3_14b_swebench_verified_osl32k_lyris_pard2,,COMPLETED,0:0,,,,,,02:09:43,2026-06-11T17:20:14,2026-06-11T19:29:57
2100975,vllm-pard2-qwen3_14b_swebench_verified_osl32k_lyris_pard2,,COMPLETED,0:0,,,,,,04:29:36,2026-06-11T17:20:14,2026-06-11T21:49:50
2100974,vllm-baseline-qwen30ba3b_thinking2507_swebench_verified_osl32k_lyris_eagle3,,COMPLETED,0:0,,,,,,03:38:27,2026-06-11T17:20:14,2026-06-11T20:58:41
2100978,vllm-eagle3-qwen30ba3b_thinking2507_swebench_verified_osl32k_lyris_eagle3,,COMPLETED,0:0,,,,,,03:34:59,2026-06-11T17:20:17,2026-06-11T20:55:16
2101240,vllm-suffix-qwen30ba3b_swebench_verified_osl32k_lyris_suffix_k5_control,,COMPLETED,0:0,,,,,,00:49:26,2026-06-11T17:40:36,2026-06-11T18:30:02
2101239,vllm-suffix-qwen3_8b_swebench_verified_osl32k_lyris_suffix_k5_control,,COMPLETED,0:0,,,,,,00:44:15,2026-06-11T17:40:36,2026-06-11T18:24:51
