job_id,dataset,model_group,label,method,method_detail,model,prompt_count,isl,osl,batch_sizes,log_path,latest_prompt_tok_s,latest_generation_tok_s,running_reqs,waiting_reqs,gpu_kv_cache_pct,prefix_cache_hit_pct,live_acceptance_pct,live_mean_acceptance_length,live_accepted_throughput,live_drafted_throughput,completed_batch_rows,last_completed_bs,last_completed_out_tok_s_gpu,last_completed_latency_s,last_completed_coverage_pct,latest_error,tail_status
2102310,full,qwen30,full_osl16k_qwen30_baseline,baseline,baseline,Qwen/Qwen3-30B-A3B,4,4096,16384,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl16k_lyris_baseline_offset0_n4_isl4096_osl16384_bs1_2_20260611/slurm-2102310.out,0.0,38.7,2,0,3.2,71.7,,,,,2,2,38.85,1686.975,0.0,,ok
2102312,full,qwen30,full_osl16k_qwen30_pard_k5,pard,pard_k5,Qwen/Qwen3-30B-A3B,4,4096,16384,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl16k_lyris_pard_offset0_n4_isl4096_osl16384_bs1_2_k5_20260611/slurm-2102312.out,0.0,40.4,1,0,3.5,71.7,40.3,3.01,27.00,67.00,2,2,113.92,575.275,0.0,,ok
2102311,full,qwen30,full_osl16k_qwen30_suffix_k32,suffix,suffix_k32,Qwen/Qwen3-30B-A3B,4,4096,16384,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl16k_lyris_suffix_offset0_n4_isl4096_osl16384_bs1_2_k32_arctic_20260611/slurm-2102311.out,0.0,233.8,1,0,1.5,71.7,93.3,11.73,213.84,229.19,2,2,270.99,241.839,0.0,,ok
2102313,full,qwen8,full_osl16k_qwen8_baseline,baseline,baseline,Qwen/Qwen3-8B,4,4096,16384,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen8_swe_full_osl16k_lyris_baseline_offset0_n4_isl4096_osl16384_bs1_2_20260611/slurm-2102313.out,0.0,74.5,2,0,3.3,71.7,,,,,2,2,73.60,890.434,0.0,,ok
2102317,full,qwen8,full_osl16k_qwen8_eagle3_k3,eagle3,eagle3_k3,Qwen/Qwen3-8B,4,4096,16384,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen8_swe_full_osl16k_lyris_eagle3_offset0_n4_isl4096_osl16384_bs1_2_k3_20260611/slurm-2102317.out,0.0,100.9,1,0,1.7,63.7,61.4,2.84,65.59,106.75,2,2,173.33,378.100,0.0,,ok
2102316,full,qwen8,full_osl16k_qwen8_pard2_k5,pard2,pard2_k5,Qwen/Qwen3-8B,4,4096,16384,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen8_swe_full_osl16k_lyris_pard2_offset0_n4_isl4096_osl16384_bs1_2_k5_20260611/slurm-2102316.out,0.0,18.4,1,0,3.0,71.7,1.0,1.05,0.90,87.57,1,2,52.43,1250.072,0.0,,ok
2102314,full,qwen8,full_osl16k_qwen8_suffix_k32,suffix,suffix_k32,Qwen/Qwen3-8B,4,4096,16384,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen8_swe_full_osl16k_lyris_suffix_offset0_n4_isl4096_osl16384_bs1_2_k32_arctic_20260611/slurm-2102314.out,0.0,462.3,1,0,1.6,71.7,100.0,12.97,427.12,427.12,2,2,550.89,118.964,0.0,,ok
2109548,full,qwen235b,full_osl32k_qwen235b_baseline,baseline,baseline,Qwen/Qwen3-235B-A22B,2,4096,32768,2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_baseline_offset0_n2_isl4096_osl32768_bs2_20260612/slurm-2109548.out,0.0,16.9,2,0,0.4,0.7,,,,,0,,,,,,ok
2109554,full,qwen235b,full_osl32k_qwen235b_baseline,baseline,baseline,Qwen/Qwen3-235B-A22B,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4_baseline_offset0_n4_isl4096_osl32768_bs4_20260612/slurm-2109554.out,0.0,32.5,4,0,0.7,1.7,,,,,0,,,,,,ok
2109560,full,qwen235b,full_osl32k_qwen235b_baseline,baseline,baseline,Qwen/Qwen3-235B-A22B,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8_baseline_offset0_n8_isl4096_osl32768_bs8_20260612/slurm-2109560.out,0.0,64.8,8,0,1.4,2.2,,,,,0,,,,,,ok
