job_id,name,queue_state,acct_state,exit_code,nodes,tres_per_node,reason,start_time,queue_time,elapsed,acct_start,acct_end
2102310,coreai_dlalgo_llm-specdec.baseline-qwen30ba3b_swe_full_osl16k_lyris,,COMPLETED,0:0,,,,,,01:52:55,2026-06-11T22:21:38,2026-06-12T00:14:33
2102312,coreai_dlalgo_llm-specdec.pard-qwen30ba3b_swe_full_osl16k_lyris,,COMPLETED,0:0,,,,,,00:39:05,2026-06-11T22:21:38,2026-06-11T23:00:43
2102311,coreai_dlalgo_llm-specdec.suffix-qwen30ba3b_swe_full_osl16k_lyris,,COMPLETED,0:0,,,,,,00:17:43,2026-06-11T22:21:38,2026-06-11T22:39:21
2102313,coreai_dlalgo_llm-specdec.baseline-qwen8_swe_full_osl16k_lyris,,COMPLETED,0:0,,,,,,01:00:39,2026-06-11T22:21:38,2026-06-11T23:22:17
2102317,coreai_dlalgo_llm-specdec.eagle3-qwen8_swe_full_osl16k_lyris,,COMPLETED,0:0,,,,,,00:26:03,2026-06-11T22:21:38,2026-06-11T22:47:41
2102316,coreai_dlalgo_llm-specdec.pard2-qwen8_swe_full_osl16k_lyris,,COMPLETED,0:0,,,,,,01:21:37,2026-06-11T22:21:38,2026-06-11T23:43:15
2102314,coreai_dlalgo_llm-specdec.suffix-qwen8_swe_full_osl16k_lyris,,COMPLETED,0:0,,,,,,00:09:03,2026-06-11T22:21:38,2026-06-11T22:30:41
2109548,coreai_dlalgo_llm-specdec.baseline-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2,RUNNING,RUNNING,0:0,1,N/A,lyris0099,2026-06-12T14:44:54,8:06,00:08:07,2026-06-12T14:44:54,Unknown
2109554,coreai_dlalgo_llm-specdec.baseline-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4,RUNNING,RUNNING,0:0,1,N/A,lyris0127,2026-06-12T14:45:26,7:34,00:07:35,2026-06-12T14:45:26,Unknown
2109560,coreai_dlalgo_llm-specdec.baseline-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8,RUNNING,RUNNING,0:0,1,N/A,lyris0095,2026-06-12T14:45:26,7:34,00:07:35,2026-06-12T14:45:26,Unknown
2109567,coreai_dlalgo_llm-specdec.baseline-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16,RUNNING,RUNNING,0:0,1,N/A,lyris0256,2026-06-12T14:46:28,6:32,00:06:33,2026-06-12T14:46:28,Unknown
2109576,coreai_dlalgo_llm-specdec.baseline-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs32,RUNNING,RUNNING,0:0,1,N/A,lyris0050,2026-06-12T14:48:03,4:57,00:04:58,2026-06-12T14:48:03,Unknown
2109553,coreai_dlalgo_llm-specdec.eagle3-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2,RUNNING,RUNNING,0:0,1,N/A,lyris0028,2026-06-12T14:45:26,7:34,00:07:35,2026-06-12T14:45:26,Unknown
2109558,coreai_dlalgo_llm-specdec.eagle3-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4,RUNNING,RUNNING,0:0,1,N/A,lyris0093,2026-06-12T14:45:26,7:34,00:07:35,2026-06-12T14:45:26,Unknown
2109565,coreai_dlalgo_llm-specdec.eagle3-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8,RUNNING,RUNNING,0:0,1,N/A,lyris0225,2026-06-12T14:45:57,7:03,00:07:04,2026-06-12T14:45:57,Unknown
2109575,coreai_dlalgo_llm-specdec.eagle3-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16,RUNNING,RUNNING,0:0,1,N/A,lyris0072,2026-06-12T14:47:00,6:00,00:06:01,2026-06-12T14:47:00,Unknown
2109580,coreai_dlalgo_llm-specdec.eagle3-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs32,RUNNING,RUNNING,0:0,1,N/A,lyris0012,2026-06-12T14:52:46,0:14,00:00:15,2026-06-12T14:52:46,Unknown
2109552,coreai_dlalgo_llm-specdec.pard2-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2,RUNNING,RUNNING,0:0,1,N/A,lyris0035,2026-06-12T14:44:54,8:06,00:08:07,2026-06-12T14:44:54,Unknown
2109557,coreai_dlalgo_llm-specdec.pard2-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4,RUNNING,RUNNING,0:0,1,N/A,lyris0091,2026-06-12T14:45:26,7:34,00:07:35,2026-06-12T14:45:26,Unknown
2109564,coreai_dlalgo_llm-specdec.pard2-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8,RUNNING,RUNNING,0:0,1,N/A,lyris0270,2026-06-12T14:45:57,7:03,00:07:04,2026-06-12T14:45:57,Unknown
2109574,coreai_dlalgo_llm-specdec.pard2-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16,RUNNING,RUNNING,0:0,1,N/A,lyris0202,2026-06-12T14:47:00,6:00,00:06:01,2026-06-12T14:47:00,Unknown
2109579,coreai_dlalgo_llm-specdec.pard2-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs32,RUNNING,RUNNING,0:0,1,N/A,lyris0052,2026-06-12T14:52:46,0:14,00:00:15,2026-06-12T14:52:46,Unknown
2109551,coreai_dlalgo_llm-specdec.pard-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2,RUNNING,RUNNING,0:0,1,N/A,lyris0022,2026-06-12T14:44:54,8:06,00:08:07,2026-06-12T14:44:54,Unknown
2109556,coreai_dlalgo_llm-specdec.pard-qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4,RUNNING,RUNNING,0:0,1,N/A,lyris0144,2026-06-12T14:45:26,7:34,00:07:35,2026-06-12T14:45:26,Unknown
