job_id,name,queue_state,acct_state,exit_code,nodes,tres_per_node,reason,start_time,queue_time,elapsed,acct_start,acct_end
2109238,coreai_dlalgo_llm-specdec.baseline-qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs4,RUNNING,RUNNING,0:0,1,N/A,lyris0051,2026-06-12T14:19:30,14:20,00:14:21,2026-06-12T14:19:30,Unknown
2109250,coreai_dlalgo_llm-specdec.baseline-qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs8,RUNNING,RUNNING,0:0,1,N/A,lyris0103,2026-06-12T14:20:14,13:36,00:13:37,2026-06-12T14:20:14,Unknown
2109269,coreai_dlalgo_llm-specdec.baseline-qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs16,RUNNING,RUNNING,0:0,1,N/A,lyris0029,2026-06-12T14:22:38,11:12,00:11:13,2026-06-12T14:22:38,Unknown
2109288,coreai_dlalgo_llm-specdec.baseline-qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs32,,FAILED,1:0,,,,,,00:01:22,2026-06-12T14:23:03,2026-06-12T14:24:25
2109375,coreai_dlalgo_llm-specdec.baseline-qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs32,RUNNING,RUNNING,0:0,1,N/A,lyris0247,2026-06-12T14:28:06,5:44,00:05:45,2026-06-12T14:28:06,Unknown
2109241,coreai_dlalgo_llm-specdec.pard-qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs4,RUNNING,RUNNING,0:0,1,N/A,lyris0200,2026-06-12T14:19:43,14:07,00:14:08,2026-06-12T14:19:43,Unknown
2109252,coreai_dlalgo_llm-specdec.pard-qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs8,RUNNING,RUNNING,0:0,1,N/A,lyris0036,2026-06-12T14:20:23,13:27,00:13:28,2026-06-12T14:20:23,Unknown
2109272,coreai_dlalgo_llm-specdec.pard-qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs16,RUNNING,RUNNING,0:0,1,N/A,lyris0042,2026-06-12T14:22:48,11:02,00:11:03,2026-06-12T14:22:48,Unknown
2109291,coreai_dlalgo_llm-specdec.pard-qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs32,,FAILED,1:0,,,,,,00:01:24,2026-06-12T14:23:08,2026-06-12T14:24:32
2109380,coreai_dlalgo_llm-specdec.pard-qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs32,RUNNING,RUNNING,0:0,1,N/A,lyris0286,2026-06-12T14:28:06,5:44,00:05:45,2026-06-12T14:28:06,Unknown
2109240,coreai_dlalgo_llm-specdec.suffix-qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs4,,COMPLETED,0:0,,,,,,00:10:40,2026-06-12T14:19:33,2026-06-12T14:30:13
2109251,coreai_dlalgo_llm-specdec.suffix-qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs8,,COMPLETED,0:0,,,,,,00:11:29,2026-06-12T14:20:22,2026-06-12T14:31:51
2109270,coreai_dlalgo_llm-specdec.suffix-qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs16,RUNNING,RUNNING,0:0,1,N/A,lyris0151,2026-06-12T14:22:44,11:06,00:11:07,2026-06-12T14:22:44,Unknown
2109290,coreai_dlalgo_llm-specdec.suffix-qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs32,,FAILED,1:0,,,,,,00:01:42,2026-06-12T14:23:08,2026-06-12T14:24:50
2109376,coreai_dlalgo_llm-specdec.suffix-qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs32,RUNNING,RUNNING,0:0,1,N/A,lyris0271,2026-06-12T14:28:06,5:44,00:05:45,2026-06-12T14:28:06,Unknown
2109242,coreai_dlalgo_llm-specdec.baseline-qwen8_swe_full_osl32k_bsweep_lyris_bs4,RUNNING,RUNNING,0:0,1,N/A,lyris0201,2026-06-12T14:19:43,14:07,00:14:08,2026-06-12T14:19:43,Unknown
2109255,coreai_dlalgo_llm-specdec.baseline-qwen8_swe_full_osl32k_bsweep_lyris_bs8,RUNNING,RUNNING,0:0,1,N/A,lyris0120,2026-06-12T14:21:38,12:12,00:12:13,2026-06-12T14:21:38,Unknown
2109277,coreai_dlalgo_llm-specdec.baseline-qwen8_swe_full_osl32k_bsweep_lyris_bs16,RUNNING,RUNNING,0:0,1,N/A,lyris0015,2026-06-12T14:22:55,10:55,00:10:56,2026-06-12T14:22:55,Unknown
2109292,coreai_dlalgo_llm-specdec.baseline-qwen8_swe_full_osl32k_bsweep_lyris_bs32,RUNNING,RUNNING,0:0,1,N/A,lyris0032,2026-06-12T14:23:10,10:40,00:10:41,2026-06-12T14:23:10,Unknown
2109382,coreai_dlalgo_llm-specdec.baseline-qwen8_swe_full_osl32k_bsweep_lyris_bs32,RUNNING,RUNNING,0:0,1,N/A,lyris0288,2026-06-12T14:28:06,5:44,00:05:45,2026-06-12T14:28:06,Unknown
2109246,coreai_dlalgo_llm-specdec.eagle3-qwen8_swe_full_osl32k_bsweep_lyris_bs4,RUNNING,RUNNING,0:0,1,N/A,lyris0102,2026-06-12T14:20:14,13:36,00:13:37,2026-06-12T14:20:14,Unknown
2109263,coreai_dlalgo_llm-specdec.eagle3-qwen8_swe_full_osl32k_bsweep_lyris_bs8,RUNNING,RUNNING,0:0,1,N/A,lyris0028,2026-06-12T14:22:14,11:36,00:11:37,2026-06-12T14:22:14,Unknown
2109286,coreai_dlalgo_llm-specdec.eagle3-qwen8_swe_full_osl32k_bsweep_lyris_bs16,RUNNING,RUNNING,0:0,1,N/A,lyris0046,2026-06-12T14:22:57,10:53,00:10:54,2026-06-12T14:22:57,Unknown
2109295,coreai_dlalgo_llm-specdec.eagle3-qwen8_swe_full_osl32k_bsweep_lyris_bs32,,FAILED,1:0,,,,,,00:00:58,2026-06-12T14:24:02,2026-06-12T14:25:00
2109387,coreai_dlalgo_llm-specdec.eagle3-qwen8_swe_full_osl32k_bsweep_lyris_bs32,RUNNING,RUNNING,0:0,1,N/A,lyris0056,2026-06-12T14:28:38,5:12,00:05:13,2026-06-12T14:28:38,Unknown
2109245,coreai_dlalgo_llm-specdec.pard2-qwen8_swe_full_osl32k_bsweep_lyris_bs4,RUNNING,RUNNING,0:0,1,N/A,lyris0109,2026-06-12T14:19:53,13:57,00:13:58,2026-06-12T14:19:53,Unknown
2109260,coreai_dlalgo_llm-specdec.pard2-qwen8_swe_full_osl32k_bsweep_lyris_bs8,RUNNING,RUNNING,0:0,1,N/A,lyris0203,2026-06-12T14:21:49,12:01,00:12:02,2026-06-12T14:21:49,Unknown
2109285,coreai_dlalgo_llm-specdec.pard2-qwen8_swe_full_osl32k_bsweep_lyris_bs16,RUNNING,RUNNING,0:0,1,N/A,lyris0212,2026-06-12T14:22:56,10:54,00:10:55,2026-06-12T14:22:56,Unknown
