suite,job_id,dataset,temperature,model_group,method,method_detail,model,prompt_offset,prompt_count,isl,osl,batch_sizes,logs_dir,breakdown_json,tracker_file,label
swe,2133873,unknown,0.0,qwen235b,baseline,baseline,Qwen/Qwen3-235B-A22B,0,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_swe_temp01_core_qwen235b_t00,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_swe_temp01_core_qwen235b_t00/breakdown.json,latest_lyris_swebench_osl32k_temp01_core_matrix_20260616_jobs.csv,unknown_osl32k_qwen235b_t00_baseline
swe,2133876,unknown,0.0,qwen32,baseline,baseline,Qwen/Qwen3-32B,0,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen32_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_swe_temp01_core_qwen32_t00,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen32_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_swe_temp01_core_qwen32_t00/breakdown.json,latest_lyris_swebench_osl32k_temp01_core_matrix_20260616_jobs.csv,unknown_osl32k_qwen32_t00_baseline
swe,2133880,unknown,0.0,qwen30ba3b,baseline,baseline,Qwen/Qwen3-30B-A3B,0,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_swe_temp01_core_qwen30ba3b_t00,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_swe_temp01_core_qwen30ba3b_t00/breakdown.json,latest_lyris_swebench_osl32k_temp01_core_matrix_20260616_jobs.csv,unknown_osl32k_qwen30ba3b_t00_baseline
swe,2133883,unknown,1.0,qwen235b,baseline,baseline,Qwen/Qwen3-235B-A22B,0,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_swe_temp01_core_qwen235b_t10,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_swe_temp01_core_qwen235b_t10/breakdown.json,latest_lyris_swebench_osl32k_temp01_core_matrix_20260616_jobs.csv,unknown_osl32k_qwen235b_t10_baseline
swe,2133887,unknown,1.0,qwen32,baseline,baseline,Qwen/Qwen3-32B,0,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen32_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_swe_temp01_core_qwen32_t10,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen32_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_swe_temp01_core_qwen32_t10/breakdown.json,latest_lyris_swebench_osl32k_temp01_core_matrix_20260616_jobs.csv,unknown_osl32k_qwen32_t10_baseline
swe,2133890,unknown,1.0,qwen30ba3b,baseline,baseline,Qwen/Qwen3-30B-A3B,0,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_swe_temp01_core_qwen30ba3b_t10,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_swe_temp01_core_qwen30ba3b_t10/breakdown.json,latest_lyris_swebench_osl32k_temp01_core_matrix_20260616_jobs.csv,unknown_osl32k_qwen30ba3b_t10_baseline
swe,2133935,unknown,1.0,qwen235b,baseline,baseline,Qwen/Qwen3-235B-A22B,0,4,4096,32768,1 2,/home/sna/vllm-runs/swe_temp01_core_20260616_home_retry/qwen235b_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_swe_temp01_core_home_retry_qwen235b_t10,/home/sna/vllm-runs/swe_temp01_core_20260616_home_retry/qwen235b_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_swe_temp01_core_home_retry_qwen235b_t10/breakdown.json,latest_lyris_swebench_osl32k_temp01_core_matrix_20260616_home_retry_t10_all_jobs.csv,unknown_osl32k_qwen235b_t10_baseline
swe,2133938,unknown,1.0,qwen32,baseline,baseline,Qwen/Qwen3-32B,0,4,4096,32768,1 2,/home/sna/vllm-runs/swe_temp01_core_20260616_home_retry/qwen32_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_swe_temp01_core_home_retry_qwen32_t10,/home/sna/vllm-runs/swe_temp01_core_20260616_home_retry/qwen32_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_swe_temp01_core_home_retry_qwen32_t10/breakdown.json,latest_lyris_swebench_osl32k_temp01_core_matrix_20260616_home_retry_t10_all_jobs.csv,unknown_osl32k_qwen32_t10_baseline
swe,2133941,unknown,1.0,qwen30ba3b,baseline,baseline,Qwen/Qwen3-30B-A3B,0,4,4096,32768,1 2,/home/sna/vllm-runs/swe_temp01_core_20260616_home_retry/qwen30ba3b_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_swe_temp01_core_home_retry_qwen30ba3b_t10,/home/sna/vllm-runs/swe_temp01_core_20260616_home_retry/qwen30ba3b_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_swe_temp01_core_home_retry_qwen30ba3b_t10/breakdown.json,latest_lyris_swebench_osl32k_temp01_core_matrix_20260616_home_retry_t10_all_jobs.csv,unknown_osl32k_qwen30ba3b_t10_baseline
swe,2135585,unknown,0.0,qwen30ba3b,baseline,baseline,Qwen/Qwen3-30B-A3B,0,4,4096,32768,1 2,/home/sna/vllm-runs/swe_temp01_core_20260616_home_retry/qwen30ba3b_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_swe_temp01_core_home_retry2_qwen30ba3b_t00,/home/sna/vllm-runs/swe_temp01_core_20260616_home_retry/qwen30ba3b_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_swe_temp01_core_home_retry2_qwen30ba3b_t00/breakdown.json,latest_lyris_swebench_osl32k_temp01_core_matrix_20260616_home_retry_t00_baseline_missing_jobs.csv,unknown_osl32k_qwen30ba3b_t00_baseline
