label,tag,model,prompt_jsonl,prompt_offset,prompt_count_loaded,prompt_count_used,num_batches,batch_size,isl,osl,tp,pp,total_gpus,spec_active,spec_method,parallel_drafting,num_speculative_tokens,draft_model,latency_s,mean_latency_s,output_tok_s,output_tok_s_per_gpu,speedup_vs_baseline,metrics_available,acceptance_rate_pct,mean_acceptance_length,accepted_tokens_per_draft,num_drafts,num_draft_tokens,num_accepted_tokens,acceptance_rate_by_position_pct,breakdown_json
qwen235b_swe_verified_osl32k_temp01_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260616_swe_temp01_core_home_retry_qwen235b_t10,qwen235b_swe_verified_osl32k_temp01_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260616_swe_temp01_core_home_retry_qwen235b_t10,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_verified_prompts_all.jsonl,0,4,4,4,1,4096,32768,4,1,4,True,eagle3,,3,nvidia/Qwen3-235B-A22B-Eagle3,10186.100933437992,2546.525233359498,12.86773033730001,3.2169325843250025,,True,21.075812484173735,1.632274374525212,0.6322743745252121,80299,240897,50771,"42.3941,15.3526,5.4808",/home/sna/vllm-runs/swe_temp01_core_20260616_home_retry/qwen235b_swe_verified_osl32k_temp01_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260616_swe_temp01_core_home_retry_qwen235b_t10/breakdown.json
qwen235b_swe_verified_osl32k_temp01_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260616_swe_temp01_core_home_retry_qwen235b_t00,qwen235b_swe_verified_osl32k_temp01_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260616_swe_temp01_core_home_retry_qwen235b_t00,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_verified_prompts_all.jsonl,0,4,4,4,1,4096,32768,4,1,4,True,suffix,,32,,2158.3805511610117,539.5951377902529,60.72701124437729,15.181752811094322,,True,88.49310571240972,7.574772054126256,6.574772054126256,17219,127932,113211,"68.7845,59.7131,55.3865,53.7720,53.1216,52.7034,52.5698,52.4363,52.3782,52.2853,52.2272,52.0994,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/home/sna/vllm-runs/swe_temp01_core_20260616_home_retry/qwen235b_swe_verified_osl32k_temp01_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260616_swe_temp01_core_home_retry_qwen235b_t00/breakdown.json
qwen235b_swe_verified_osl32k_temp01_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260616_swe_temp01_core_home_retry_qwen235b_t10,qwen235b_swe_verified_osl32k_temp01_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260616_swe_temp01_core_home_retry_qwen235b_t10,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_verified_prompts_all.jsonl,0,4,4,4,1,4096,32768,4,1,4,True,suffix,,32,,7620.9940051910235,1905.2485012977559,17.1988063382179,4.299701584554475,,True,46.750070808320146,2.2804192761054245,1.2804192761054245,52853,144757,67674,"29.6521,15.7172,11.4525,9.8291,8.9588,8.2966,7.9504,7.6495,7.4773,7.2749,7.0970,6.6865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/home/sna/vllm-runs/swe_temp01_core_20260616_home_retry/qwen235b_swe_verified_osl32k_temp01_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260616_swe_temp01_core_home_retry_qwen235b_t10/breakdown.json
qwen30ba3b_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_swe_temp01_core_home_retry_qwen30ba3b_t10,qwen30ba3b_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_swe_temp01_core_home_retry_qwen30ba3b_t10,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_verified_prompts_all.jsonl,0,4,4,4,1,4096,32768,1,1,1,False,,,,,6694.546954594902,1673.6367386487254,19.578920110499304,19.578920110499304,1.0,False,,,,,,,,/home/sna/vllm-runs/swe_temp01_core_20260616_home_retry/qwen30ba3b_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_swe_temp01_core_home_retry_qwen30ba3b_t10/breakdown.json
qwen30ba3b_swe_verified_osl32k_temp01_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260616_swe_temp01_core_home_retry_qwen30ba3b_t00,qwen30ba3b_swe_verified_osl32k_temp01_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260616_swe_temp01_core_home_retry_qwen30ba3b_t00,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_verified_prompts_all.jsonl,0,4,4,4,1,4096,32768,1,1,1,True,eagle3,,3,RedHatAI/Qwen3-30B-A3B-Thinking-2507-speculator.eagle3,5847.856237610977,1461.9640594027442,22.41368369437666,22.41368369437666,1.1447865136523643,True,12.256646248778232,1.367699387463347,0.36769938746334696,95831,287493,35237,"22.2809,9.1766,5.3125",/home/sna/vllm-runs/swe_temp01_core_20260616_home_retry/qwen30ba3b_swe_verified_osl32k_temp01_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260616_swe_temp01_core_home_retry_qwen30ba3b_t00/breakdown.json
qwen30ba3b_swe_verified_osl32k_temp01_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260616_swe_temp01_core_home_retry_qwen30ba3b_t10,qwen30ba3b_swe_verified_osl32k_temp01_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260616_swe_temp01_core_home_retry_qwen30ba3b_t10,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_verified_prompts_all.jsonl,0,4,4,4,1,4096,32768,1,1,1,True,eagle3,,3,RedHatAI/Qwen3-30B-A3B-Thinking-2507-speculator.eagle3,6124.729795811931,1531.1824489529827,21.400454284469266,21.400454284469266,1.0930354771197597,True,11.211710287965143,1.3363513086389542,0.3363513086389543,98079,294237,32989,"20.6201,8.1190,4.8961",/home/sna/vllm-runs/swe_temp01_core_20260616_home_retry/qwen30ba3b_swe_verified_osl32k_temp01_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260616_swe_temp01_core_home_retry_qwen30ba3b_t10/breakdown.json
qwen30ba3b_swe_verified_osl32k_temp01_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260616_swe_temp01_core_home_retry_qwen30ba3b_t00,qwen30ba3b_swe_verified_osl32k_temp01_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260616_swe_temp01_core_home_retry_qwen30ba3b_t00,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_verified_prompts_all.jsonl,0,4,4,4,1,4096,32768,1,1,1,True,suffix,,32,,741.7019575800005,185.4254893950001,176.71788332291476,176.71788332291476,9.025925961470614,True,93.9247707008405,10.01050049819882,9.01050049819882,13047,125164,117560,"84.5788,80.0261,77.5964,75.3507,74.7068,74.2776,73.8484,73.0283,72.8213,72.2695,72.1239,70.4223,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/home/sna/vllm-runs/swe_temp01_core_20260616_home_retry/qwen30ba3b_swe_verified_osl32k_temp01_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260616_swe_temp01_core_home_retry_qwen30ba3b_t00/breakdown.json
qwen30ba3b_swe_verified_osl32k_temp01_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260616_swe_temp01_core_home_retry_qwen30ba3b_t10,qwen30ba3b_swe_verified_osl32k_temp01_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260616_swe_temp01_core_home_retry_qwen30ba3b_t10,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_verified_prompts_all.jsonl,0,4,4,4,1,4096,32768,1,1,1,True,suffix,,32,,777.7434636979597,194.43586592448992,168.52857801824283,168.52857801824283,8.607654409288306,True,91.15116052272285,9.456967064784655,8.456967064784655,13815,128175,116833,"82.3742,77.1480,73.9558,72.1245,70.9953,70.2859,69.7503,68.8455,67.6728,65.8342,65.1176,61.5925,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/home/sna/vllm-runs/swe_temp01_core_20260616_home_retry/qwen30ba3b_swe_verified_osl32k_temp01_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260616_swe_temp01_core_home_retry_qwen30ba3b_t10/breakdown.json
qwen32_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_swe_temp01_core_home_retry_qwen32_t10,qwen32_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_swe_temp01_core_home_retry_qwen32_t10,Qwen/Qwen3-32B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_verified_prompts_all.jsonl,0,4,4,4,1,4096,32768,2,1,2,False,,,,,7841.758445309999,1960.4396113274997,16.714618400212466,8.357309200106233,1.0,False,,,,,,,,/home/sna/vllm-runs/swe_temp01_core_20260616_home_retry/qwen32_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_swe_temp01_core_home_retry_qwen32_t10/breakdown.json
qwen32_swe_verified_osl32k_temp01_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260616_swe_temp01_core_home_retry2_qwen32_t00,qwen32_swe_verified_osl32k_temp01_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260616_swe_temp01_core_home_retry2_qwen32_t00,Qwen/Qwen3-32B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_verified_prompts_all.jsonl,0,4,4,4,1,4096,32768,2,1,2,True,eagle3,,3,RedHatAI/Qwen3-32B-speculator.eagle3,3371.250041244086,842.8125103110215,38.87934694741027,19.439673473705135,2.3260684758986816,True,66.85853188708235,3.0057559566124703,2.0057559566124703,43607,130821,87465,"83.2963,67.2277,50.0516",/home/sna/vllm-runs/swe_temp01_core_20260616_home_retry/qwen32_swe_verified_osl32k_temp01_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260616_swe_temp01_core_home_retry2_qwen32_t00/breakdown.json
