job_id,temperature,model_group,method,model,prompt_offset,prompt_count,isl,osl,batch_sizes,logs_dir,tracker_file,queue_state,queue_reason,queue_elapsed,queue_nodes,queue_job_name,acct_state,exit_code,acct_elapsed,acct_nodes,acct_reason,acct_job_name,breakdown_json,has_breakdown,latest_error
2159183,0.0,qwen30ba3b,baseline,Qwen/Qwen3-30B-A3B,0,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen30ba3b_osl32k_temp01_bsweep_20260619/qwen30ba3b_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs4_20260619_swe_qwen30ba3b_osl32k_bs4_qwen30ba3b_t00,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_qwen30ba3b_t00_bs4_retry_20260616_jobs.txt,,,,,,COMPLETED,0:0,00:57:33,lyris0250,None,coreai_dlalgo_llm-specdec.baseline-qwen30ba3b_swe_verified_osl32k_temp01,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen30ba3b_osl32k_temp01_bsweep_20260619/qwen30ba3b_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs4_20260619_swe_qwen30ba3b_osl32k_bs4_qwen30ba3b_t00/breakdown.json,True,
2159184,0.0,qwen30ba3b,suffix,Qwen/Qwen3-30B-A3B,0,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen30ba3b_osl32k_temp01_bsweep_20260619/qwen30ba3b_swe_verified_osl32k_temp01_suffix_offset0_n4_isl4096_osl32768_bs4_k32_arctic_20260619_swe_qwen30ba3b_osl32k_bs4_qwen30ba3b_t00,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_qwen30ba3b_t00_bs4_retry_20260616_jobs.txt,,,,,,COMPLETED,0:0,00:12:04,lyris0251,None,coreai_dlalgo_llm-specdec.suffix-qwen30ba3b_swe_verified_osl32k_temp01,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen30ba3b_osl32k_temp01_bsweep_20260619/qwen30ba3b_swe_verified_osl32k_temp01_suffix_offset0_n4_isl4096_osl32768_bs4_k32_arctic_20260619_swe_qwen30ba3b_osl32k_bs4_qwen30ba3b_t00/breakdown.json,True,
2159185,0.0,qwen30ba3b,eagle3,Qwen/Qwen3-30B-A3B,0,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen30ba3b_osl32k_temp01_bsweep_20260619/qwen30ba3b_swe_verified_osl32k_temp01_eagle3_offset0_n4_isl4096_osl32768_bs4_k3_20260619_swe_qwen30ba3b_osl32k_bs4_qwen30ba3b_t00,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_qwen30ba3b_t00_bs4_retry_20260616_jobs.txt,,,,,,COMPLETED,0:0,00:54:36,lyris0252,None,coreai_dlalgo_llm-specdec.eagle3-qwen30ba3b_swe_verified_osl32k_temp01,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen30ba3b_osl32k_temp01_bsweep_20260619/qwen30ba3b_swe_verified_osl32k_temp01_eagle3_offset0_n4_isl4096_osl32768_bs4_k3_20260619_swe_qwen30ba3b_osl32k_bs4_qwen30ba3b_t00/breakdown.json,True,
2159186,1.0,qwen30ba3b,baseline,Qwen/Qwen3-30B-A3B,0,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen30ba3b_osl32k_temp01_bsweep_20260619/qwen30ba3b_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs4_20260619_swe_qwen30ba3b_osl32k_bs4_qwen30ba3b_t10,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_qwen30ba3b_t10_bs4_retry_20260616_jobs.txt,,,,,,COMPLETED,0:0,00:57:03,lyris0019,None,coreai_dlalgo_llm-specdec.baseline-qwen30ba3b_swe_verified_osl32k_temp01,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen30ba3b_osl32k_temp01_bsweep_20260619/qwen30ba3b_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs4_20260619_swe_qwen30ba3b_osl32k_bs4_qwen30ba3b_t10/breakdown.json,True,
2159188,1.0,qwen30ba3b,suffix,Qwen/Qwen3-30B-A3B,0,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen30ba3b_osl32k_temp01_bsweep_20260619/qwen30ba3b_swe_verified_osl32k_temp01_suffix_offset0_n4_isl4096_osl32768_bs4_k32_arctic_20260619_swe_qwen30ba3b_osl32k_bs4_qwen30ba3b_t10,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_qwen30ba3b_t10_bs4_retry_20260616_jobs.txt,,,,,,COMPLETED,0:0,00:09:30,lyris0020,None,coreai_dlalgo_llm-specdec.suffix-qwen30ba3b_swe_verified_osl32k_temp01,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen30ba3b_osl32k_temp01_bsweep_20260619/qwen30ba3b_swe_verified_osl32k_temp01_suffix_offset0_n4_isl4096_osl32768_bs4_k32_arctic_20260619_swe_qwen30ba3b_osl32k_bs4_qwen30ba3b_t10/breakdown.json,True,
2159189,1.0,qwen30ba3b,eagle3,Qwen/Qwen3-30B-A3B,0,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen30ba3b_osl32k_temp01_bsweep_20260619/qwen30ba3b_swe_verified_osl32k_temp01_eagle3_offset0_n4_isl4096_osl32768_bs4_k3_20260619_swe_qwen30ba3b_osl32k_bs4_qwen30ba3b_t10,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_qwen30ba3b_t10_bs4_retry_20260616_jobs.txt,,,,,,COMPLETED,0:0,00:54:52,lyris0021,None,coreai_dlalgo_llm-specdec.eagle3-qwen30ba3b_swe_verified_osl32k_temp01,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen30ba3b_osl32k_temp01_bsweep_20260619/qwen30ba3b_swe_verified_osl32k_temp01_eagle3_offset0_n4_isl4096_osl32768_bs4_k3_20260619_swe_qwen30ba3b_osl32k_bs4_qwen30ba3b_t10/breakdown.json,True,
2159190,0.0,qwen30ba3b,baseline,Qwen/Qwen3-30B-A3B,0,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen30ba3b_osl32k_temp01_bsweep_20260619/qwen30ba3b_swe_verified_osl32k_temp01_baseline_offset0_n8_isl4096_osl32768_bs8_20260619_swe_qwen30ba3b_osl32k_bs8_qwen30ba3b_t00,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_qwen30ba3b_t00_bs8_retry_20260616_jobs.txt,,,,,,COMPLETED,0:0,01:00:20,lyris0022,None,coreai_dlalgo_llm-specdec.baseline-qwen30ba3b_swe_verified_osl32k_temp01,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen30ba3b_osl32k_temp01_bsweep_20260619/qwen30ba3b_swe_verified_osl32k_temp01_baseline_offset0_n8_isl4096_osl32768_bs8_20260619_swe_qwen30ba3b_osl32k_bs8_qwen30ba3b_t00/breakdown.json,True,
2159191,0.0,qwen30ba3b,suffix,Qwen/Qwen3-30B-A3B,0,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen30ba3b_osl32k_temp01_bsweep_20260619/qwen30ba3b_swe_verified_osl32k_temp01_suffix_offset0_n8_isl4096_osl32768_bs8_k32_arctic_20260619_swe_qwen30ba3b_osl32k_bs8_qwen30ba3b_t00,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_qwen30ba3b_t00_bs8_retry_20260616_jobs.txt,,,,,,COMPLETED,0:0,00:11:34,lyris0098,None,coreai_dlalgo_llm-specdec.suffix-qwen30ba3b_swe_verified_osl32k_temp01,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen30ba3b_osl32k_temp01_bsweep_20260619/qwen30ba3b_swe_verified_osl32k_temp01_suffix_offset0_n8_isl4096_osl32768_bs8_k32_arctic_20260619_swe_qwen30ba3b_osl32k_bs8_qwen30ba3b_t00/breakdown.json,True,
2159193,0.0,qwen30ba3b,eagle3,Qwen/Qwen3-30B-A3B,0,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen30ba3b_osl32k_temp01_bsweep_20260619/qwen30ba3b_swe_verified_osl32k_temp01_eagle3_offset0_n8_isl4096_osl32768_bs8_k3_20260619_swe_qwen30ba3b_osl32k_bs8_qwen30ba3b_t00,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_qwen30ba3b_t00_bs8_retry_20260616_jobs.txt,,,,,,COMPLETED,0:0,00:57:11,lyris0028,None,coreai_dlalgo_llm-specdec.eagle3-qwen30ba3b_swe_verified_osl32k_temp01,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen30ba3b_osl32k_temp01_bsweep_20260619/qwen30ba3b_swe_verified_osl32k_temp01_eagle3_offset0_n8_isl4096_osl32768_bs8_k3_20260619_swe_qwen30ba3b_osl32k_bs8_qwen30ba3b_t00/breakdown.json,True,
2159194,1.0,qwen30ba3b,baseline,Qwen/Qwen3-30B-A3B,0,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen30ba3b_osl32k_temp01_bsweep_20260619/qwen30ba3b_swe_verified_osl32k_temp01_baseline_offset0_n8_isl4096_osl32768_bs8_20260619_swe_qwen30ba3b_osl32k_bs8_qwen30ba3b_t10,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_qwen30ba3b_t10_bs8_retry_20260616_jobs.txt,,,,,,COMPLETED,0:0,00:58:41,lyris0029,None,coreai_dlalgo_llm-specdec.baseline-qwen30ba3b_swe_verified_osl32k_temp01,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen30ba3b_osl32k_temp01_bsweep_20260619/qwen30ba3b_swe_verified_osl32k_temp01_baseline_offset0_n8_isl4096_osl32768_bs8_20260619_swe_qwen30ba3b_osl32k_bs8_qwen30ba3b_t10/breakdown.json,True,
