domain,job_id,label,tag,model,temperature,batch_size,isl,osl,method,spec_method,num_speculative_tokens,draft_model,prompt_count_loaded,prompt_count_used,num_batches,total_gpus,latency_s,mean_latency_s,output_tok_s,output_tok_s_per_gpu,speedup_vs_baseline,metrics_available,acceptance_rate_pct,mean_acceptance_length,accepted_tokens_per_draft,num_drafts,num_draft_tokens,num_accepted_tokens,acceptance_rate_by_position_pct,breakdown_json
SWE,2159147,qwen32_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs4_20260619_swe_qwen32_osl32k_bs4_qwen32_t00,qwen32_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs4_20260619_swe_qwen32_osl32k_bs4_qwen32_t00,Qwen/Qwen3-32B,0.0,4,4096,32768,baseline,,,,4,4,1,2,1931.9140555069316,1931.9140555069316,67.84566819956537,33.92283409978268,1.0,False,,,,,,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs4_20260619_swe_qwen32_osl32k_bs4_qwen32_t00/breakdown.json
SWE,2159148,qwen32_swe_verified_osl32k_temp01_suffix_offset0_n4_isl4096_osl32768_bs4_k32_arctic_20260619_swe_qwen32_osl32k_bs4_qwen32_t00,qwen32_swe_verified_osl32k_temp01_suffix_offset0_n4_isl4096_osl32768_bs4_k32_arctic_20260619_swe_qwen32_osl32k_bs4_qwen32_t00,Qwen/Qwen3-32B,0.0,4,4096,32768,suffix_k32,,,,4,4,1,2,295.0336305380042,295.0336305380042,444.2612178177301,222.13060890886504,6.548114708089441,True,92.47563444977584,9.688999111637548,8.688999111637548,13508,126921,117371,"82.7214,76.9766,74.1264,72.8975,72.0314,71.3133,70.9728,70.6470,70.0770,69.6994,69.0332,68.4039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_suffix_offset0_n4_isl4096_osl32768_bs4_k32_arctic_20260619_swe_qwen32_osl32k_bs4_qwen32_t00/breakdown.json
SWE,2159149,qwen32_swe_verified_osl32k_temp01_eagle3_offset0_n4_isl4096_osl32768_bs4_k3_20260619_swe_qwen32_osl32k_bs4_qwen32_t00,qwen32_swe_verified_osl32k_temp01_eagle3_offset0_n4_isl4096_osl32768_bs4_k3_20260619_swe_qwen32_osl32k_bs4_qwen32_t00,Qwen/Qwen3-32B,0.0,4,4096,32768,eagle3_k3,,,,4,4,1,2,886.1567199409474,886.1567199409474,147.91063143857275,73.95531571928638,2.180104277306245,True,75.84041312676995,3.2752123938030984,2.2752123938030984,40020,120060,91054,"89.3853,76.5817,61.5542",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_eagle3_offset0_n4_isl4096_osl32768_bs4_k3_20260619_swe_qwen32_osl32k_bs4_qwen32_t00/breakdown.json
SWE,2159150,qwen32_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs4_20260619_swe_qwen32_osl32k_bs4_qwen32_t10,qwen32_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs4_20260619_swe_qwen32_osl32k_bs4_qwen32_t10,Qwen/Qwen3-32B,1.0,4,4096,32768,baseline,,,,4,4,1,2,1991.1776010600151,1991.1776010600151,65.8263732628486,32.9131866314243,1.0,False,,,,,,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs4_20260619_swe_qwen32_osl32k_bs4_qwen32_t10/breakdown.json
SWE,2159151,qwen32_swe_verified_osl32k_temp01_suffix_offset0_n4_isl4096_osl32768_bs4_k32_arctic_20260619_swe_qwen32_osl32k_bs4_qwen32_t10,qwen32_swe_verified_osl32k_temp01_suffix_offset0_n4_isl4096_osl32768_bs4_k32_arctic_20260619_swe_qwen32_osl32k_bs4_qwen32_t10,Qwen/Qwen3-32B,1.0,4,4096,32768,suffix_k32,,,,4,4,1,2,1469.1678270709235,1469.1678270709235,89.21513089577924,44.60756544788962,1.355309832117561,True,59.6184917203635,3.599866325052913,2.599866325052913,35908,156589,93356,"47.7247,31.2159,24.0949,20.7140,19.4219,18.3469,17.6061,16.8987,16.5200,16.2526,15.8823,15.3086,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_suffix_offset0_n4_isl4096_osl32768_bs4_k32_arctic_20260619_swe_qwen32_osl32k_bs4_qwen32_t10/breakdown.json
SWE,2159152,qwen32_swe_verified_osl32k_temp01_eagle3_offset0_n4_isl4096_osl32768_bs4_k3_20260619_swe_qwen32_osl32k_bs4_qwen32_t10,qwen32_swe_verified_osl32k_temp01_eagle3_offset0_n4_isl4096_osl32768_bs4_k3_20260619_swe_qwen32_osl32k_bs4_qwen32_t10,Qwen/Qwen3-32B,1.0,4,4096,32768,eagle3_k3,,,,4,4,1,2,1201.6244000779698,1201.6244000779698,109.0790100396556,54.5395050198278,1.6570715449276943,True,57.7686030832534,2.7330580924976022,1.733058092497602,47958,143874,83114,"73.8855,56.2033,43.2170",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_eagle3_offset0_n4_isl4096_osl32768_bs4_k3_20260619_swe_qwen32_osl32k_bs4_qwen32_t10/breakdown.json
SWE,2159156,qwen32_swe_verified_osl32k_temp01_baseline_offset0_n8_isl4096_osl32768_bs8_20260619_swe_qwen32_osl32k_bs8_qwen32_t00,qwen32_swe_verified_osl32k_temp01_baseline_offset0_n8_isl4096_osl32768_bs8_20260619_swe_qwen32_osl32k_bs8_qwen32_t00,Qwen/Qwen3-32B,0.0,8,4096,32768,baseline,,,,8,8,1,2,2056.684512615997,2056.684512615997,127.45950990148037,63.72975495074019,1.0,False,,,,,,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_baseline_offset0_n8_isl4096_osl32768_bs8_20260619_swe_qwen32_osl32k_bs8_qwen32_t00/breakdown.json
SWE,2159157,qwen32_swe_verified_osl32k_temp01_suffix_offset0_n8_isl4096_osl32768_bs8_k32_arctic_20260619_swe_qwen32_osl32k_bs8_qwen32_t00,qwen32_swe_verified_osl32k_temp01_suffix_offset0_n8_isl4096_osl32768_bs8_k32_arctic_20260619_swe_qwen32_osl32k_bs8_qwen32_t00,Qwen/Qwen3-32B,0.0,8,4096,32768,suffix_k32,,,,8,8,1,2,551.3115221951157,551.3115221951157,475.4916040140807,237.74580200704034,3.7305306162059715,True,84.82726895329137,7.517211654502614,6.517211654502614,34802,267381,226812,"71.7746,61.4936,56.5513,54.3475,53.2987,52.2240,51.4568,51.0057,50.4454,50.0287,49.7127,49.3822,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_suffix_offset0_n8_isl4096_osl32768_bs8_k32_arctic_20260619_swe_qwen32_osl32k_bs8_qwen32_t00/breakdown.json
SWE,2159159,qwen32_swe_verified_osl32k_temp01_eagle3_offset0_n8_isl4096_osl32768_bs8_k3_20260619_swe_qwen32_osl32k_bs8_qwen32_t00,qwen32_swe_verified_osl32k_temp01_eagle3_offset0_n8_isl4096_osl32768_bs8_k3_20260619_swe_qwen32_osl32k_bs8_qwen32_t00,Qwen/Qwen3-32B,0.0,8,4096,32768,eagle3_k3,,,,8,8,1,2,977.8095927690156,977.8095927690156,268.093094952818,134.046547476409,2.1033589032316233,True,72.13002635125622,3.1639007905376864,2.1639007905376864,82855,248565,179290,"87.5421,73.4802,55.3678",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_eagle3_offset0_n8_isl4096_osl32768_bs8_k3_20260619_swe_qwen32_osl32k_bs8_qwen32_t00/breakdown.json
SWE,2159160,qwen32_swe_verified_osl32k_temp01_baseline_offset0_n8_isl4096_osl32768_bs8_20260619_swe_qwen32_osl32k_bs8_qwen32_t10,qwen32_swe_verified_osl32k_temp01_baseline_offset0_n8_isl4096_osl32768_bs8_20260619_swe_qwen32_osl32k_bs8_qwen32_t10,Qwen/Qwen3-32B,1.0,8,4096,32768,baseline,,,,8,8,1,2,1996.3615682399977,1996.3615682399977,131.31088284328547,65.65544142164273,1.0,False,,,,,,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_baseline_offset0_n8_isl4096_osl32768_bs8_20260619_swe_qwen32_osl32k_bs8_qwen32_t10/breakdown.json
