job_id,temperature,model_group,method,model,prompt_offset,prompt_count,isl,osl,batch_sizes,logs_dir,tracker_file,queue_state,queue_reason,queue_elapsed,queue_nodes,queue_job_name,acct_state,exit_code,acct_elapsed,acct_nodes,acct_reason,acct_job_name,breakdown_json,has_breakdown,latest_error
2159147,0.0,qwen32,baseline,Qwen/Qwen3-32B,0,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs4_20260619_swe_qwen32_osl32k_bs4_qwen32_t00,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_qwen32_t00_bs4_retry_20260616_jobs.txt,,,,,,COMPLETED,0:0,01:05:56,lyris0219,None,coreai_dlalgo_llm-specdec.baseline-qwen32_swe_verified_osl32k_temp01,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs4_20260619_swe_qwen32_osl32k_bs4_qwen32_t00/breakdown.json,True,
2159148,0.0,qwen32,suffix,Qwen/Qwen3-32B,0,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_suffix_offset0_n4_isl4096_osl32768_bs4_k32_arctic_20260619_swe_qwen32_osl32k_bs4_qwen32_t00,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_qwen32_t00_bs4_retry_20260616_jobs.txt,,,,,,COMPLETED,0:0,00:11:50,lyris0222,None,coreai_dlalgo_llm-specdec.suffix-qwen32_swe_verified_osl32k_temp01,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_suffix_offset0_n4_isl4096_osl32768_bs4_k32_arctic_20260619_swe_qwen32_osl32k_bs4_qwen32_t00/breakdown.json,True,
2159149,0.0,qwen32,eagle3,Qwen/Qwen3-32B,0,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_eagle3_offset0_n4_isl4096_osl32768_bs4_k3_20260619_swe_qwen32_osl32k_bs4_qwen32_t00,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_qwen32_t00_bs4_retry_20260616_jobs.txt,,,,,,COMPLETED,0:0,00:32:31,lyris0224,None,coreai_dlalgo_llm-specdec.eagle3-qwen32_swe_verified_osl32k_temp01,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_eagle3_offset0_n4_isl4096_osl32768_bs4_k3_20260619_swe_qwen32_osl32k_bs4_qwen32_t00/breakdown.json,True,
2159150,1.0,qwen32,baseline,Qwen/Qwen3-32B,0,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs4_20260619_swe_qwen32_osl32k_bs4_qwen32_t10,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_qwen32_t10_bs4_retry_20260616_jobs.txt,,,,,,COMPLETED,0:0,01:08:14,lyris0226,None,coreai_dlalgo_llm-specdec.baseline-qwen32_swe_verified_osl32k_temp01,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs4_20260619_swe_qwen32_osl32k_bs4_qwen32_t10/breakdown.json,True,
2159151,1.0,qwen32,suffix,Qwen/Qwen3-32B,0,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_suffix_offset0_n4_isl4096_osl32768_bs4_k32_arctic_20260619_swe_qwen32_osl32k_bs4_qwen32_t10,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_qwen32_t10_bs4_retry_20260616_jobs.txt,,,,,,COMPLETED,0:0,00:37:12,lyris0233,None,coreai_dlalgo_llm-specdec.suffix-qwen32_swe_verified_osl32k_temp01,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_suffix_offset0_n4_isl4096_osl32768_bs4_k32_arctic_20260619_swe_qwen32_osl32k_bs4_qwen32_t10/breakdown.json,True,
2159152,1.0,qwen32,eagle3,Qwen/Qwen3-32B,0,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_eagle3_offset0_n4_isl4096_osl32768_bs4_k3_20260619_swe_qwen32_osl32k_bs4_qwen32_t10,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_qwen32_t10_bs4_retry_20260616_jobs.txt,,,,,,COMPLETED,0:0,00:42:36,lyris0097,None,coreai_dlalgo_llm-specdec.eagle3-qwen32_swe_verified_osl32k_temp01,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_eagle3_offset0_n4_isl4096_osl32768_bs4_k3_20260619_swe_qwen32_osl32k_bs4_qwen32_t10/breakdown.json,True,
2159156,0.0,qwen32,baseline,Qwen/Qwen3-32B,0,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_baseline_offset0_n8_isl4096_osl32768_bs8_20260619_swe_qwen32_osl32k_bs8_qwen32_t00,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_qwen32_t00_bs8_retry_20260616_jobs.txt,,,,,,COMPLETED,0:0,01:08:55,lyris0099,None,coreai_dlalgo_llm-specdec.baseline-qwen32_swe_verified_osl32k_temp01,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_baseline_offset0_n8_isl4096_osl32768_bs8_20260619_swe_qwen32_osl32k_bs8_qwen32_t00/breakdown.json,True,
2159157,0.0,qwen32,suffix,Qwen/Qwen3-32B,0,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_suffix_offset0_n8_isl4096_osl32768_bs8_k32_arctic_20260619_swe_qwen32_osl32k_bs8_qwen32_t00,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_qwen32_t00_bs8_retry_20260616_jobs.txt,,,,,,COMPLETED,0:0,00:19:20,lyris0100,None,coreai_dlalgo_llm-specdec.suffix-qwen32_swe_verified_osl32k_temp01,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_suffix_offset0_n8_isl4096_osl32768_bs8_k32_arctic_20260619_swe_qwen32_osl32k_bs8_qwen32_t00/breakdown.json,True,
2159159,0.0,qwen32,eagle3,Qwen/Qwen3-32B,0,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_eagle3_offset0_n8_isl4096_osl32768_bs8_k3_20260619_swe_qwen32_osl32k_bs8_qwen32_t00,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_qwen32_t00_bs8_retry_20260616_jobs.txt,,,,,,COMPLETED,0:0,00:34:10,lyris0101,None,coreai_dlalgo_llm-specdec.eagle3-qwen32_swe_verified_osl32k_temp01,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_eagle3_offset0_n8_isl4096_osl32768_bs8_k3_20260619_swe_qwen32_osl32k_bs8_qwen32_t00/breakdown.json,True,
2159160,1.0,qwen32,baseline,Qwen/Qwen3-32B,0,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_baseline_offset0_n8_isl4096_osl32768_bs8_20260619_swe_qwen32_osl32k_bs8_qwen32_t10,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_qwen32_t10_bs8_retry_20260616_jobs.txt,,,,,,COMPLETED,0:0,01:07:53,lyris0102,None,coreai_dlalgo_llm-specdec.baseline-qwen32_swe_verified_osl32k_temp01,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_baseline_offset0_n8_isl4096_osl32768_bs8_20260619_swe_qwen32_osl32k_bs8_qwen32_t10/breakdown.json,True,
2159162,1.0,qwen32,suffix,Qwen/Qwen3-32B,0,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_suffix_offset0_n8_isl4096_osl32768_bs8_k32_arctic_20260619_swe_qwen32_osl32k_bs8_qwen32_t10,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_qwen32_t10_bs8_retry_20260616_jobs.txt,,,,,,COMPLETED,0:0,01:00:22,lyris0103,None,coreai_dlalgo_llm-specdec.suffix-qwen32_swe_verified_osl32k_temp01,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_suffix_offset0_n8_isl4096_osl32768_bs8_k32_arctic_20260619_swe_qwen32_osl32k_bs8_qwen32_t10/breakdown.json,True,
2159165,1.0,qwen32,eagle3,Qwen/Qwen3-32B,0,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_eagle3_offset0_n8_isl4096_osl32768_bs8_k3_20260619_swe_qwen32_osl32k_bs8_qwen32_t10,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_qwen32_t10_bs8_retry_20260616_jobs.txt,,,,,,COMPLETED,0:0,00:47:42,lyris0104,None,coreai_dlalgo_llm-specdec.eagle3-qwen32_swe_verified_osl32k_temp01,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/swe_qwen32_osl32k_temp01_bsweep_20260619/qwen32_swe_verified_osl32k_temp01_eagle3_offset0_n8_isl4096_osl32768_bs8_k3_20260619_swe_qwen32_osl32k_bs8_qwen32_t10/breakdown.json,True,
