job_id,run_id,method,max_steps,state,local_log_files,error_file,error_excerpt,local_log_dir
2114342,20260613_lyris_swerl_qwen235b_fullgrpo_specdec_after_prewarm_r1,baseline,10,CANCELLED,0,,no local log/error excerpt available,tmp/lyris_swerl_fullgrpo_logs/20260613_lyris_swerl_qwen235b_fullgrpo_specdec_after_prewarm_r1/baseline_steps10_2114342
2114343,20260613_lyris_swerl_qwen235b_fullgrpo_specdec_after_prewarm_r1,suffix,10,CANCELLED,0,,no local log/error excerpt available,tmp/lyris_swerl_fullgrpo_logs/20260613_lyris_swerl_qwen235b_fullgrpo_specdec_after_prewarm_r1/suffix_steps10_2114343
2114344,20260613_lyris_swerl_qwen235b_fullgrpo_specdec_after_prewarm_r1,pard,10,CANCELLED,0,,no local log/error excerpt available,tmp/lyris_swerl_fullgrpo_logs/20260613_lyris_swerl_qwen235b_fullgrpo_specdec_after_prewarm_r1/pard_steps10_2114344
2114345,20260613_lyris_swerl_qwen235b_fullgrpo_specdec_after_prewarm_r1,pard2,10,CANCELLED,0,,no local log/error excerpt available,tmp/lyris_swerl_fullgrpo_logs/20260613_lyris_swerl_qwen235b_fullgrpo_specdec_after_prewarm_r1/pard2_steps10_2114345
2114346,20260613_lyris_swerl_qwen235b_fullgrpo_specdec_after_prewarm_r1,eagle3,10,CANCELLED,0,,no local log/error excerpt available,tmp/lyris_swerl_fullgrpo_logs/20260613_lyris_swerl_qwen235b_fullgrpo_specdec_after_prewarm_r1/eagle3_steps10_2114346
2114333,20260613_lyris_swerl_qwen235b_megatron_reconvert_r3,baseline,1,FAILED,18,tmp/lyris_swerl_fullgrpo_logs/20260613_lyris_swerl_qwen235b_megatron_reconvert_r3/baseline_steps1_2114333/2114333-logs/ray-driver.log,"Traceback (most recent call last): / File ""/lustre/fsw/coreai_dlalgo_llm/users/sna/Nemo-RL-SWE_bench-20260613/./examples/nemo_gym/run_grpo_nemo_gym.py"", line 307, in <module> / main() / ~~~~^^ / File ""/lustre/fsw/coreai_dlalgo_llm/users/sna/Nemo-RL-SWE_bench-20260613/./examples/nemo_gym/run_grpo_nemo_gym.py"", line 206, in main / ) = setup(config, tokenizer, train_dataset, val_dataset)",tmp/lyris_swerl_fullgrpo_logs/20260613_lyris_swerl_qwen235b_megatron_reconvert_r3/baseline_steps1_2114333
2118719,20260614_lyris_swerl_qwen235b_fullgrpo_specdec_after_wandb_prewarm_r1,baseline,10,PENDING,0,,no local log/error excerpt available,tmp/lyris_swerl_fullgrpo_logs/20260614_lyris_swerl_qwen235b_fullgrpo_specdec_after_wandb_prewarm_r1/baseline_steps10_2118719
2118720,20260614_lyris_swerl_qwen235b_fullgrpo_specdec_after_wandb_prewarm_r1,suffix,10,PENDING,0,,no local log/error excerpt available,tmp/lyris_swerl_fullgrpo_logs/20260614_lyris_swerl_qwen235b_fullgrpo_specdec_after_wandb_prewarm_r1/suffix_steps10_2118720
2118721,20260614_lyris_swerl_qwen235b_fullgrpo_specdec_after_wandb_prewarm_r1,pard,10,PENDING,0,,no local log/error excerpt available,tmp/lyris_swerl_fullgrpo_logs/20260614_lyris_swerl_qwen235b_fullgrpo_specdec_after_wandb_prewarm_r1/pard_steps10_2118721
2118724,20260614_lyris_swerl_qwen235b_fullgrpo_specdec_after_wandb_prewarm_r1,pard2,10,PENDING,0,,no local log/error excerpt available,tmp/lyris_swerl_fullgrpo_logs/20260614_lyris_swerl_qwen235b_fullgrpo_specdec_after_wandb_prewarm_r1/pard2_steps10_2118724
2118725,20260614_lyris_swerl_qwen235b_fullgrpo_specdec_after_wandb_prewarm_r1,eagle3,10,PENDING,0,,no local log/error excerpt available,tmp/lyris_swerl_fullgrpo_logs/20260614_lyris_swerl_qwen235b_fullgrpo_specdec_after_wandb_prewarm_r1/eagle3_steps10_2118725
2118715,20260614_lyris_swerl_qwen235b_megatron_reconvert_wandb_r1,baseline,1,RUNNING,18,tmp/lyris_swerl_fullgrpo_logs/20260614_lyris_swerl_qwen235b_megatron_reconvert_wandb_r1/baseline_steps1_2118715/2118715-logs/ray-driver.log,Building transformer-engine @ git+https://github.com/NVIDIA/TransformerEngine.git@366798ef8a0a00d8f2c1650d11e7e623d7c33e26,tmp/lyris_swerl_fullgrpo_logs/20260614_lyris_swerl_qwen235b_megatron_reconvert_wandb_r1/baseline_steps1_2118715
