domain,run_group,model,method,k,config_basis,max_steps,max_new_tokens,sequence_length,job_id,account,state,exit_code,parsed_steps,completed_steps,metric_step_filter,e2e_step_time_s,generation_time_s,e2e_tokens_per_sec_per_gpu,generation_worker_tokens_per_sec_per_gpu,e2e_throughput_speedup,generation_throughput_speedup,acceptance_rate_pct,mean_accepted_length,metric_status,notes,sources
Math-RL,step20 temp1 OSL1024,Qwen3-30B-A3B,baseline,0,performance recipe temp1 max_new_tokens1024,20,1024,,3334218,nemotron_n3_post,COMPLETED,0:0,20,20,all,290.248,211.283,125.7435,172.567,1.000,1.000,,,complete,matched baseline,docs/oci_hsg_mathrl_multimodel_specdec_step20_live_summary_20260616.csv; remote sacct 2026-06-17
Math-RL,step20 temp1 OSL1024,Qwen3-30B-A3B,pard,5,performance recipe temp1 max_new_tokens1024,20,1024,,3333526,nemotron_n3_post,COMPLETED,0:0,20,20,all,178.1765,100.4075,205.147,363.707,1.631,2.108,50.8293,3.5414,complete,,docs/oci_hsg_mathrl_multimodel_specdec_step20_live_summary_20260616.csv; remote sacct 2026-06-17
Math-RL,step20 temp1 OSL1024,Qwen3-30B-A3B,eagle3,3,performance recipe temp1 max_new_tokens1024,20,1024,,3333528,nemotron_n3_post,COMPLETED,0:0,20,20,all,161.08,89.8225,227.419,406.4535,1.809,2.355,64.7547,2.9422,complete,,docs/oci_hsg_mathrl_multimodel_specdec_step20_live_summary_20260616.csv; remote sacct 2026-06-17
Math-RL,step20 temp1 OSL1024,Qwen3-30B-A3B,suffix,32,performance recipe temp1 max_new_tokens1024,20,1024,,3333715,nemotron_n3_post,COMPLETED,0:0,20,20,all,179.23,108.935,204.0035,335.9465,1.622,1.947,35.6164,2.6431,complete,,docs/oci_hsg_mathrl_multimodel_specdec_step20_live_summary_20260616.csv; remote sacct 2026-06-17
Math-RL,step20 temp1 OSL1024,Qwen3-30B-A3B,pard2_8b,,performance recipe temp1 max_new_tokens1024,20,1024,,3333527,nemotron_n3_post,FAILED,1:0,1,0,all,,,,,,,,no_completed_step,failed before a completed step; failure detail not parsed in clean artifact,docs/oci_hsg_mathrl_multimodel_specdec_step20_live_summary_20260616.csv; remote sacct 2026-06-17
Math-RL,step20 temp1 OSL1024,Qwen3-32B,baseline,0,performance recipe temp1 max_new_tokens1024,20,1024,,3334219,nemotron_n3_post,COMPLETED,0:0,20,20,all,528.109,480.941,69.0345,75.809,1.000,1.000,,,complete,final time and throughput from bounded remote metric grep,remote metric grep 2026-06-17; remote sacct 2026-06-17
Math-RL,step20 temp1 OSL1024,Qwen3-32B,pard,5,performance recipe temp1 max_new_tokens1024,20,1024,,3333531,nemotron_n3_post,COMPLETED,0:0,20,20,all,287.8445,237.5955,126.7935,153.642,1.837,2.027,46.7958,3.3395,complete,,docs/oci_hsg_mathrl_multimodel_specdec_step20_live_summary_20260616.csv; remote sacct 2026-06-17
Math-RL,step20 temp1 OSL1024,Qwen3-32B,eagle3,3,performance recipe temp1 max_new_tokens1024,20,1024,,3333533,nemotron_n3_post,COMPLETED,0:0,20,20,all,297.5705,248.196,122.553,146.959,1.775,1.939,46.6907,2.4006,complete,,docs/oci_hsg_mathrl_multimodel_specdec_step20_live_summary_20260616.csv; remote sacct 2026-06-17
Math-RL,step20 temp1 OSL1024,Qwen3-32B,suffix,32,performance recipe temp1 max_new_tokens1024,20,1024,,3333716,nemotron_n3_post,COMPLETED,0:0,20,20,all,322.252,271.589,113.202,134.357,1.640,1.772,29.8925,2.2252,complete,final time and throughput from remote grep; acceptance from local partial 18 completed steps,docs/oci_hsg_mathrl_multimodel_specdec_step20_live_summary_20260616.csv; remote metric grep 2026-06-17; remote sacct 2026-06-17
Math-RL,step20 temp1 OSL1024,Qwen3-32B,pard2_14b,3,performance recipe temp1 max_new_tokens1024,20,1024,,3334113,nemotron_n3_post,TIMEOUT,0:0,11,10,all,741.493,690.719,49.357,52.988,0.715,0.699,1.6951,1.0507,partial_timeout,10 completed parsed steps before timeout,docs/oci_hsg_mathrl_active_refresh_summary_20260616.csv; remote sacct 2026-06-17
