job_id,label,step,max_steps,status,loss,draft_training_enabled,draft_refit_this_step,draft_loss,generation_kl_error,avg_reward,total_step_time_s,generation_time_s,policy_training_time_s,policy_and_reference_logprobs_time_s,prepare_for_generation_total_s,e2e_tokens_per_sec_per_gpu,generation_worker_tokens_per_sec_per_gpu,policy_training_tokens_per_sec_per_gpu,policy_logprobs_tokens_per_sec_per_gpu,mean_generation_length,vllm_acceptance_rate_pct_mean_visible,vllm_acceptance_rate_pct_mean_weighted,vllm_acceptance_rate_pct_latest_visible,vllm_acceptance_length_mean_visible,vllm_acceptance_length_mean_weighted,vllm_acceptance_length_latest_visible,vllm_accepted_throughput_mean_visible,vllm_drafted_throughput_mean_visible,vllm_accepted_tokens_sum_weighted,vllm_drafted_tokens_sum_weighted,vllm_specdec_metric_visible_count,vllm_specdec_metric_weighted_count,error_count,latest_error,log_path,vllm_acceptance_rate_pos1_weighted,vllm_acceptance_rate_pos2_weighted,vllm_acceptance_rate_pos3_weighted,vllm_acceptance_rate_pos4_weighted,vllm_acceptance_rate_pos5_weighted,vllm_acceptance_rate_pos6_weighted,vllm_acceptance_rate_pos7_weighted,vllm_acceptance_rate_pos8_weighted,vllm_acceptance_rate_pos9_weighted
3337769,qwen32_online_pard2_gate1,1,1,incomplete_step,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,"(RayWorkerWrapper pid=2785700, ip=10.109.24.102) Traceback (most recent call last):",tmp/oci_hsg_mathrl_active_refresh_20260616/qwen32_online_pard2/3337769-logs-ray-driver.log,,,,,,,,,
3334219,qwen32_baseline,1,20,completed_step,,,,,0.0028,0.1719,535.62,480.52,36.33,14.35,3.38,67.2,74.91,990.87,2507.92,1024.0,,,,,,,,,,,0,0,0,,tmp/oci_hsg_mathrl_active_refresh_20260616/qwen32_baseline/3334219-logs-ray-driver.log,,,,,,,,,
3334219,qwen32_baseline,2,20,completed_step,0.0388,,,,0.0061,0.4551,528.74,481.36,28.66,8.85,8.57,67.82,74.49,1251.31,4052.75,1024.0,,,,,,,,,,,0,0,0,,tmp/oci_hsg_mathrl_active_refresh_20260616/qwen32_baseline/3334219-logs-ray-driver.log,,,,,,,,,
3334219,qwen32_baseline,3,20,completed_step,0.0054,,,,0.0008,0.291,524.87,479.55,25.64,7.94,10.52,69.18,75.72,1416.02,4573.85,1024.0,,,,,,,,,,,0,0,0,,tmp/oci_hsg_mathrl_active_refresh_20260616/qwen32_baseline/3334219-logs-ray-driver.log,,,,,,,,,
3334219,qwen32_baseline,4,20,completed_step,,,,,0.0036,0.1934,528.73,482.43,26.08,8.02,10.88,68.15,74.69,1381.59,4494.37,1024.0,,,,,,,,,,,0,0,0,,tmp/oci_hsg_mathrl_active_refresh_20260616/qwen32_baseline/3334219-logs-ray-driver.log,,,,,,,,,
3334219,qwen32_baseline,5,20,completed_step,0.0032,,,,0.0057,0.25,526.38,480.25,26.17,7.98,10.62,68.7,75.3,1381.93,4531.18,1024.0,,,,,,,,,,,0,0,0,,tmp/oci_hsg_mathrl_active_refresh_20260616/qwen32_baseline/3334219-logs-ray-driver.log,,,,,,,,,
3334219,qwen32_baseline,6,20,completed_step,,,,,0.0064,0.2656,530.31,482.66,26.66,9.05,10.75,69.45,76.31,1381.67,4068.92,1024.0,,,,,,,,,,,0,0,0,,tmp/oci_hsg_mathrl_active_refresh_20260616/qwen32_baseline/3334219-logs-ray-driver.log,,,,,,,,,
3334219,qwen32_baseline,7,20,completed_step,,,,,0.0041,0.2578,525.9,480.73,25.9,7.81,10.19,68.4,74.82,1388.82,4607.96,1024.0,,,,,,,,,,,0,0,0,,tmp/oci_hsg_mathrl_active_refresh_20260616/qwen32_baseline/3334219-logs-ray-driver.log,,,,,,,,,
3334219,qwen32_baseline,8,20,completed_step,0.0004,,,,0.0063,0.2754,538.75,481.88,28.57,15.84,10.94,75.15,84.02,1416.91,2555.88,1024.0,,,,,,,,,,,0,0,0,,tmp/oci_hsg_mathrl_active_refresh_20260616/qwen32_baseline/3334219-logs-ray-driver.log,,,,,,,,,
3334219,qwen32_baseline,9,20,completed_step,0.0038,,,,0.0081,0.1465,524.92,479.43,25.93,7.86,10.49,69.0,75.55,1397.06,4609.18,1024.0,,,,,,,,,,,0,0,0,,tmp/oci_hsg_mathrl_active_refresh_20260616/qwen32_baseline/3334219-logs-ray-driver.log,,,,,,,,,
