job_id,job_name,queue_state,acct_state,exit_code,queue_elapsed,acct_elapsed,remaining,reason,start_time,acct_start,acct_end
3232413,qwen235b-02_env_blocking-v060-ablation-step20-N32xG4,PENDING,,,0:00,,4:00:00,(Priority),N/A,,
3232414,qwen235b-03_skip_logprob-v060-ablation-step20-N32xG4,PENDING,,,0:00,,4:00:00,(Priority),N/A,,
3232415,qwen235b-04_topology-v060-ablation-step20-N32xG4,PENDING,,,0:00,,4:00:00,(Priority),N/A,,
3232416,qwen235b-05_topology_fix-v060-ablation-step20-N32xG4,PENDING,,,0:00,,4:00:00,(Priority),N/A,,
3232417,qwen235b-06_numa-v060-ablation-step20-N32xG4,PENDING,,,0:00,,4:00:00,(Priority),N/A,,
3232418,qwen235b-07_gb200_numa_fix-v060-ablation-step20-N32xG4,PENDING,,,0:00,,4:00:00,(Priority),N/A,,
3332282,online-qwen235b-mathrl-main-baseline-fixed1024-step5-N32xG4,,FAILED,1:0,,00:18:38,,,,2026-06-15T21:49:45,2026-06-15T22:08:23
3332283,online-qwen235b-mathrl-main-online_pard2_k3-fixed1024-step5-N32xG4,,CANCELLED,0:15,,02:58:58,,,,,
3333526,online-qwen30ba3b-mathrl-pard-step20-out1024-min1024-temp1.0-N4xG4,,COMPLETED,0:0,,01:09:28,,,,2026-06-15T22:28:11,2026-06-15T23:37:39
3333527,online-qwen30ba3b-mathrl-pard2-step20-out1024-min1024-temp1.0-N4xG4,,FAILED,1:0,,00:21:07,,,,2026-06-15T22:28:11,2026-06-15T22:49:18
3333528,online-qwen30ba3b-mathrl-eagle3-step20-out1024-min1024-temp1.0-N4xG4,,COMPLETED,0:0,,01:03:41,,,,2026-06-15T22:28:11,2026-06-15T23:31:52
3333529,online-qwen30ba3b-mathrl-suffix-step20-out1024-min1024-temp1.0-N4xG4,,FAILED,1:0,,00:03:51,,,,2026-06-15T22:28:11,2026-06-15T22:32:02
3333531,online-qwen32-mathrl-pard-step20-out1024-min1024-temp1.0-N4xG4,,COMPLETED,0:0,,01:44:38,,,,2026-06-15T22:28:11,2026-06-16T00:12:49
3333532,online-qwen32-mathrl-pard2-step20-out1024-min1024-temp1.0-N4xG4,,FAILED,1:0,,00:19:49,,,,2026-06-15T22:28:11,2026-06-15T22:48:00
3333533,online-qwen32-mathrl-eagle3-step20-out1024-min1024-temp1.0-N4xG4,,COMPLETED,0:0,,01:48:03,,,,2026-06-15T22:28:11,2026-06-16T00:16:14
3333534,online-qwen32-mathrl-suffix-step20-out1024-min1024-temp1.0-N4xG4,,FAILED,1:0,,00:05:31,,,,2026-06-15T22:28:11,2026-06-15T22:33:42
3333535,online-qwen235b-mathrl-pard-step20-out1024-min1024-temp1.0-N32xG4,,FAILED,1:0,,00:22:00,,,2026-06-16T02:28:11,Unknown,Unknown
3333536,online-qwen235b-mathrl-pard2-step20-out1024-min1024-temp1.0-N32xG4,,FAILED,1:0,,01:20:35,,,,2026-06-15T22:38:25,2026-06-15T23:59:00
3333537,online-qwen235b-mathrl-eagle3-step20-out1024-min1024-temp1.0-N32xG4,,FAILED,1:0,,01:21:59,,,2026-06-16T02:28:11,Unknown,Unknown
3333538,online-qwen235b-mathrl-suffix-step20-out1024-min1024-temp1.0-N32xG4,,CANCELLED by 150081,0:0,,00:00:00,,,,None,2026-06-15T22:36:03
3333715,online-qwen30ba3b-mathrl-suffix-step20-out1024-min1024-temp1.0-N4xG4,,COMPLETED,0:0,,01:09:14,,,,2026-06-15T22:37:38,2026-06-15T23:46:52
3333716,online-qwen32-mathrl-suffix-step20-out1024-min1024-temp1.0-N4xG4,,COMPLETED,0:0,,01:55:02,,,,2026-06-15T22:36:48,2026-06-16T00:31:50
3333717,online-qwen235b-mathrl-suffix-step20-out1024-min1024-temp1.0-N32xG4,,FAILED,1:0,,01:24:00,,,2026-06-16T02:28:11,2026-06-16T19:52:36,2026-06-16T21:16:36
3334113,online-qwen32-mathrl-pard2-step20-out1024-min1024-temp1.0-N4xG4,RUNNING,RUNNING,0:0,2:03:14,02:03:15,1:56:46,"nvl72154-T[05,11,14,18]",2026-06-15T22:58:44,2026-06-15T22:58:44,Unknown
3334218,online-qwen30ba3b-mathrl-baseline-step20-out1024-min1024-temp1.0-N4xG4,,COMPLETED,0:0,,01:49:31,,,,2026-06-15T23:07:02,2026-06-16T00:56:33
3334219,online-qwen32-mathrl-baseline-step20-out1024-min1024-temp1.0-N4xG4,RUNNING,RUNNING,0:0,1:54:56,01:54:57,2:05:04,"nvl72072-T[06,12-14]",2026-06-15T23:07:02,2026-06-15T23:07:02,Unknown
3334220,online-qwen235b-mathrl-baseline-step20-out1024-min1024-temp1.0-N32xG4,,FAILED,1:0,,01:14:56,,,2026-06-16T02:41:38,2026-06-16T20:00:28,2026-06-16T21:15:24
3337599,online-qwen235b-mathrl-main-online_pard2_k3-fixed1024-step1-N32xG4,PENDING,PENDING,0:0,0:00,00:00:00,1:00:00,(Priority),2026-06-16T02:12:53,Unknown,Unknown
