job_id,label,step,max_steps,status,loss,draft_training_enabled,draft_refit_this_step,draft_loss,generation_kl_error,avg_reward,total_step_time_s,generation_time_s,policy_training_time_s,policy_and_reference_logprobs_time_s,prepare_for_generation_total_s,e2e_tokens_per_sec_per_gpu,generation_worker_tokens_per_sec_per_gpu,policy_training_tokens_per_sec_per_gpu,policy_logprobs_tokens_per_sec_per_gpu,mean_generation_length,vllm_acceptance_rate_pct_mean_visible,vllm_acceptance_rate_pct_mean_weighted,vllm_acceptance_rate_pct_latest_visible,vllm_acceptance_length_mean_visible,vllm_acceptance_length_mean_weighted,vllm_acceptance_length_latest_visible,vllm_accepted_throughput_mean_visible,vllm_drafted_throughput_mean_visible,vllm_accepted_tokens_sum_weighted,vllm_drafted_tokens_sum_weighted,vllm_specdec_metric_visible_count,vllm_specdec_metric_weighted_count,error_count,latest_error,log_path,vllm_acceptance_rate_pos1_weighted,vllm_acceptance_rate_pos2_weighted,vllm_acceptance_rate_pos3_weighted,vllm_acceptance_rate_pos4_weighted,vllm_acceptance_rate_pos5_weighted,vllm_acceptance_rate_pos6_weighted,vllm_acceptance_rate_pos7_weighted,vllm_acceptance_rate_pos8_weighted,vllm_acceptance_rate_pos9_weighted
3334218,qwen30ba3b_baseline,1,20,completed_step,,,,,0.0063,0.1855,331.33,214.77,66.76,41.16,6.69,108.64,167.6,539.22,874.55,1024.0,,,,,,,,,,,0,0,0,,tmp/oci_hsg_mathrl_multimodel_20260616_logs/20260616_mathrl_multimodel_baseline_step20_temp1_genbound1024/qwen30ba3b_baseline/3334218-logs/ray-driver.log,,,,,,,,,
3334218,qwen30ba3b_baseline,2,20,completed_step,,,,,0.0114,0.416,296.57,212.62,40.13,18.19,14.55,120.91,168.65,893.53,1971.11,1024.0,,,,,,,,,,,0,0,0,,tmp/oci_hsg_mathrl_multimodel_20260616_logs/20260616_mathrl_multimodel_baseline_step20_temp1_genbound1024/qwen30ba3b_baseline/3334218-logs/ray-driver.log,,,,,,,,,
3334218,qwen30ba3b_baseline,3,20,completed_step,0.0142,,,,0.0018,0.2949,288.1,210.33,40.08,18.13,10.07,126.03,172.63,906.03,2003.15,1024.0,,,,,,,,,,,0,0,0,,tmp/oci_hsg_mathrl_multimodel_20260616_logs/20260616_mathrl_multimodel_baseline_step20_temp1_genbound1024/qwen30ba3b_baseline/3334218-logs/ray-driver.log,,,,,,,,,
3334218,qwen30ba3b_baseline,4,20,completed_step,0.0104,,,,0.0069,0.207,288.47,210.29,38.86,17.92,10.34,124.91,171.36,927.27,2010.5,1024.0,,,,,,,,,,,0,0,0,,tmp/oci_hsg_mathrl_multimodel_20260616_logs/20260616_mathrl_multimodel_baseline_step20_temp1_genbound1024/qwen30ba3b_baseline/3334218-logs/ray-driver.log,,,,,,,,,
3334218,qwen30ba3b_baseline,5,20,completed_step,,,,,0.0101,0.2637,289.09,211.35,38.44,17.72,9.87,125.09,171.1,940.8,2040.18,1024.0,,,,,,,,,,,0,0,0,,tmp/oci_hsg_mathrl_multimodel_20260616_logs/20260616_mathrl_multimodel_baseline_step20_temp1_genbound1024/qwen30ba3b_baseline/3334218-logs/ray-driver.log,,,,,,,,,
3334218,qwen30ba3b_baseline,6,20,completed_step,,,,,0.0119,0.2969,287.38,210.24,38.67,17.89,9.69,128.16,175.19,952.37,2059.12,1024.0,,,,,,,,,,,0,0,0,,tmp/oci_hsg_mathrl_multimodel_20260616_logs/20260616_mathrl_multimodel_baseline_step20_temp1_genbound1024/qwen30ba3b_baseline/3334218-logs/ray-driver.log,,,,,,,,,
3334218,qwen30ba3b_baseline,7,20,completed_step,0.0143,,,,0.0106,0.2949,287.89,211.34,37.89,17.92,9.69,124.94,170.2,949.33,2007.01,1024.0,,,,,,,,,,,0,0,0,,tmp/oci_hsg_mathrl_multimodel_20260616_logs/20260616_mathrl_multimodel_baseline_step20_temp1_genbound1024/qwen30ba3b_baseline/3334218-logs/ray-driver.log,,,,,,,,,
3334218,qwen30ba3b_baseline,8,20,completed_step,0.0027,,,,0.0103,0.2734,290.64,211.64,39.11,18.61,9.7,139.3,191.29,1035.14,2175.48,1024.0,,,,,,,,,,,0,0,0,,tmp/oci_hsg_mathrl_multimodel_20260616_logs/20260616_mathrl_multimodel_baseline_step20_temp1_genbound1024/qwen30ba3b_baseline/3334218-logs/ray-driver.log,,,,,,,,,
3334218,qwen30ba3b_baseline,9,20,completed_step,0.0076,,,,0.0113,0.166,288.0,211.64,38.47,17.35,9.74,125.76,171.14,941.53,2087.87,1024.0,,,,,,,,,,,0,0,0,,tmp/oci_hsg_mathrl_multimodel_20260616_logs/20260616_mathrl_multimodel_baseline_step20_temp1_genbound1024/qwen30ba3b_baseline/3334218-logs/ray-driver.log,,,,,,,,,
3334218,qwen30ba3b_baseline,10,20,completed_step,,,,,0.0126,0.3086,288.2,210.39,38.02,18.81,9.8,125.17,171.46,948.79,1918.22,1024.0,,,,,,,,,,,0,0,0,,tmp/oci_hsg_mathrl_multimodel_20260616_logs/20260616_mathrl_multimodel_baseline_step20_temp1_genbound1024/qwen30ba3b_baseline/3334218-logs/ray-driver.log,,,,,,,,,
