job_id,label,step,max_steps,status,loss,draft_training_enabled,draft_refit_this_step,draft_loss,generation_kl_error,avg_reward,total_step_time_s,generation_time_s,policy_training_time_s,policy_and_reference_logprobs_time_s,prepare_for_generation_total_s,e2e_tokens_per_sec_per_gpu,generation_worker_tokens_per_sec_per_gpu,policy_training_tokens_per_sec_per_gpu,policy_logprobs_tokens_per_sec_per_gpu,mean_generation_length,vllm_acceptance_rate_pct_mean_visible,vllm_acceptance_rate_pct_mean_weighted,vllm_acceptance_rate_pct_latest_visible,vllm_acceptance_length_mean_visible,vllm_acceptance_length_mean_weighted,vllm_acceptance_length_latest_visible,vllm_accepted_throughput_mean_visible,vllm_drafted_throughput_mean_visible,vllm_accepted_tokens_sum_weighted,vllm_drafted_tokens_sum_weighted,vllm_specdec_metric_visible_count,vllm_specdec_metric_weighted_count,error_count,latest_error,log_path,vllm_acceptance_rate_pos1_weighted,vllm_acceptance_rate_pos2_weighted,vllm_acceptance_rate_pos3_weighted,vllm_acceptance_rate_pos4_weighted,vllm_acceptance_rate_pos5_weighted,vllm_acceptance_rate_pos6_weighted,vllm_acceptance_rate_pos7_weighted,vllm_acceptance_rate_pos8_weighted,vllm_acceptance_rate_pos9_weighted
3333537,qwen235b_eagle3,1,20,completed_step,-0.0164,,,,0.309,0.2578,325.77,73.18,102.28,137.21,11.7,6.99,31.11,22.25,16.59,1024.0,44.41428571428571,43.032738095238095,46.4,2.3314285714285714,2.289761904761905,2.39,63.138571428571424,146.22285714285712,132040.0,307311.0,7,168,0,,tmp/oci_logs_20260616/3333537-ray-driver.log,0.6575773809523809,0.39892261904761905,0.2342857142857143,,,,,,
3333537,qwen235b_eagle3,2,20,completed_step,-0.0126,,,,0.2745,0.0859,119.62,66.25,14.92,12.38,21.38,18.59,33.56,149.0,179.59,1024.0,46.525,47.567525773195875,44.6,2.3962499999999998,2.4269072164948455,2.34,69.1025,145.375,159411.0,332934.0,8,194,0,,tmp/oci_logs_20260616/3333537-ray-driver.log,0.6880876288659794,0.45012886597938145,0.28881958762886595,,,,,,
3333537,qwen235b_eagle3,3,20,completed_step,0.0045,,,,0.2664,0.4922,105.92,65.4,16.08,6.65,13.26,20.91,33.87,137.81,333.07,1024.0,44.34285714285714,46.27720207253886,39.6,2.3299999999999996,2.387823834196891,2.19,71.66714285714286,153.05142857142854,160546.0,342447.0,7,193,0,,tmp/oci_logs_20260616/3333537-ray-driver.log,0.6733056994818654,0.4355336787564767,0.2791554404145078,,,,,,
3333537,qwen235b_eagle3,4,20,completed_step,0.0021,,,,0.2848,0.3281,121.23,67.72,11.7,14.58,22.43,18.7,33.48,193.69,155.49,1024.0,42.27777777777778,44.4489898989899,40.2,2.27,2.33489898989899,2.21,65.28333333333333,146.08555555555554,156327.0,337725.0,9,198,0,,tmp/oci_logs_20260616/3333537-ray-driver.log,0.6536616161616162,0.42214141414141415,0.25814141414141417,,,,,,
3333537,qwen235b_eagle3,5,20,completed_step,0.0249,,,,0.2777,0.3203,100.93,65.76,11.12,6.35,13.36,22.58,34.65,204.84,358.6,1024.0,45.85,46.60260416666667,37.1,2.3762499999999998,2.39953125,2.11,68.63375,149.08375,160734.0,341565.0,8,192,0,,tmp/oci_logs_20260616/3333537-ray-driver.log,0.6948229166666667,0.43868229166666667,0.2652083333333333,,,,,,
3333537,qwen235b_eagle3,6,20,completed_step,0.0129,,,,0.227,0.2617,97.8,64.35,10.6,6.0,12.58,23.11,35.12,213.22,376.85,1024.0,53.957142857142856,52.58497409326424,47.5,2.62,2.578238341968912,2.43,78.21857142857142,147.5257142857143,175518.0,331152.0,7,193,0,,tmp/oci_logs_20260616/3333537-ray-driver.log,0.7417098445595856,0.5072642487046632,0.3289067357512953,,,,,,
3333537,qwen235b_eagle3,7,20,completed_step,0.0005,,,,0.2489,0.0742,98.5,64.68,10.43,5.71,13.33,23.02,35.05,217.46,397.31,1024.0,50.67142857142857,49.79157894736842,44.1,2.5171428571428573,2.4907368421052634,2.32,63.86571428571428,124.75857142857144,146810.0,287721.0,7,190,0,,tmp/oci_logs_20260616/3333537-ray-driver.log,0.7140684210526316,0.47180000000000005,0.3072105263157895,,,,,,
3333537,qwen235b_eagle3,8,20,completed_step,0.0255,,,,0.3732,0.2852,104.01,68.25,11.65,5.95,13.9,21.51,32.78,191.97,376.26,1024.0,42.599999999999994,44.268844221105525,37.5,2.2777777777777777,2.3263316582914575,2.13,69.65777777777777,160.37444444444446,164075.0,368781.0,9,199,0,,tmp/oci_logs_20260616/3333537-ray-driver.log,0.6518643216080402,0.4071859296482412,0.26852261306532665,,,,,,
3333537,qwen235b_eagle3,9,20,completed_step,0.001,,,,0.2915,0.207,99.08,65.23,10.05,6.69,12.46,23.15,35.17,228.26,343.12,1024.0,50.07142857142857,50.38743455497382,45.8,2.5028571428571427,2.512722513089005,2.38,75.93714285714285,150.42857142857142,168631.0,333774.0,7,191,0,,tmp/oci_logs_20260616/3333537-ray-driver.log,0.7247696335078533,0.4770575916230366,0.3097853403141361,,,,,,
3333537,qwen235b_eagle3,10,20,completed_step,-0.0008,,,,0.2584,0.3047,99.51,61.61,11.01,5.92,16.76,22.37,36.13,202.24,376.1,1024.0,48.8,50.358247422680414,50.8,2.465,2.5123711340206185,2.52,77.4375,155.0975,183444.0,363567.0,8,194,0,,tmp/oci_logs_20260616/3333537-ray-driver.log,0.7085515463917526,0.47716494845360824,0.3250154639175258,,,,,,
3333537,qwen235b_eagle3,11,20,completed_step,-0.0022,,,,0.2511,0.207,100.1,66.1,10.09,6.09,13.26,22.53,34.11,223.58,370.45,1024.0,46.0125,47.55663265306123,36.9,2.38,2.426122448979592,2.11,70.345,150.33375,162248.0,336951.0,8,196,0,,tmp/oci_logs_20260616/3333537-ray-driver.log,0.6953010204081632,0.4515816326530612,0.2801020408163265,,,,,,
3333537,qwen235b_eagle3,12,20,completed_step,0.0017,,,,0.2329,0.3242,102.1,67.48,12.11,5.61,12.58,23.01,34.81,194.02,418.73,1024.0,48.8,50.3235294117647,36.3,2.46375,2.5085026737967913,2.09,72.37125,148.50125,164806.0,325350.0,8,187,0,,tmp/oci_logs_20260616/3333537-ray-driver.log,0.7034171122994651,0.4772459893048129,0.32940106951871656,,,,,,
3333537,qwen235b_eagle3,13,20,completed_step,0.0126,,,,0.2624,0.4062,98.29,63.96,10.81,6.06,12.44,22.55,34.66,205.09,365.67,1024.0,42.871428571428574,43.44920634920635,20.0,2.2857142857142856,2.302804232804233,1.6,65.85142857142857,142.62428571428572,146338.0,315696.0,7,189,0,,tmp/oci_logs_20260616/3333537-ray-driver.log,0.6489470899470899,0.4034761904761905,0.25086772486772485,,,,,,
3333537,qwen235b_eagle3,14,20,completed_step,0.0014,,,,0.2664,0.1133,100.96,67.51,10.72,5.73,12.76,22.58,33.77,212.71,397.85,1024.0,45.8625,47.29020618556701,39.7,2.3762499999999998,2.4187113402061855,2.19,63.09875,133.93375,151505.0,315009.0,8,194,0,,tmp/oci_logs_20260616/3333537-ray-driver.log,0.6842938144329896,0.4520463917525773,0.28219072164948455,,,,,,
3333537,qwen235b_eagle3,15,20,incomplete_step,,,,,,,,,,,,,,,,,45.8875,48.01340206185567,42.8,2.3775,2.4401546391752578,2.29,73.8375,155.35125,168833.0,350175.0,8,194,309,"Process group watchdog thread terminated with exception: [Rank 7] Watchdog caught collective operation timeout: WorkNCCL(SeqNum=313, OpType=COALESCED, NumelIn=0, NumelOut=0, Timeout(ms)=1800000) ran for 1800059 milliseconds before timing out. [repeated 79x across cluster]",tmp/oci_logs_20260616/3333537-ray-driver.log,0.6905309278350515,0.45352061855670106,0.29686082474226805,,,,,,
