job_id,label,step,max_steps,status,loss,draft_training_enabled,draft_refit_this_step,draft_loss,generation_kl_error,avg_reward,total_step_time_s,generation_time_s,policy_training_time_s,policy_and_reference_logprobs_time_s,prepare_for_generation_total_s,e2e_tokens_per_sec_per_gpu,generation_worker_tokens_per_sec_per_gpu,policy_training_tokens_per_sec_per_gpu,policy_logprobs_tokens_per_sec_per_gpu,mean_generation_length,vllm_acceptance_rate_pct_mean_visible,vllm_acceptance_rate_pct_mean_weighted,vllm_acceptance_rate_pct_latest_visible,vllm_acceptance_length_mean_visible,vllm_acceptance_length_mean_weighted,vllm_acceptance_length_latest_visible,vllm_accepted_throughput_mean_visible,vllm_drafted_throughput_mean_visible,vllm_accepted_tokens_sum_weighted,vllm_drafted_tokens_sum_weighted,vllm_specdec_metric_visible_count,vllm_specdec_metric_weighted_count,error_count,latest_error,log_path,vllm_acceptance_rate_pos1_weighted,vllm_acceptance_rate_pos2_weighted,vllm_acceptance_rate_pos3_weighted,vllm_acceptance_rate_pos4_weighted,vllm_acceptance_rate_pos5_weighted,vllm_acceptance_rate_pos6_weighted,vllm_acceptance_rate_pos7_weighted,vllm_acceptance_rate_pos8_weighted,vllm_acceptance_rate_pos9_weighted
3321180,baseline,1,10,completed_step,,,,,0.0032,0.0625,345.07,38.65,103.94,188.21,12.94,0.54,4.85,1.8,1.0,256.0,,,,,,,,,,,0,0,9,"rocessGroup with size 2.  In lazy initialization mode, this will result in a new 2-rank NCCL communicator to be created. (Triggered internally at /pytorch/torch/csrc/distributed/c10d/ProcessGroupNCCL.cpp:4094.) [repeated 15x across cluster]",tmp/oci_hsg_mathrl_reduced64_10step_logs_20260615/baseline/3321180-logs-ray-driver.log,,,,,,,,,
3321180,baseline,2,10,completed_step,0.0,,,,0.0039,0.0,94.14,34.9,19.13,14.17,20.44,1.94,5.24,9.55,12.9,256.0,,,,,,,,,,,0,0,0,,tmp/oci_hsg_mathrl_reduced64_10step_logs_20260615/baseline/3321180-logs-ray-driver.log,,,,,,,,,
3321180,baseline,3,10,completed_step,0.0151,,,,0.0042,0.0469,98.2,41.87,14.54,12.85,17.74,1.8,4.23,12.17,13.77,256.0,,,,,,,,,,,0,0,0,,tmp/oci_hsg_mathrl_reduced64_10step_logs_20260615/baseline/3321180-logs-ray-driver.log,,,,,,,,,
3321180,baseline,4,10,completed_step,0.0449,,,,0.0043,0.0156,86.36,35.47,13.37,7.14,24.11,1.93,4.7,12.46,23.34,256.0,,,,,,,,,,,0,0,0,,tmp/oci_hsg_mathrl_reduced64_10step_logs_20260615/baseline/3321180-logs-ray-driver.log,,,,,,,,,
3321180,baseline,5,10,completed_step,0.0,,,,0.0036,0.0,73.92,35.29,9.74,5.76,18.1,2.3,4.81,17.43,29.48,256.0,,,,,,,,,,,0,0,0,,tmp/oci_hsg_mathrl_reduced64_10step_logs_20260615/baseline/3321180-logs-ray-driver.log,,,,,,,,,
3321180,baseline,6,10,completed_step,0.0167,,,,0.0044,0.0469,75.38,35.23,9.06,7.22,17.52,2.25,4.82,18.74,23.52,256.0,,,,,,,,,,,0,0,0,,tmp/oci_hsg_mathrl_reduced64_10step_logs_20260615/baseline/3321180-logs-ray-driver.log,,,,,,,,,
3321180,baseline,7,10,completed_step,,,,,0.0056,0.1562,75.4,34.78,9.29,5.93,19.25,2.57,5.56,20.82,32.63,256.0,,,,,,,,,,,0,0,0,,tmp/oci_hsg_mathrl_reduced64_10step_logs_20260615/baseline/3321180-logs-ray-driver.log,,,,,,,,,
3321180,baseline,8,10,completed_step,,,,,0.0037,0.0312,73.03,34.72,8.0,5.95,18.3,2.36,4.95,21.49,28.9,256.0,,,,,,,,,,,0,0,0,,tmp/oci_hsg_mathrl_reduced64_10step_logs_20260615/baseline/3321180-logs-ray-driver.log,,,,,,,,,
3321180,baseline,9,10,completed_step,0.0369,,,,0.0032,0.0938,72.19,35.09,8.71,5.67,17.69,2.58,5.31,21.4,32.88,256.0,,,,,,,,,,,0,0,0,,tmp/oci_hsg_mathrl_reduced64_10step_logs_20260615/baseline/3321180-logs-ray-driver.log,,,,,,,,,
3321180,baseline,10,10,completed_step,,,,,0.0042,0.0781,72.92,34.9,8.74,6.9,17.3,2.54,5.3,21.16,26.81,256.0,,,,,,,,,,,0,0,5,"GUID 0(default_pg) Rank 57] Failed to check the ""should dump"" flag on TCPStore, (maybe TCPStore server has shut down too early), with error: Failed to recv, got 0 bytes. Connection was likely closed. Did the remote server shutdown or crash?",tmp/oci_hsg_mathrl_reduced64_10step_logs_20260615/baseline/3321180-logs-ray-driver.log,,,,,,,,,
3321423,pard_k3,1,10,completed_step,,,,,0.0032,0.0625,320.53,25.85,110.7,168.08,13.98,0.58,7.25,1.69,1.11,256.0,58.05,62.971875,63.3,2.74,2.8899999999999997,2.9,0.44500000000000006,0.75,7866.0,12486.0,2,32,9,"rocessGroup with size 2.  In lazy initialization mode, this will result in a new 2-rank NCCL communicator to be created. (Triggered internally at /pytorch/torch/csrc/distributed/c10d/ProcessGroupNCCL.cpp:4094.) [repeated 15x across cluster]",tmp/oci_hsg_mathrl_reduced64_10step_logs_20260615/pard_k3/3321423-logs-ray-driver.log,0.78996875,0.62690625,0.47321874999999997,,,,,,
3321423,pard_k3,2,10,completed_step,0.0447,,,,0.0035,0.0156,87.75,23.1,21.64,14.52,23.0,2.08,7.91,8.45,12.59,256.0,65.53333333333333,63.4375,67.4,2.9633333333333334,2.90109375,3.02,17.556666666666665,27.680000000000003,16712.0,26364.0,3,64,0,,tmp/oci_hsg_mathrl_reduced64_10step_logs_20260615/pard_k3/3321423-logs-ray-driver.log,0.78653125,0.62296875,0.493640625,,,,,,
3321423,pard_k3,3,10,completed_step,,,,,0.0047,0.0625,76.97,23.22,15.64,11.3,20.19,2.3,7.62,11.32,15.66,256.0,63.23333333333333,57.1578125,56.3,2.8966666666666665,2.71421875,2.69,16.016666666666666,28.036666666666665,15008.0,26370.0,3,64,0,,tmp/oci_hsg_mathrl_reduced64_10step_logs_20260615/pard_k3/3321423-logs-ray-driver.log,0.754765625,0.563515625,0.395984375,,,,,,
3321423,pard_k3,4,10,completed_step,0.0451,,,,0.0042,0.0156,66.88,22.59,10.53,7.68,18.2,2.49,7.38,15.82,21.69,256.0,60.133333333333326,62.0921875,69.1,2.8000000000000003,2.85875,3.07,17.246666666666666,27.75,16084.0,25845.0,3,64,0,,tmp/oci_hsg_mathrl_reduced64_10step_logs_20260615/pard_k3/3321423-logs-ray-driver.log,0.780109375,0.6063125,0.47534375,,,,,,
3321423,pard_k3,5,10,completed_step,0.0449,,,,0.0038,0.0156,64.65,22.89,10.05,6.45,18.82,2.63,7.42,16.9,26.35,256.0,66.93333333333334,67.046875,66.9,3.01,3.01484375,3.01,18.3,27.3,17157.0,25593.0,3,64,0,,tmp/oci_hsg_mathrl_reduced64_10step_logs_20260615/pard_k3/3321423-logs-ray-driver.log,0.823171875,0.64465625,0.5430625,,,,,,
3321423,pard_k3,6,10,completed_step,0.0448,,,,0.0048,0.0156,65.56,23.0,9.75,7.76,18.69,2.59,7.38,17.41,21.88,256.0,53.0,51.703125,49.2,2.59,2.55296875,2.48,14.043333333333335,27.136666666666667,13056.0,25260.0,3,64,0,,tmp/oci_hsg_mathrl_reduced64_10step_logs_20260615/pard_k3/3321423-logs-ray-driver.log,0.6860468750000001,0.48974999999999996,0.37578125,,,,,,
3321423,pard_k3,7,10,completed_step,0.0815,,,,0.006,0.1094,61.56,23.09,8.71,5.86,17.81,3.14,8.38,22.21,33.01,256.0,58.13333333333333,58.4671875,53.3,2.7433333333333336,2.75203125,2.6,16.566666666666666,28.426666666666666,15401.0,26394.0,3,64,0,,tmp/oci_hsg_mathrl_reduced64_10step_logs_20260615/pard_k3/3321423-logs-ray-driver.log,0.741984375,0.585453125,0.426078125,,,,,,
3321423,pard_k3,8,10,completed_step,,,,,0.0035,0.0625,68.78,25.7,9.51,5.8,20.54,2.5,6.69,18.08,29.67,256.0,62.833333333333336,65.41250000000001,66.2,2.8833333333333333,2.9609375,2.98,17.526666666666667,26.826666666666668,16408.0,25056.0,3,64,0,,tmp/oci_hsg_mathrl_reduced64_10step_logs_20260615/pard_k3/3321423-logs-ray-driver.log,0.77646875,0.6652812499999999,0.51965625,,,,,,
