job_id,domain,temperature,method,k,queue_state,acct_state,exit_code,queue_elapsed,acct_elapsed,reason,queue_nodes,logs_dir,breakdown_json
3342234,math,0.0,baseline,0,RUNNING,RUNNING,0:0,1:31:02,01:31:02,nvl72007-T18,nvl72007-T18,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_math_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/baseline,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_math_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/baseline/breakdown.json
3342234,math,0.0,pard,3,RUNNING,RUNNING,0:0,1:31:02,01:31:02,nvl72007-T18,nvl72007-T18,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_math_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/pard_k3,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_math_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/pard_k3/breakdown.json
3342234,math,0.0,pard,5,RUNNING,RUNNING,0:0,1:31:02,01:31:02,nvl72007-T18,nvl72007-T18,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_math_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/pard_k5,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_math_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/pard_k5/breakdown.json
3342235,math,1.0,baseline,0,RUNNING,RUNNING,0:0,1:31:02,01:31:02,nvl72056-T17,nvl72056-T17,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_math_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/baseline,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_math_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/baseline/breakdown.json
3342235,math,1.0,pard,3,RUNNING,RUNNING,0:0,1:31:02,01:31:02,nvl72056-T17,nvl72056-T17,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_math_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/pard_k3,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_math_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/pard_k3/breakdown.json
3342235,math,1.0,pard,5,RUNNING,RUNNING,0:0,1:31:02,01:31:02,nvl72056-T17,nvl72056-T17,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_math_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/pard_k5,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_math_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/pard_k5/breakdown.json
3342236,swe,0.0,baseline,0,RUNNING,RUNNING,0:0,1:31:02,01:31:02,nvl72027-T02,nvl72027-T02,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_swe_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/baseline,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_swe_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/baseline/breakdown.json
3342236,swe,0.0,pard,3,RUNNING,RUNNING,0:0,1:31:02,01:31:02,nvl72027-T02,nvl72027-T02,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_swe_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/pard_k3,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_swe_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/pard_k3/breakdown.json
3342236,swe,0.0,pard,5,RUNNING,RUNNING,0:0,1:31:02,01:31:02,nvl72027-T02,nvl72027-T02,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_swe_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/pard_k5,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_swe_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/pard_k5/breakdown.json
3342237,swe,1.0,baseline,0,RUNNING,RUNNING,0:0,1:31:02,01:31:02,nvl72156-T05,nvl72156-T05,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_swe_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/baseline,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_swe_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/baseline/breakdown.json
3342237,swe,1.0,pard,3,RUNNING,RUNNING,0:0,1:31:02,01:31:02,nvl72156-T05,nvl72156-T05,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_swe_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/pard_k3,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_swe_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/pard_k3/breakdown.json
3342237,swe,1.0,pard,5,RUNNING,RUNNING,0:0,1:31:02,01:31:02,nvl72156-T05,nvl72156-T05,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_swe_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/pard_k5,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_swe_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/pard_k5/breakdown.json
