job_id,domain,temperature,method,k,queue_state,acct_state,exit_code,queue_elapsed,acct_elapsed,reason,queue_nodes,logs_dir,breakdown_json
3343002,math,0.0,baseline,0,,COMPLETED,0:0,,01:47:13,None,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_math_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/baseline,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_math_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/baseline/breakdown.json
3343002,math,0.0,pard,3,,COMPLETED,0:0,,01:47:13,None,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_math_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k3,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_math_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k3/breakdown.json
3343002,math,0.0,pard,5,,COMPLETED,0:0,,01:47:13,None,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_math_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k5,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_math_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k5/breakdown.json
3343014,math,1.0,baseline,0,,COMPLETED,0:0,,01:56:45,None,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_math_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/baseline,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_math_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/baseline/breakdown.json
3343014,math,1.0,pard,3,,COMPLETED,0:0,,01:56:45,None,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_math_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k3,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_math_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k3/breakdown.json
3343014,math,1.0,pard,5,,COMPLETED,0:0,,01:56:45,None,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_math_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k5,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_math_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k5/breakdown.json
3343033,swe,0.0,baseline,0,,COMPLETED,0:0,,01:49:07,None,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_swe_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/baseline,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_swe_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/baseline/breakdown.json
3343033,swe,0.0,pard,3,,COMPLETED,0:0,,01:49:07,None,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_swe_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k3,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_swe_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k3/breakdown.json
3343033,swe,0.0,pard,5,,COMPLETED,0:0,,01:49:07,None,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_swe_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k5,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_swe_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k5/breakdown.json
3343043,swe,1.0,baseline,0,,COMPLETED,0:0,,01:49:32,None,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_swe_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/baseline,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_swe_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/baseline/breakdown.json
3343043,swe,1.0,pard,3,,COMPLETED,0:0,,01:49:32,None,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_swe_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k3,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_swe_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k3/breakdown.json
3343043,swe,1.0,pard,5,,COMPLETED,0:0,,01:49:32,None,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_swe_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k5,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_swe_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k5/breakdown.json
