job_id,run_id,method,max_steps,state,local_log_files,error_file,error_excerpt,local_log_dir
3286445,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec,baseline,10,FAILED,18,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/baseline_steps10_3286445/3286445-logs/ray-driver.log,× Failed to build `megatron-core @ / │ file:///lustre/fs1/portfolios/nemotron/projects/nemotron_sw_post/users/ruit/evolution_rl/3rdparty/Megatron-LM-workspace` / ├─▶ The build backend returned an error / ╰─▶ Call to `setuptools.build_meta.build_editable` failed (exit status: 1) / [stdout],tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/baseline_steps10_3286445
3286458,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec,suffix,10,CANCELLED,0,,no local log/error excerpt available,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/suffix_steps10_3286458
3286519,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec,pard,10,FAILED,18,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/pard_steps10_3286519/3286519-logs/ray-driver.log,× Failed to build `megatron-core @ / │ file:///lustre/fs1/portfolios/nemotron/projects/nemotron_sw_post/users/ruit/evolution_rl/3rdparty/Megatron-LM-workspace` / ├─▶ The build backend returned an error / ╰─▶ Call to `setuptools.build_meta.build_editable` failed (exit status: 1) / [stdout],tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/pard_steps10_3286519
3286521,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec,pard2,10,FAILED,18,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/pard2_steps10_3286521/3286521-logs/ray-driver.log,× Failed to build `megatron-core @ / │ file:///lustre/fs1/portfolios/nemotron/projects/nemotron_sw_post/users/ruit/evolution_rl/3rdparty/Megatron-LM-workspace` / ├─▶ The build backend returned an error / ╰─▶ Call to `setuptools.build_meta.build_editable` failed (exit status: 1) / [stdout],tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/pard2_steps10_3286521
3286522,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec,eagle3,10,FAILED,18,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/eagle3_steps10_3286522/3286522-logs/ray-driver.log,× Failed to build `megatron-core @ / │ file:///lustre/fs1/portfolios/nemotron/projects/nemotron_sw_post/users/ruit/evolution_rl/3rdparty/Megatron-LM-workspace` / ├─▶ The build backend returned an error / ╰─▶ Call to `setuptools.build_meta.build_editable` failed (exit status: 1) / [stdout],tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/eagle3_steps10_3286522
3286523,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec,baseline,20,FAILED,18,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/baseline_steps20_3286523/3286523-logs/ray-driver.log,× Failed to build `megatron-core @ / │ file:///lustre/fs1/portfolios/nemotron/projects/nemotron_sw_post/users/ruit/evolution_rl/3rdparty/Megatron-LM-workspace` / ├─▶ The build backend returned an error / ╰─▶ Call to `setuptools.build_meta.build_editable` failed (exit status: 1) / [stdout],tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/baseline_steps20_3286523
3286524,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec,suffix,20,CANCELLED,0,,no local log/error excerpt available,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/suffix_steps20_3286524
3286525,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec,pard,20,FAILED,18,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/pard_steps20_3286525/3286525-logs/ray-driver.log,× Failed to build `megatron-core @ / │ file:///lustre/fs1/portfolios/nemotron/projects/nemotron_sw_post/users/ruit/evolution_rl/3rdparty/Megatron-LM-workspace` / ├─▶ The build backend returned an error / ╰─▶ Call to `setuptools.build_meta.build_editable` failed (exit status: 1) / [stdout],tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/pard_steps20_3286525
3286526,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec,pard2,20,FAILED,18,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/pard2_steps20_3286526/3286526-logs/ray-driver.log,× Failed to build `megatron-core @ / │ file:///lustre/fs1/portfolios/nemotron/projects/nemotron_sw_post/users/ruit/evolution_rl/3rdparty/Megatron-LM-workspace` / ├─▶ The build backend returned an error / ╰─▶ Call to `setuptools.build_meta.build_editable` failed (exit status: 1) / [stdout],tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/pard2_steps20_3286526
3286527,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec,eagle3,20,FAILED,18,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/eagle3_steps20_3286527/3286527-logs/ray-driver.log,× Failed to build `megatron-core @ / │ file:///lustre/fs1/portfolios/nemotron/projects/nemotron_sw_post/users/ruit/evolution_rl/3rdparty/Megatron-LM-workspace` / ├─▶ The build backend returned an error / ╰─▶ Call to `setuptools.build_meta.build_editable` failed (exit status: 1) / [stdout],tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/eagle3_steps20_3286527
