job_id,run_id,method,max_steps,state,target_model,draft_model,num_speculative_tokens,base_log_dir,local_log_dir,tracker_file
3286445,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec,baseline,10,FAILED,Qwen/Qwen3-235B-A22B-Thinking-2507,,0,/lustre/fsw/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/baseline_steps10,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/baseline_steps10_3286445,latest_oci_hsg_swerl_qwen235b_fullgrpo_specdec_20260613_jobs.csv
3286458,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec,suffix,10,CANCELLED,Qwen/Qwen3-235B-A22B-Thinking-2507,,32,/lustre/fsw/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/suffix_steps10,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/suffix_steps10_3286458,latest_oci_hsg_swerl_qwen235b_fullgrpo_specdec_20260613_jobs.csv
3286519,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec,pard,10,FAILED,Qwen/Qwen3-235B-A22B-Thinking-2507,amd/PARD-Qwen3-0.6B,5,/lustre/fsw/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/pard_steps10,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/pard_steps10_3286519,latest_oci_hsg_swerl_qwen235b_fullgrpo_specdec_20260613_jobs.csv
3286521,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec,pard2,10,FAILED,Qwen/Qwen3-235B-A22B-Thinking-2507,amd/PARD2-Qwen3-8B,1,/lustre/fsw/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/pard2_steps10,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/pard2_steps10_3286521,latest_oci_hsg_swerl_qwen235b_fullgrpo_specdec_20260613_jobs.csv
3286522,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec,eagle3,10,FAILED,Qwen/Qwen3-235B-A22B-Thinking-2507,nvidia/Qwen3-235B-A22B-Eagle3,3,/lustre/fsw/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/eagle3_steps10,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/eagle3_steps10_3286522,latest_oci_hsg_swerl_qwen235b_fullgrpo_specdec_20260613_jobs.csv
3286523,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec,baseline,20,FAILED,Qwen/Qwen3-235B-A22B-Thinking-2507,,0,/lustre/fsw/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/baseline_steps20,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/baseline_steps20_3286523,latest_oci_hsg_swerl_qwen235b_fullgrpo_specdec_20260613_jobs.csv
3286524,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec,suffix,20,CANCELLED,Qwen/Qwen3-235B-A22B-Thinking-2507,,32,/lustre/fsw/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/suffix_steps20,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/suffix_steps20_3286524,latest_oci_hsg_swerl_qwen235b_fullgrpo_specdec_20260613_jobs.csv
3286525,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec,pard,20,FAILED,Qwen/Qwen3-235B-A22B-Thinking-2507,amd/PARD-Qwen3-0.6B,5,/lustre/fsw/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/pard_steps20,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/pard_steps20_3286525,latest_oci_hsg_swerl_qwen235b_fullgrpo_specdec_20260613_jobs.csv
3286526,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec,pard2,20,FAILED,Qwen/Qwen3-235B-A22B-Thinking-2507,amd/PARD2-Qwen3-8B,1,/lustre/fsw/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/pard2_steps20,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/pard2_steps20_3286526,latest_oci_hsg_swerl_qwen235b_fullgrpo_specdec_20260613_jobs.csv
3286527,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec,eagle3,20,FAILED,Qwen/Qwen3-235B-A22B-Thinking-2507,nvidia/Qwen3-235B-A22B-Eagle3,3,/lustre/fsw/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/eagle3_steps20,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec/eagle3_steps20_3286527,latest_oci_hsg_swerl_qwen235b_fullgrpo_specdec_20260613_jobs.csv
