checked_at_utc,job_id,state,reason,elapsed,start_time,nodes,exit_code,method,max_steps,target_model,draft_model,num_speculative_tokens,specdec_method,run_id,exp_suffix
2026-06-14T23:04:43+00:00,3286445,FAILED,None,00:02:54,2026-06-13T00:44:31,"nvl72167-T[01-08,10-12,14-18]",1:0,baseline,10,Qwen/Qwen3-235B-A22B-Thinking-2507,,0,,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec,specdec-baseline-steps10-20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec
2026-06-14T23:04:43+00:00,3286458,CANCELLED,None,00:00:00,None,None assigned,0:0,suffix,10,Qwen/Qwen3-235B-A22B-Thinking-2507,,32,suffix,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec,specdec-suffix-steps10-20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec
2026-06-14T23:04:43+00:00,3286519,FAILED,None,00:02:42,2026-06-13T00:44:32,"nvl72166-T[01-06,08-17]",1:0,pard,10,Qwen/Qwen3-235B-A22B-Thinking-2507,amd/PARD-Qwen3-0.6B,5,draft_model,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec,specdec-pard-steps10-20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec
2026-06-14T23:04:43+00:00,3286521,FAILED,None,00:02:51,2026-06-13T01:13:11,"nvl72133-T[01,03-17]",1:0,pard2,10,Qwen/Qwen3-235B-A22B-Thinking-2507,amd/PARD2-Qwen3-8B,1,pard2,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec,specdec-pard2-steps10-20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec
2026-06-14T23:04:43+00:00,3286522,FAILED,None,00:02:50,2026-06-13T01:19:37,"nvl72133-T[01,03-17]",1:0,eagle3,10,Qwen/Qwen3-235B-A22B-Thinking-2507,nvidia/Qwen3-235B-A22B-Eagle3,3,eagle3,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec,specdec-eagle3-steps10-20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec
2026-06-14T23:04:43+00:00,3286523,FAILED,None,00:02:55,2026-06-13T01:35:40,"nvl72091-T[01-11,14-18]",1:0,baseline,20,Qwen/Qwen3-235B-A22B-Thinking-2507,,0,,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec,specdec-baseline-steps20-20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec
2026-06-14T23:04:43+00:00,3286524,CANCELLED,None,00:00:00,None,None assigned,0:0,suffix,20,Qwen/Qwen3-235B-A22B-Thinking-2507,,32,suffix,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec,specdec-suffix-steps20-20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec
2026-06-14T23:04:43+00:00,3286525,FAILED,None,00:02:45,2026-06-13T01:38:26,"nvl72167-T[01-12,14-17]",1:0,pard,20,Qwen/Qwen3-235B-A22B-Thinking-2507,amd/PARD-Qwen3-0.6B,5,draft_model,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec,specdec-pard-steps20-20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec
2026-06-14T23:04:43+00:00,3286526,FAILED,None,00:03:04,2026-06-13T01:53:06,nvl72097-T[01-16],1:0,pard2,20,Qwen/Qwen3-235B-A22B-Thinking-2507,amd/PARD2-Qwen3-8B,1,pard2,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec,specdec-pard2-steps20-20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec
2026-06-14T23:04:43+00:00,3286527,FAILED,None,00:02:57,2026-06-13T01:53:06,nvl72007-T[01-16],1:0,eagle3,20,Qwen/Qwen3-235B-A22B-Thinking-2507,nvidia/Qwen3-235B-A22B-Eagle3,3,eagle3,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec,specdec-eagle3-steps20-20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec
