job_id,domain,model_group,k,temperature,batch_size,method,isl,osl,logs_dir,source
3459865,math,qwen235b,8,0.0,1,eagle3,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_eagle3_t00_offset0_n1_isl4096_osl32768_bs1_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_eagle3_k8,tmp/qmath_extra_k_20260620/oci_qmath_qwen235b_eagle3_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16.csv
3459881,math,qwen235b,8,0.0,2,eagle3,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_eagle3_t00_offset0_n2_isl4096_osl32768_bs2_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_eagle3_k8,tmp/qmath_extra_k_20260620/oci_qmath_qwen235b_eagle3_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16.csv
3459888,math,qwen235b,8,0.0,4,eagle3,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_eagle3_t00_offset0_n4_isl4096_osl32768_bs4_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_eagle3_k8,tmp/qmath_extra_k_20260620/oci_qmath_qwen235b_eagle3_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16.csv
3459894,math,qwen235b,8,0.0,8,eagle3,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_eagle3_t00_offset0_n8_isl4096_osl32768_bs8_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_eagle3_k8,tmp/qmath_extra_k_20260620/oci_qmath_qwen235b_eagle3_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16.csv
3459908,math,qwen235b,8,0.0,16,eagle3,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_eagle3_t00_offset0_n16_isl4096_osl32768_bs16_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_eagle3_k8,tmp/qmath_extra_k_20260620/oci_qmath_qwen235b_eagle3_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16.csv
3459921,math,qwen235b,8,0.0,32,eagle3,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_eagle3_t00_offset0_n32_isl4096_osl32768_bs32_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_eagle3_k8,tmp/qmath_extra_k_20260620/oci_qmath_qwen235b_eagle3_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16.csv
3459935,math,qwen235b,8,1.0,1,eagle3,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_eagle3_t10_offset0_n1_isl4096_osl32768_bs1_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_eagle3_k8,tmp/qmath_extra_k_20260620/oci_qmath_qwen235b_eagle3_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16.csv
3459951,math,qwen235b,8,1.0,2,eagle3,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_eagle3_t10_offset0_n2_isl4096_osl32768_bs2_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_eagle3_k8,tmp/qmath_extra_k_20260620/oci_qmath_qwen235b_eagle3_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16.csv
3459965,math,qwen235b,8,1.0,4,eagle3,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_eagle3_t10_offset0_n4_isl4096_osl32768_bs4_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_eagle3_k8,tmp/qmath_extra_k_20260620/oci_qmath_qwen235b_eagle3_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16.csv
3459974,math,qwen235b,8,1.0,8,eagle3,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_eagle3_t10_offset0_n8_isl4096_osl32768_bs8_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_eagle3_k8,tmp/qmath_extra_k_20260620/oci_qmath_qwen235b_eagle3_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16.csv
3459984,math,qwen235b,8,1.0,16,eagle3,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_eagle3_t10_offset0_n16_isl4096_osl32768_bs16_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_eagle3_k8,tmp/qmath_extra_k_20260620/oci_qmath_qwen235b_eagle3_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16.csv
3459991,math,qwen235b,8,1.0,32,eagle3,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_eagle3_t10_offset0_n32_isl4096_osl32768_bs32_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_eagle3_k8,tmp/qmath_extra_k_20260620/oci_qmath_qwen235b_eagle3_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16.csv
3460387,math,qwen235b,16,0.0,1,pard2,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_pard2_t00_offset0_n1_isl4096_osl32768_bs1_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_pard2_k16,tmp/qmath_extra_k_20260620/oci_qmath_qwen235b_pard2_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16.csv
3460388,math,qwen235b,16,0.0,2,pard2,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_pard2_t00_offset0_n2_isl4096_osl32768_bs2_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_pard2_k16,tmp/qmath_extra_k_20260620/oci_qmath_qwen235b_pard2_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16.csv
3460389,math,qwen235b,16,0.0,4,pard2,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_pard2_t00_offset0_n4_isl4096_osl32768_bs4_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_pard2_k16,tmp/qmath_extra_k_20260620/oci_qmath_qwen235b_pard2_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16.csv
3460391,math,qwen235b,16,0.0,8,pard2,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_pard2_t00_offset0_n8_isl4096_osl32768_bs8_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_pard2_k16,tmp/qmath_extra_k_20260620/oci_qmath_qwen235b_pard2_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16.csv
3460392,math,qwen235b,16,0.0,16,pard2,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_pard2_t00_offset0_n16_isl4096_osl32768_bs16_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_pard2_k16,tmp/qmath_extra_k_20260620/oci_qmath_qwen235b_pard2_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16.csv
3460393,math,qwen235b,16,0.0,32,pard2,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_pard2_t00_offset0_n32_isl4096_osl32768_bs32_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_pard2_k16,tmp/qmath_extra_k_20260620/oci_qmath_qwen235b_pard2_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16.csv
3460394,math,qwen235b,16,1.0,1,pard2,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_pard2_t10_offset0_n1_isl4096_osl32768_bs1_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_pard2_k16,tmp/qmath_extra_k_20260620/oci_qmath_qwen235b_pard2_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16.csv
3460395,math,qwen235b,16,1.0,2,pard2,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_pard2_t10_offset0_n2_isl4096_osl32768_bs2_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_pard2_k16,tmp/qmath_extra_k_20260620/oci_qmath_qwen235b_pard2_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16.csv
3460397,math,qwen235b,16,1.0,4,pard2,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_pard2_t10_offset0_n4_isl4096_osl32768_bs4_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_pard2_k16,tmp/qmath_extra_k_20260620/oci_qmath_qwen235b_pard2_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16.csv
