checked_at,job_id,domain,model_group,method,k,temperature,batch_size,isl,osl,state,exit_code,elapsed,time_limit,live_generation_tok_s,live_tok_s_gpu_approx,running_reqs,waiting_reqs,gpu_kv_cache_pct,prefix_cache_hit_pct,live_acceptance_pct,live_mean_accept_len,live_accepted_tput,live_drafted_tput,engine_log_samples,specdec_log_samples,fatal_log_matches,breakdown_present,breakdown_valid,final_tok_s_gpu,final_acceptance_pct,final_mean_accept_len,partial,logs_dir
2026-06-20T10:39:47+00:00,3459865,math,qwen235b,eagle3,8,0.0,1,4096,32768,COMPLETED,0:0,00:56:15,1-00:00:00,19.8,4.9500,1,0,2.1,0.0,23.4,2.87,12.92,55.22,307,307,0,1,1,4.8884,24.4342,1.9547,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_eagle3_t00_offset0_n1_isl4096_osl32768_bs1_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_eagle3_k8
2026-06-20T10:39:47+00:00,3459881,math,qwen235b,eagle3,8,0.0,2,4096,32768,COMPLETED,0:0,00:59:25,1-00:00:00,17.1,4.2750,1,0,2.1,37.0,22.0,2.76,10.93,49.64,321,321,0,1,1,9.7277,24.2877,1.9430,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_eagle3_t00_offset0_n2_isl4096_osl32768_bs2_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_eagle3_k8
2026-06-20T10:39:47+00:00,3459888,math,qwen235b,eagle3,8,0.0,4,4096,32768,COMPLETED,0:0,01:01:44,08:00:00,19.7,4.9250,1,0,2.1,32.0,25.6,3.05,13.24,51.78,341,341,0,1,1,18.6912,26.5009,2.1201,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_eagle3_t00_offset0_n4_isl4096_osl32768_bs4_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_eagle3_k8
2026-06-20T10:39:47+00:00,3459894,math,qwen235b,eagle3,8,0.0,8,4096,32768,COMPLETED,0:0,01:07:54,12:00:00,10.6,2.6500,1,0,2.1,37.5,14.8,2.18,5.72,38.65,378,378,0,1,1,34.1986,25.1446,2.0116,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_eagle3_t00_offset0_n8_isl4096_osl32768_bs8_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_eagle3_k8
2026-06-20T10:39:47+00:00,3459908,math,qwen235b,eagle3,8,0.0,16,4096,32768,COMPLETED,0:0,01:29:41,18:00:00,17.9,4.4750,1,0,2.1,0.0,21.3,2.70,11.25,52.90,500,500,0,1,1,57.5647,25.2184,2.0175,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_eagle3_t00_offset0_n16_isl4096_osl32768_bs16_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_eagle3_k8
2026-06-20T10:39:47+00:00,3459921,math,qwen235b,eagle3,8,0.0,32,4096,32768,COMPLETED,0:0,01:33:42,1-00:00:00,17.6,4.4000,1,0,2.1,0.0,18.7,2.49,10.53,56.42,527,527,0,1,1,97.6797,24.3740,1.9499,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_eagle3_t00_offset0_n32_isl4096_osl32768_bs32_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_eagle3_k8
2026-06-20T10:39:47+00:00,3459935,math,qwen235b,eagle3,8,1.0,1,4096,32768,COMPLETED,0:0,01:05:01,1-00:00:00,12.8,3.2000,1,0,2.1,0.0,10.4,1.83,5.78,55.79,356,356,0,1,1,4.0080,16.7990,1.3439,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_eagle3_t10_offset0_n1_isl4096_osl32768_bs1_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_eagle3_k8
2026-06-20T10:39:47+00:00,3459951,math,qwen235b,eagle3,8,1.0,2,4096,32768,COMPLETED,0:0,01:10:04,1-00:00:00,14.1,3.5250,1,0,2.1,37.0,12.7,2.01,7.10,56.01,384,384,0,1,1,8.0130,21.7584,1.7407,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_eagle3_t10_offset0_n2_isl4096_osl32768_bs2_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_eagle3_k8
2026-06-20T10:39:47+00:00,3459965,math,qwen235b,eagle3,8,1.0,4,4096,32768,COMPLETED,0:0,01:33:31,08:00:00,12.4,3.1000,1,0,2.1,0.0,10.8,1.87,5.77,53.35,531,531,0,1,1,13.4024,17.1259,1.3701,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_eagle3_t10_offset0_n4_isl4096_osl32768_bs4_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_eagle3_k8
2026-06-20T10:39:47+00:00,3459974,math,qwen235b,eagle3,8,1.0,8,4096,32768,COMPLETED,0:0,01:33:44,12:00:00,12.0,3.0000,1,0,2.1,37.5,8.8,1.70,4.95,56.24,518,518,0,1,1,23.8943,21.6435,1.7315,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_eagle3_t10_offset0_n8_isl4096_osl32768_bs8_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_eagle3_k8
