job_id,domain,model_group,method,k,temperature,batch_size,isl,osl,logs_dir,source
3463104,math,qwen32,pard2,16,0.0,1,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard_pard2_k16_focus_20260620/qwen32_math500_osl32k_pard2_t00_offset0_n1_isl4096_osl32768_bs1_k16_20260620_qmath_pard_pard2_k16_focus,latest_oci_qmath_pard2_k16_focus_repoid_20260620_jobs.csv
3463105,math,qwen32,pard2,16,0.0,2,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard_pard2_k16_focus_20260620/qwen32_math500_osl32k_pard2_t00_offset0_n2_isl4096_osl32768_bs2_k16_20260620_qmath_pard_pard2_k16_focus,latest_oci_qmath_pard2_k16_focus_repoid_20260620_jobs.csv
3463106,math,qwen32,pard2,16,0.0,4,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard_pard2_k16_focus_20260620/qwen32_math500_osl32k_pard2_t00_offset0_n4_isl4096_osl32768_bs4_k16_20260620_qmath_pard_pard2_k16_focus,latest_oci_qmath_pard2_k16_focus_repoid_20260620_jobs.csv
3463108,math,qwen32,pard2,16,0.0,8,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard_pard2_k16_focus_20260620/qwen32_math500_osl32k_pard2_t00_offset0_n8_isl4096_osl32768_bs8_k16_20260620_qmath_pard_pard2_k16_focus,latest_oci_qmath_pard2_k16_focus_repoid_20260620_jobs.csv
3463110,math,qwen32,pard2,16,0.0,16,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard_pard2_k16_focus_20260620/qwen32_math500_osl32k_pard2_t00_offset0_n16_isl4096_osl32768_bs16_k16_20260620_qmath_pard_pard2_k16_focus,latest_oci_qmath_pard2_k16_focus_repoid_20260620_jobs.csv
3463111,math,qwen32,pard2,16,0.0,32,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard_pard2_k16_focus_20260620/qwen32_math500_osl32k_pard2_t00_offset0_n32_isl4096_osl32768_bs32_k16_20260620_qmath_pard_pard2_k16_focus,latest_oci_qmath_pard2_k16_focus_repoid_20260620_jobs.csv
3463112,math,qwen32,pard2,16,1.0,1,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard_pard2_k16_focus_20260620/qwen32_math500_osl32k_pard2_t10_offset0_n1_isl4096_osl32768_bs1_k16_20260620_qmath_pard_pard2_k16_focus,latest_oci_qmath_pard2_k16_focus_repoid_20260620_jobs.csv
3463113,math,qwen32,pard2,16,1.0,2,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard_pard2_k16_focus_20260620/qwen32_math500_osl32k_pard2_t10_offset0_n2_isl4096_osl32768_bs2_k16_20260620_qmath_pard_pard2_k16_focus,latest_oci_qmath_pard2_k16_focus_repoid_20260620_jobs.csv
3463115,math,qwen32,pard2,16,1.0,4,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard_pard2_k16_focus_20260620/qwen32_math500_osl32k_pard2_t10_offset0_n4_isl4096_osl32768_bs4_k16_20260620_qmath_pard_pard2_k16_focus,latest_oci_qmath_pard2_k16_focus_repoid_20260620_jobs.csv
3463117,math,qwen32,pard2,16,1.0,8,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard_pard2_k16_focus_20260620/qwen32_math500_osl32k_pard2_t10_offset0_n8_isl4096_osl32768_bs8_k16_20260620_qmath_pard_pard2_k16_focus,latest_oci_qmath_pard2_k16_focus_repoid_20260620_jobs.csv
3463118,math,qwen32,pard2,16,1.0,16,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard_pard2_k16_focus_20260620/qwen32_math500_osl32k_pard2_t10_offset0_n16_isl4096_osl32768_bs16_k16_20260620_qmath_pard_pard2_k16_focus,latest_oci_qmath_pard2_k16_focus_repoid_20260620_jobs.csv
3463120,math,qwen32,pard2,16,1.0,32,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard_pard2_k16_focus_20260620/qwen32_math500_osl32k_pard2_t10_offset0_n32_isl4096_osl32768_bs32_k16_20260620_qmath_pard_pard2_k16_focus,latest_oci_qmath_pard2_k16_focus_repoid_20260620_jobs.csv
