checked_at,job_id,domain,model_group,method,k,temperature,batch_size,isl,osl,state,exit_code,elapsed,time_limit,live_generation_tok_s,live_tok_s_gpu_approx,running_reqs,waiting_reqs,gpu_kv_cache_pct,prefix_cache_hit_pct,live_acceptance_pct,live_mean_accept_len,live_accepted_tput,live_drafted_tput,engine_log_samples,specdec_log_samples,fatal_log_matches,breakdown_present,breakdown_valid,final_tok_s_gpu,final_acceptance_pct,final_mean_accept_len,partial,logs_dir
2026-06-22T02:14:17+00:00,3463077,math,qwen32,pard,16,1.0,2,4096,32768,COMPLETED,0:0,01:19:36,04:00:00,6.8,1.7000,1,0,5.2,46.2,0.0,1.00,0.00,108.43,458,458,0,1,1,18.7918,11.4813,1.8370,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard_pard2_k16_focus_20260620/qwen32_math500_osl32k_pard_t10_offset0_n2_isl4096_osl32768_bs2_k16_20260620_qmath_pard_pard2_k16_focus
2026-06-22T02:14:17+00:00,3463079,math,qwen32,pard,16,1.0,4,4096,32768,COMPLETED,0:0,01:17:20,06:00:00,9.8,2.4500,1,0,5.2,44.8,2.8,1.46,3.08,108.18,446,446,0,1,1,23.2253,4.8716,0.7795,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard_pard2_k16_focus_20260620/qwen32_math500_osl32k_pard_t10_offset0_n4_isl4096_osl32768_bs4_k16_20260620_qmath_pard_pard2_k16_focus
2026-06-22T02:14:17+00:00,3463085,math,qwen32,pard,16,1.0,8,4096,32768,COMPLETED,0:0,01:38:24,08:00:00,10.1,2.5250,1,0,5.2,46.1,3.1,1.50,3.37,107.68,494,494,0,1,1,49.1491,9.4058,1.5049,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard_pard2_k16_focus_20260620/qwen32_math500_osl32k_pard_t10_offset0_n8_isl4096_osl32768_bs8_k16_20260620_qmath_pard_pard2_k16_focus
2026-06-22T02:14:17+00:00,3463087,math,qwen32,pard,16,1.0,16,4096,32768,COMPLETED,0:0,01:57:02,12:00:00,7.7,1.9250,1,0,5.2,46.1,0.9,1.15,1.00,107.01,494,494,0,1,1,72.1916,10.8988,1.7438,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard_pard2_k16_focus_20260620/qwen32_math500_osl32k_pard_t10_offset0_n16_isl4096_osl32768_bs16_k16_20260620_qmath_pard_pard2_k16_focus
2026-06-22T02:14:17+00:00,3463089,math,qwen32,pard,16,1.0,32,4096,32768,COMPLETED,0:0,02:32:09,16:00:00,6.7,1.6750,1,0,5.2,26.0,0.0,1.00,0.00,107.13,494,494,0,1,1,109.4968,8.4613,1.3538,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard_pard2_k16_focus_20260620/qwen32_math500_osl32k_pard_t10_offset0_n32_isl4096_osl32768_bs32_k16_20260620_qmath_pard_pard2_k16_focus
2026-06-22T02:14:17+00:00,3463104,math,qwen32,pard2,16,0.0,1,4096,32768,FAILED,1:0,00:01:59,04:00:00,,,,,,,,,,,0,0,2,0,0,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard_pard2_k16_focus_20260620/qwen32_math500_osl32k_pard2_t00_offset0_n1_isl4096_osl32768_bs1_k16_20260620_qmath_pard_pard2_k16_focus
2026-06-22T02:14:17+00:00,3463105,math,qwen32,pard2,16,0.0,2,4096,32768,FAILED,1:0,00:01:56,04:00:00,,,,,,,,,,,0,0,2,0,0,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard_pard2_k16_focus_20260620/qwen32_math500_osl32k_pard2_t00_offset0_n2_isl4096_osl32768_bs2_k16_20260620_qmath_pard_pard2_k16_focus
2026-06-22T02:14:17+00:00,3463106,math,qwen32,pard2,16,0.0,4,4096,32768,FAILED,1:0,00:01:47,06:00:00,,,,,,,,,,,0,0,2,0,0,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard_pard2_k16_focus_20260620/qwen32_math500_osl32k_pard2_t00_offset0_n4_isl4096_osl32768_bs4_k16_20260620_qmath_pard_pard2_k16_focus
2026-06-22T02:14:17+00:00,3463108,math,qwen32,pard2,16,0.0,8,4096,32768,FAILED,1:0,00:01:46,08:00:00,,,,,,,,,,,0,0,2,0,0,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard_pard2_k16_focus_20260620/qwen32_math500_osl32k_pard2_t00_offset0_n8_isl4096_osl32768_bs8_k16_20260620_qmath_pard_pard2_k16_focus
2026-06-22T02:14:17+00:00,3463110,math,qwen32,pard2,16,0.0,16,4096,32768,FAILED,1:0,00:02:03,12:00:00,,,,,,,,,,,0,0,2,0,0,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard_pard2_k16_focus_20260620/qwen32_math500_osl32k_pard2_t00_offset0_n16_isl4096_osl32768_bs16_k16_20260620_qmath_pard_pard2_k16_focus
2026-06-22T02:14:17+00:00,3463111,math,qwen32,pard2,16,0.0,32,4096,32768,FAILED,1:0,00:01:59,16:00:00,,,,,,,,,,,0,0,2,0,0,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard_pard2_k16_focus_20260620/qwen32_math500_osl32k_pard2_t00_offset0_n32_isl4096_osl32768_bs32_k16_20260620_qmath_pard_pard2_k16_focus
2026-06-22T02:14:17+00:00,3463112,math,qwen32,pard2,16,1.0,1,4096,32768,FAILED,1:0,00:01:42,04:00:00,,,,,,,,,,,0,0,2,0,0,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard_pard2_k16_focus_20260620/qwen32_math500_osl32k_pard2_t10_offset0_n1_isl4096_osl32768_bs1_k16_20260620_qmath_pard_pard2_k16_focus
2026-06-22T02:14:17+00:00,3463113,math,qwen32,pard2,16,1.0,2,4096,32768,FAILED,1:0,00:01:52,04:00:00,,,,,,,,,,,0,0,2,0,0,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard_pard2_k16_focus_20260620/qwen32_math500_osl32k_pard2_t10_offset0_n2_isl4096_osl32768_bs2_k16_20260620_qmath_pard_pard2_k16_focus
2026-06-22T02:14:17+00:00,3463115,math,qwen32,pard2,16,1.0,4,4096,32768,FAILED,1:0,00:01:47,06:00:00,,,,,,,,,,,0,0,2,0,0,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard_pard2_k16_focus_20260620/qwen32_math500_osl32k_pard2_t10_offset0_n4_isl4096_osl32768_bs4_k16_20260620_qmath_pard_pard2_k16_focus
2026-06-22T02:14:17+00:00,3463117,math,qwen32,pard2,16,1.0,8,4096,32768,FAILED,1:0,00:01:39,08:00:00,,,,,,,,,,,0,0,2,0,0,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard_pard2_k16_focus_20260620/qwen32_math500_osl32k_pard2_t10_offset0_n8_isl4096_osl32768_bs8_k16_20260620_qmath_pard_pard2_k16_focus
