domain,job_id,label,tag,model,temperature,batch_size,isl,osl,method,spec_method,num_speculative_tokens,draft_model,prompt_count_loaded,prompt_count_used,num_batches,total_gpus,latency_s,mean_latency_s,output_tok_s,output_tok_s_per_gpu,speedup_vs_baseline,metrics_available,acceptance_rate_pct,mean_acceptance_length,accepted_tokens_per_draft,num_drafts,num_draft_tokens,num_accepted_tokens,acceptance_rate_by_position_pct,breakdown_json
Math,3423796,qwen235b_math500_osl32k_baseline_t00_offset0_n1_isl4096_osl32768_bs1_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12,qwen235b_math500_osl32k_baseline_t00_offset0_n1_isl4096_osl32768_bs1_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12,Qwen/Qwen3-235B-A22B,0.0,1,4096,32768,baseline,draft_model,0,,1,1,1,4,4282.988246725057,4282.988246725057,7.650733112577583,1.9126832781443956,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen235b_math500_osl32k_baseline_t00_offset0_n1_isl4096_osl32768_bs1_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12/breakdown.json
Math,3423797,qwen235b_math500_osl32k_baseline_t00_offset0_n2_isl4096_osl32768_bs2_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12,qwen235b_math500_osl32k_baseline_t00_offset0_n2_isl4096_osl32768_bs2_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12,Qwen/Qwen3-235B-A22B,0.0,2,4096,32768,baseline,draft_model,0,,2,2,1,4,4225.733439740026,4225.733439740026,15.508787038879545,3.877196759719886,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen235b_math500_osl32k_baseline_t00_offset0_n2_isl4096_osl32768_bs2_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12/breakdown.json
Math,3423798,qwen32_math500_osl32k_baseline_t00_offset0_n1_isl4096_osl32768_bs1_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12,qwen32_math500_osl32k_baseline_t00_offset0_n1_isl4096_osl32768_bs1_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12,Qwen/Qwen3-32B,0.0,1,4096,32768,baseline,draft_model,0,,1,1,1,2,2503.6468249669997,2503.6468249669997,13.088107984412662,6.544053992206331,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_baseline_t00_offset0_n1_isl4096_osl32768_bs1_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12/breakdown.json
Math,3423799,qwen32_math500_osl32k_suffix_t00_offset0_n1_isl4096_osl32768_bs1_k32_20260619_qmath_qwen235b_baseline_qwen32_bs12,qwen32_math500_osl32k_suffix_t00_offset0_n1_isl4096_osl32768_bs1_k32_20260619_qmath_qwen235b_baseline_qwen32_bs12,Qwen/Qwen3-32B,0.0,1,4096,32768,suffix_k32,suffix,32,,1,1,1,2,228.1805386900087,228.1805386900087,143.60558612106917,71.80279306053458,10.972218925156856,True,95.80022701475596,10.401654996817314,9.401654996817314,3142,30835,29540,"87.0146,81.7632,79.3444,77.9440,77.4348,76.8937,76.8619,76.7346,76.6709,76.5436,76.5436,76.4163,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_suffix_t00_offset0_n1_isl4096_osl32768_bs1_k32_20260619_qmath_qwen235b_baseline_qwen32_bs12/breakdown.json
Math,3423800,qwen32_math500_osl32k_pard_t00_offset0_n1_isl4096_osl32768_bs1_k5_20260619_qmath_qwen235b_baseline_qwen32_bs12,qwen32_math500_osl32k_pard_t00_offset0_n1_isl4096_osl32768_bs1_k5_20260619_qmath_qwen235b_baseline_qwen32_bs12,Qwen/Qwen3-32B,0.0,1,4096,32768,pard_k5,draft_model,5,amd/PARD-Qwen3-0.6B,1,1,1,2,925.345696105971,925.345696105971,35.41163063479294,17.70581531739647,2.7056340516877286,True,56.08730988041333,3.8043654940206664,2.8043654940206664,8613,43065,24154,"85.3826,69.6505,51.8519,43.8175,29.7341",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_pard_t00_offset0_n1_isl4096_osl32768_bs1_k5_20260619_qmath_qwen235b_baseline_qwen32_bs12/breakdown.json
Math,3423802,qwen32_math500_osl32k_eagle3_t00_offset0_n1_isl4096_osl32768_bs1_k3_20260619_qmath_qwen235b_baseline_qwen32_bs12,qwen32_math500_osl32k_eagle3_t00_offset0_n1_isl4096_osl32768_bs1_k3_20260619_qmath_qwen235b_baseline_qwen32_bs12,Qwen/Qwen3-32B,0.0,1,4096,32768,eagle3_k3,eagle3,3,RedHatAI/Qwen3-32B-speculator.eagle3,1,1,1,2,782.4165388529655,782.4165388529655,41.880505297138,20.940252648569,3.199889957128698,True,78.79752249940115,3.3639256749820348,2.3639256749820348,9741,29223,23027,"97.8647,70.2187,68.3092",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_eagle3_t00_offset0_n1_isl4096_osl32768_bs1_k3_20260619_qmath_qwen235b_baseline_qwen32_bs12/breakdown.json
Math,3423803,qwen32_math500_osl32k_baseline_t00_offset0_n2_isl4096_osl32768_bs2_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12,qwen32_math500_osl32k_baseline_t00_offset0_n2_isl4096_osl32768_bs2_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12,Qwen/Qwen3-32B,0.0,2,4096,32768,baseline,draft_model,0,,2,2,1,2,2141.5240580730606,2141.5240580730606,30.602504675557636,15.301252337778818,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_baseline_t00_offset0_n2_isl4096_osl32768_bs2_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12/breakdown.json
Math,3423805,qwen32_math500_osl32k_suffix_t00_offset0_n2_isl4096_osl32768_bs2_k32_20260619_qmath_qwen235b_baseline_qwen32_bs12,qwen32_math500_osl32k_suffix_t00_offset0_n2_isl4096_osl32768_bs2_k32_20260619_qmath_qwen235b_baseline_qwen32_bs12,Qwen/Qwen3-32B,0.0,2,4096,32768,suffix_k32,suffix,32,,2,2,1,2,315.07004491600674,315.07004491600674,208.0045407600427,104.00227038002134,6.796977664582366,True,91.40066585669881,8.7995152820789,7.799515282078901,7427,63377,57927,"78.6186,71.1324,67.6989,66.0832,64.7906,64.1443,63.8347,63.4577,63.2961,59.0683,58.9605,58.8663,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_suffix_t00_offset0_n2_isl4096_osl32768_bs2_k32_20260619_qmath_qwen235b_baseline_qwen32_bs12/breakdown.json
Math,3423816,qwen32_math500_osl32k_pard_t00_offset0_n2_isl4096_osl32768_bs2_k5_20260619_qmath_qwen235b_baseline_qwen32_bs12,qwen32_math500_osl32k_pard_t00_offset0_n2_isl4096_osl32768_bs2_k5_20260619_qmath_qwen235b_baseline_qwen32_bs12,Qwen/Qwen3-32B,0.0,2,4096,32768,pard_k5,draft_model,5,amd/PARD-Qwen3-0.6B,2,2,1,2,1255.4874660209753,1255.4874660209753,52.19964497750318,26.09982248875159,1.705731133151179,True,51.233695652173914,3.5616847826086957,2.5616847826086957,18400,92000,47135,"88.1793,67.5163,41.4348,31.2120,27.8261",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_pard_t00_offset0_n2_isl4096_osl32768_bs2_k5_20260619_qmath_qwen235b_baseline_qwen32_bs12/breakdown.json
Math,3423817,qwen32_math500_osl32k_eagle3_t00_offset0_n2_isl4096_osl32768_bs2_k3_20260619_qmath_qwen235b_baseline_qwen32_bs12,qwen32_math500_osl32k_eagle3_t00_offset0_n2_isl4096_osl32768_bs2_k3_20260619_qmath_qwen235b_baseline_qwen32_bs12,Qwen/Qwen3-32B,0.0,2,4096,32768,eagle3_k3,eagle3,3,RedHatAI/Qwen3-32B-speculator.eagle3,2,2,1,2,914.3836773179937,914.3836773179937,71.67232052110293,35.836160260551466,2.3420409956949686,True,74.07644147244895,3.222293244173468,2.222293244173468,20338,61014,45197,"88.0470,73.1635,61.0188",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_eagle3_t00_offset0_n2_isl4096_osl32768_bs2_k3_20260619_qmath_qwen235b_baseline_qwen32_bs12/breakdown.json
