job_id,temperature,model_group,batch_size,method,model,draft_model,specdec_method,num_speculative_tokens,prompt_count,isl,osl,max_model_len,max_num_batched_tokens,logs_dir,job_file,queue_state,queue_reason,queue_elapsed,queue_nodes,queue_job_name,acct_state,exit_code,acct_elapsed,acct_nodes,acct_reason,acct_job_name,breakdown_json,has_breakdown,latest_error
3423796,0.0,qwen235b,1,baseline,Qwen/Qwen3-235B-A22B,,draft_model,0,1,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen235b_math500_osl32k_baseline_t00_offset0_n1_isl4096_osl32768_bs1_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen235b_baseline_t00_offset0_n1_bs1_20260619_qmath_qwen235b_baseline_qwen32_bs12.job.txt,,,,,,COMPLETED,0:0,02:25:58,nvl72153-T17,None,vllm-baseline-qwen235b_math500_osl32k_baseline_t00_bs1-k0,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen235b_math500_osl32k_baseline_t00_offset0_n1_isl4096_osl32768_bs1_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12/breakdown.json,True,
3423797,0.0,qwen235b,2,baseline,Qwen/Qwen3-235B-A22B,,draft_model,0,2,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen235b_math500_osl32k_baseline_t00_offset0_n2_isl4096_osl32768_bs2_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen235b_baseline_t00_offset0_n2_bs2_20260619_qmath_qwen235b_baseline_qwen32_bs12.job.txt,,,,,,COMPLETED,0:0,02:23:17,nvl72126-T17,None,vllm-baseline-qwen235b_math500_osl32k_baseline_t00_bs2-k0,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen235b_math500_osl32k_baseline_t00_offset0_n2_isl4096_osl32768_bs2_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12/breakdown.json,True,
3423798,0.0,qwen32,1,baseline,Qwen/Qwen3-32B,,draft_model,0,1,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_baseline_t00_offset0_n1_isl4096_osl32768_bs1_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_baseline_t00_offset0_n1_bs1_20260619_qmath_qwen235b_baseline_qwen32_bs12.job.txt,,,,,,COMPLETED,0:0,01:22:51,nvl72046-T18,None,vllm-baseline-qwen32_math500_osl32k_baseline_t00_bs1-k0,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_baseline_t00_offset0_n1_isl4096_osl32768_bs1_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12/breakdown.json,True,
3423799,0.0,qwen32,1,suffix,Qwen/Qwen3-32B,,suffix,32,1,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_suffix_t00_offset0_n1_isl4096_osl32768_bs1_k32_20260619_qmath_qwen235b_baseline_qwen32_bs12,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_suffix_t00_offset0_n1_bs1_20260619_qmath_qwen235b_baseline_qwen32_bs12.job.txt,,,,,,COMPLETED,0:0,00:11:17,nvl72110-T07,None,vllm-specdec-qwen32_math500_osl32k_suffix_t00_bs1-k32,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_suffix_t00_offset0_n1_isl4096_osl32768_bs1_k32_20260619_qmath_qwen235b_baseline_qwen32_bs12/breakdown.json,True,
3423800,0.0,qwen32,1,pard,Qwen/Qwen3-32B,amd/PARD-Qwen3-0.6B,draft_model,5,1,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_pard_t00_offset0_n1_isl4096_osl32768_bs1_k5_20260619_qmath_qwen235b_baseline_qwen32_bs12,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_pard_t00_offset0_n1_bs1_20260619_qmath_qwen235b_baseline_qwen32_bs12.job.txt,,,,,,COMPLETED,0:0,00:38:43,nvl72110-T14,None,vllm-specdec-qwen32_math500_osl32k_pard_t00_bs1-k5,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_pard_t00_offset0_n1_isl4096_osl32768_bs1_k5_20260619_qmath_qwen235b_baseline_qwen32_bs12/breakdown.json,True,
3423802,0.0,qwen32,1,eagle3,Qwen/Qwen3-32B,RedHatAI/Qwen3-32B-speculator.eagle3,eagle3,3,1,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_eagle3_t00_offset0_n1_isl4096_osl32768_bs1_k3_20260619_qmath_qwen235b_baseline_qwen32_bs12,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_eagle3_t00_offset0_n1_bs1_20260619_qmath_qwen235b_baseline_qwen32_bs12.job.txt,,,,,,COMPLETED,0:0,00:29:24,nvl72168-T17,None,vllm-specdec-qwen32_math500_osl32k_eagle3_t00_bs1-k3,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_eagle3_t00_offset0_n1_isl4096_osl32768_bs1_k3_20260619_qmath_qwen235b_baseline_qwen32_bs12/breakdown.json,True,
3423803,0.0,qwen32,2,baseline,Qwen/Qwen3-32B,,draft_model,0,2,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_baseline_t00_offset0_n2_isl4096_osl32768_bs2_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_baseline_t00_offset0_n2_bs2_20260619_qmath_qwen235b_baseline_qwen32_bs12.job.txt,,,,,,COMPLETED,0:0,01:13:55,nvl72102-T18,None,vllm-baseline-qwen32_math500_osl32k_baseline_t00_bs2-k0,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_baseline_t00_offset0_n2_isl4096_osl32768_bs2_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12/breakdown.json,True,
3423805,0.0,qwen32,2,suffix,Qwen/Qwen3-32B,,suffix,32,2,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_suffix_t00_offset0_n2_isl4096_osl32768_bs2_k32_20260619_qmath_qwen235b_baseline_qwen32_bs12,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_suffix_t00_offset0_n2_bs2_20260619_qmath_qwen235b_baseline_qwen32_bs12.job.txt,,,,,,COMPLETED,0:0,00:13:46,nvl72050-T10,None,vllm-specdec-qwen32_math500_osl32k_suffix_t00_bs2-k32,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_suffix_t00_offset0_n2_isl4096_osl32768_bs2_k32_20260619_qmath_qwen235b_baseline_qwen32_bs12/breakdown.json,True,
3423816,0.0,qwen32,2,pard,Qwen/Qwen3-32B,amd/PARD-Qwen3-0.6B,draft_model,5,2,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_pard_t00_offset0_n2_isl4096_osl32768_bs2_k5_20260619_qmath_qwen235b_baseline_qwen32_bs12,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_pard_t00_offset0_n2_bs2_20260619_qmath_qwen235b_baseline_qwen32_bs12.job.txt,,,,,,COMPLETED,0:0,00:39:26,nvl72171-T14,None,vllm-specdec-qwen32_math500_osl32k_pard_t00_bs2-k5,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_pard_t00_offset0_n2_isl4096_osl32768_bs2_k5_20260619_qmath_qwen235b_baseline_qwen32_bs12/breakdown.json,True,
3423817,0.0,qwen32,2,eagle3,Qwen/Qwen3-32B,RedHatAI/Qwen3-32B-speculator.eagle3,eagle3,3,2,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_eagle3_t00_offset0_n2_isl4096_osl32768_bs2_k3_20260619_qmath_qwen235b_baseline_qwen32_bs12,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_eagle3_t00_offset0_n2_bs2_20260619_qmath_qwen235b_baseline_qwen32_bs12.job.txt,,,,,,COMPLETED,0:0,00:30:50,nvl72110-T06,None,vllm-specdec-qwen32_math500_osl32k_eagle3_t00_bs2-k3,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_eagle3_t00_offset0_n2_isl4096_osl32768_bs2_k3_20260619_qmath_qwen235b_baseline_qwen32_bs12/breakdown.json,True,
