domain,job_id,label,tag,model,temperature,batch_size,isl,osl,method,spec_method,num_speculative_tokens,draft_model,prompt_count_loaded,prompt_count_used,num_batches,total_gpus,latency_s,mean_latency_s,output_tok_s,output_tok_s_per_gpu,speedup_vs_baseline,metrics_available,acceptance_rate_pct,mean_acceptance_length,accepted_tokens_per_draft,num_drafts,num_draft_tokens,num_accepted_tokens,acceptance_rate_by_position_pct,breakdown_json
Math,3423667,qwen32_math500_osl32k_baseline_t00_offset0_n4_isl4096_osl32768_bs4_k0_20260619_qmath_qwen32_osl32k_bsweep,qwen32_math500_osl32k_baseline_t00_offset0_n4_isl4096_osl32768_bs4_k0_20260619_qmath_qwen32_osl32k_bsweep,Qwen/Qwen3-32B,0.0,4,4096,32768,baseline,draft_model,0,,4,4,1,2,2035.1531078330008,2035.1531078330008,64.40399962809846,32.20199981404923,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_baseline_t00_offset0_n4_isl4096_osl32768_bs4_k0_20260619_qmath_qwen32_osl32k_bsweep/breakdown.json
Math,3423670,qwen32_math500_osl32k_suffix_t00_offset0_n4_isl4096_osl32768_bs4_k32_20260619_qmath_qwen32_osl32k_bsweep,qwen32_math500_osl32k_suffix_t00_offset0_n4_isl4096_osl32768_bs4_k32_20260619_qmath_qwen32_osl32k_bsweep,Qwen/Qwen3-32B,0.0,4,4096,32768,suffix_k32,suffix,32,,4,4,1,2,378.74920906699845,378.74920906699845,346.0654091473341,173.03270457366705,5.373352759854858,True,88.99035517452542,8.954091406677612,7.954091406677613,14616,130640,116257,"79.7961,73.3648,69.9097,67.6108,66.3383,65.5241,65.0588,64.5799,64.1762,63.7931,57.8476,57.4097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_suffix_t00_offset0_n4_isl4096_osl32768_bs4_k32_20260619_qmath_qwen32_osl32k_bsweep/breakdown.json
Math,3423674,qwen32_math500_osl32k_pard_t00_offset0_n4_isl4096_osl32768_bs4_k5_20260619_qmath_qwen32_osl32k_bsweep,qwen32_math500_osl32k_pard_t00_offset0_n4_isl4096_osl32768_bs4_k5_20260619_qmath_qwen32_osl32k_bsweep,Qwen/Qwen3-32B,0.0,4,4096,32768,pard_k5,draft_model,5,amd/PARD-Qwen3-0.6B,4,4,1,2,1788.8815270969644,1788.8815270969644,73.27036364040634,36.63518182020317,1.1376679098116078,True,48.53490196078432,3.426745098039216,2.426745098039216,38250,191250,92823,"73.9007,59.7882,46.6902,36.2431,26.0523",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_pard_t00_offset0_n4_isl4096_osl32768_bs4_k5_20260619_qmath_qwen32_osl32k_bsweep/breakdown.json
Math,3423676,qwen32_math500_osl32k_eagle3_t00_offset0_n4_isl4096_osl32768_bs4_k3_20260619_qmath_qwen32_osl32k_bsweep,qwen32_math500_osl32k_eagle3_t00_offset0_n4_isl4096_osl32768_bs4_k3_20260619_qmath_qwen32_osl32k_bsweep,Qwen/Qwen3-32B,0.0,4,4096,32768,eagle3_k3,eagle3,3,RedHatAI/Qwen3-32B-speculator.eagle3,4,4,1,2,815.8512016210007,815.8512016210007,160.65674689155978,80.32837344577989,2.4945150583701907,True,84.48159633274909,3.5344478899824727,2.5344478899824727,37085,111255,93990,"93.0781,82.9338,77.4329",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_eagle3_t00_offset0_n4_isl4096_osl32768_bs4_k3_20260619_qmath_qwen32_osl32k_bsweep/breakdown.json
Math,3423677,qwen32_math500_osl32k_baseline_t00_offset0_n8_isl4096_osl32768_bs8_k0_20260619_qmath_qwen32_osl32k_bsweep,qwen32_math500_osl32k_baseline_t00_offset0_n8_isl4096_osl32768_bs8_k0_20260619_qmath_qwen32_osl32k_bsweep,Qwen/Qwen3-32B,0.0,8,4096,32768,baseline,draft_model,0,,8,8,1,2,2100.7415349569637,2100.7415349569637,124.78641262518302,62.39320631259151,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_baseline_t00_offset0_n8_isl4096_osl32768_bs8_k0_20260619_qmath_qwen32_osl32k_bsweep/breakdown.json
Math,3423678,qwen32_math500_osl32k_suffix_t00_offset0_n8_isl4096_osl32768_bs8_k32_20260619_qmath_qwen32_osl32k_bsweep,qwen32_math500_osl32k_suffix_t00_offset0_n8_isl4096_osl32768_bs8_k32_20260619_qmath_qwen32_osl32k_bsweep,Qwen/Qwen3-32B,0.0,8,4096,32768,suffix_k32,suffix,32,,8,8,1,2,438.44486748299096,438.44486748299096,597.8950135849626,298.9475067924813,4.791347078634601,True,88.00519222693086,8.357313842520188,7.357313842520187,31331,261930,230512,"76.7738,68.5647,64.5399,62.6089,61.5780,60.9013,60.5215,58.7980,56.0020,55.7563,55.6222,54.0647,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_suffix_t00_offset0_n8_isl4096_osl32768_bs8_k32_20260619_qmath_qwen32_osl32k_bsweep/breakdown.json
Math,3423680,qwen32_math500_osl32k_pard_t00_offset0_n8_isl4096_osl32768_bs8_k5_20260619_qmath_qwen32_osl32k_bsweep,qwen32_math500_osl32k_pard_t00_offset0_n8_isl4096_osl32768_bs8_k5_20260619_qmath_qwen32_osl32k_bsweep,Qwen/Qwen3-32B,0.0,8,4096,32768,pard_k5,draft_model,5,amd/PARD-Qwen3-0.6B,8,8,1,2,1391.7532573289936,1391.7532573289936,188.3552264882771,94.17761324413856,1.5094209579854958,True,56.724372576278626,3.8362186288139313,2.8362186288139313,68335,341675,193813,"82.8258,68.0822,54.0543,42.9326,35.7269",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_pard_t00_offset0_n8_isl4096_osl32768_bs8_k5_20260619_qmath_qwen32_osl32k_bsweep/breakdown.json
Math,3423681,qwen32_math500_osl32k_eagle3_t00_offset0_n8_isl4096_osl32768_bs8_k3_20260619_qmath_qwen32_osl32k_bsweep,qwen32_math500_osl32k_eagle3_t00_offset0_n8_isl4096_osl32768_bs8_k3_20260619_qmath_qwen32_osl32k_bsweep,Qwen/Qwen3-32B,0.0,8,4096,32768,eagle3_k3,eagle3,3,RedHatAI/Qwen3-32B-speculator.eagle3,8,8,1,2,840.8872163399355,840.8872163399355,311.74692028380906,155.87346014190453,2.4982441094784362,True,82.07403885521086,3.4622211656563255,2.4622211656563255,75717,227151,186432,"93.7068,79.8856,72.6297",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_eagle3_t00_offset0_n8_isl4096_osl32768_bs8_k3_20260619_qmath_qwen32_osl32k_bsweep/breakdown.json
Math,3423682,qwen32_math500_osl32k_baseline_t00_offset0_n16_isl4096_osl32768_bs16_k0_20260619_qmath_qwen32_osl32k_bsweep,qwen32_math500_osl32k_baseline_t00_offset0_n16_isl4096_osl32768_bs16_k0_20260619_qmath_qwen32_osl32k_bsweep,Qwen/Qwen3-32B,0.0,16,4096,32768,baseline,draft_model,0,,16,16,1,2,2120.7523518460803,2120.7523518460803,247.21792695107274,123.60896347553637,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_baseline_t00_offset0_n16_isl4096_osl32768_bs16_k0_20260619_qmath_qwen32_osl32k_bsweep/breakdown.json
Math,3423683,qwen32_math500_osl32k_suffix_t00_offset0_n16_isl4096_osl32768_bs16_k32_20260619_qmath_qwen32_osl32k_bsweep,qwen32_math500_osl32k_suffix_t00_offset0_n16_isl4096_osl32768_bs16_k32_20260619_qmath_qwen32_osl32k_bsweep,Qwen/Qwen3-32B,0.0,16,4096,32768,suffix_k32,suffix,32,,16,16,1,2,1003.335145627032,1003.335145627032,522.5452355427532,261.2726177713766,2.1137028450455815,True,81.25393672174039,7.371759871661366,6.371759871661366,71062,557253,452790,"71.8288,61.6870,56.2987,53.6813,51.8660,50.1281,49.5764,49.0952,48.6125,48.3648,48.2016,47.8357,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_suffix_t00_offset0_n16_isl4096_osl32768_bs16_k32_20260619_qmath_qwen32_osl32k_bsweep/breakdown.json
