checked_at,job_id,method_detail,state,live_generation_tok_s,live_generation_samples,live_speedup_vs_baseline,live_mean_acceptance_length,live_accepted_tok_s,live_drafted_tok_s,live_draft_acceptance_pct,live_spec_samples,latest_generation_line,latest_spec_line,logs_dir
2026-06-13T23:51:20-07:00,3288484,baseline,TIMEOUT,15.24,5,1.000,,,,,0,"INFO 06-13 09:34:09 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 15.2 tokens/s, Running: 2 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.6%, Prefix cache hit rate: 56.5%",,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_baseline_offset0_n4_isl4096_osl32768_bs1_2_k0_20260613_oci_math
2026-06-13T23:51:20-07:00,3288487,suffix_k32,FAILED,,0,,,,,,0,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_20260613_oci_math
2026-06-13T23:51:21-07:00,3288488,pard_k5,COMPLETED,16.40,5,1.076,2.84,10.61,28.85,36.76,5,"INFO 06-13 00:42:00 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 16.3 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 2.4%, Prefix cache hit rate: 59.3%","INFO 06-13 00:42:00 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 2.84, Accepted throughput: 10.55 tokens/s, Drafted throughput: 28.60 tokens/s, Accepted: 107 tokens, Drafted: 290 tokens, Per-position acceptance rate: 0.948, 0.638, 0.241, 0.017, 0.000, Avg Draft acceptance rate: 36.9%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260613_oci_math
2026-06-13T23:51:22-07:00,3288490,official_pard2_k1,TIMEOUT,11.02,5,0.723,1.02,0.16,10.87,1.44,5,"INFO 06-13 04:58:39 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 11.1 tokens/s, Running: 2 reqs, Waiting: 0 reqs, GPU KV cache usage: 2.4%, Prefix cache hit rate: 43.5%","INFO 06-13 04:58:39 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 1.02, Accepted throughput: 0.20 tokens/s, Drafted throughput: 10.92 tokens/s, Accepted: 2 tokens, Drafted: 110 tokens, Per-position acceptance rate: 0.018, Avg Draft acceptance rate: 1.8%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_pard2_offset0_n4_isl4096_osl32768_bs1_2_k1_20260613_oci_math
2026-06-13T23:51:22-07:00,3288491,eagle3_k3,COMPLETED,25.62,5,1.681,3.10,17.41,24.81,69.96,5,"INFO 06-13 00:21:32 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 20.5 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.6%, Prefix cache hit rate: 34.6%","INFO 06-13 00:21:32 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 2.85, Accepted throughput: 13.27 tokens/s, Drafted throughput: 21.55 tokens/s, Accepted: 133 tokens, Drafted: 216 tokens, Per-position acceptance rate: 1.000, 0.708, 0.139, Avg Draft acceptance rate: 61.6%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260613_oci_math
2026-06-13T23:51:23-07:00,3288594,suffix_k32,COMPLETED,88.70,5,5.820,11.25,80.82,92.64,87.22,5,"INFO 06-12 22:38:08 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 87.3 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.5%, Prefix cache hit rate: 59.3%","INFO 06-12 22:38:08 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 11.22, Accepted throughput: 79.50 tokens/s, Drafted throughput: 91.47 tokens/s, Accepted: 797 tokens, Drafted: 917 tokens, Per-position acceptance rate: 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.744, 0.744, 0.744, 0.744, 0.744, 0.500, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, Avg Draft acceptance rate: 86.9%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_20260613_oci_math_suffix_py312_retry1
2026-06-13T23:51:24-07:00,3288918,pard_k9,COMPLETED,16.72,5,1.097,2.89,10.94,51.99,21.04,5,"INFO 06-13 00:50:56 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 16.6 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 2.4%, Prefix cache hit rate: 59.3%","INFO 06-13 00:50:56 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 2.90, Accepted throughput: 10.86 tokens/s, Drafted throughput: 51.56 tokens/s, Accepted: 110 tokens, Drafted: 522 tokens, Per-position acceptance rate: 0.862, 0.638, 0.328, 0.069, 0.000, 0.000, 0.000, 0.000, 0.000, Avg Draft acceptance rate: 21.1%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_pard_offset0_n4_isl4096_osl32768_bs1_2_k9_20260613_oci_math_drafter_k9
2026-06-13T23:51:24-07:00,3288922,official_pard2_k9,TIMEOUT,13.18,5,0.865,1.02,0.26,116.33,0.22,5,"INFO 06-13 11:19:32 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 13.3 tokens/s, Running: 2 reqs, Waiting: 0 reqs, GPU KV cache usage: 3.6%, Prefix cache hit rate: 43.5%","INFO 06-13 11:19:32 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 1.03, Accepted throughput: 0.40 tokens/s, Drafted throughput: 116.28 tokens/s, Accepted: 4 tokens, Drafted: 1170 tokens, Per-position acceptance rate: 0.031, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, Avg Draft acceptance rate: 0.3%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_pard2_offset0_n4_isl4096_osl32768_bs1_2_k9_20260613_oci_math_drafter_k9
2026-06-13T23:51:25-07:00,3288926,eagle3_k9,COMPLETED,24.84,5,1.630,3.60,17.92,62.00,28.90,5,"INFO 06-13 01:24:39 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 24.9 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.6%, Prefix cache hit rate: 32.0%","INFO 06-13 01:24:39 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 3.61, Accepted throughput: 17.97 tokens/s, Drafted throughput: 62.01 tokens/s, Accepted: 180 tokens, Drafted: 621 tokens, Per-position acceptance rate: 1.000, 0.797, 0.609, 0.203, 0.000, 0.000, 0.000, 0.000, 0.000, Avg Draft acceptance rate: 29.0%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k9_20260613_oci_math_drafter_k9
2026-06-13T23:51:26-07:00,3288919,pard_k11,COMPLETED,35.78,5,2.348,3.17,24.51,124.20,19.72,5,"INFO 06-13 00:54:46 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 35.4 tokens/s, Running: 2 reqs, Waiting: 0 reqs, GPU KV cache usage: 4.8%, Prefix cache hit rate: 59.3%","INFO 06-13 00:54:46 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 3.17, Accepted throughput: 24.27 tokens/s, Drafted throughput: 123.03 tokens/s, Accepted: 243 tokens, Drafted: 1232 tokens, Per-position acceptance rate: 1.000, 0.688, 0.384, 0.080, 0.009, 0.009, 0.000, 0.000, 0.000, 0.000, 0.000, Avg Draft acceptance rate: 19.7%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_pard_offset0_n4_isl4096_osl32768_bs1_2_k11_20260613_oci_math_drafter_k11
