checked_at,job_id,method_detail,state,live_generation_tok_s,live_generation_samples,live_speedup_vs_baseline,live_mean_acceptance_length,live_accepted_tok_s,live_drafted_tok_s,live_draft_acceptance_pct,live_spec_samples,latest_generation_line,latest_spec_line,logs_dir
2026-06-13T07:09:36+02:00,3288484,baseline,RUNNING,7.54,5,1.000,,,,,0,"INFO 06-12 22:09:27 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 7.5 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.4%, Prefix cache hit rate: 0.0%",,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_baseline_offset0_n4_isl4096_osl32768_bs1_2_k0_20260613_oci_math
2026-06-13T07:09:38+02:00,3288487,suffix_k32,FAILED,,0,,,,,,0,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_20260613_oci_math
2026-06-13T07:09:40+02:00,3288488,pard_k5,RUNNING,31.26,5,4.146,4.89,24.89,31.95,77.86,5,"INFO 06-12 22:09:37 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 29.5 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.0%, Prefix cache hit rate: 21.1%","INFO 06-12 22:09:37 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 4.61, Accepted throughput: 23.10 tokens/s, Drafted throughput: 32.00 tokens/s, Accepted: 231 tokens, Drafted: 320 tokens, Per-position acceptance rate: 1.000, 0.984, 0.797, 0.609, 0.219, Avg Draft acceptance rate: 72.2%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260613_oci_math
2026-06-13T07:09:41+02:00,3288490,official_pard2_k1,RUNNING,6.80,5,0.902,1.05,0.30,6.49,4.56,5,"INFO 06-12 22:09:32 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 6.8 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.9%, Prefix cache hit rate: 0.0%","INFO 06-12 22:09:32 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 1.05, Accepted throughput: 0.30 tokens/s, Drafted throughput: 6.48 tokens/s, Accepted: 3 tokens, Drafted: 65 tokens, Per-position acceptance rate: 0.046, Avg Draft acceptance rate: 4.6%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_pard2_offset0_n4_isl4096_osl32768_bs1_2_k1_20260613_oci_math
2026-06-13T07:09:43+02:00,3288491,eagle3_k3,RUNNING,22.36,5,2.966,2.90,14.65,23.13,63.30,5,"INFO 06-12 22:09:37 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 22.3 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.0%, Prefix cache hit rate: 14.0%","INFO 06-12 22:09:37 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 2.88, Accepted throughput: 14.57 tokens/s, Drafted throughput: 23.20 tokens/s, Accepted: 147 tokens, Drafted: 234 tokens, Per-position acceptance rate: 0.936, 0.705, 0.244, Avg Draft acceptance rate: 62.8%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260613_oci_math
2026-06-13T07:09:44+02:00,3288594,suffix_k32,RUNNING,36.64,5,4.859,2.31,20.39,54.17,36.52,5,"INFO 06-12 22:09:37 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 35.3 tokens/s, Running: 2 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.2%, Prefix cache hit rate: 43.5%","INFO 06-12 22:09:37 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 2.20, Accepted throughput: 19.09 tokens/s, Drafted throughput: 57.38 tokens/s, Accepted: 193 tokens, Drafted: 580 tokens, Per-position acceptance rate: 0.522, 0.298, 0.155, 0.093, 0.050, 0.043, 0.025, 0.006, 0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, Avg Draft acceptance rate: 33.3%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_20260613_oci_math_suffix_py312_retry1
2026-06-13T07:09:46+02:00,3288918,pard_k9,RUNNING,18.84,5,2.499,2.92,12.41,58.17,21.34,5,"INFO 06-12 22:09:42 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 18.2 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 2.0%, Prefix cache hit rate: 0.0%","INFO 06-12 22:09:42 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 2.82, Accepted throughput: 11.73 tokens/s, Drafted throughput: 58.14 tokens/s, Accepted: 118 tokens, Drafted: 585 tokens, Per-position acceptance rate: 0.877, 0.738, 0.138, 0.031, 0.015, 0.015, 0.000, 0.000, 0.000, Avg Draft acceptance rate: 20.2%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_pard_offset0_n4_isl4096_osl32768_bs1_2_k9_20260613_oci_math_drafter_k9
2026-06-13T07:09:48+02:00,3288922,official_pard2_k9,RUNNING,6.88,5,0.912,1.04,0.28,59.38,0.46,5,"INFO 06-12 22:09:42 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 6.8 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.4%, Prefix cache hit rate: 0.0%","INFO 06-12 22:09:42 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 1.03, Accepted throughput: 0.20 tokens/s, Drafted throughput: 59.67 tokens/s, Accepted: 2 tokens, Drafted: 603 tokens, Per-position acceptance rate: 0.030, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, Avg Draft acceptance rate: 0.3%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_pard2_offset0_n4_isl4096_osl32768_bs1_2_k9_20260613_oci_math_drafter_k9
2026-06-13T07:09:49+02:00,3288926,eagle3_k9,RUNNING,23.74,5,3.149,3.38,16.70,63.31,26.38,5,"INFO 06-12 22:09:42 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 24.7 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.0%, Prefix cache hit rate: 0.0%","INFO 06-12 22:09:42 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 3.52, Accepted throughput: 17.66 tokens/s, Drafted throughput: 63.03 tokens/s, Accepted: 179 tokens, Drafted: 639 tokens, Per-position acceptance rate: 0.958, 0.930, 0.479, 0.155, 0.000, 0.000, 0.000, 0.000, 0.000, Avg Draft acceptance rate: 28.0%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k9_20260613_oci_math_drafter_k9
2026-06-13T07:09:51+02:00,3288919,pard_k11,RUNNING,18.10,5,2.401,2.86,11.77,69.65,16.92,5,"INFO 06-12 22:09:44 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 18.8 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.9%, Prefix cache hit rate: 0.0%","INFO 06-12 22:09:44 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 2.97, Accepted throughput: 12.47 tokens/s, Drafted throughput: 69.70 tokens/s, Accepted: 126 tokens, Drafted: 704 tokens, Per-position acceptance rate: 0.781, 0.672, 0.234, 0.156, 0.062, 0.062, 0.000, 0.000, 0.000, 0.000, 0.000, Avg Draft acceptance rate: 17.9%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_pard_offset0_n4_isl4096_osl32768_bs1_2_k11_20260613_oci_math_drafter_k11
