domain,job_id,label,tag,model,temperature,batch_size,isl,osl,method,spec_method,num_speculative_tokens,draft_model,prompt_count_loaded,prompt_count_used,num_batches,total_gpus,latency_s,mean_latency_s,output_tok_s,output_tok_s_per_gpu,speedup_vs_baseline,metrics_available,acceptance_rate_pct,mean_acceptance_length,accepted_tokens_per_draft,num_drafts,num_draft_tokens,num_accepted_tokens,acceptance_rate_by_position_pct,breakdown_json
SWE,3423915,qwen235b_swe_verified_osl32k_baseline_t00_offset0_n4_isl4096_osl32768_bs4_k0_20260619_swe_qwen235b_osl32k_bsweep,qwen235b_swe_verified_osl32k_baseline_t00_offset0_n4_isl4096_osl32768_bs4_k0_20260619_swe_qwen235b_osl32k_bsweep,Qwen/Qwen3-235B-A22B,0.0,4,4096,32768,baseline,draft_model,0,,4,4,1,4,4262.977672418929,4262.977672418929,30.746583743101382,7.686645935775346,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/swe_qwen235b_osl32k_temp01_bsweep_20260619/qwen235b_swe_verified_osl32k_baseline_t00_offset0_n4_isl4096_osl32768_bs4_k0_20260619_swe_qwen235b_osl32k_bsweep/breakdown.json
SWE,3423917,qwen235b_swe_verified_osl32k_suffix_t00_offset0_n4_isl4096_osl32768_bs4_k32_20260619_swe_qwen235b_osl32k_bsweep,qwen235b_swe_verified_osl32k_suffix_t00_offset0_n4_isl4096_osl32768_bs4_k32_20260619_swe_qwen235b_osl32k_bsweep,Qwen/Qwen3-235B-A22B,0.0,4,4096,32768,suffix_k32,suffix,32,,4,4,1,4,701.3597630820004,701.3597630820004,186.88269116555455,46.72067279138864,6.07816116180665,True,86.20053731615135,7.620985135529001,6.620985135529001,17155,131766,113583,"70.9589,61.3465,56.8464,54.5322,53.5704,52.9875,52.3404,52.1539,52.0256,51.9382,51.8799,51.5185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/swe_qwen235b_osl32k_temp01_bsweep_20260619/qwen235b_swe_verified_osl32k_suffix_t00_offset0_n4_isl4096_osl32768_bs4_k32_20260619_swe_qwen235b_osl32k_bsweep/breakdown.json
SWE,3423918,qwen235b_swe_verified_osl32k_eagle3_t00_offset0_n4_isl4096_osl32768_bs4_k3_20260619_swe_qwen235b_osl32k_bsweep,qwen235b_swe_verified_osl32k_eagle3_t00_offset0_n4_isl4096_osl32768_bs4_k3_20260619_swe_qwen235b_osl32k_bsweep,Qwen/Qwen3-235B-A22B,0.0,4,4096,32768,eagle3_k3,eagle3,3,nvidia/Qwen3-235B-A22B-Eagle3,4,4,1,4,1844.5637819889234,1844.5637819889234,71.05853496628347,17.76463374157087,2.311103424042253,True,55.276358129850465,2.658290743895514,1.658290743895514,49308,147924,81767,"85.9820,54.9525,24.8945",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/swe_qwen235b_osl32k_temp01_bsweep_20260619/qwen235b_swe_verified_osl32k_eagle3_t00_offset0_n4_isl4096_osl32768_bs4_k3_20260619_swe_qwen235b_osl32k_bsweep/breakdown.json
SWE,3423919,qwen235b_swe_verified_osl32k_baseline_t00_offset0_n8_isl4096_osl32768_bs8_k0_20260619_swe_qwen235b_osl32k_bsweep,qwen235b_swe_verified_osl32k_baseline_t00_offset0_n8_isl4096_osl32768_bs8_k0_20260619_swe_qwen235b_osl32k_bsweep,Qwen/Qwen3-235B-A22B,0.0,8,4096,32768,baseline,draft_model,0,,8,8,1,4,4256.5155820520595,4256.5155820520595,61.58652422308784,15.39663105577196,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/swe_qwen235b_osl32k_temp01_bsweep_20260619/qwen235b_swe_verified_osl32k_baseline_t00_offset0_n8_isl4096_osl32768_bs8_k0_20260619_swe_qwen235b_osl32k_bsweep/breakdown.json
SWE,3423920,qwen235b_swe_verified_osl32k_suffix_t00_offset0_n8_isl4096_osl32768_bs8_k32_20260619_swe_qwen235b_osl32k_bsweep,qwen235b_swe_verified_osl32k_suffix_t00_offset0_n8_isl4096_osl32768_bs8_k32_20260619_swe_qwen235b_osl32k_bsweep,Qwen/Qwen3-235B-A22B,0.0,8,4096,32768,suffix_k32,suffix,32,,8,8,1,4,1069.2776089659892,1069.2776089659892,245.15990777502392,61.28997694375598,3.9807394696763425,True,80.32595111459877,6.451635969129867,5.451635969129867,40557,275256,221102,"64.7730,53.0167,47.2816,44.7370,43.6669,43.0037,42.5475,42.0692,41.4404,41.2580,40.8783,40.4912,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/swe_qwen235b_osl32k_temp01_bsweep_20260619/qwen235b_swe_verified_osl32k_suffix_t00_offset0_n8_isl4096_osl32768_bs8_k32_20260619_swe_qwen235b_osl32k_bsweep/breakdown.json
SWE,3423921,qwen235b_swe_verified_osl32k_eagle3_t00_offset0_n8_isl4096_osl32768_bs8_k3_20260619_swe_qwen235b_osl32k_bsweep,qwen235b_swe_verified_osl32k_eagle3_t00_offset0_n8_isl4096_osl32768_bs8_k3_20260619_swe_qwen235b_osl32k_bsweep,Qwen/Qwen3-235B-A22B,0.0,8,4096,32768,eagle3_k3,eagle3,3,nvidia/Qwen3-235B-A22B-Eagle3,8,8,1,4,2128.8916775969556,2128.8916775969556,123.13637314600345,30.784093286500863,1.9994044914754503,True,55.55736404142338,2.666720921242701,1.666720921242701,98302,294906,163842,"85.3981,55.7242,25.5498",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/swe_qwen235b_osl32k_temp01_bsweep_20260619/qwen235b_swe_verified_osl32k_eagle3_t00_offset0_n8_isl4096_osl32768_bs8_k3_20260619_swe_qwen235b_osl32k_bsweep/breakdown.json
SWE,3423922,qwen235b_swe_verified_osl32k_baseline_t00_offset0_n16_isl4096_osl32768_bs16_k0_20260619_swe_qwen235b_osl32k_bsweep,qwen235b_swe_verified_osl32k_baseline_t00_offset0_n16_isl4096_osl32768_bs16_k0_20260619_swe_qwen235b_osl32k_bsweep,Qwen/Qwen3-235B-A22B,0.0,16,4096,32768,baseline,draft_model,0,,16,16,1,4,4140.687737478991,4140.687737478991,126.61857962735596,31.65464490683899,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/swe_qwen235b_osl32k_temp01_bsweep_20260619/qwen235b_swe_verified_osl32k_baseline_t00_offset0_n16_isl4096_osl32768_bs16_k0_20260619_swe_qwen235b_osl32k_bsweep/breakdown.json
SWE,3423923,qwen235b_swe_verified_osl32k_suffix_t00_offset0_n16_isl4096_osl32768_bs16_k32_20260619_swe_qwen235b_osl32k_bsweep,qwen235b_swe_verified_osl32k_suffix_t00_offset0_n16_isl4096_osl32768_bs16_k32_20260619_swe_qwen235b_osl32k_bsweep,Qwen/Qwen3-235B-A22B,0.0,16,4096,32768,suffix_k32,suffix,32,,16,16,1,4,1079.3273966979468,1079.3273966979468,485.75437036434613,121.43859259108653,3.8363593383683705,True,79.92425881843756,6.519390271239632,5.519390271239632,80298,554520,443196,"65.4910,53.9067,48.2291,45.8392,44.5814,43.6113,42.8865,42.4681,42.0347,41.5104,40.8852,40.4954,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/swe_qwen235b_osl32k_temp01_bsweep_20260619/qwen235b_swe_verified_osl32k_suffix_t00_offset0_n16_isl4096_osl32768_bs16_k32_20260619_swe_qwen235b_osl32k_bsweep/breakdown.json
SWE,3423924,qwen235b_swe_verified_osl32k_eagle3_t00_offset0_n16_isl4096_osl32768_bs16_k3_20260619_swe_qwen235b_osl32k_bsweep,qwen235b_swe_verified_osl32k_eagle3_t00_offset0_n16_isl4096_osl32768_bs16_k3_20260619_swe_qwen235b_osl32k_bsweep,Qwen/Qwen3-235B-A22B,0.0,16,4096,32768,eagle3_k3,eagle3,3,nvidia/Qwen3-235B-A22B-Eagle3,16,16,1,4,2203.4924960139906,2203.4924960139906,237.9350058819856,59.4837514704964,1.879147646279391,True,53.83949028488579,2.6151847085465736,1.6151847085465736,200478,601434,323809,"84.2387,52.5354,24.7444",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/swe_qwen235b_osl32k_temp01_bsweep_20260619/qwen235b_swe_verified_osl32k_eagle3_t00_offset0_n16_isl4096_osl32768_bs16_k3_20260619_swe_qwen235b_osl32k_bsweep/breakdown.json
SWE,3423925,qwen235b_swe_verified_osl32k_baseline_t00_offset0_n32_isl4096_osl32768_bs32_k0_20260619_swe_qwen235b_osl32k_bsweep,qwen235b_swe_verified_osl32k_baseline_t00_offset0_n32_isl4096_osl32768_bs32_k0_20260619_swe_qwen235b_osl32k_bsweep,Qwen/Qwen3-235B-A22B,0.0,32,4096,32768,baseline,draft_model,0,,32,32,1,4,4464.281145614994,4464.281145614994,234.8812643733148,58.7203160933287,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/swe_qwen235b_osl32k_temp01_bsweep_20260619/qwen235b_swe_verified_osl32k_baseline_t00_offset0_n32_isl4096_osl32768_bs32_k0_20260619_swe_qwen235b_osl32k_bsweep/breakdown.json
