job_id,temperature,model_group,batch_size,method,model,draft_model,specdec_method,num_speculative_tokens,prompt_count,isl,osl,max_model_len,max_num_batched_tokens,logs_dir,job_file,queue_state,queue_reason,queue_elapsed,queue_nodes,queue_job_name,acct_state,exit_code,acct_elapsed,acct_nodes,acct_reason,acct_job_name,breakdown_json,has_breakdown,latest_error
3423915,0.0,qwen235b,4,baseline,Qwen/Qwen3-235B-A22B,,draft_model,0,4,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/swe_qwen235b_osl32k_temp01_bsweep_20260619/qwen235b_swe_verified_osl32k_baseline_t00_offset0_n4_isl4096_osl32768_bs4_k0_20260619_swe_qwen235b_osl32k_bsweep,tmp/oci_swe_qwen235b_baseline_t00_bs4_20260619.job.txt,,,,,,COMPLETED,0:0,02:26:30,nvl72108-T18,None,vllm-baseline-qwen235b_swe_verified_osl32k_baseline_t00_bs4-k0,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/swe_qwen235b_osl32k_temp01_bsweep_20260619/qwen235b_swe_verified_osl32k_baseline_t00_offset0_n4_isl4096_osl32768_bs4_k0_20260619_swe_qwen235b_osl32k_bsweep/breakdown.json,True,
3423917,0.0,qwen235b,4,suffix,Qwen/Qwen3-235B-A22B,,suffix,32,4,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/swe_qwen235b_osl32k_temp01_bsweep_20260619/qwen235b_swe_verified_osl32k_suffix_t00_offset0_n4_isl4096_osl32768_bs4_k32_20260619_swe_qwen235b_osl32k_bsweep,tmp/oci_swe_qwen235b_suffix_t00_bs4_20260619.job.txt,,,,,,COMPLETED,0:0,00:29:50,nvl72131-T08,None,vllm-specdec-qwen235b_swe_verified_osl32k_suffix_t00_bs4-k32,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/swe_qwen235b_osl32k_temp01_bsweep_20260619/qwen235b_swe_verified_osl32k_suffix_t00_offset0_n4_isl4096_osl32768_bs4_k32_20260619_swe_qwen235b_osl32k_bsweep/breakdown.json,True,
3423918,0.0,qwen235b,4,eagle3,Qwen/Qwen3-235B-A22B,nvidia/Qwen3-235B-A22B-Eagle3,eagle3,3,4,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/swe_qwen235b_osl32k_temp01_bsweep_20260619/qwen235b_swe_verified_osl32k_eagle3_t00_offset0_n4_isl4096_osl32768_bs4_k3_20260619_swe_qwen235b_osl32k_bsweep,tmp/oci_swe_qwen235b_eagle3_t00_bs4_20260619.job.txt,,,,,,COMPLETED,0:0,01:09:34,nvl72007-T18,None,vllm-specdec-qwen235b_swe_verified_osl32k_eagle3_t00_bs4-k3,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/swe_qwen235b_osl32k_temp01_bsweep_20260619/qwen235b_swe_verified_osl32k_eagle3_t00_offset0_n4_isl4096_osl32768_bs4_k3_20260619_swe_qwen235b_osl32k_bsweep/breakdown.json,True,
3423919,0.0,qwen235b,8,baseline,Qwen/Qwen3-235B-A22B,,draft_model,0,8,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/swe_qwen235b_osl32k_temp01_bsweep_20260619/qwen235b_swe_verified_osl32k_baseline_t00_offset0_n8_isl4096_osl32768_bs8_k0_20260619_swe_qwen235b_osl32k_bsweep,tmp/oci_swe_qwen235b_baseline_t00_bs8_20260619.job.txt,,,,,,COMPLETED,0:0,02:26:00,nvl72091-T18,None,vllm-baseline-qwen235b_swe_verified_osl32k_baseline_t00_bs8-k0,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/swe_qwen235b_osl32k_temp01_bsweep_20260619/qwen235b_swe_verified_osl32k_baseline_t00_offset0_n8_isl4096_osl32768_bs8_k0_20260619_swe_qwen235b_osl32k_bsweep/breakdown.json,True,
3423920,0.0,qwen235b,8,suffix,Qwen/Qwen3-235B-A22B,,suffix,32,8,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/swe_qwen235b_osl32k_temp01_bsweep_20260619/qwen235b_swe_verified_osl32k_suffix_t00_offset0_n8_isl4096_osl32768_bs8_k32_20260619_swe_qwen235b_osl32k_bsweep,tmp/oci_swe_qwen235b_suffix_t00_bs8_20260619.job.txt,,,,,,COMPLETED,0:0,00:45:01,nvl72098-T07,None,vllm-specdec-qwen235b_swe_verified_osl32k_suffix_t00_bs8-k32,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/swe_qwen235b_osl32k_temp01_bsweep_20260619/qwen235b_swe_verified_osl32k_suffix_t00_offset0_n8_isl4096_osl32768_bs8_k32_20260619_swe_qwen235b_osl32k_bsweep/breakdown.json,True,
3423921,0.0,qwen235b,8,eagle3,Qwen/Qwen3-235B-A22B,nvidia/Qwen3-235B-A22B-Eagle3,eagle3,3,8,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/swe_qwen235b_osl32k_temp01_bsweep_20260619/qwen235b_swe_verified_osl32k_eagle3_t00_offset0_n8_isl4096_osl32768_bs8_k3_20260619_swe_qwen235b_osl32k_bsweep,tmp/oci_swe_qwen235b_eagle3_t00_bs8_20260619.job.txt,,,,,,COMPLETED,0:0,01:11:49,nvl72098-T09,None,vllm-specdec-qwen235b_swe_verified_osl32k_eagle3_t00_bs8-k3,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/swe_qwen235b_osl32k_temp01_bsweep_20260619/qwen235b_swe_verified_osl32k_eagle3_t00_offset0_n8_isl4096_osl32768_bs8_k3_20260619_swe_qwen235b_osl32k_bsweep/breakdown.json,True,
3423922,0.0,qwen235b,16,baseline,Qwen/Qwen3-235B-A22B,,draft_model,0,16,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/swe_qwen235b_osl32k_temp01_bsweep_20260619/qwen235b_swe_verified_osl32k_baseline_t00_offset0_n16_isl4096_osl32768_bs16_k0_20260619_swe_qwen235b_osl32k_bsweep,tmp/oci_swe_qwen235b_baseline_t00_bs16_20260619.job.txt,,,,,,COMPLETED,0:0,02:23:44,nvl72095-T17,None,vllm-baseline-qwen235b_swe_verified_osl32k_baseline_t00_bs16-k0,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/swe_qwen235b_osl32k_temp01_bsweep_20260619/qwen235b_swe_verified_osl32k_baseline_t00_offset0_n16_isl4096_osl32768_bs16_k0_20260619_swe_qwen235b_osl32k_bsweep/breakdown.json,True,
3423923,0.0,qwen235b,16,suffix,Qwen/Qwen3-235B-A22B,,suffix,32,16,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/swe_qwen235b_osl32k_temp01_bsweep_20260619/qwen235b_swe_verified_osl32k_suffix_t00_offset0_n16_isl4096_osl32768_bs16_k32_20260619_swe_qwen235b_osl32k_bsweep,tmp/oci_swe_qwen235b_suffix_t00_bs16_20260619.job.txt,,,,,,COMPLETED,0:0,00:38:27,nvl72095-T18,None,vllm-specdec-qwen235b_swe_verified_osl32k_suffix_t00_bs16-k32,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/swe_qwen235b_osl32k_temp01_bsweep_20260619/qwen235b_swe_verified_osl32k_suffix_t00_offset0_n16_isl4096_osl32768_bs16_k32_20260619_swe_qwen235b_osl32k_bsweep/breakdown.json,True,
3423924,0.0,qwen235b,16,eagle3,Qwen/Qwen3-235B-A22B,nvidia/Qwen3-235B-A22B-Eagle3,eagle3,3,16,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/swe_qwen235b_osl32k_temp01_bsweep_20260619/qwen235b_swe_verified_osl32k_eagle3_t00_offset0_n16_isl4096_osl32768_bs16_k3_20260619_swe_qwen235b_osl32k_bsweep,tmp/oci_swe_qwen235b_eagle3_t00_bs16_20260619.job.txt,,,,,,COMPLETED,0:0,01:22:42,nvl72009-T14,None,vllm-specdec-qwen235b_swe_verified_osl32k_eagle3_t00_bs16-k3,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/swe_qwen235b_osl32k_temp01_bsweep_20260619/qwen235b_swe_verified_osl32k_eagle3_t00_offset0_n16_isl4096_osl32768_bs16_k3_20260619_swe_qwen235b_osl32k_bsweep/breakdown.json,True,
3423925,0.0,qwen235b,32,baseline,Qwen/Qwen3-235B-A22B,,draft_model,0,32,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/swe_qwen235b_osl32k_temp01_bsweep_20260619/qwen235b_swe_verified_osl32k_baseline_t00_offset0_n32_isl4096_osl32768_bs32_k0_20260619_swe_qwen235b_osl32k_bsweep,tmp/oci_swe_qwen235b_baseline_t00_bs32_20260619.job.txt,,,,,,COMPLETED,0:0,02:30:12,nvl72016-T18,None,vllm-baseline-qwen235b_swe_verified_osl32k_baseline_t00_bs32-k0,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/swe_qwen235b_osl32k_temp01_bsweep_20260619/qwen235b_swe_verified_osl32k_baseline_t00_offset0_n32_isl4096_osl32768_bs32_k0_20260619_swe_qwen235b_osl32k_bsweep/breakdown.json,True,
