job_id,label,job_name,squeue_state,squeue_reason,sacct_state,exit_code,start_time,squeue_elapsed,sacct_elapsed,nodes
3267466,,vllm-baseline-qwen3_8b_public_pard2_swebench_verified_longosl-k0,,,COMPLETED,0:0,,,02:14:43,
3267467,,vllm-specdec-qwen3_8b_public_pard2_swebench_verified_longosl-k5,,,COMPLETED,0:0,,,03:05:57,
3268813,,vllm-baseline-qwen3_14b_public_pard2_swebench_lite-k0,,,COMPLETED,0:0,,,00:07:09,
3268814,,vllm-specdec-qwen3_14b_public_pard2_swebench_lite-k5,,,COMPLETED,0:0,,,00:08:44,
3268826,qwen14_static,online-qwen14-public-pard2-STATIC-smoke-out128-min64-mlen1024-seq4-k5-step2-N1xG4,,,COMPLETED,0:0,,,00:10:22,
3269147,qwen8_refitdiag_pre_fix,online-qwen8-public-pard2-refitdiag-k5-step2-20260611-N1xG4,,,COMPLETED,0:0,,,00:08:00,
3269510,qwen8_gatefix_no_initial_refit,online-qwen8-public-pard2-static-before-refit-gatefix-k5-step2-N1xG4,,,COMPLETED,0:0,,,00:07:34,
3269985,qwen8_initial_refit_static_equiv,online-online-qwen8-public-pard2-initialrefit-static-equiv-k5-step2-N1xG4-N1xG4,,,COMPLETED,0:0,,,00:11:41,
3270216,qwen8_online_after_initialrefit,online-online-qwen8-public-pard2-online-after-initialrefit-k5-step2-N1xG4-N1xG4,,,COMPLETED,0:0,,,00:08:48,
3270832,qwen8_async_initialrefit_order_retry1,online-qwen8-public-pard2-async-initialrefit-order-retry1-k5-step2-N1xG4,,,FAILED,1:0,,,00:07:29,
3270833,qwen8_initialrefit_static_equiv_longosl1024_step20_retry1,online-qwen8-public-pard2-initialrefit_static_equiv-longosl1024-step20-retry1-k5-N1xG4,,,COMPLETED,0:0,,,00:18:21,
3270834,qwen8_online_every_step_longosl1024_step20_retry1,online-qwen8-public-pard2-online_every_step-longosl1024-step20-retry1-k5-N1xG4,,,COMPLETED,0:0,,,00:19:34,
3271041,qwen8_async_initialrefit_order_retry2_asyncengine,online-qwen8-public-pard2-async-initialrefit-order-retry2-asyncengine-k5-step2-N1xG4,,,FAILED,1:0,,,00:07:23,
3271403,qwen8_online_interval5_longosl1024_step20_cancelled_missing_initialrefit,online-qwen8-pard2-ONLINE-canary-out1024-min64-mlen4096-seq8-k5-win512-step20-N1xG4,,,CANCELLED by 150081,0:0,,,00:05:46,
3271404,qwen8_online_interval10_longosl1024_step20_cancelled_missing_initialrefit,online-qwen8-pard2-ONLINE-canary-out1024-min64-mlen4096-seq8-k5-win512-step20-N1xG4,,,CANCELLED by 150081,0:0,,,00:05:46,
3271410,qwen8_async_noncolocated_smoke,online-qwen8-public-pard2-async-noncolocated-k5-step2-N2xG4,,,COMPLETED,0:0,,,00:06:39,
3271494,qwen8_online_interval5_longosl1024_step20_retry1,online-qwen8-public-pard2-online-interval5-longosl1024-step20-retry1-N1xG4,,,COMPLETED,0:0,,,00:18:10,
3271495,qwen8_online_interval10_longosl1024_step20_retry1,online-qwen8-public-pard2-online-interval10-longosl1024-step20-retry1-N1xG4,,,COMPLETED,0:0,,,00:18:00,
3271789,qwen8_initialrefit_static_equiv_longosl1024_step50_retry1,online-qwen8-public-pard2-STATIC_EQUIV-longosl1024-step50-r1-k5-N1xG4,,,COMPLETED,0:0,,,00:37:01,
3271807,qwen8_online_interval5_longosl1024_step50_retry1,online-qwen8-public-pard2-INTERVAL5-longosl1024-step50-r1-k5-N1xG4,,,COMPLETED,0:0,,,00:35:47,
