job_id,label,step,max_steps,status,loss,draft_training_enabled,draft_refit_this_step,draft_loss,generation_kl_error,avg_reward,total_step_time_s,generation_time_s,policy_training_time_s,policy_and_reference_logprobs_time_s,prepare_for_generation_total_s,e2e_tokens_per_sec_per_gpu,generation_worker_tokens_per_sec_per_gpu,policy_training_tokens_per_sec_per_gpu,policy_logprobs_tokens_per_sec_per_gpu,mean_generation_length,vllm_acceptance_rate_pct_mean_visible,vllm_acceptance_rate_pct_mean_weighted,vllm_acceptance_rate_pct_latest_visible,vllm_acceptance_length_mean_visible,vllm_acceptance_length_mean_weighted,vllm_acceptance_length_latest_visible,vllm_accepted_throughput_mean_visible,vllm_drafted_throughput_mean_visible,vllm_accepted_tokens_sum_weighted,vllm_drafted_tokens_sum_weighted,vllm_specdec_metric_visible_count,vllm_specdec_metric_weighted_count,error_count,latest_error,log_path,vllm_acceptance_rate_pos1_weighted,vllm_acceptance_rate_pos2_weighted,vllm_acceptance_rate_pos3_weighted,vllm_acceptance_rate_pos4_weighted,vllm_acceptance_rate_pos5_weighted,vllm_acceptance_rate_pos6_weighted,vllm_acceptance_rate_pos7_weighted,vllm_acceptance_rate_pos8_weighted,vllm_acceptance_rate_pos9_weighted
3269510,qwen8_gatefix_no_initial_refit,1,2,completed_step,0.0,False,False,,0.001,0.0,33.88,11.28,9.7,7.62,4.09,8.74,26.23,30.5,38.84,128.0,,,,,,,,,,,0,0,0,,3269510-logs/ray-driver.log,,,,,,,,,
3269510,qwen8_gatefix_no_initial_refit,2,2,completed_step,0.0,True,True,2.2729,0.0007,0.0,24.67,7.72,3.22,2.46,9.25,10.42,33.3,79.75,104.53,128.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.6,0.0,2540.0,2,4,0,,3269510-logs/ray-driver.log,0.0,0.0,0.0,0.0,0.0,,,,
3269985,qwen8_initial_refit_static_equiv,1,2,completed_step,0.0,False,False,,0.0009,0.0,30.25,9.02,8.62,6.79,4.01,9.79,32.8,34.34,43.58,128.0,,,,,,,,,,,0,0,0,,3269985-logs/ray-driver.log,,,,,,,,,
3269985,qwen8_initial_refit_static_equiv,2,2,completed_step,0.0,False,False,,0.0005,0.0,16.82,3.36,1.58,2.28,7.86,15.28,76.45,162.19,112.72,128.0,30.9,30.85,30.8,2.545,2.5425,2.54,0.46499999999999997,1.505,319.0,1035.0,2,4,0,,3269985-logs/ray-driver.log,0.6904999999999999,0.36249999999999993,0.20800000000000002,0.16399999999999998,0.11575,,,,
3270216,qwen8_online_after_initialrefit,1,2,completed_step,0.0,True,True,2.2028,0.0009,0.0,32.51,8.1,12.06,7.16,3.91,9.11,36.54,24.55,41.33,128.0,,,,,,,,,,,0,0,0,,3270216-logs/ray-driver.log,,,,,,,,,
3270216,qwen8_online_after_initialrefit,2,2,completed_step,0.0,True,True,2.1939,0.0008,0.0,19.09,3.59,1.72,2.35,9.53,13.46,71.5,149.61,109.35,128.0,31.6,31.900000000000002,32.2,2.58,2.5949999999999998,2.61,0.43,1.3599999999999999,316.0,990.0,2,4,0,,3270216-logs/ray-driver.log,0.67625,0.37825,0.24775000000000003,0.17225000000000001,0.121,,,,
3269147,qwen8_refitdiag_pre_fix,1,2,completed_step,0.0,True,True,2.2016,0.001,0.0,34.8,11.52,11.15,6.73,4.2,8.5,25.69,26.55,44.01,128.0,,,,,,,,,,,0,0,0,,3269147-logs/ray-driver.log,,,,,,,,,
3269147,qwen8_refitdiag_pre_fix,2,2,completed_step,0.0,True,True,2.1733,0.0006,0.0,21.23,3.55,1.71,2.34,11.75,12.1,72.39,150.43,109.74,128.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.525,0.0,2540.0,2,4,4," GUID 0(default_pg) Rank 2] Failed to check the ""should dump"" flag on TCPStore, (maybe TCPStore server has shut down too early), with error: Failed to recv, got 0 bytes. Connection was likely closed. Did the remote server shutdown or crash?",3269147-logs/ray-driver.log,0.0,0.0,0.0,0.0,0.0,,,,
3268826,qwen14_static,1,2,completed_step,0.0,False,False,,0.0007,0.0,32.97,9.32,8.35,9.4,4.54,8.98,31.76,35.45,31.5,128.0,,,,,,,,,,,0,0,0,,3268826-logs/ray-driver.log,,,,,,,,,
3268826,qwen14_static,2,2,completed_step,0.0,False,False,,0.0005,0.0,23.67,4.48,1.58,2.91,12.96,10.86,57.43,162.86,88.45,128.0,14.850000000000001,15.575000000000001,16.3,1.74,1.775,1.81,0.29500000000000004,1.9849999999999999,222.0,1430.0,2,4,0,,3268826-logs/ray-driver.log,0.40925,0.15775,0.09150000000000001,0.06649999999999999,0.052500000000000005,,,,
3270833,qwen8_initialrefit_static_equiv_longosl1024_step20_retry1,1,20,completed_step,0.0,False,False,,0.0011,0.0,45.73,24.69,8.89,6.97,3.95,52.13,96.55,268.12,341.88,1024.0,28.8,28.65,28.5,2.44,2.4299999999999997,2.42,4.3149999999999995,14.98,2582.0,9020.0,2,4,0,,3270833-logs/ray-driver.log,0.614,0.36775,0.22125,0.14325000000000002,0.08449999999999999,,,,
3270833,qwen8_initialrefit_static_equiv_longosl1024_step20_retry1,2,20,completed_step,0.0,False,False,,0.0007,0.0,28.71,13.93,1.66,2.49,8.71,80.32,165.55,1387.85,926.84,1024.0,39.45,48.959999999999994,55.3,2.975,3.4520000000000004,3.77,70.815,145.37,5644.0,11490.0,2,5,0,,3270833-logs/ray-driver.log,0.7706,0.5826,0.4606,0.3552,0.28040000000000004,,,,
3270833,qwen8_initialrefit_static_equiv_longosl1024_step20_retry1,3,20,completed_step,0.0,False,False,,0.0008,0.0,32.5,16.38,1.05,2.15,11.09,74.22,147.29,2304.88,1122.45,1024.0,60.650000000000006,55.26363636363637,56.7,4.03,3.76,3.83,95.785,178.72,12509.0,23710.0,4,11,0,,3270833-logs/ray-driver.log,0.8079090909090909,0.6356363636363637,0.5107272727272728,0.431,0.37554545454545457,,,,
