job_id,label,step_filter,steps,completed_steps,incomplete_steps,first_step,last_step,draft_training_enabled_steps,draft_refit_steps,error_count_sum,vllm_accepted_tokens_sum_weighted,vllm_drafted_tokens_sum_weighted,vllm_token_acceptance_pct,log_path,total_step_time_s_mean,generation_time_s_mean,policy_training_time_s_mean,policy_and_reference_logprobs_time_s_mean,prepare_for_generation_total_s_mean,e2e_tokens_per_sec_per_gpu_mean,generation_worker_tokens_per_sec_per_gpu_mean,policy_training_tokens_per_sec_per_gpu_mean,policy_logprobs_tokens_per_sec_per_gpu_mean,mean_generation_length_mean,draft_loss_mean,generation_kl_error_mean,avg_reward_mean,vllm_acceptance_rate_pct_mean_weighted_mean,vllm_acceptance_length_mean_weighted_mean,vllm_acceptance_rate_pos1_weighted_mean,vllm_acceptance_rate_pos2_weighted_mean,vllm_acceptance_rate_pos3_weighted_mean,vllm_acceptance_rate_pos4_weighted_mean,vllm_acceptance_rate_pos5_weighted_mean
3269510,qwen8_gatefix_no_initial_refit,all,2,2,0,1,2,1,1,0,,2540.0,0.0,3269510-logs/ray-driver.log,29.275000000000002,9.5,6.46,5.04,6.67,9.58,29.765,55.125,71.685,128.0,2.2729,0.0008500000000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3269985,qwen8_initial_refit_static_equiv,all,2,2,0,1,2,0,0,0,319.0,1035.0,30.821256038647345,3269985-logs/ray-driver.log,23.535,6.1899999999999995,5.1,4.535,5.9350000000000005,12.535,54.625,98.265,78.15,128.0,,0.0007,0.0,30.85,2.5425,0.6904999999999999,0.36249999999999993,0.20800000000000002,0.16399999999999998,0.11575
3270216,qwen8_online_after_initialrefit,all,2,2,0,1,2,2,2,0,316.0,990.0,31.91919191919192,3270216-logs/ray-driver.log,25.799999999999997,5.845,6.890000000000001,4.755,6.72,11.285,54.019999999999996,87.08000000000001,75.34,128.0,2.19835,0.0008500000000000001,0.0,31.900000000000002,2.5949999999999998,0.67625,0.37825,0.24775000000000003,0.17225000000000001,0.121
3269147,qwen8_refitdiag_pre_fix,all,2,2,0,1,2,2,2,4,,2540.0,0.0,3269147-logs/ray-driver.log,28.015,7.535,6.43,4.535,7.975,10.3,49.04,88.49000000000001,76.875,128.0,2.18745,0.0007999999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3268826,qwen14_static,all,2,2,0,1,2,0,0,0,222.0,1430.0,15.524475524475525,3268826-logs/ray-driver.log,28.32,6.9,4.965,6.155,8.75,9.92,44.595,99.155,59.975,128.0,,0.0006000000000000001,0.0,15.575000000000001,1.775,0.40925,0.15775,0.09150000000000001,0.06649999999999999,0.052500000000000005
3270833,qwen8_initialrefit_static_equiv_longosl1024_step20_retry1,all,20,20,0,1,20,0,0,0,159992.0,326900.0,48.942184154175585,3270833-logs/ray-driver.log,33.052499999999995,17.327,1.5245000000000002,2.3935,10.003,73.9765,144.1765,2067.7305,1082.3205,1024.0,,0.000745,0.0,49.51461868686869,3.476029292929293,0.766957058080808,0.5858814772727273,0.4557515025252525,0.3657480429292929,0.3015262878787879
3270834,qwen8_online_every_step_longosl1024_step20_retry1,all,20,20,0,1,20,20,20,0,160630.0,332450.0,48.3170401564145,3270834-logs/ray-driver.log,35.898,17.658,3.0205,2.4,10.8315,68.15700000000001,142.279,961.046,1066.5305,1024.0,1.97683,0.00074,0.0,48.48121085858586,3.4239921717171717,0.7637187247474747,0.5743489646464647,0.4438009343434343,0.3541715782828283,0.2882478914141414
3271410,qwen8_async_noncolocated_smoke,all,2,2,0,1,2,0,0,2,,,,3271410-logs/ray-driver.log,19.705,,5.365,4.72,,7.4350000000000005,38.21,88.915,69.885,,,0.0007999999999999999,0.0,,,,,,,
3271494,qwen8_online_interval5_longosl1024_step20_retry1,all,20,20,0,1,20,4,4,0,167126.0,336600.0,49.65121806298277,3271494-logs/ray-driver.log,33.0265,17.0945,1.7465,2.423,10.071,74.05799999999999,145.759,2113.053,1046.31,1024.0,1.971475,0.00075,0.0,50.306486291486294,3.515504437229437,0.7743898827561327,0.5928051388888889,0.4663515025252526,0.37547427128427124,0.30639624098124096
3271495,qwen8_online_interval10_longosl1024_step20_retry1,all,20,20,0,1,20,2,2,0,157059.0,330210.0,47.563368765331155,3271495-logs/ray-driver.log,34.1205,17.618000000000002,1.7899999999999998,2.507,10.329,71.851,141.80450000000002,2035.1770000000001,1037.5465,1024.0,1.8208000000000002,0.000755,0.0,47.357275252525255,3.3694563131313133,0.7484501767676768,0.5576862878787879,0.43115621212121213,0.34776542929292925,0.283182803030303
3271789,qwen8_initialrefit_static_equiv_longosl1024_step50_retry1,all,50,50,0,1,50,0,0,0,399205.0,843410.0,47.332258332246475,3271789-logs/ray-driver.log,32.9794,17.368,1.2524,2.176,10.380999999999998,72.5804,139.7478,2233.0314000000003,1127.1422,1024.0,,0.000776,0.0,47.69270353535353,3.385116608946609,0.757522137085137,0.5684649112554113,0.43648875901875905,0.34496141197691194,0.2775068961038961
3271807,qwen8_online_interval5_longosl1024_step50_retry1,all,50,50,0,1,50,10,10,0,399714.0,851050.0,46.96715821632102,3271807-logs/ray-driver.log,33.255,17.066,1.5252000000000001,2.2226,10.6818,71.965,141.8544,1956.3532,1100.8006,1024.0,1.7948,0.00078,0.0,47.61869047619048,3.380927950937951,0.7583569538239538,0.5673796854256854,0.43452977200577203,0.3436636111111111,0.2767422676767677
