job_id,label,step,max_steps,status,loss,draft_training_enabled,draft_refit_this_step,draft_loss,generation_kl_error,avg_reward,total_step_time_s,generation_time_s,policy_training_time_s,policy_and_reference_logprobs_time_s,prepare_for_generation_total_s,e2e_tokens_per_sec_per_gpu,generation_worker_tokens_per_sec_per_gpu,policy_training_tokens_per_sec_per_gpu,policy_logprobs_tokens_per_sec_per_gpu,mean_generation_length,vllm_acceptance_rate_pct_mean_visible,vllm_acceptance_rate_pct_mean_weighted,vllm_acceptance_rate_pct_latest_visible,vllm_acceptance_length_mean_visible,vllm_acceptance_length_mean_weighted,vllm_acceptance_length_latest_visible,vllm_accepted_throughput_mean_visible,vllm_drafted_throughput_mean_visible,vllm_accepted_tokens_sum_weighted,vllm_drafted_tokens_sum_weighted,vllm_specdec_metric_visible_count,vllm_specdec_metric_weighted_count,error_count,latest_error,log_path,vllm_acceptance_rate_pos1_weighted,vllm_acceptance_rate_pos2_weighted,vllm_acceptance_rate_pos3_weighted,vllm_acceptance_rate_pos4_weighted,vllm_acceptance_rate_pos5_weighted,vllm_acceptance_rate_pos6_weighted,vllm_acceptance_rate_pos7_weighted,vllm_acceptance_rate_pos8_weighted,vllm_acceptance_rate_pos9_weighted
3274971,baseline_nospec_longosl,1,20,completed_step,,False,False,,0.0046,0.5527,944.52,810.14,68.2,58.95,5.98,131.89,153.77,1826.53,2113.21,3792.0703,,,,,,,,,,,0,0,0,,3274971-logs/ray-driver.log,,,,,,,,,
3274971,baseline_nospec_longosl,2,20,completed_step,0.0316,False,False,,0.0115,0.8125,884.61,801.19,42.66,18.14,13.8,123.97,136.88,2570.52,6044.9,3330.5234,,,,,,,,,,,0,0,0,,3274971-logs/ray-driver.log,,,,,,,,,
3274971,baseline_nospec_longosl,3,20,completed_step,,False,False,,0.0022,0.5176,888.52,807.89,41.45,18.27,11.58,138.57,152.4,2970.35,6740.76,3736.9004,,,,,,,,,,,0,0,0,,3274971-logs/ray-driver.log,,,,,,,,,
3274971,baseline_nospec_longosl,4,20,completed_step,,False,False,,0.006,0.4512,893.62,814.97,40.13,18.36,11.14,141.29,154.93,3146.3,6877.91,3843.6816,,,,,,,,,,,0,0,0,,3274971-logs/ray-driver.log,,,,,,,,,
3274971,baseline_nospec_longosl,5,20,completed_step,,False,False,,0.008,0.457,889.25,810.23,41.8,18.29,10.6,134.29,147.39,2856.95,6529.47,3625.7598,,,,,,,,,,,0,0,0,,3274971-logs/ray-driver.log,,,,,,,,,
3274971,baseline_nospec_longosl,6,20,completed_step,,False,False,,0.0073,0.5859,892.8,814.37,40.06,18.22,11.35,141.96,155.63,3163.67,6957.03,3833.7305,,,,,,,,,,,0,0,0,,3274971-logs/ray-driver.log,,,,,,,,,
3274971,baseline_nospec_longosl,7,20,completed_step,0.0159,False,False,,0.0075,0.4473,880.72,801.84,40.45,18.27,11.46,137.17,150.67,2986.52,6613.75,3675.3066,,,,,,,,,,,0,0,0,,3274971-logs/ray-driver.log,,,,,,,,,
3274971,baseline_nospec_longosl,8,20,completed_step,0.0113,False,False,,0.0062,0.5352,890.82,809.69,40.48,18.96,11.53,142.55,156.83,3137.05,6696.35,3727.0176,,,,,,,,,,,0,0,0,,3274971-logs/ray-driver.log,,,,,,,,,
3274971,baseline_nospec_longosl,9,20,completed_step,0.0078,False,False,,0.0049,0.3984,908.53,829.75,39.83,18.04,11.63,141.38,154.81,3225.13,7120.21,3906.168,,,,,,,,,,,0,0,0,,3274971-logs/ray-driver.log,,,,,,,,,
3274971,baseline_nospec_longosl,10,20,completed_step,,False,False,,0.0061,0.4941,890.47,812.46,40.24,18.23,11.24,144.04,157.87,3187.31,7035.98,3905.0059,,,,,,,,,,,0,0,0,,3274971-logs/ray-driver.log,,,,,,,,,
