model,job_id,config,k,status,step,total_step_time_s,generation_time_s,policy_training_s,policy_and_reference_logprobs_s,acceptance_rate_note,notes
Qwen3-32B,3197798,baseline,0,failed_step3_oom,1,271.79,120.33,114.53,30.58,,original bt32k run; vLLM0.20 full-GRPO; failed at Step 3 CUDA OOM
Qwen3-32B,3197798,baseline,0,failed_step3_oom,2,279.17,117.15,102.43,44.08,,original bt32k run; vLLM0.20 full-GRPO; failed at Step 3 CUDA OOM
Qwen3-32B,3197799,public_pard,3,failed_step3_oom,1,226.43,77.28,112.19,30.58,about 58-70%,original bt32k run; vLLM0.20 with amd/PARD-Qwen3-0.6B; failed at Step 3 CUDA OOM
Qwen3-32B,3197799,public_pard,3,failed_step3_oom,2,237.13,69.02,106.60,44.30,about 51-67%,original bt32k run; vLLM0.20 with amd/PARD-Qwen3-0.6B; failed at Step 3 CUDA OOM
Qwen3-32B,3197802,public_pard,5,completed,1,216.19,65.03,113.86,30.88,about 42-60%,vLLM0.20 full-GRPO completed 5/5; amd/PARD-Qwen3-0.6B; parallel_drafting=true
Qwen3-32B,3197802,public_pard,5,completed,2,234.18,62.85,107.54,43.78,about 37-51%,vLLM0.20 full-GRPO completed 5/5; amd/PARD-Qwen3-0.6B; parallel_drafting=true
Qwen3-32B,3197802,public_pard,5,completed,3,202.58,59.45,98.30,22.39,about 47-58%,vLLM0.20 full-GRPO completed 5/5; amd/PARD-Qwen3-0.6B; parallel_drafting=true
Qwen3-32B,3197802,public_pard,5,completed,4,206.66,62.38,100.75,24.77,about 46-56%,vLLM0.20 full-GRPO completed 5/5; amd/PARD-Qwen3-0.6B; parallel_drafting=true
Qwen3-32B,3197802,public_pard,5,completed,5,204.92,59.04,99.50,22.75,about 47-56%,vLLM0.20 full-GRPO completed 5/5; amd/PARD-Qwen3-0.6B; parallel_drafting=true
Qwen3-30B-A3B,3197800,baseline,0,failed_step3_oom,1,333.60,58.78,167.27,100.53,,original bt32k run; failed at Step 3 CUDA OOM
Qwen3-30B-A3B,3197800,baseline,0,failed_step3_oom,2,267.48,54.47,128.94,51.94,,original bt32k run; failed at Step 3 CUDA OOM
Qwen3-30B-A3B,3197803,public_pard,5,failed_step3_oom,1,293.53,32.41,164.72,88.55,about 52-66%,original bt32k run; failed at Step 3 CUDA OOM
Qwen3-30B-A3B,3197803,public_pard,5,failed_step3_oom,2,241.12,27.82,132.68,52.75,about 50-63%,original bt32k run; failed at Step 3 CUDA OOM
Qwen3-30B-A3B,3197890,public_pard,3,failed_step3_oom,1,301.23,39.51,165.48,87.91,about 59-71%,retry after checkpoint race; vLLM0.20 with amd/PARD-Qwen3-0.6B; failed at Step 3 CUDA OOM
Qwen3-30B-A3B,3197890,public_pard,3,failed_step3_oom,2,244.22,31.81,133.11,52.99,about 63-72%,retry after checkpoint race; vLLM0.20 with amd/PARD-Qwen3-0.6B; failed at Step 3 CUDA OOM
Qwen3-32B,3197980,baseline,0,completed,1,264.17,118.30,109.34,30.52,,mem80/bt16k retry; vLLM0.20 baseline
Qwen3-32B,3197980,baseline,0,completed,2,279.67,117.97,102.12,43.31,,mem80/bt16k retry; vLLM0.20 baseline
Qwen3-32B,3197980,baseline,0,completed,3,252.76,117.61,94.41,22.08,,mem80/bt16k retry; vLLM0.20 baseline
Qwen3-32B,3197980,baseline,0,completed,4,258.50,119.07,96.73,24.08,,mem80/bt16k retry; vLLM0.20 baseline
Qwen3-32B,3197980,baseline,0,completed,5,251.43,117.09,95.05,21.95,,mem80/bt16k retry; vLLM0.20 baseline; Slurm completed 0:0
Qwen3-32B,3197981,public_pard,3,completed,1,227.81,79.48,110.91,31.15,about 62-73%,mem80/bt16k retry; vLLM0.20 with amd/PARD-Qwen3-0.6B num_spec_tokens=3; Slurm completed 0:0
Qwen3-32B,3197981,public_pard,3,completed,2,233.90,70.67,102.40,43.80,about 62-69%,mem80/bt16k retry; vLLM0.20 with amd/PARD-Qwen3-0.6B num_spec_tokens=3; Slurm completed 0:0
Qwen3-32B,3197981,public_pard,3,completed,3,205.94,66.98,96.51,22.14,about 56-74%,mem80/bt16k retry; vLLM0.20 with amd/PARD-Qwen3-0.6B num_spec_tokens=3; Slurm completed 0:0
Qwen3-32B,3197981,public_pard,3,completed,4,210.64,72.18,96.13,24.10,about 58-69%,mem80/bt16k retry; vLLM0.20 with amd/PARD-Qwen3-0.6B num_spec_tokens=3
Qwen3-32B,3197981,public_pard,3,completed,5,211.14,68.15,95.71,22.38,about 55-67%,mem80/bt16k retry; vLLM0.20 with amd/PARD-Qwen3-0.6B num_spec_tokens=3; Slurm completed 0:0
