model,benchmark,target_model,drafter,job_id,k,batch_size,isl,osl,tp,gpus_allocated,latency_s,output_tok_s,output_tok_s_per_gpu,speedup_vs_baseline,acceptance_rate_pct,mean_acceptance_length,accepted_tokens_per_draft,output_json
Qwen3-30B-A3B,synthetic_static,Qwen/Qwen3-30B-A3B-Thinking-2507,,3186810,0,1,1000,512,1,4,1.7473169048316777,293.02068707984137,293.02068707984137,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_thinking2507_publichf_vllm_baseline_bs1-32_isl1000_osl512_20260606_004331/breakdown.json
Qwen3-30B-A3B,synthetic_static,Qwen/Qwen3-30B-A3B-Thinking-2507,,3186810,0,2,1000,512,1,4,1.8109411601908505,565.4518338365467,565.4518338365467,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_thinking2507_publichf_vllm_baseline_bs1-32_isl1000_osl512_20260606_004331/breakdown.json
Qwen3-30B-A3B,synthetic_static,Qwen/Qwen3-30B-A3B-Thinking-2507,,3186810,0,4,1000,512,1,4,1.8435325338505208,1110.9106904245489,1110.9106904245489,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_thinking2507_publichf_vllm_baseline_bs1-32_isl1000_osl512_20260606_004331/breakdown.json
Qwen3-30B-A3B,synthetic_static,Qwen/Qwen3-30B-A3B-Thinking-2507,,3186810,0,8,1000,512,1,4,1.9662525979802012,2083.1504579867023,2083.1504579867023,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_thinking2507_publichf_vllm_baseline_bs1-32_isl1000_osl512_20260606_004331/breakdown.json
Qwen3-30B-A3B,synthetic_static,Qwen/Qwen3-30B-A3B-Thinking-2507,,3186810,0,16,1000,512,1,4,2.2716317046433687,3606.2183774134683,3606.2183774134683,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_thinking2507_publichf_vllm_baseline_bs1-32_isl1000_osl512_20260606_004331/breakdown.json
Qwen3-30B-A3B,synthetic_static,Qwen/Qwen3-30B-A3B-Thinking-2507,,3186810,0,32,1000,512,1,4,2.8618499622680247,5724.968190511158,5724.968190511158,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_thinking2507_publichf_vllm_baseline_bs1-32_isl1000_osl512_20260606_004331/breakdown.json
Qwen3-30B-A3B,synthetic_static,Qwen/Qwen3-30B-A3B-Thinking-2507,RedHatAI/Qwen3-30B-A3B-Thinking-2507-speculator.eagle3,3186811,1,1,1000,512,1,4,1.6323625730583444,313.6558068963395,313.6558068963395,1.070422057985536,89.62962962962962,1.8962962962962964,0.8962962962962963,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_thinking2507_publichf_vllm_spec_k1_bs1-32_isl1000_osl512_20260606_004331/breakdown.json
Qwen3-30B-A3B,synthetic_static,Qwen/Qwen3-30B-A3B-Thinking-2507,RedHatAI/Qwen3-30B-A3B-Thinking-2507-speculator.eagle3,3186811,1,2,1000,512,1,4,1.6551437790039927,618.6773698996756,618.6773698996756,1.0941292129198656,90.33457249070632,1.903345724907063,0.9033457249070632,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_thinking2507_publichf_vllm_spec_k1_bs1-32_isl1000_osl512_20260606_004331/breakdown.json
Qwen3-30B-A3B,synthetic_static,Qwen/Qwen3-30B-A3B-Thinking-2507,RedHatAI/Qwen3-30B-A3B-Thinking-2507-speculator.eagle3,3186811,1,4,1000,512,1,4,1.6898983080172911,1211.9072433434526,1211.9072433434526,1.0909132964417747,90.15784586815228,1.9015784586815228,0.9015784586815228,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_thinking2507_publichf_vllm_spec_k1_bs1-32_isl1000_osl512_20260606_004331/breakdown.json
Qwen3-30B-A3B,synthetic_static,Qwen/Qwen3-30B-A3B-Thinking-2507,RedHatAI/Qwen3-30B-A3B-Thinking-2507-speculator.eagle3,3186811,1,8,1000,512,1,4,1.743170115048997,2349.7419813698843,2349.7419813698843,1.1279751649051957,90.15784586815228,1.9015784586815228,0.9015784586815228,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_thinking2507_publichf_vllm_spec_k1_bs1-32_isl1000_osl512_20260606_004331/breakdown.json
Qwen3-30B-A3B,synthetic_static,Qwen/Qwen3-30B-A3B-Thinking-2507,RedHatAI/Qwen3-30B-A3B-Thinking-2507-speculator.eagle3,3186811,1,16,1000,512,1,4,1.8774581260513514,4363.346317198201,4363.346317198201,1.209950663145302,90.24616813748258,1.9024616813748259,0.9024616813748259,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_thinking2507_publichf_vllm_spec_k1_bs1-32_isl1000_osl512_20260606_004331/breakdown.json
Qwen3-30B-A3B,synthetic_static,Qwen/Qwen3-30B-A3B-Thinking-2507,RedHatAI/Qwen3-30B-A3B-Thinking-2507-speculator.eagle3,3186811,1,32,1000,512,1,4,1.9738630059873685,8300.474729148882,8300.474729148882,1.449872637354823,90.29036004645761,1.902903600464576,0.9029036004645761,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_thinking2507_publichf_vllm_spec_k1_bs1-32_isl1000_osl512_20260606_004331/breakdown.json
Qwen3-30B-A3B,synthetic_static,Qwen/Qwen3-30B-A3B-Thinking-2507,RedHatAI/Qwen3-30B-A3B-Thinking-2507-speculator.eagle3,3186812,2,1,1000,512,1,4,1.1894355886615813,430.4562641984933,430.4562641984933,1.4690302875482777,86.63101604278076,2.732620320855615,1.732620320855615,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_thinking2507_publichf_vllm_spec_k2_bs1-32_isl1000_osl512_20260606_004331/breakdown.json
Qwen3-30B-A3B,synthetic_static,Qwen/Qwen3-30B-A3B-Thinking-2507,RedHatAI/Qwen3-30B-A3B-Thinking-2507-speculator.eagle3,3186812,2,2,1000,512,1,4,1.2070350018329918,848.3598225776083,848.3598225776083,1.50032199351367,86.63101604278076,2.732620320855615,1.732620320855615,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_thinking2507_publichf_vllm_spec_k2_bs1-32_isl1000_osl512_20260606_004331/breakdown.json
Qwen3-30B-A3B,synthetic_static,Qwen/Qwen3-30B-A3B-Thinking-2507,RedHatAI/Qwen3-30B-A3B-Thinking-2507-speculator.eagle3,3186812,2,4,1000,512,1,4,1.2199540250003338,1678.751787387594,1678.751787387594,1.5111491876507528,86.63101604278076,2.732620320855615,1.732620320855615,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_thinking2507_publichf_vllm_spec_k2_bs1-32_isl1000_osl512_20260606_004331/breakdown.json
Qwen3-30B-A3B,synthetic_static,Qwen/Qwen3-30B-A3B-Thinking-2507,RedHatAI/Qwen3-30B-A3B-Thinking-2507-speculator.eagle3,3186812,2,8,1000,512,1,4,1.327581792138517,3085.308961191773,3085.308961191773,1.481078310672588,86.63101604278076,2.732620320855615,1.732620320855615,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_thinking2507_publichf_vllm_spec_k2_bs1-32_isl1000_osl512_20260606_004331/breakdown.json
Qwen3-30B-A3B,synthetic_static,Qwen/Qwen3-30B-A3B-Thinking-2507,RedHatAI/Qwen3-30B-A3B-Thinking-2507-speculator.eagle3,3186812,2,16,1000,512,1,4,1.4317912510596216,5721.504439936597,5721.504439936597,1.586566270021701,86.63101604278076,2.732620320855615,1.732620320855615,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_thinking2507_publichf_vllm_spec_k2_bs1-32_isl1000_osl512_20260606_004331/breakdown.json
