method,batch_size,output_tok_s_per_gpu,acceptance_pct,mean_acceptance_length,accepted_tokens,draft_tokens,accepted_tokens_per_draft
DFlash K3,1,1.9175171226132033,1.21580547112462,1.0364741641337385,36,2961,0.0364741641337386
DFlash K3,2,3.90117319487526,0.44576523031203563,1.013372956909361,27,6057,0.01337295690936107
DFlash K3,4,7.665873375000475,0.32075006168270415,1.0096225018504812,39,12159,0.009622501850481125
DFlash K3,8,15.370334664314566,0.7326007326007326,1.021978021978022,176,24024,0.02197802197802198
DFlash K3,16,30.780140612261853,0.6117920321864825,1.0183537609655944,295,48219,0.018353760965594476
DFlash K3,32,61.40800757715076,0.9315664971006301,1.0279469949130189,890,95538,0.027946994913018903
DFlash K5,1,2.0887307251197207,0.43956043956043955,1.021978021978022,22,5005,0.02197802197802198
DFlash K5,2,3.879971691924405,0.24740227610094012,1.012370113805047,25,10105,0.012370113805047007
DFlash K5,4,8.000536928347081,0.27750247770069375,1.0138751238850348,56,20180,0.013875123885034688
DFlash K5,8,9.045287568412549,0.4293023836266068,1.0214651191813304,172,40065,0.021465119181330337
DFlash K5,16,31.020431865926934,0.34935040716106175,1.017467520358053,281,80435,0.017467520358053087
DFlash K5,32,64.6660674268986,0.5434236947791165,1.0271711847389557,866,159360,0.027171184738955825
