case,job_id,k,max_steps,status,dependency,runtime,shape,stop_after_generation,notes
baseline_step5_initial,3197584,0,5,failed_launcher_path_bug,,NeMo-RL latest main nightly vLLM 0.20.0 worker,32n4g_generation_tp4_train_tp2_pp8_cp2_ep16_gbs256,false,Driver ran from experiments/eagle3_online and tried ./examples/run_grpo.py; no performance metric
public_pard_k5_step5_initial,3197585,5,5,failed_worker_startup_mem,,NeMo-RL latest main nightly vLLM 0.20.0 worker,32n4g_generation_tp4_train_tp2_pp8_cp2_ep16_gbs256,false,Worker srun startup failed with memory required by task not available; no performance metric
public_pard_k3_step5_initial,3197586,3,5,failed_launcher_path_bug,,NeMo-RL latest main nightly vLLM 0.20.0 worker,32n4g_generation_tp4_train_tp2_pp8_cp2_ep16_gbs256,false,Driver ran from experiments/eagle3_online and tried ./examples/run_grpo.py; no performance metric
baseline_step20_initial,3197620,0,20,cancelled_dependency,afterok:3197584,NeMo-RL latest main nightly vLLM 0.20.0 worker,32n4g_generation_tp4_train_tp2_pp8_cp2_ep16_gbs256,false,Cancelled because dependency failed
public_pard_k5_step20_initial,3197621,5,20,cancelled_dependency,afterok:3197585,NeMo-RL latest main nightly vLLM 0.20.0 worker,32n4g_generation_tp4_train_tp2_pp8_cp2_ep16_gbs256,false,Cancelled because dependency failed
public_pard_k3_step20_initial,3197622,3,20,cancelled_dependency,afterok:3197586,NeMo-RL latest main nightly vLLM 0.20.0 worker,32n4g_generation_tp4_train_tp2_pp8_cp2_ep16_gbs256,false,Cancelled because dependency failed
baseline_step5_pathfix_mem80_bt16k,3198040,0,5,failed_actor_died_policy_prep,,NeMo-RL latest main nightly vLLM 0.20.0 worker,32n4g_generation_tp4_train_tp2_pp8_cp2_ep16_gbs256_mem80_bt16k,false,Pathfix retry; gpu_memory_utilization=0.80 max_num_batched_tokens=16384; VllmGenerationWorker.sleep ActorDiedError then prepare_refit_info ActorDiedError; no step metric
public_pard_k5_step5_pathfix_mem80_bt16k,3198041,5,5,failed_step1_policy_logprobs_actor_died,,NeMo-RL latest main nightly vLLM 0.20.0 worker,32n4g_generation_tp4_train_tp2_pp8_cp2_ep16_gbs256_mem80_bt16k,false,Pathfix retry; gpu_memory_utilization=0.80 max_num_batched_tokens=16384; reached Step 1/specdec generation but no total step metric; failed in policy.get_reference_policy_logprobs with MegatronPolicyWorker ActorDiedError/SYSTEM_ERROR and repeated CUDA copy segfault traces
public_pard_k3_step5_pathfix_mem80_bt16k,3198042,3,5,failed_prepare_refit_info_actor_died_oom,,NeMo-RL latest main nightly vLLM 0.20.0 worker,32n4g_generation_tp4_train_tp2_pp8_cp2_ep16_gbs256_mem80_bt16k,false,Pathfix retry; gpu_memory_utilization=0.80 max_num_batched_tokens=16384; failed before Step 1 during VllmGenerationWorker.prepare_refit_info; one RayWorkerWrapper/slurm step reported OUT_OF_MEMORY
baseline_step5_pathfix_localhf_mem70_bt8k,3198183,0,5,failed_step1_reference_logprobs_actor_died,,NeMo-RL latest main nightly vLLM 0.20.0 worker,32n4g_generation_tp4_train_tp2_pp8_cp2_ep16_gbs256_mem70_bt8k,false,Fallback retry; gpu_memory_utilization=0.70 max_num_batched_tokens=8192; Step 1 generation completed then policy.get_reference_policy_logprobs hit MegatronPolicyWorker ActorDiedError/SYSTEM_ERROR with cudaMemcpyAsync segfault traces
localhf_pard_k5_step5_pathfix_mem70_bt8k,3198184,5,5,failed_ray_head_startup,,NeMo-RL latest main nightly vLLM 0.20.0 worker,32n4g_generation_tp4_train_tp2_pp8_cp2_ep16_gbs256_mem70_bt8k,false,Fallback retry; Ray head died during startup; workers showed WrongClusterID/No node info found for head node; not performance evidence
localhf_pard_k3_step5_pathfix_mem70_bt8k,3198185,3,5,failed_step1_reference_logprobs_actor_died,,NeMo-RL latest main nightly vLLM 0.20.0 worker,32n4g_generation_tp4_train_tp2_pp8_cp2_ep16_gbs256_mem70_bt8k,false,Fallback retry; local snapshot avoids HF API rate limits; reached Step 1 generation and reward/advantage; K3 SpecDec metrics showed mean acceptance length 3.08-3.34 and avg draft acceptance 69.4-77.9%; failed at Computing logprobs / policy.get_reference_policy_logprobs with MegatronPolicyWorker SYSTEM_ERROR and cudaMemcpyAsync/cuMemcpyDtoHAsync segfault traces; no total step metric
baseline_step5_pathfix_localhf_mem70_bt8k_skipref,3198324,0,5,failed_ray_gcs_startup_no_driver,,NeMo-RL latest main nightly vLLM 0.20.0 worker,32n4g_generation_tp4_train_tp2_pp8_cp2_ep16_gbs256_mem70_bt8k_skipref,false,Diagnostic only; skip_reference_policy_logprobs_calculation=true and reference_policy_kl_penalty=0.0; failed before ray-driver.log was created because Ray workers could not connect to GCS/head and a background srun died; not logprob or performance evidence
localhf_pard_k3_step5_pathfix_mem70_bt8k_skipref,3198325,3,5,failed_ray_gcs_startup_no_driver,,NeMo-RL latest main nightly vLLM 0.20.0 worker,32n4g_generation_tp4_train_tp2_pp8_cp2_ep16_gbs256_mem70_bt8k_skipref,false,Diagnostic only; same mem70/bt8k and local PARD snapshot with skip_reference_policy_logprobs_calculation=true; failed before ray-driver.log was created because Ray workers could not connect to GCS/head and a background srun died; not logprob or performance evidence
localhf_pard_k3_step5_pathfix_mem70_bt8k_skipref_k3only_r2,3198380,3,5,failed_step1_training_packed_loss_length_mismatch,,NeMo-RL latest main nightly vLLM 0.20.0 worker,32n4g_generation_tp4_train_tp2_pp8_cp2_ep16_gbs256_mem70_bt8k_skipref,false,Diagnostic only; K3-only clean resubmit with skip_reference_policy_logprobs_calculation=true and reference_policy_kl_penalty=0.0 after 3198185 reproduced the reference-logprob crash; Step 1 generated batch size 256 with K3 acceptance mean length 2.75-3.13 and avg draft acceptance 58.4-71.1%; passed rewards and policy logprobs far enough to enter Training policy; failed in prepare_packed_loss_input/_pack_input_ids because actual_len 600 exceeded input_ids width 408; not a vLLM generation OOM or reference-logprob actor death
localhf_pard_k3_step5_pathfix_mem70_bt8k_logchunk2048_r1,3198436,3,5,failed_step1_reference_logprobs_actor_died,,NeMo-RL latest main nightly vLLM 0.20.0 worker,32n4g_generation_tp4_train_tp2_pp8_cp2_ep16_gbs256_mem70_bt8k_logchunk2048,false,Default Full-GRPO retry after 3198185 reference-logprob crash; reference logprobs remained enabled with policy.logprob_chunk_size=2048 and logprob microbatch token caps 4096; Step 1 generated batch size 256 with K3 acceptance mean length 3.19-3.38 and avg draft acceptance 72.9-79.2%; failed at Computing logprobs with MegatronPolicyWorker ActorDiedError/SYSTEM_ERROR; no total step metric
localhf_pard_k3_step5_pathfix_mem70_bt8k_skipref_fuseloss_off_r1,3198648,3,5,failed_step1_training_nan_grad,,NeMo-RL latest main nightly vLLM 0.20.0 worker,32n4g_generation_tp4_train_tp2_pp8_cp2_ep16_gbs256_mem70_bt8k_skipref_fuseloss_off,false,Diagnostic only; submitted after 3198380 reached Training policy and failed in fused sequence-packing loss with padded length 600 vs input_ids width 408; keeps skip_reference_policy_logprobs_calculation=true and reference_policy_kl_penalty=0.0 but disables policy.sequence_packing.fuse_loss=false; reached Step 1 generation with K3 mean acceptance length about 3.05 and avg draft acceptance about 68.3%; avoided the fused packed-loss copy failure but failed in policy backward/finalize_model_grads with NaN local grad norm before DP communication; no total step metric
localhf_pard_k3_step5_pathfix_mem70_bt8k_skipref_fuseloss_off_temp1_r1,3207001,3,5,pending_priority,,NeMo-RL latest main nightly vLLM 0.20.0 worker,32n4g_generation_tp4_train_tp2_pp8_cp2_ep16_gbs256_mem70_bt8k_skipref_fuseloss_off_temp1,false,Diagnostic only; resubmitted after 3198648 failed with NaN local grad norm under policy.generation.temperature=0.0; identical skip_reference_policy_logprobs_calculation=true reference_policy_kl_penalty=0.0 policy.sequence_packing.fuse_loss=false PARD K3 mem70/bt8k shape but uses policy.generation.temperature=1.0 to test whether the NaN was caused by temperature-zero training/logprob scaling; pending Priority as of 2026-06-07 12:51 PDT
