kind,rows,objective_or_stage,job_id,elapsed,train_runtime_seconds,gpus,notes
teacher_logprob_chunk,128,Qwen3-235B teacher continuation plus generated-token logprobs,3173299,00:37:55,,4,"offset 5000; target TP=4"
teacher_logprob_chunk,128,Qwen3-235B teacher continuation plus generated-token logprobs,3173300,00:39:29,,4,"offset 5128; target TP=4"
teacher_logprob_chunk,128,Qwen3-235B teacher continuation plus generated-token logprobs,3173304,00:38:19,,4,"offset 5256; target TP=4"
teacher_logprob_chunk,128,Qwen3-235B teacher continuation plus generated-token logprobs,3173307,00:36:56,,4,"offset 5384; target TP=4"
teacher_logprob_chunk,128,Qwen3-235B teacher continuation plus generated-token logprobs,3173311,00:35:42,,4,"offset 5512; target TP=4"
teacher_logprob_chunk,128,Qwen3-235B teacher continuation plus generated-token logprobs,3173312,00:38:12,,4,"offset 5640; target TP=4"
teacher_logprob_chunk,128,Qwen3-235B teacher continuation plus generated-token logprobs,3173315,00:37:06,,4,"offset 5768; target TP=4"
teacher_logprob_chunk,128,Qwen3-235B teacher continuation plus generated-token logprobs,3173317,00:37:18,,4,"offset 5896; target TP=4"
teacher_logprob_chunk,128,Qwen3-235B teacher continuation plus generated-token logprobs,3189412,00:34:03,,4,"fastest measured 2K expansion chunk; target TP=4"
teacher_logprob_chunk,128,Qwen3-235B teacher continuation plus generated-token logprobs,3189409,00:38:52,,4,"slowest measured 2K expansion chunk; target TP=4"
teacher_logprob_chunk,128,Qwen3-235B teacher continuation plus generated-token logprobs,3192509,00:35:31,,4,"fast measured 4K expansion chunk; target TP=4"
teacher_logprob_chunk,128,Qwen3-235B teacher continuation plus generated-token logprobs,3192602,00:38:41,,4,"slow measured 4K expansion chunk; target TP=4"
drafter_train,1024,CAT prefix-product,3173685,00:03:14,90.2701,4,"train_record_limit=1024; PARD-Qwen3-0.6B base"
drafter_train,1024,CAT TPP-mask,3174060,00:03:27,,4,"train_record_limit=1024; PARD-Qwen3-0.6B base"
drafter_train,2048,CAT TPP-mask,3189439,00:04:45,160.467,4,"train_record_limit=2048; checkpoint-32"
drafter_train,2048,D-PACE target-probability weighted CE,3189721,00:05:04,,4,"train_record_limit=2048; checkpoint-32"
drafter_train,2048,D-PACE draft-probability CE,3190562,00:04:50,162.373,4,"train_record_limit=2048; checkpoint-64; best standalone K5 1.296x"
drafter_train,2048,accept-rate objective,3193161,00:04:51,164.304,4,"train_record_limit=2048; standalone K5 1.267x"
drafter_train,2048,D-PACE plus accepted-prefix reward,3193361,00:04:50,165.549,4,"train_record_limit=2048; standalone K5 1.241x"
drafter_train,2048,D-PACE draft CE alpha 0.2,3193575,00:04:51,164.236,4,"train_record_limit=2048; standalone K5 1.243x"
drafter_train,2048,D-PACE draft CE alpha 0.8,3193588,00:05:00,174.6134,4,"train_record_limit=2048; standalone K5 1.221x"
drafter_train,4096,D-PACE draft-probability CE,3192611,00:07:17,283.538,4,"train_record_limit=4096; standalone K5 regressed to 1.212x"
